<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NGC,20080306,30.0000,30.0000,30.0000,30.0000,5000
NGC,20080307,33.0000,33.0000,33.0000,33.0000,2200
NGC,20080310,36.3000,36.3000,34.0000,34.0000,8500
NGC,20080311,33.0000,33.0000,33.0000,33.0000,300
NGC,20080312,33.9000,33.9000,29.7000,29.7000,500
NGC,20080313,32.0000,32.0000,29.9000,29.9000,400
NGC,20080314,29.9000,29.9000,29.9000,29.9000,0
NGC,20080317,28.4000,30.0000,28.4000,30.0000,300
NGC,20080318,30.0000,30.0000,30.0000,30.0000,0
NGC,20080319,29.9000,29.9000,26.6000,26.6000,400
NGC,20080320,30.0000,30.0000,24.8000,24.8000,600
NGC,20080321,28.8000,28.8000,24.2000,24.2000,4100
NGC,20080324,24.0000,24.0000,24.0000,24.0000,1000
NGC,20080325,24.0000,24.0000,21.6000,21.6000,500
NGC,20080326,23.0000,23.0000,19.9000,22.5000,1200
NGC,20080327,21.5000,21.7000,21.5000,21.7000,4000
NGC,20080328,22.1000,22.1000,22.1000,22.1000,3000
NGC,20080331,22.5000,22.5000,22.5000,22.5000,100
NGC,20080401,22.9000,22.9000,22.9000,22.9000,100
NGC,20080402,23.3000,23.3000,23.3000,23.3000,100
NGC,20080403,23.7000,23.7000,23.7000,23.7000,100
NGC,20080404,24.1000,24.1000,24.1000,24.1000,100
NGC,20080407,24.8000,24.8000,24.8000,24.8000,14000
NGC,20080408,25.5000,25.5000,25.5000,25.5000,7600
NGC,20080409,26.0000,26.0000,26.0000,26.0000,100
NGC,20080410,25.5000,25.5000,25.5000,25.5000,500
NGC,20080411,24.8000,24.8000,24.8000,24.8000,100
NGC,20080416,24.1000,24.1000,24.1000,24.1000,200
NGC,20080417,23.4000,24.8000,23.4000,24.8000,4900
NGC,20080418,25.0000,25.0000,23.6000,23.6000,8000
NGC,20080421,24.8000,24.8000,24.8000,24.8000,0
NGC,20080422,24.8000,24.8000,24.8000,24.8000,0
NGC,20080423,24.8000,24.8000,24.8000,24.8000,0
NGC,20080424,24.1000,24.1000,24.1000,24.1000,500
NGC,20080425,23.4000,23.4000,23.4000,23.4000,3000
NGC,20080428,22.7000,22.7000,22.7000,22.7000,2200
NGC,20080429,22.1000,22.9000,22.1000,22.1000,1800
NGC,20080505,22.5000,22.5000,22.5000,22.5000,0
NGC,20080506,22.5000,22.5000,22.5000,22.5000,0
NGC,20080507,22.5000,22.5000,22.5000,22.5000,0
NGC,20080508,22.5000,22.5000,22.5000,22.5000,0
NGC,20080509,21.9000,21.9000,21.9000,21.9000,100
NGC,20080512,21.3000,21.3000,21.3000,21.3000,100
NGC,20080513,20.7000,20.7000,20.7000,20.7000,200
NGC,20080514,20.7000,20.7000,20.7000,20.7000,0
NGC,20080515,20.7000,20.7000,20.7000,20.7000,0
NGC,20080516,20.1000,20.1000,20.1000,20.1000,5000
NGC,20080519,19.5000,19.5000,19.5000,19.5000,2000
NGC,20080520,19.5000,19.5000,19.5000,19.5000,0
NGC,20080521,19.0000,19.0000,19.0000,19.0000,100
NGC,20080522,18.5000,18.5000,18.5000,18.5000,100
NGC,20080523,18.0000,18.0000,18.0000,18.0000,1300
NGC,20080526,18.0000,18.0000,18.0000,18.0000,0
NGC,20080527,18.0000,18.0000,18.0000,18.0000,0
NGC,20080528,18.0000,18.0000,18.0000,18.0000,0
NGC,20080529,18.5000,18.5000,17.5000,17.5000,200
NGC,20080530,17.5000,17.5000,17.5000,17.5000,100
NGC,20080602,17.5000,17.5000,17.5000,17.5000,0
NGC,20080603,17.5000,17.5000,17.5000,17.5000,0
NGC,20080604,17.5000,17.5000,17.5000,17.5000,0
NGC,20080605,17.0000,17.0000,17.0000,17.0000,100
NGC,20080606,16.5000,17.5000,16.5000,17.5000,200
NGC,20080609,17.0000,17.0000,17.0000,17.0000,0
NGC,20080610,16.5000,16.5000,16.5000,16.5000,100
NGC,20080611,16.1000,16.9000,16.1000,16.9000,300
NGC,20080612,16.4000,16.4000,16.4000,16.4000,800
NGC,20080613,16.0000,16.0000,16.0000,16.0000,8400
NGC,20080616,16.4000,16.4000,16.0000,16.4000,800
NGC,20080617,16.3000,16.7000,16.3000,16.7000,2300
NGC,20080618,16.3000,16.3000,16.3000,16.3000,0
NGC,20080619,16.3000,16.3000,16.3000,16.3000,0
NGC,20080620,16.9000,16.9000,16.9000,16.9000,100
NGC,20080623,16.9000,16.9000,16.9000,16.9000,0
NGC,20080624,17.5000,17.5000,17.5000,17.5000,100
NGC,20080625,18.2000,18.2000,18.2000,18.2000,100
NGC,20080626,18.9000,18.9000,17.6000,17.6000,200
NGC,20080627,17.6000,17.6000,17.6000,17.6000,700
NGC,20080630,18.3000,18.3000,18.3000,18.3000,100
NGC,20080701,18.3000,18.3000,17.6000,17.6000,1800
NGC,20080702,18.4000,18.4000,18.4000,18.4000,100
NGC,20080703,19.0000,19.1000,19.0000,19.1000,800
NGC,20080704,19.1000,19.5000,18.4000,19.5000,2900
NGC,20080707,19.1000,19.1000,19.1000,19.1000,0
NGC,20080708,19.1000,19.1000,19.1000,19.1000,0
NGC,20080709,18.5000,18.5000,18.5000,18.5000,200
NGC,20080710,18.0000,18.0000,18.0000,18.0000,100
NGC,20080711,17.3000,17.3000,17.3000,17.3000,2900
NGC,20080714,17.9000,17.9000,17.1000,17.9000,9500
NGC,20080715,16.6000,17.8000,16.6000,17.8000,2100
NGC,20080716,16.9000,16.9000,16.9000,16.9000,1200
NGC,20080717,17.5000,17.5000,17.5000,17.5000,2800
NGC,20080718,18.2000,18.2000,16.8000,18.2000,2900
NGC,20080721,17.4000,17.4000,17.4000,17.4000,100
NGC,20080722,16.8000,16.8000,16.8000,16.8000,100
NGC,20080723,16.2000,16.2000,16.2000,16.2000,2400
NGC,20080724,15.6000,16.8000,15.6000,16.8000,15700
NGC,20080725,16.8000,16.8000,16.8000,16.8000,700
NGC,20080728,17.4000,17.4000,17.4000,17.4000,6200
NGC,20080729,18.0000,18.0000,18.0000,18.0000,3200
NGC,20080730,18.7000,18.7000,18.7000,18.7000,4600
NGC,20080731,19.4000,19.4000,19.0000,19.4000,5600
NGC,20080801,20.0000,20.0000,20.0000,20.0000,2100
NGC,20080804,20.8000,20.8000,20.8000,20.8000,3300
NGC,20080805,21.6000,21.6000,20.9000,21.3000,11400
NGC,20080806,20.6000,22.2000,20.6000,22.2000,18400
NGC,20080807,21.3000,22.1000,21.3000,22.1000,7400
NGC,20080808,4.9060,4.9060,4.8835,4.9060,7200
NGC,20080811,5.0861,5.0861,5.0861,5.0861,1800
NGC,20080812,5.0861,5.2886,5.0861,5.2886,7100
NGC,20080813,5.3786,5.4011,5.3786,5.4011,1000
NGC,20080814,5.4011,5.6037,5.3786,5.6037,24200
NGC,20080815,5.7387,5.7387,5.7387,5.7387,2400
NGC,20080818,6.1213,6.1213,5.7387,5.7387,900
NGC,20080819,5.4236,5.6262,5.4236,5.4236,2000
NGC,20080820,5.1536,5.1536,5.1536,5.1536,100
NGC,20080821,4.7935,5.1536,4.7935,4.8160,5700
NGC,20080822,5.1761,5.1761,4.5910,4.9285,7300
NGC,20080825,4.9285,4.9961,4.9285,4.9961,7500
NGC,20080826,5.2886,5.2886,5.1761,5.2886,6000
NGC,20080827,5.6037,5.6037,5.5362,5.5362,7900
NGC,20080828,5.6037,5.6037,5.6037,5.6037,0
NGC,20080829,5.2211,5.2436,5.2211,5.2211,3900
NGC,20080903,5.5137,5.5812,5.4912,5.5812,7700
NGC,20080904,5.9187,5.9187,5.9187,5.9187,100
NGC,20080905,5.5362,5.5362,5.5137,5.5137,1400
NGC,20080908,5.1311,5.8962,5.1311,5.8962,18000
NGC,20080909,5.9412,5.9638,5.1986,5.1986,12600
NGC,20080910,5.3336,5.6262,5.3336,5.3336,2400
NGC,20080911,5.0186,5.6262,5.0186,5.6262,1700
NGC,20080912,4.7935,5.4011,4.7935,5.4011,1200
NGC,20080915,4.5235,5.1986,4.5235,5.1986,3000
NGC,20080916,5.2886,5.3111,5.1536,5.2886,3800
NGC,20080917,5.2661,5.2661,4.9060,5.1761,5600
NGC,20080918,5.4686,5.4686,5.4686,5.4686,100
NGC,20080919,5.0861,5.4461,5.0861,5.2886,12700
NGC,20080922,5.5137,5.5137,5.2886,5.5137,12300
NGC,20080923,5.8512,5.8737,5.5137,5.5137,2700
NGC,20080924,5.8512,5.8512,5.8512,5.8512,0
NGC,20080925,5.8512,5.8512,5.8512,5.8512,0
NGC,20080926,5.4461,5.4461,5.4461,5.4461,100
NGC,20080929,5.0861,5.0861,5.0861,5.0861,1000
NGC,20080930,4.7485,4.7485,4.7485,4.7485,800
NGC,20081001,5.0636,5.0636,5.0186,5.0186,900
NGC,20081002,4.6810,5.3111,4.6810,4.6810,3800
NGC,20081003,4.3884,4.3884,4.3884,4.3884,1500
NGC,20081006,4.0959,4.0959,4.0959,4.0959,1600
NGC,20081007,3.8258,3.8258,3.8258,3.8258,400
NGC,20081008,3.5783,3.7133,3.5783,3.5783,5800
NGC,20081009,3.3532,3.8483,3.3532,3.3982,6600
NGC,20081010,3.3757,3.6008,3.3757,3.6008,6800
NGC,20081013,3.6008,3.6008,3.4207,3.4207,500
NGC,20081014,3.6908,3.6908,3.6908,3.6908,4700
NGC,20081015,3.9383,3.9383,3.8258,3.9383,6300
NGC,20081016,4.2084,4.2084,3.7133,4.2084,8000
NGC,20081017,4.3659,4.3659,4.3659,4.3659,2500
NGC,20081020,4.2084,4.5685,4.1634,4.1634,2500
NGC,20081021,3.9158,3.9158,3.8933,3.8933,4200
NGC,20081022,3.8933,4.1634,3.8258,3.8933,2000
NGC,20081023,3.6233,3.6233,3.6008,3.6008,1400
NGC,20081024,3.3757,3.3757,3.3532,3.3532,1600
NGC,20081027,3.1282,3.1282,3.1282,3.1282,1100
NGC,20081028,3.0606,3.1282,3.0606,3.1282,2500
NGC,20081029,3.1507,3.3082,3.1507,3.3082,300
NGC,20081030,3.3982,3.3982,3.3982,3.3982,300
NGC,20081031,3.6233,3.6233,3.6233,3.6233,1200
NGC,20081103,3.6233,3.6233,3.6233,3.6233,0
NGC,20081104,3.3982,3.7808,3.3982,3.6008,2500
NGC,20081105,3.6008,3.8033,3.3982,3.8033,7200
NGC,20081106,3.2857,3.6008,3.2857,3.2857,3700
NGC,20081107,3.1507,3.5332,3.1057,3.1507,1500
NGC,20081110,3.3532,3.3757,3.3532,3.3757,1000
NGC,20081111,3.5783,3.5783,3.4882,3.5783,18300
NGC,20081112,3.8033,3.8033,3.7133,3.7133,2600
NGC,20081113,3.6008,3.6233,3.5557,3.5557,5800
NGC,20081114,3.6008,3.6008,3.6008,3.6008,0
NGC,20081117,3.3532,3.5557,3.3532,3.5332,3000
NGC,20081118,3.5557,3.6458,3.5557,3.6458,10800
NGC,20081119,3.8258,3.8258,3.6683,3.6683,1200
NGC,20081120,3.7133,3.7133,3.5557,3.5557,1100
NGC,20081121,3.8708,3.8708,3.6233,3.6233,400
NGC,20081124,4.0058,4.0058,3.7583,3.7583,600
NGC,20081125,3.6008,3.6458,3.6008,3.6233,1600
NGC,20081126,3.6008,3.6233,3.6008,3.6008,2100
NGC,20081127,3.6008,3.6458,3.6008,3.6458,2600
NGC,20081128,3.8258,3.8258,3.8258,3.8258,1500
NGC,20081201,3.7133,3.7133,3.6008,3.6008,4600
NGC,20081202,3.6233,3.6233,3.6008,3.6008,2100
NGC,20081203,3.6008,3.6008,3.6008,3.6008,200
NGC,20081204,3.6008,3.6008,3.5783,3.5783,2900
NGC,20081205,3.5783,3.6008,3.4882,3.6008,4200
NGC,20081208,3.7133,3.7583,3.6908,3.6908,900
NGC,20081209,3.7133,3.7133,3.7133,3.7133,200
NGC,20081210,3.6908,3.6908,3.6908,3.6908,500
NGC,20081211,3.6008,3.6008,3.6008,3.6008,1100
NGC,20081212,3.6008,3.6008,3.6008,3.6008,900
NGC,20081215,3.3532,3.3532,3.3532,3.3532,100
NGC,20081216,3.5783,3.5783,3.4882,3.4882,300
NGC,20081217,3.6908,3.8033,3.6908,3.8033,2400
NGC,20081218,3.9833,3.9833,3.9383,3.9833,2000
NGC,20081219,4.1634,4.1634,4.1409,4.1409,300
NGC,20081222,4.2759,4.2759,4.2759,4.2759,100
NGC,20081223,4.2759,4.2759,4.2759,4.2759,0
NGC,20081224,4.0509,4.0509,4.0283,4.0283,500
NGC,20081225,3.7808,3.7808,3.7808,3.7808,200
NGC,20081226,3.9383,3.9383,3.5332,3.5332,1500
NGC,20081229,3.8361,3.8361,3.8361,3.8361,1400
NGC,20081230,4.0957,4.0957,4.0957,4.0957,300
NGC,20081231,4.3553,4.3553,4.3553,4.3553,3500
NGC,20090102,4.6148,4.6148,4.6148,4.6148,100
NGC,20090105,4.6148,4.6148,4.6148,4.6148,0
NGC,20090106,4.6148,4.6148,4.6148,4.6148,0
