<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NHP,20150311,15.6000,15.6000,15.6000,15.6000,161000
NHP,20150312,17.1000,17.1000,17.0000,17.1000,1322200
NHP,20150313,18.8000,18.8000,17.7000,18.8000,421200
NHP,20150316,18.8000,20.6000,17.5000,20.6000,1362100
NHP,20150317,19.7000,22.4000,19.7000,21.3000,1117000
NHP,20150318,21.0000,21.0000,20.4000,20.5000,841900
NHP,20150319,20.3000,20.6000,20.1000,20.6000,1106400
NHP,20150320,20.7000,20.8000,20.3000,20.6000,1206800
NHP,20150323,20.5000,20.7000,20.0000,20.5000,1049400
NHP,20150324,20.4000,20.6000,19.6000,19.6000,894300
NHP,20150325,19.6000,20.4000,19.6000,20.1000,860100
NHP,20150326,20.0000,20.4000,19.5000,19.5000,817200
NHP,20150327,19.9000,19.9000,19.3000,19.5000,552700
NHP,20150330,19.5000,19.5000,17.6000,18.9000,512300
NHP,20150331,18.8000,19.0000,18.7000,19.0000,820400
NHP,20150401,19.0000,20.9000,19.0000,20.9000,1045700
NHP,20150402,21.9000,22.9000,21.1000,22.6000,951200
NHP,20150403,21.7000,22.9000,21.3000,21.3000,1079200
NHP,20150406,20.8000,21.3000,20.0000,20.0000,985000
NHP,20150407,21.8000,21.8000,19.5000,20.1000,504100
NHP,20150408,20.0000,20.0000,18.6000,19.4000,444800
NHP,20150409,19.0000,20.0000,18.5000,19.9000,1345500
NHP,20150410,19.9000,19.9000,19.0000,19.8000,457200
NHP,20150413,20.0000,21.7000,19.0000,21.7000,674000
NHP,20150414,21.3000,23.1000,20.0000,22.8000,669600
NHP,20150415,22.5000,23.0000,21.0000,21.3000,591400
NHP,20150416,21.4000,21.4000,20.3000,21.3000,517700
NHP,20150417,23.0000,23.4000,21.0000,23.3000,676000
NHP,20150420,22.2000,23.2000,21.9000,22.7000,214500
NHP,20150421,22.6000,23.0000,22.0000,22.7000,625900
NHP,20150422,22.7000,24.9000,22.3000,24.9000,879300
NHP,20150423,24.9000,27.3000,24.9000,27.3000,923000
NHP,20150424,25.0000,30.0000,25.0000,30.0000,109300
NHP,20150427,30.3000,30.4000,29.5000,29.6000,115300
NHP,20150504,29.7000,29.8000,26.7000,28.5000,203000
NHP,20150505,27.4000,27.4000,25.7000,26.9000,381200
NHP,20150506,26.3000,26.7000,24.3000,26.4000,230200
NHP,20150507,25.7000,26.5000,23.8000,26.5000,415300
NHP,20150508,26.5000,26.7000,23.9000,26.4000,248600
NHP,20150511,23.8000,26.4000,23.8000,24.0000,300700
NHP,20150512,23.5000,23.8000,21.6000,23.4000,415100
NHP,20150513,24.9000,25.1000,21.3000,24.5000,250600
NHP,20150514,22.4000,23.8000,22.1000,22.8000,514600
NHP,20150515,22.3000,22.3000,20.6000,21.5000,258300
NHP,20150518,21.1000,21.1000,19.4000,19.4000,459600
