<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NJC,20201225,25.2000,25.2000,25.2000,25.2000,0
NJC,20201228,25.2000,25.2000,25.2000,25.2000,0
NJC,20201229,25.2000,25.2000,25.2000,25.2000,0
NJC,20201230,25.2000,25.2000,25.2000,25.2000,0
NJC,20201231,25.2000,25.2000,25.2000,25.2000,0
NJC,20210104,25.2000,25.2000,25.2000,25.2000,0
NJC,20210105,25.2000,25.2000,25.2000,25.2000,0
NJC,20210106,25.2000,25.2000,25.2000,25.2000,0
NJC,20210107,25.2000,25.2000,25.2000,25.2000,0
NJC,20210108,25.2000,25.2000,25.2000,25.2000,0
NJC,20210111,20.2734,20.2734,20.2734,20.2734,0
NJC,20210112,20.2734,20.2734,20.2734,20.2734,0
NJC,20210113,20.2734,20.2734,20.2734,20.2734,0
NJC,20210114,20.2734,20.2734,20.2734,20.2734,0
NJC,20210115,20.2734,20.2734,20.2734,20.2734,0
NJC,20210118,20.2734,20.2734,20.2734,20.2734,0
NJC,20210119,20.2734,20.2734,20.2734,20.2734,0
NJC,20210120,20.2734,20.2734,20.2734,20.2734,0
NJC,20210121,20.2734,20.2734,20.2734,20.2734,0
NJC,20210122,20.2734,20.2734,20.2734,20.2734,0
NJC,20210125,20.2734,20.2734,20.2734,20.2734,0
NJC,20210126,20.2734,20.2734,20.2734,20.2734,0
NJC,20210127,20.2734,20.2734,20.2734,20.2734,0
NJC,20210128,20.2734,20.2734,20.2734,20.2734,0
NJC,20210129,20.2734,20.2734,20.2734,20.2734,0
NJC,20210201,20.2734,20.2734,20.2734,20.2734,0
NJC,20210202,20.2734,20.2734,20.2734,20.2734,0
NJC,20210203,20.2734,20.2734,20.2734,20.2734,0
NJC,20210204,20.2734,20.2734,20.2734,20.2734,0
NJC,20210205,20.2734,20.2734,20.2734,20.2734,0
NJC,20210208,20.2734,20.2734,20.2734,20.2734,0
NJC,20210209,20.2734,20.2734,20.2734,20.2734,0
NJC,20210217,20.2734,20.2734,20.2734,20.2734,0
NJC,20210218,20.2734,20.2734,20.2734,20.2734,0
NJC,20210219,20.2734,20.2734,20.2734,20.2734,0
NJC,20210222,20.2734,20.2734,20.2734,20.2734,0
NJC,20210223,20.2734,20.2734,20.2734,20.2734,0
NJC,20210224,20.2734,20.2734,20.2734,20.2734,0
NJC,20210225,20.2734,20.2734,20.2734,20.2734,0
NJC,20210226,20.2734,20.2734,20.2734,20.2734,0
NJC,20210301,20.2734,20.2734,20.2734,20.2734,0
NJC,20210302,20.2734,20.2734,20.2734,20.2734,0
NJC,20210303,20.2734,20.2734,20.2734,20.2734,0
NJC,20210304,18.5839,18.5839,18.5839,18.5839,100
NJC,20210305,18.5839,18.5839,18.5839,18.5839,0
NJC,20210308,18.5839,18.5839,18.5839,18.5839,0
NJC,20210309,18.5839,18.5839,18.5839,18.5839,0
NJC,20210310,18.5839,18.5839,18.5839,18.5839,0
NJC,20210311,18.5839,18.5839,18.5839,18.5839,0
NJC,20210312,18.5839,18.5839,18.5839,18.5839,0
NJC,20210315,18.5839,18.5839,18.5839,18.5839,0
NJC,20210316,18.5839,18.5839,18.5839,18.5839,0
