<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NNB,20161020,10.0000,10.0000,10.0000,10.0000,0
NNB,20161021,10.0000,10.0000,10.0000,10.0000,0
NNB,20161024,10.0000,10.0000,10.0000,10.0000,0
NNB,20161025,10.0000,10.0000,10.0000,10.0000,0
NNB,20161026,10.0000,10.0000,10.0000,10.0000,0
NNB,20161027,10.0000,10.0000,10.0000,10.0000,0
NNB,20161028,10.0000,10.0000,10.0000,10.0000,0
NNB,20161031,10.0000,10.0000,10.0000,10.0000,0
NNB,20161101,10.0000,10.0000,10.0000,10.0000,0
NNB,20161102,10.0000,10.0000,10.0000,10.0000,0
NNB,20161103,10.0000,10.0000,10.0000,10.0000,0
NNB,20161104,10.0000,10.0000,10.0000,10.0000,0
NNB,20161107,10.0000,10.0000,10.0000,10.0000,0
NNB,20161108,10.0000,10.0000,10.0000,10.0000,0
NNB,20161109,10.0000,10.0000,10.0000,10.0000,0
NNB,20161110,10.0000,10.0000,10.0000,10.0000,0
NNB,20161111,10.0000,10.0000,10.0000,10.0000,0
NNB,20161114,10.0000,10.0000,10.0000,10.0000,0
NNB,20161115,10.0000,10.0000,10.0000,10.0000,0
NNB,20161116,10.0000,10.0000,10.0000,10.0000,0
NNB,20161117,10.0000,10.0000,10.0000,10.0000,0
NNB,20161118,10.0000,10.0000,10.0000,10.0000,0
NNB,20161121,10.0000,10.0000,10.0000,10.0000,0
NNB,20161122,10.0000,10.0000,10.0000,10.0000,0
NNB,20161123,10.0000,10.0000,10.0000,10.0000,0
NNB,20161124,10.0000,10.0000,10.0000,10.0000,0
NNB,20161125,10.0000,10.0000,10.0000,10.0000,0
NNB,20161128,10.0000,10.0000,10.0000,10.0000,0
NNB,20161129,10.0000,10.0000,10.0000,10.0000,0
NNB,20161130,10.0000,10.0000,10.0000,10.0000,0
NNB,20161201,10.0000,10.0000,10.0000,10.0000,0
NNB,20161202,10.0000,10.0000,10.0000,10.0000,0
NNB,20161205,10.0000,10.0000,10.0000,10.0000,0
NNB,20161206,10.0000,10.0000,10.0000,10.0000,0
NNB,20161207,10.0000,10.0000,10.0000,10.0000,0
NNB,20161208,10.0000,10.0000,10.0000,10.0000,0
NNB,20161209,10.0000,10.0000,10.0000,10.0000,0
NNB,20161212,10.0000,10.0000,10.0000,10.0000,0
NNB,20161213,10.0000,10.0000,10.0000,10.0000,0
NNB,20161214,10.0000,10.0000,10.0000,10.0000,0
NNB,20161215,10.0000,10.0000,10.0000,10.0000,0
NNB,20161216,10.0000,10.0000,10.0000,10.0000,0
NNB,20161219,10.0000,10.0000,10.0000,10.0000,0
NNB,20161220,10.0000,10.0000,10.0000,10.0000,0
NNB,20161221,10.0000,10.0000,10.0000,10.0000,0
NNB,20161222,10.0000,10.0000,10.0000,10.0000,0
NNB,20161223,10.0000,10.0000,10.0000,10.0000,0
NNB,20161226,10.0000,10.0000,10.0000,10.0000,0
NNB,20161227,10.0000,10.0000,10.0000,10.0000,0
NNB,20161228,10.0000,10.0000,10.0000,10.0000,0
NNB,20161229,10.0000,10.0000,10.0000,10.0000,0
NNB,20161230,10.0000,10.0000,10.0000,10.0000,0
NNB,20170103,10.0000,10.0000,10.0000,10.0000,0
NNB,20170104,10.0000,10.0000,10.0000,10.0000,0
NNB,20170105,10.0000,10.0000,10.0000,10.0000,0
NNB,20170106,10.0000,10.0000,10.0000,10.0000,0
NNB,20170109,10.0000,10.0000,10.0000,10.0000,0
NNB,20170110,10.0000,10.0000,10.0000,10.0000,0
NNB,20170111,10.0000,10.0000,10.0000,10.0000,0
NNB,20170112,10.0000,10.0000,10.0000,10.0000,0
NNB,20170113,10.0000,10.0000,10.0000,10.0000,0
NNB,20170116,10.0000,10.0000,10.0000,10.0000,0
NNB,20170117,10.0000,10.0000,10.0000,10.0000,0
NNB,20170118,10.0000,10.0000,10.0000,10.0000,0
NNB,20170119,10.0000,10.0000,10.0000,10.0000,0
NNB,20170120,10.0000,10.0000,10.0000,10.0000,0
NNB,20170123,10.0000,10.0000,10.0000,10.0000,0
