<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NNT,20120622,8.0000,8.0000,8.0000,8.0000,0
NNT,20120625,8.0000,8.0000,8.0000,8.0000,0
NNT,20120626,8.0000,8.0000,8.0000,8.0000,0
NNT,20120627,8.0000,8.0000,8.0000,8.0000,0
NNT,20120628,8.0000,8.0000,8.0000,8.0000,0
NNT,20120629,8.0000,8.0000,8.0000,8.0000,0
NNT,20120702,8.0000,8.0000,8.0000,8.0000,0
NNT,20120703,8.0000,8.0000,8.0000,8.0000,0
NNT,20120704,8.0000,8.0000,8.0000,8.0000,0
NNT,20120705,8.0000,8.0000,8.0000,8.0000,0
NNT,20120706,8.0000,8.0000,8.0000,8.0000,0
NNT,20120709,8.0000,8.0000,8.0000,8.0000,0
NNT,20120710,8.0000,8.0000,8.0000,8.0000,0
NNT,20120711,8.0000,8.0000,8.0000,8.0000,0
NNT,20120712,8.0000,8.0000,8.0000,8.0000,0
NNT,20120713,8.0000,8.0000,8.0000,8.0000,0
NNT,20120716,8.0000,8.0000,8.0000,8.0000,0
NNT,20120717,8.0000,8.0000,8.0000,8.0000,0
NNT,20120718,8.0000,8.0000,8.0000,8.0000,0
NNT,20120719,8.0000,8.0000,8.0000,8.0000,0
NNT,20120720,8.0000,8.0000,8.0000,8.0000,0
NNT,20120723,8.0000,8.0000,8.0000,8.0000,0
NNT,20120724,8.0000,8.0000,8.0000,8.0000,0
NNT,20120725,8.0000,8.0000,8.0000,8.0000,0
NNT,20120726,8.0000,8.0000,8.0000,8.0000,0
NNT,20120727,8.0000,8.0000,8.0000,8.0000,0
NNT,20120730,8.0000,8.0000,8.0000,8.0000,0
NNT,20120731,8.0000,8.0000,8.0000,8.0000,0
NNT,20120801,8.0000,8.0000,8.0000,8.0000,0
NNT,20120802,8.0000,8.0000,8.0000,8.0000,0
NNT,20120803,8.0000,8.0000,8.0000,8.0000,0
NNT,20120806,8.0000,8.0000,8.0000,8.0000,0
NNT,20120807,8.0000,8.0000,8.0000,8.0000,0
