<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NOS,20110112,11.0000,18.9000,10.0000,10.0000,5200
NOS,20110113,15.7000,15.7000,15.7000,15.7000,0
NOS,20110114,15.7000,15.7000,15.7000,15.7000,0
NOS,20110117,15.7000,15.7000,15.7000,15.7000,0
NOS,20110118,15.7000,15.7000,15.7000,15.7000,0
NOS,20110119,15.7000,15.7000,15.7000,15.7000,0
NOS,20110120,15.7000,15.7000,15.7000,15.7000,0
NOS,20110121,15.7000,15.7000,15.7000,15.7000,0
NOS,20110124,15.7000,15.7000,15.7000,15.7000,0
NOS,20110125,15.7000,15.7000,15.7000,15.7000,150000
NOS,20110126,15.7000,15.7000,15.7000,15.7000,0
NOS,20110127,15.7000,15.7000,15.7000,15.7000,0
NOS,20110128,15.7000,15.7000,15.7000,15.7000,0
NOS,20110208,15.7000,15.7000,15.7000,15.7000,0
NOS,20110209,15.7000,15.7000,15.7000,15.7000,0
NOS,20110210,15.7000,15.7000,15.7000,15.7000,0
NOS,20110211,15.7000,15.7000,15.7000,15.7000,0
NOS,20110214,15.7000,15.7000,15.7000,15.7000,0
NOS,20110215,15.7000,15.7000,15.7000,15.7000,0
NOS,20110216,15.7000,15.7000,15.7000,15.7000,0
NOS,20110217,15.7000,15.7000,15.7000,15.7000,0
NOS,20110218,15.7000,15.7000,15.7000,15.7000,0
NOS,20110221,15.7000,15.7000,15.7000,15.7000,0
NOS,20110222,15.7000,15.7000,15.7000,15.7000,0
NOS,20110223,15.7000,15.7000,15.7000,15.7000,0
NOS,20110224,15.7000,15.7000,15.7000,15.7000,0
NOS,20110225,15.7000,15.7000,15.7000,15.7000,0
NOS,20110228,15.7000,15.7000,15.7000,15.7000,0
NOS,20110301,15.7000,15.7000,15.7000,15.7000,0
NOS,20110302,15.7000,15.7000,15.7000,15.7000,17000
NOS,20110303,14.2000,14.2000,14.2000,14.2000,100
NOS,20110304,14.2000,14.2000,14.2000,14.2000,0
NOS,20110307,14.2000,14.2000,14.2000,14.2000,0
NOS,20110308,14.2000,14.2000,14.2000,14.2000,0
NOS,20110309,14.2000,14.2000,14.2000,14.2000,0
NOS,20110310,14.2000,14.2000,14.2000,14.2000,0
NOS,20110311,14.2000,14.2000,14.2000,14.2000,0
NOS,20110314,14.2000,14.2000,14.2000,14.2000,0
NOS,20110315,14.2000,14.2000,14.2000,14.2000,0
NOS,20110316,14.2000,14.2000,14.2000,14.2000,0
NOS,20110317,14.2000,14.2000,14.2000,14.2000,0
NOS,20110318,14.2000,14.2000,14.2000,14.2000,0
NOS,20110321,14.2000,14.2000,14.2000,14.2000,0
NOS,20110322,14.2000,14.2000,14.2000,14.2000,0
NOS,20110323,14.2000,14.2000,14.2000,14.2000,0
NOS,20110324,14.2000,14.2000,14.2000,14.2000,0
NOS,20110325,12.8000,12.8000,12.8000,12.8000,100
NOS,20110328,11.6000,11.6000,11.6000,11.6000,100
NOS,20110329,11.6000,11.6000,11.6000,11.6000,0
NOS,20110330,11.6000,11.6000,11.6000,11.6000,0
NOS,20110331,11.6000,11.6000,11.6000,11.6000,0
NOS,20110401,11.6000,11.6000,11.6000,11.6000,0
NOS,20110404,11.6000,11.6000,11.6000,11.6000,0
NOS,20110405,11.6000,11.6000,11.6000,11.6000,0
NOS,20110406,11.6000,11.6000,11.6000,11.6000,0
NOS,20110407,11.6000,11.6000,11.6000,11.6000,0
NOS,20110408,11.6000,11.6000,11.6000,11.6000,0
NOS,20110413,11.6000,11.6000,11.6000,11.6000,0
NOS,20110414,11.6000,11.6000,11.6000,11.6000,0
NOS,20110415,11.6000,11.6000,11.6000,11.6000,0
NOS,20110418,11.6000,11.6000,11.6000,11.6000,0
NOS,20110419,11.6000,11.6000,11.6000,11.6000,0
NOS,20110420,11.6000,11.6000,11.6000,11.6000,0
NOS,20110421,11.6000,11.6000,11.6000,11.6000,0
NOS,20110422,11.6000,11.6000,11.6000,11.6000,0
NOS,20110425,11.6000,11.6000,11.6000,11.6000,0
NOS,20110426,11.6000,11.6000,11.6000,11.6000,0
NOS,20110427,11.6000,11.6000,11.6000,11.6000,0
NOS,20110428,11.6000,11.6000,11.6000,11.6000,0
NOS,20110429,11.6000,11.6000,11.6000,11.6000,0
NOS,20110504,11.6000,11.6000,11.6000,11.6000,0
NOS,20110505,11.6000,11.6000,11.6000,11.6000,0
NOS,20110506,11.6000,11.6000,11.6000,11.6000,0
NOS,20110509,11.6000,11.6000,11.6000,11.6000,0
NOS,20110510,11.6000,11.6000,11.6000,11.6000,0
NOS,20110511,10.4000,10.4000,7.5000,10.4000,1200
NOS,20110512,9.2000,9.2000,9.2000,9.2000,100
NOS,20110513,9.2000,9.2000,9.2000,9.2000,0
NOS,20110516,9.2000,9.2000,9.2000,9.2000,0
NOS,20110517,9.2000,9.2000,9.2000,9.2000,0
NOS,20110518,9.2000,9.2000,9.2000,9.2000,0
NOS,20110519,9.2000,9.2000,9.2000,9.2000,0
NOS,20110520,9.2000,9.2000,9.2000,9.2000,0
NOS,20110523,9.2000,9.2000,9.2000,9.2000,0
NOS,20110524,9.2000,9.2000,9.2000,9.2000,0
NOS,20110525,9.2000,9.2000,9.2000,9.2000,0
NOS,20110526,9.2000,9.2000,9.2000,9.2000,0
NOS,20110527,9.2000,9.2000,9.2000,9.2000,0
NOS,20110530,9.2000,9.2000,9.2000,9.2000,0
NOS,20110531,9.2000,9.2000,9.2000,9.2000,0
NOS,20110601,9.2000,9.2000,9.2000,9.2000,0
NOS,20110602,9.2000,9.2000,9.2000,9.2000,0
NOS,20110603,9.5000,9.5000,9.5000,9.5000,100
NOS,20110606,9.5000,9.5000,9.5000,9.5000,0
NOS,20110607,9.5000,9.5000,9.5000,9.5000,0
NOS,20110608,9.5000,9.5000,9.5000,9.5000,0
NOS,20110609,9.5000,9.5000,9.5000,9.5000,0
NOS,20110610,9.5000,9.5000,9.5000,9.5000,0
NOS,20110613,9.5000,9.5000,9.5000,9.5000,0
NOS,20110614,9.5000,9.5000,9.5000,9.5000,0
NOS,20110615,9.5000,9.5000,9.5000,9.5000,0
NOS,20110616,9.5000,9.5000,9.5000,9.5000,0
NOS,20110617,9.5000,9.5000,9.5000,9.5000,0
NOS,20110620,9.5000,9.5000,9.5000,9.5000,0
NOS,20110621,9.5000,9.5000,9.5000,9.5000,0
NOS,20110622,9.5000,9.5000,9.5000,9.5000,0
NOS,20110623,9.5000,9.5000,9.5000,9.5000,0
NOS,20110624,8.6000,8.6000,8.6000,8.6000,100
NOS,20110627,7.8000,7.8000,7.8000,7.8000,100
NOS,20110628,8.3000,8.3000,7.1000,7.1000,500
NOS,20110629,7.1000,7.1000,7.1000,7.1000,200
NOS,20110630,6.4000,6.4000,6.4000,6.4000,100
NOS,20110701,5.8000,5.8000,5.8000,5.8000,100
NOS,20110704,5.8000,5.8000,5.8000,5.8000,0
NOS,20110705,5.3000,5.3000,5.3000,5.3000,300
NOS,20110706,4.8000,4.8000,4.8000,4.8000,200
NOS,20110707,4.4000,4.4000,4.4000,4.4000,100
NOS,20110708,4.0000,4.0000,4.0000,4.0000,100
NOS,20110711,3.6000,3.6000,3.6000,3.6000,3100
NOS,20110712,3.3000,3.3000,3.3000,3.3000,1300
NOS,20110713,3.3000,3.3000,3.3000,3.3000,0
NOS,20110714,3.3000,3.3000,3.3000,3.3000,0
NOS,20110715,3.3000,3.3000,3.3000,3.3000,0
NOS,20110718,3.3000,3.3000,3.3000,3.3000,0
NOS,20110719,3.3000,3.3000,3.3000,3.3000,0
NOS,20110720,3.6000,3.6000,3.1000,3.1000,300
NOS,20110721,3.6000,3.6000,3.6000,3.6000,100
NOS,20110722,3.3000,3.3000,3.3000,3.3000,200
NOS,20110725,3.0000,3.6000,3.0000,3.6000,600
NOS,20110726,3.5000,3.5000,3.0000,3.0000,200
NOS,20110727,3.3000,3.3000,3.3000,3.3000,0
NOS,20110728,3.0000,3.0000,3.0000,3.0000,17700
NOS,20110729,3.2000,3.2000,2.7000,2.7000,300
NOS,20110801,2.7000,2.7000,2.7000,2.7000,1200
NOS,20110802,2.9000,2.9000,2.5000,2.5000,300
NOS,20110803,2.6000,2.6000,2.6000,2.6000,700
NOS,20110804,2.7000,2.7000,2.7000,2.7000,200
NOS,20110805,2.8000,2.8000,2.8000,2.8000,200
NOS,20110808,2.8000,2.8000,2.8000,2.8000,300
NOS,20110809,2.8000,2.8000,2.8000,2.8000,100
NOS,20110810,2.8000,2.8000,2.7000,2.7000,500
NOS,20110811,2.8000,2.8000,2.8000,2.8000,500
NOS,20110812,3.0000,3.0000,2.8000,2.8000,1600
NOS,20110815,2.8000,3.0000,2.7000,2.7000,1300
NOS,20110816,3.0000,3.0000,3.0000,3.0000,100
NOS,20110817,3.0000,3.0000,3.0000,3.0000,0
NOS,20110818,2.8000,3.2000,2.8000,3.2000,800
NOS,20110819,3.1000,3.1000,3.1000,3.1000,0
NOS,20110822,2.8000,2.9000,2.8000,2.8000,3400
NOS,20110823,2.6000,2.6000,2.6000,2.6000,200
NOS,20110824,2.8000,2.8000,2.8000,2.8000,300
NOS,20110825,2.6000,3.0000,2.6000,3.0000,700
NOS,20110826,3.0000,3.0000,3.0000,3.0000,200
NOS,20110829,2.7000,3.2000,2.7000,3.2000,1900
NOS,20110830,3.1000,3.1000,3.0000,3.0000,1200
NOS,20110831,3.3000,3.3000,3.3000,3.3000,100
NOS,20110901,3.0000,3.0000,3.0000,3.0000,200
NOS,20110905,2.7000,2.7000,2.7000,2.7000,200
NOS,20110906,2.7000,2.7000,2.7000,2.7000,100
NOS,20110907,2.5000,2.9000,2.5000,2.9000,1800
NOS,20110908,3.1000,3.1000,3.1000,3.1000,100
NOS,20110909,2.9000,3.4000,2.9000,3.4000,400
NOS,20110912,3.3000,3.3000,3.3000,3.3000,0
NOS,20110913,3.6000,3.6000,3.6000,3.6000,100
NOS,20110914,3.6000,3.9000,3.6000,3.9000,2500
NOS,20110915,3.4000,3.9000,3.4000,3.9000,700
NOS,20110916,3.5000,3.5000,3.5000,3.5000,200
NOS,20110919,3.2000,3.2000,3.2000,3.2000,200
NOS,20110920,3.0000,3.0000,3.0000,3.0000,100
NOS,20110921,3.0000,3.0000,3.0000,3.0000,1000
NOS,20110922,2.8000,2.8000,2.8000,2.8000,100
NOS,20110923,2.8000,2.8000,2.8000,2.8000,0
NOS,20110926,2.8000,2.8000,2.8000,2.8000,0
NOS,20110927,2.9000,2.9000,2.9000,2.9000,100
NOS,20110928,2.9000,2.9000,2.9000,2.9000,0
NOS,20110929,2.9000,2.9000,2.9000,2.9000,0
NOS,20110930,2.9000,2.9000,2.9000,2.9000,0
NOS,20111003,2.7000,2.7000,2.7000,2.7000,200
NOS,20111004,2.7000,2.7000,2.7000,2.7000,0
NOS,20111005,2.9000,2.9000,2.9000,2.9000,100
NOS,20111006,2.9000,2.9000,2.9000,2.9000,0
NOS,20111007,2.9000,2.9000,2.9000,2.9000,0
NOS,20111010,2.7000,2.7000,2.7000,2.7000,200
NOS,20111011,2.9000,2.9000,2.9000,2.9000,100
NOS,20111012,3.1000,3.1000,3.1000,3.1000,100
NOS,20111013,3.4000,3.4000,3.1000,3.1000,2500
NOS,20111014,3.2000,3.2000,3.2000,3.2000,500
NOS,20111017,3.2000,3.2000,3.2000,3.2000,0
NOS,20111018,2.9000,2.9000,2.9000,2.9000,200
NOS,20111019,2.9000,2.9000,2.9000,2.9000,0
NOS,20111020,2.7000,2.7000,2.7000,2.7000,200
NOS,20111021,2.5000,2.5000,2.5000,2.5000,200
NOS,20111024,2.7000,2.7000,2.7000,2.7000,100
NOS,20111025,2.7000,2.7000,2.7000,2.7000,0
NOS,20111026,2.9000,2.9000,2.9000,2.9000,100
NOS,20111027,2.7000,2.7000,2.7000,2.7000,200
NOS,20111028,2.7000,2.7000,2.7000,2.7000,0
NOS,20111031,2.8000,2.8000,2.8000,2.8000,200
NOS,20111101,2.6000,2.6000,2.6000,2.6000,100
NOS,20111102,2.6000,2.6000,2.6000,2.6000,0
NOS,20111103,2.6000,2.6000,2.6000,2.6000,0
NOS,20111104,2.6000,2.6000,2.6000,2.6000,0
NOS,20111107,2.4000,2.4000,2.4000,2.4000,200
NOS,20111108,2.6000,2.6000,2.6000,2.6000,3000
NOS,20111109,2.6000,2.6000,2.6000,2.6000,0
NOS,20111110,2.4000,2.4000,2.4000,2.4000,100
NOS,20111111,2.2000,2.2000,2.2000,2.2000,100
NOS,20111114,2.0000,2.0000,2.0000,2.0000,200
NOS,20111115,1.8000,1.8000,1.8000,1.8000,200
NOS,20111116,1.8000,1.8000,1.8000,1.8000,0
NOS,20111117,1.8000,1.8000,1.8000,1.8000,0
NOS,20111118,1.8000,1.8000,1.8000,1.8000,0
NOS,20111121,1.9000,1.9000,1.9000,1.9000,2000
NOS,20111122,1.9000,1.9000,1.9000,1.9000,2000
NOS,20111123,1.9000,1.9000,1.9000,1.9000,0
NOS,20111124,2.0000,2.0000,2.0000,2.0000,100
NOS,20111125,2.0000,2.0000,2.0000,2.0000,2100
NOS,20111128,1.8000,1.8000,1.8000,1.8000,1200
NOS,20111129,1.9000,1.9000,1.9000,1.9000,6300
NOS,20111130,2.0000,2.0000,2.0000,2.0000,500
NOS,20111201,2.2000,2.2000,2.2000,2.2000,1000
NOS,20111202,2.1000,2.1000,2.1000,2.1000,4000
NOS,20111205,2.1000,2.1000,2.1000,2.1000,0
NOS,20111206,2.1000,2.1000,2.1000,2.1000,0
NOS,20111207,2.1000,2.1000,2.1000,2.1000,0
NOS,20111208,1.9000,2.2000,1.9000,2.2000,600
NOS,20111209,2.1000,2.1000,2.1000,2.1000,2500
NOS,20111212,2.1000,2.1000,2.1000,2.1000,0
NOS,20111213,2.1000,2.1000,2.1000,2.1000,0
NOS,20111214,2.1000,2.1000,2.1000,2.1000,0
NOS,20111215,1.9000,1.9000,1.9000,1.9000,100
NOS,20111216,1.9000,1.9000,1.9000,1.9000,0
NOS,20111219,1.9000,1.9000,1.9000,1.9000,0
NOS,20111220,1.9000,1.9000,1.9000,1.9000,0
NOS,20111221,1.9000,1.9000,1.9000,1.9000,0
NOS,20111222,1.9000,1.9000,1.9000,1.9000,0
NOS,20111223,1.8000,1.8000,1.8000,1.8000,100
NOS,20111226,1.8000,1.8000,1.8000,1.8000,0
NOS,20111227,1.9000,1.9000,1.9000,1.9000,3000
NOS,20111228,2.0000,2.0000,1.8000,1.8000,300
NOS,20111229,1.9000,1.9000,1.8000,1.8000,3000
NOS,20111230,1.9000,1.9000,1.9000,1.9000,1000
NOS,20120103,1.8000,1.8000,1.8000,1.8000,100
NOS,20120104,1.9000,1.9000,1.9000,1.9000,100
NOS,20120105,1.8000,1.8000,1.8000,1.8000,100
NOS,20120106,1.8000,1.8000,1.8000,1.8000,14400
NOS,20120109,1.9000,1.9000,1.9000,1.9000,10000
NOS,20120110,2.0000,2.0000,2.0000,2.0000,14900
NOS,20120111,2.1000,2.1000,2.0000,2.0000,15000
NOS,20120112,2.0000,2.0000,2.0000,2.0000,15200
NOS,20120113,2.0000,2.0000,2.0000,2.0000,0
NOS,20120116,2.0000,2.2000,1.8000,2.2000,21700
NOS,20120117,1.5000,1.5000,1.4000,1.5000,9300
NOS,20120118,1.5000,1.5000,1.3000,1.4000,31100
NOS,20120119,1.3000,1.4000,1.3000,1.4000,900
NOS,20120120,1.4000,1.4000,1.4000,1.4000,1300
NOS,20120130,1.4000,1.4000,1.4000,1.4000,900
NOS,20120131,1.4000,1.5000,1.4000,1.5000,9700
NOS,20120201,1.4000,1.6000,1.4000,1.6000,2000
NOS,20120202,1.7000,1.7000,1.6000,1.7000,7500
NOS,20120203,1.6000,1.8000,1.6000,1.8000,6100
NOS,20120206,1.9000,1.9000,1.9000,1.9000,1400
NOS,20120207,1.9000,2.0000,1.9000,1.9000,2800
NOS,20120208,2.0000,2.0000,2.0000,2.0000,6100
NOS,20120209,2.0000,2.2000,1.9000,2.2000,1400
NOS,20120210,1.9000,2.2000,1.9000,2.2000,6700
NOS,20120213,2.2000,2.2000,2.2000,2.2000,1800
NOS,20120214,2.4000,2.4000,2.4000,2.4000,0
NOS,20120215,2.4000,2.4000,2.4000,2.4000,10300
NOS,20120216,2.4000,2.4000,2.4000,2.4000,0
NOS,20120217,2.2000,2.3000,2.2000,2.3000,700
NOS,20120220,2.4000,2.5000,2.4000,2.5000,300
NOS,20120221,2.5000,2.5000,2.5000,2.5000,0
NOS,20120222,2.5000,2.7000,2.5000,2.7000,1200
NOS,20120223,2.5000,2.5000,2.5000,2.5000,0
NOS,20120224,2.4000,2.4000,2.4000,2.4000,5000
NOS,20120227,2.4000,2.4000,2.3000,2.3000,14500
NOS,20120228,2.6000,2.6000,2.4000,2.4000,7800
NOS,20120229,2.4000,2.4000,2.4000,2.4000,13800
NOS,20120301,2.4000,2.4000,2.4000,2.4000,5700
NOS,20120302,2.5000,2.6000,2.5000,2.6000,10000
NOS,20120305,2.8000,2.8000,2.8000,2.8000,2600
NOS,20120306,3.0000,3.0000,2.9000,2.9000,4800
NOS,20120307,3.0000,3.0000,3.0000,3.0000,300
NOS,20120308,2.8000,2.8000,2.8000,2.8000,700
NOS,20120309,2.8000,2.8000,2.8000,2.8000,0
NOS,20120312,2.8000,2.8000,2.8000,2.8000,0
NOS,20120313,2.8000,3.0000,2.8000,3.0000,7200
NOS,20120314,3.1000,3.1000,2.9000,2.9000,3800
NOS,20120315,3.3000,3.3000,3.3000,3.3000,1000
NOS,20120316,3.3000,3.3000,3.3000,3.3000,1600
NOS,20120319,3.5000,3.5000,3.5000,3.5000,1000
