<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NPH,20151116,12.0000,12.0000,12.0000,12.0000,0
NPH,20151117,12.0000,12.0000,12.0000,12.0000,0
NPH,20151118,12.0000,12.0000,12.0000,12.0000,0
NPH,20151119,12.0000,12.0000,12.0000,12.0000,0
NPH,20151120,12.0000,12.0000,12.0000,12.0000,0
NPH,20151123,12.0000,12.0000,12.0000,12.0000,0
NPH,20151124,12.0000,12.0000,12.0000,12.0000,0
NPH,20151125,12.0000,12.0000,12.0000,12.0000,0
NPH,20151126,12.0000,12.0000,12.0000,12.0000,0
NPH,20151127,12.0000,12.0000,12.0000,12.0000,0
NPH,20151130,12.0000,12.0000,12.0000,12.0000,0
NPH,20151201,12.0000,12.0000,12.0000,12.0000,0
NPH,20151202,12.0000,12.0000,12.0000,12.0000,0
NPH,20151203,12.0000,12.0000,12.0000,12.0000,0
NPH,20151204,12.0000,12.0000,12.0000,12.0000,0
NPH,20151207,12.0000,12.0000,12.0000,12.0000,0
NPH,20151208,12.0000,12.0000,12.0000,12.0000,0
NPH,20151209,12.0000,12.0000,12.0000,12.0000,0
NPH,20151210,12.0000,12.0000,12.0000,12.0000,0
NPH,20151211,12.0000,12.0000,12.0000,12.0000,0
NPH,20151214,12.0000,12.0000,12.0000,12.0000,0
NPH,20151215,12.0000,12.0000,12.0000,12.0000,0
NPH,20151216,11.5000,11.5000,11.5000,11.5000,100
NPH,20151217,11.5000,11.5000,11.5000,11.5000,0
NPH,20151218,11.5000,11.5000,11.5000,11.5000,0
NPH,20151221,11.5000,11.5000,11.5000,11.5000,0
NPH,20151222,11.5000,11.5000,11.5000,11.5000,0
NPH,20151223,11.5000,11.5000,11.5000,11.5000,0
NPH,20151224,11.5000,11.5000,11.5000,11.5000,0
NPH,20151225,11.5000,11.5000,11.5000,11.5000,0
NPH,20151228,11.5000,11.5000,11.5000,11.5000,0
NPH,20151229,11.5000,11.5000,11.5000,11.5000,0
NPH,20151230,11.5000,11.5000,11.5000,11.5000,0
NPH,20151231,11.5000,11.5000,11.5000,11.5000,0
NPH,20160104,11.5000,11.5000,11.5000,11.5000,0
NPH,20160105,11.5000,11.5000,11.5000,11.5000,0
NPH,20160106,11.5000,11.5000,11.5000,11.5000,0
NPH,20160107,11.5000,11.5000,11.5000,11.5000,0
NPH,20160108,11.5000,11.5000,11.5000,11.5000,0
NPH,20160111,11.5000,11.5000,11.5000,11.5000,0
NPH,20160112,11.5000,11.5000,11.5000,11.5000,0
NPH,20160113,10.0000,10.0000,10.0000,10.0000,100
NPH,20160114,10.0000,10.0000,10.0000,10.0000,0
NPH,20160115,10.0000,10.0000,10.0000,10.0000,0
NPH,20160118,10.0000,10.0000,10.0000,10.0000,0
NPH,20160119,10.0000,10.0000,10.0000,10.0000,0
NPH,20160120,10.0000,10.0000,10.0000,10.0000,0
NPH,20160121,10.0000,10.0000,10.0000,10.0000,0
NPH,20160122,10.0000,10.0000,10.0000,10.0000,0
NPH,20160125,10.0000,10.0000,10.0000,10.0000,0
NPH,20160126,10.0000,10.0000,10.0000,10.0000,0
NPH,20160127,10.0000,10.0000,10.0000,10.0000,0
NPH,20160128,10.0000,10.0000,10.0000,10.0000,0
NPH,20160129,10.0000,10.0000,10.0000,10.0000,0
NPH,20160201,10.0000,10.0000,10.0000,10.0000,0
NPH,20160202,10.0000,10.0000,10.0000,10.0000,0
NPH,20160203,10.0000,10.0000,10.0000,10.0000,0
NPH,20160204,10.0000,10.0000,10.0000,10.0000,0
NPH,20160205,10.0000,10.0000,10.0000,10.0000,0
NPH,20160215,10.0000,10.0000,10.0000,10.0000,0
NPH,20160216,10.0000,10.0000,10.0000,10.0000,0
NPH,20160217,10.0000,10.0000,10.0000,10.0000,100
NPH,20160218,10.0000,10.0000,10.0000,10.0000,0
NPH,20160219,10.0000,10.0000,10.0000,10.0000,0
NPH,20160222,10.0000,10.0000,10.0000,10.0000,0
NPH,20160223,10.0000,10.0000,10.0000,10.0000,100
NPH,20160224,10.0000,10.0000,10.0000,10.0000,0
NPH,20160225,10.0000,10.0000,10.0000,10.0000,0
NPH,20160226,10.0000,10.0000,10.0000,10.0000,0
NPH,20160229,10.0000,10.0000,10.0000,10.0000,0
NPH,20160301,10.0000,10.0000,10.0000,10.0000,0
NPH,20160302,10.0000,10.0000,10.0000,10.0000,0
NPH,20160303,10.0000,10.0000,10.0000,10.0000,0
NPH,20160304,10.0000,10.0000,10.0000,10.0000,0
NPH,20160307,10.0000,10.0000,10.0000,10.0000,0
NPH,20160308,10.0000,10.0000,10.0000,10.0000,0
NPH,20160309,10.0000,10.0000,10.0000,10.0000,0
NPH,20160310,10.0000,10.0000,10.0000,10.0000,0
NPH,20160311,10.0000,10.0000,10.0000,10.0000,0
NPH,20160314,10.0000,10.0000,10.0000,10.0000,0
NPH,20160315,10.0000,10.0000,10.0000,10.0000,0
NPH,20160316,10.0000,10.0000,10.0000,10.0000,0
NPH,20160317,10.0000,10.0000,10.0000,10.0000,0
NPH,20160318,10.0000,10.0000,10.0000,10.0000,0
NPH,20160321,10.0000,10.0000,10.0000,10.0000,0
NPH,20160322,10.0000,10.0000,10.0000,10.0000,0
NPH,20160323,10.0000,10.0000,10.0000,10.0000,0
NPH,20160324,10.0000,10.0000,10.0000,10.0000,0
NPH,20160325,10.0000,10.0000,10.0000,10.0000,0
NPH,20160328,10.0000,10.0000,10.0000,10.0000,0
NPH,20160329,10.0000,10.0000,10.0000,10.0000,0
NPH,20160330,10.0000,10.0000,10.0000,10.0000,0
NPH,20160331,10.0000,10.0000,10.0000,10.0000,0
NPH,20160401,10.0000,10.0000,10.0000,10.0000,0
NPH,20160404,10.0000,10.0000,10.0000,10.0000,0
NPH,20160405,10.0000,10.0000,10.0000,10.0000,0
NPH,20160406,10.0000,10.0000,10.0000,10.0000,0
NPH,20160407,10.0000,10.0000,10.0000,10.0000,0
NPH,20160408,10.0000,10.0000,10.0000,10.0000,0
NPH,20160411,10.0000,10.0000,10.0000,10.0000,0
NPH,20160412,10.0000,10.0000,10.0000,10.0000,0
NPH,20160413,10.0000,10.0000,10.0000,10.0000,0
NPH,20160414,10.0000,10.0000,10.0000,10.0000,0
NPH,20160415,10.0000,10.0000,10.0000,10.0000,100
NPH,20160419,10.0000,10.0000,10.0000,10.0000,0
NPH,20160420,10.0000,10.0000,10.0000,10.0000,0
NPH,20160421,10.0000,10.0000,10.0000,10.0000,0
NPH,20160422,10.0000,10.0000,10.0000,10.0000,0
NPH,20160425,10.0000,10.0000,10.0000,10.0000,0
NPH,20160426,10.0000,10.0000,10.0000,10.0000,0
NPH,20160427,10.0000,10.0000,10.0000,10.0000,0
NPH,20160428,10.0000,10.0000,10.0000,10.0000,0
NPH,20160429,10.0000,10.0000,10.0000,10.0000,0
NPH,20160504,10.0000,10.0000,10.0000,10.0000,0
NPH,20160505,10.0000,10.0000,10.0000,10.0000,0
NPH,20160506,10.0000,10.0000,10.0000,10.0000,0
NPH,20160509,10.0000,10.0000,10.0000,10.0000,0
NPH,20160510,10.5000,10.5000,10.5000,10.5000,100
NPH,20160511,10.5000,10.5000,10.5000,10.5000,0
NPH,20160512,10.5000,10.5000,10.5000,10.5000,0
NPH,20160513,10.5000,10.5000,10.5000,10.5000,0
NPH,20160516,10.5000,10.5000,10.5000,10.5000,0
NPH,20160517,10.5000,10.5000,10.5000,10.5000,0
NPH,20160518,10.5000,10.5000,10.5000,10.5000,0
NPH,20160519,10.5000,10.5000,10.5000,10.5000,0
NPH,20160520,10.5000,10.5000,10.5000,10.5000,0
NPH,20160523,10.5000,10.5000,10.5000,10.5000,0
NPH,20160524,10.5000,10.5000,10.5000,10.5000,0
NPH,20160525,10.5000,10.5000,10.5000,10.5000,0
NPH,20160526,10.5000,10.5000,10.5000,10.5000,0
NPH,20160527,10.5000,10.5000,10.5000,10.5000,0
NPH,20160530,10.5000,10.5000,10.5000,10.5000,0
NPH,20160531,10.5000,10.5000,10.5000,10.5000,0
NPH,20160601,10.5000,10.5000,10.5000,10.5000,0
NPH,20160602,10.5000,10.5000,10.5000,10.5000,0
NPH,20160603,10.5000,10.5000,10.5000,10.5000,0
NPH,20160606,10.5000,10.5000,10.5000,10.5000,0
NPH,20160607,10.5000,10.5000,10.5000,10.5000,0
NPH,20160608,10.5000,10.5000,10.5000,10.5000,0
NPH,20160609,10.5000,10.5000,10.5000,10.5000,0
NPH,20160610,10.5000,10.5000,10.5000,10.5000,0
NPH,20160613,10.5000,10.5000,10.5000,10.5000,0
NPH,20160614,10.5000,10.5000,10.5000,10.5000,0
NPH,20160615,10.5000,10.5000,10.5000,10.5000,0
NPH,20160616,10.5000,10.5000,10.5000,10.5000,0
NPH,20160617,10.5000,10.5000,10.5000,10.5000,0
NPH,20160620,10.5000,10.5000,10.5000,10.5000,0
NPH,20160621,10.5000,10.5000,10.5000,10.5000,0
NPH,20160622,10.5000,10.5000,10.5000,10.5000,0
NPH,20160623,10.5000,10.5000,10.5000,10.5000,0
NPH,20160624,10.5000,10.5000,10.5000,10.5000,21500
NPH,20160627,10.5000,10.5000,10.5000,10.5000,0
NPH,20160628,10.5000,10.5000,10.5000,10.5000,0
NPH,20160629,10.5000,10.5000,10.5000,10.5000,0
NPH,20160630,10.5000,10.5000,10.5000,10.5000,0
NPH,20160701,10.5000,10.5000,10.5000,10.5000,0
NPH,20160704,10.5000,10.5000,10.5000,10.5000,0
NPH,20160705,10.5000,10.5000,10.5000,10.5000,0
NPH,20160706,10.5000,10.5000,10.5000,10.5000,0
NPH,20160707,10.5000,10.5000,10.5000,10.5000,100
NPH,20160708,10.5000,10.5000,10.5000,10.5000,0
NPH,20160711,10.5000,10.5000,10.5000,10.5000,0
NPH,20160712,10.5000,10.5000,10.5000,10.5000,0
NPH,20160713,10.5000,10.5000,10.5000,10.5000,0
NPH,20160714,10.5000,10.5000,10.5000,10.5000,0
NPH,20160715,10.5000,10.5000,10.5000,10.5000,0
NPH,20160718,10.5000,10.5000,10.5000,10.5000,0
NPH,20160719,10.5000,10.5000,10.5000,10.5000,0
NPH,20160720,10.5000,10.5000,10.5000,10.5000,0
NPH,20160721,10.5000,10.5000,10.5000,10.5000,0
NPH,20160722,10.5000,10.5000,10.5000,10.5000,0
NPH,20160725,10.5000,10.5000,10.5000,10.5000,0
NPH,20160726,10.5000,10.5000,10.5000,10.5000,0
NPH,20160727,10.5000,10.5000,10.5000,10.5000,0
NPH,20160728,10.5000,10.5000,10.5000,10.5000,0
NPH,20160729,10.5000,10.5000,10.5000,10.5000,0
NPH,20160801,10.5000,10.5000,10.5000,10.5000,0
NPH,20160802,10.5000,10.5000,10.5000,10.5000,0
NPH,20160803,10.5000,10.5000,10.5000,10.5000,0
NPH,20160804,10.5000,10.5000,10.5000,10.5000,0
NPH,20160805,10.5000,10.5000,10.5000,10.5000,0
NPH,20160808,10.5000,10.5000,10.5000,10.5000,0
NPH,20160809,10.5000,10.5000,10.5000,10.5000,0
NPH,20160810,10.5000,10.5000,10.5000,10.5000,0
NPH,20160811,10.5000,10.5000,10.5000,10.5000,0
