<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NQT,20161209,10.0000,10.0000,10.0000,10.0000,0
NQT,20161212,10.0000,10.0000,10.0000,10.0000,0
NQT,20161213,10.0000,10.0000,10.0000,10.0000,0
NQT,20161214,10.0000,10.0000,10.0000,10.0000,0
NQT,20161215,10.0000,10.0000,10.0000,10.0000,0
NQT,20161216,10.0000,10.0000,10.0000,10.0000,0
NQT,20161219,10.0000,10.0000,10.0000,10.0000,0
NQT,20161220,10.0000,10.0000,10.0000,10.0000,0
NQT,20161221,10.0000,10.0000,10.0000,10.0000,0
NQT,20161222,10.0000,10.0000,10.0000,10.0000,0
NQT,20161223,10.0000,10.0000,10.0000,10.0000,0
NQT,20161226,10.0000,10.0000,10.0000,10.0000,0
NQT,20161227,10.0000,10.0000,10.0000,10.0000,0
NQT,20161228,10.0000,10.0000,10.0000,10.0000,0
NQT,20161229,10.0000,10.0000,10.0000,10.0000,0
NQT,20161230,10.0000,10.0000,10.0000,10.0000,0
NQT,20170103,10.0000,10.0000,10.0000,10.0000,0
NQT,20170104,10.0000,10.0000,10.0000,10.0000,0
NQT,20170105,10.0000,10.0000,10.0000,10.0000,0
NQT,20170106,10.0000,10.0000,10.0000,10.0000,0
NQT,20170109,10.0000,10.0000,10.0000,10.0000,0
NQT,20170110,10.0000,10.0000,10.0000,10.0000,0
NQT,20170111,10.0000,10.0000,10.0000,10.0000,0
NQT,20170112,10.0000,10.0000,10.0000,10.0000,0
NQT,20170113,10.0000,10.0000,10.0000,10.0000,0
NQT,20170116,10.0000,10.0000,10.0000,10.0000,0
NQT,20170117,10.0000,10.0000,10.0000,10.0000,0
NQT,20170118,10.0000,10.0000,10.0000,10.0000,0
NQT,20170119,10.0000,10.0000,10.0000,10.0000,0
NQT,20170120,10.0000,10.0000,10.0000,10.0000,0
NQT,20170123,10.0000,10.0000,10.0000,10.0000,0
NQT,20170124,10.0000,10.0000,10.0000,10.0000,0
NQT,20170125,10.0000,10.0000,10.0000,10.0000,0
NQT,20170202,10.0000,10.0000,10.0000,10.0000,0
NQT,20170203,10.0000,10.0000,10.0000,10.0000,0
NQT,20170206,10.0000,10.0000,10.0000,10.0000,0
NQT,20170207,10.0000,10.0000,10.0000,10.0000,0
NQT,20170208,10.0000,10.0000,10.0000,10.0000,0
NQT,20170209,10.0000,10.0000,10.0000,10.0000,0
NQT,20170210,10.0000,10.0000,10.0000,10.0000,0
NQT,20170213,10.0000,10.0000,10.0000,10.0000,0
NQT,20170214,10.0000,10.0000,10.0000,10.0000,0
NQT,20170215,10.0000,10.0000,10.0000,10.0000,0
NQT,20170216,10.0000,10.0000,10.0000,10.0000,0
NQT,20170217,10.0000,10.0000,10.0000,10.0000,0
NQT,20170220,10.0000,10.0000,10.0000,10.0000,0
NQT,20170221,10.0000,10.0000,10.0000,10.0000,0
NQT,20170222,10.0000,10.0000,10.0000,10.0000,0
NQT,20170223,10.0000,10.0000,10.0000,10.0000,0
NQT,20170224,10.0000,10.0000,10.0000,10.0000,0
NQT,20170227,10.0000,10.0000,10.0000,10.0000,0
NQT,20170228,10.0000,10.0000,10.0000,10.0000,0
NQT,20170301,10.0000,10.0000,10.0000,10.0000,0
NQT,20170302,10.0000,10.0000,10.0000,10.0000,0
NQT,20170303,10.0000,10.0000,10.0000,10.0000,0
NQT,20170306,10.0000,10.0000,10.0000,10.0000,0
NQT,20170307,10.0000,10.0000,10.0000,10.0000,0
NQT,20170308,10.0000,10.0000,10.0000,10.0000,0
NQT,20170309,10.0000,10.0000,10.0000,10.0000,0
NQT,20170310,10.0000,10.0000,10.0000,10.0000,0
NQT,20170313,10.0000,10.0000,10.0000,10.0000,0
NQT,20170314,10.0000,10.0000,10.0000,10.0000,0
NQT,20170315,10.0000,10.0000,10.0000,10.0000,0
NQT,20170316,10.0000,10.0000,10.0000,10.0000,0
NQT,20170317,10.0000,10.0000,10.0000,10.0000,0
NQT,20170320,10.0000,10.0000,10.0000,10.0000,0
NQT,20170321,10.0000,10.0000,10.0000,10.0000,0
NQT,20170322,10.0000,10.0000,10.0000,10.0000,0
NQT,20170323,10.0000,10.0000,10.0000,10.0000,0
NQT,20170324,10.0000,10.0000,10.0000,10.0000,0
NQT,20170327,10.0000,10.0000,10.0000,10.0000,0
NQT,20170328,10.0000,10.0000,10.0000,10.0000,0
NQT,20170329,10.0000,10.0000,10.0000,10.0000,0
NQT,20170330,10.0000,10.0000,10.0000,10.0000,0
NQT,20170331,10.0000,10.0000,10.0000,10.0000,0
NQT,20170403,10.0000,10.0000,10.0000,10.0000,0
NQT,20170404,10.0000,10.0000,10.0000,10.0000,0
NQT,20170405,10.0000,10.0000,10.0000,10.0000,0
NQT,20170407,10.0000,10.0000,10.0000,10.0000,0
NQT,20170410,10.0000,10.0000,10.0000,10.0000,0
NQT,20170411,10.0000,10.0000,10.0000,10.0000,0
NQT,20170412,10.0000,10.0000,10.0000,10.0000,0
NQT,20170413,10.0000,10.0000,10.0000,10.0000,0
NQT,20170414,10.0000,10.0000,10.0000,10.0000,0
NQT,20170417,10.0000,10.0000,10.0000,10.0000,0
NQT,20170418,10.0000,10.0000,10.0000,10.0000,0
NQT,20170419,10.0000,10.0000,10.0000,10.0000,0
NQT,20170420,10.0000,10.0000,10.0000,10.0000,0
NQT,20170421,10.0000,10.0000,10.0000,10.0000,0
NQT,20170424,10.0000,10.0000,10.0000,10.0000,0
NQT,20170425,10.0000,10.0000,10.0000,10.0000,0
NQT,20170426,10.0000,10.0000,10.0000,10.0000,0
NQT,20170427,10.0000,10.0000,10.0000,10.0000,0
NQT,20170428,10.0000,10.0000,10.0000,10.0000,0
NQT,20170503,10.0000,10.0000,10.0000,10.0000,0
NQT,20170504,10.0000,10.0000,10.0000,10.0000,0
NQT,20170505,10.0000,10.0000,10.0000,10.0000,0
NQT,20170508,10.0000,10.0000,10.0000,10.0000,0
NQT,20170509,10.0000,10.0000,10.0000,10.0000,0
NQT,20170510,10.0000,10.0000,10.0000,10.0000,0
NQT,20170511,10.0000,10.0000,10.0000,10.0000,0
NQT,20170512,10.0000,10.0000,10.0000,10.0000,0
NQT,20170515,10.0000,10.0000,10.0000,10.0000,0
NQT,20170516,10.0000,10.0000,10.0000,10.0000,0
NQT,20170517,10.0000,10.0000,10.0000,10.0000,0
NQT,20170518,10.0000,10.0000,10.0000,10.0000,0
NQT,20170519,10.0000,10.0000,10.0000,10.0000,0
NQT,20170522,7.7519,7.7519,7.7519,7.7519,0
NQT,20170523,7.7519,7.7519,7.7519,7.7519,0
NQT,20170524,7.7519,7.7519,7.7519,7.7519,0
NQT,20170525,7.7519,7.7519,7.7519,7.7519,0
NQT,20170526,7.7519,7.7519,7.7519,7.7519,0
NQT,20170529,7.7519,7.7519,7.7519,7.7519,0
NQT,20170530,7.7519,7.7519,7.7519,7.7519,0
NQT,20170531,7.7519,7.7519,7.7519,7.7519,0
NQT,20170601,7.7519,7.7519,7.7519,7.7519,0
NQT,20170602,7.7519,7.7519,7.7519,7.7519,0
NQT,20170605,7.7519,7.7519,7.7519,7.7519,0
NQT,20170606,7.7519,7.7519,7.7519,7.7519,0
NQT,20170607,7.7519,7.7519,7.7519,7.7519,0
NQT,20170608,7.7519,7.7519,7.7519,7.7519,0
NQT,20170609,7.7519,7.7519,7.7519,7.7519,0
NQT,20170612,7.7519,7.7519,7.7519,7.7519,0
NQT,20170613,7.7519,7.7519,7.7519,7.7519,0
NQT,20170614,7.7519,7.7519,7.7519,7.7519,0
NQT,20170615,7.7519,7.7519,7.7519,7.7519,0
NQT,20170616,7.7519,7.7519,7.7519,7.7519,0
NQT,20170619,7.7519,7.7519,7.7519,7.7519,0
NQT,20170620,7.7519,7.7519,7.7519,7.7519,0
NQT,20170621,7.7519,7.7519,7.7519,7.7519,0
NQT,20170622,7.7519,7.7519,7.7519,7.7519,0
NQT,20170623,7.7519,7.7519,7.7519,7.7519,0
NQT,20170626,7.7519,7.7519,7.7519,7.7519,0
NQT,20170627,7.7519,7.7519,7.7519,7.7519,0
NQT,20170628,7.7519,7.7519,7.7519,7.7519,0
NQT,20170629,7.7519,7.7519,7.7519,7.7519,0
NQT,20170630,7.7519,7.7519,7.7519,7.7519,0
NQT,20170703,7.7519,7.7519,7.7519,7.7519,0
NQT,20170704,7.7519,7.7519,7.7519,7.7519,0
NQT,20170705,7.7519,7.7519,7.7519,7.7519,0
NQT,20170706,7.7519,7.7519,7.7519,7.7519,0
NQT,20170707,7.7519,7.7519,7.7519,7.7519,0
NQT,20170710,7.7519,7.7519,7.7519,7.7519,0
NQT,20170711,7.7519,7.7519,7.7519,7.7519,0
NQT,20170712,7.7519,7.7519,7.7519,7.7519,0
NQT,20170713,7.7519,7.7519,7.7519,7.7519,0
NQT,20170714,7.7519,7.7519,7.7519,7.7519,0
NQT,20170717,7.7519,7.7519,7.7519,7.7519,0
NQT,20170718,7.7519,7.7519,7.7519,7.7519,0
NQT,20170719,7.7519,7.7519,7.7519,7.7519,0
NQT,20170720,7.7519,7.7519,7.7519,7.7519,0
NQT,20170721,7.7519,7.7519,7.7519,7.7519,0
NQT,20170724,7.7519,7.7519,7.7519,7.7519,0
NQT,20170725,7.7519,7.7519,7.7519,7.7519,0
NQT,20170726,7.7519,7.7519,7.7519,7.7519,0
NQT,20170727,7.7519,7.7519,7.7519,7.7519,0
NQT,20170728,7.7519,7.7519,7.7519,7.7519,0
NQT,20170731,7.7519,7.7519,7.7519,7.7519,0
NQT,20170801,7.7519,7.7519,7.7519,7.7519,0
NQT,20170802,7.7519,7.7519,7.7519,7.7519,0
NQT,20170803,7.7519,7.7519,7.7519,7.7519,0
NQT,20170804,7.7519,7.7519,7.7519,7.7519,0
NQT,20170807,7.7519,7.7519,7.7519,7.7519,0
NQT,20170808,7.7519,7.7519,7.7519,7.7519,0
NQT,20170809,7.7519,7.7519,7.7519,7.7519,0
NQT,20170810,7.7519,7.7519,7.7519,7.7519,0
NQT,20170811,7.7519,7.7519,7.7519,7.7519,0
NQT,20170814,7.7519,7.7519,7.7519,7.7519,0
NQT,20170815,7.7519,7.7519,7.7519,7.7519,0
NQT,20170816,7.7519,7.7519,7.7519,7.7519,0
NQT,20170817,6.7929,6.7929,6.7929,6.7929,2200
NQT,20170818,6.7929,6.7929,6.7929,6.7929,0
NQT,20170821,6.7929,6.7929,6.7929,6.7929,0
NQT,20170822,6.7929,6.7929,6.7929,6.7929,0
NQT,20170823,6.7929,6.7929,6.7929,6.7929,0
NQT,20170824,6.7929,6.7929,6.7929,6.7929,0
NQT,20170825,6.7929,6.7929,6.7929,6.7929,0
NQT,20170828,6.7929,6.7929,6.7929,6.7929,0
NQT,20170829,6.7929,6.7929,6.7929,6.7929,0
NQT,20170830,6.7929,6.7929,6.7929,6.7929,0
NQT,20170831,6.7929,6.7929,6.7929,6.7929,0
NQT,20170901,6.7929,6.7929,6.7929,6.7929,0
NQT,20170905,6.7929,6.7929,6.7929,6.7929,0
NQT,20170906,6.7929,6.7929,6.7929,6.7929,0
NQT,20170907,6.7929,6.7929,6.7929,6.7929,0
NQT,20170908,6.7929,6.7929,6.7929,6.7929,0
NQT,20170911,6.7929,6.7929,6.7929,6.7929,0
NQT,20170912,6.7929,6.7929,6.7929,6.7929,0
NQT,20170913,6.7929,6.7929,6.7929,6.7929,0
NQT,20170914,6.7929,6.7929,6.7929,6.7929,0
NQT,20170915,6.7929,6.7929,6.7929,6.7929,0
NQT,20170918,6.7929,6.7929,6.7929,6.7929,0
NQT,20170919,6.7929,6.7929,6.7929,6.7929,0
NQT,20170920,6.7929,6.7929,6.7929,6.7929,0
