<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NS3,20161226,13.0000,13.0000,13.0000,13.0000,0
NS3,20161227,13.0000,13.0000,13.0000,13.0000,0
NS3,20161228,13.0000,13.0000,13.0000,13.0000,0
NS3,20161229,13.0000,13.0000,13.0000,13.0000,0
NS3,20161230,18.2000,18.2000,18.2000,18.2000,100
NS3,20170103,18.2000,18.2000,18.2000,18.2000,0
NS3,20170104,18.2000,18.2000,18.2000,18.2000,0
NS3,20170105,20.9000,20.9000,20.9000,20.9000,1000
NS3,20170106,21.5000,24.0000,21.5000,24.0000,300
NS3,20170109,26.6000,26.6000,23.0000,26.6000,1900
NS3,20170110,28.4000,28.4000,24.5000,28.4000,1500
NS3,20170111,31.1000,31.1000,31.1000,31.1000,300
NS3,20170112,31.1000,31.1000,31.1000,31.1000,0
NS3,20170113,35.7000,35.7000,35.7000,35.7000,100
NS3,20170116,30.4000,30.4000,30.4000,30.4000,600
NS3,20170117,25.9000,25.9000,25.9000,25.9000,100
NS3,20170118,22.1000,29.6000,22.1000,22.1000,600
NS3,20170119,26.9000,26.9000,19.9000,26.9000,300
NS3,20170120,21.0000,27.9000,21.0000,27.9000,200
NS3,20170123,20.9000,20.9000,20.9000,20.9000,200
NS3,20170124,17.9000,23.6000,17.9000,23.6000,600
NS3,20170125,21.7000,21.7000,21.7000,21.7000,100
NS3,20170202,21.7000,24.9000,18.5000,21.5000,2000
NS3,20170203,23.8000,23.8000,23.8000,23.8000,100
NS3,20170206,26.9000,26.9000,20.3000,20.3000,2100
NS3,20170207,21.9000,21.9000,19.0000,21.8000,700
NS3,20170208,21.3000,21.3000,19.8000,20.8000,400
NS3,20170209,20.4000,20.4000,20.4000,20.4000,0
NS3,20170210,18.1000,20.3000,17.8000,17.8000,2600
NS3,20170213,17.7000,17.8000,17.7000,17.8000,600
NS3,20170214,17.1000,17.7000,17.1000,17.7000,1700
NS3,20170215,19.3000,19.3000,19.3000,19.3000,100
NS3,20170216,17.8000,17.8000,17.8000,17.8000,100
NS3,20170217,19.3000,19.3000,19.3000,19.3000,100
NS3,20170220,22.0000,22.0000,22.0000,22.0000,100
NS3,20170221,19.0000,21.8000,18.7000,18.7000,700
NS3,20170222,19.6000,19.6000,19.6000,19.6000,0
NS3,20170223,16.8000,20.3000,16.8000,17.8000,300
NS3,20170224,18.3000,18.3000,18.3000,18.3000,0
NS3,20170227,20.3000,20.3000,20.3000,20.3000,100
NS3,20170228,20.3000,20.3000,20.3000,20.3000,0
NS3,20170301,20.3000,20.3000,20.3000,20.3000,0
NS3,20170302,20.3000,20.3000,20.3000,20.3000,0
NS3,20170303,23.2000,23.2000,23.2000,23.2000,100
NS3,20170306,19.8000,19.8000,19.8000,19.8000,1100
NS3,20170307,19.8000,19.8000,19.8000,19.8000,0
NS3,20170308,22.5000,22.5000,22.5000,22.5000,100
NS3,20170309,19.2000,25.1000,19.2000,21.0000,5600
NS3,20170310,21.9000,21.9000,21.9000,21.9000,100
NS3,20170313,21.9000,21.9000,21.9000,21.9000,0
NS3,20170314,22.9000,22.9000,18.7000,21.9000,300
NS3,20170315,21.2000,21.2000,21.2000,21.2000,0
NS3,20170316,21.2000,21.2000,21.2000,21.2000,0
NS3,20170317,21.2000,21.2000,21.2000,21.2000,0
NS3,20170320,19.2000,19.7000,19.2000,19.7000,1600
NS3,20170321,22.0000,22.0000,19.0000,19.0000,200
NS3,20170322,19.1000,23.4000,19.0000,20.4000,1100
NS3,20170323,22.9000,22.9000,19.2000,19.2000,200
NS3,20170324,21.1000,21.1000,21.1000,21.1000,0
NS3,20170327,24.1000,24.1000,24.1000,24.1000,100
NS3,20170328,20.5000,20.5000,20.5000,20.5000,100
NS3,20170329,20.5000,20.5000,20.5000,20.5000,0
NS3,20170330,20.9000,20.9000,19.3000,20.7000,300
NS3,20170331,20.9000,20.9000,20.0000,20.0000,1100
NS3,20170403,20.9000,20.9000,20.9000,20.9000,100
NS3,20170404,23.9000,23.9000,20.0000,20.0000,5500
NS3,20170405,21.9000,21.9000,21.9000,21.9000,100
NS3,20170407,21.9000,21.9000,21.9000,21.9000,0
NS3,20170410,20.0000,21.9000,19.5000,19.5000,1200
NS3,20170411,22.9000,22.9000,20.0000,20.0000,2100
NS3,20170412,21.9000,21.9000,21.9000,21.9000,100
NS3,20170413,21.9000,21.9000,21.9000,21.9000,0
NS3,20170414,24.9000,24.9000,20.0000,20.0000,500
NS3,20170417,24.9000,24.9000,20.9000,20.9000,2000
NS3,20170418,21.3000,21.3000,21.3000,21.3000,0
NS3,20170419,21.3000,21.3000,21.3000,21.3000,0
NS3,20170420,21.0000,21.0000,21.0000,21.0000,2200
NS3,20170421,21.0000,21.0000,21.0000,21.0000,0
NS3,20170424,21.0000,21.0000,21.0000,21.0000,0
