<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NSG,20160519,15.4000,15.4000,15.4000,15.4000,26000
NSG,20160520,15.4000,15.4000,15.4000,15.4000,0
NSG,20160523,17.7000,17.7000,17.7000,17.7000,12000
NSG,20160524,17.7000,17.7000,15.1000,15.1000,2910
NSG,20160525,14.5000,14.5000,14.5000,14.5000,700
NSG,20160526,12.4000,12.4000,12.4000,12.4000,9900
NSG,20160527,12.4000,12.4000,12.4000,12.4000,590
NSG,20160530,12.5000,12.5000,12.4000,12.4000,280
NSG,20160531,12.6000,12.6000,12.0000,12.0000,2900
NSG,20160601,10.8000,12.4000,10.6000,11.5000,20655
NSG,20160602,11.9000,11.9000,11.8000,11.8000,310
NSG,20160603,11.8000,11.9000,11.8000,11.8000,33200
NSG,20160606,10.5000,11.5000,10.5000,11.3000,10950
NSG,20160607,11.3000,11.5000,10.8000,11.5000,14410
NSG,20160608,11.6000,12.0000,11.6000,12.0000,21480
NSG,20160609,12.8000,12.8000,12.8000,12.8000,100
NSG,20160610,11.3000,12.0000,11.1000,11.5000,11010
NSG,20160613,11.2000,11.9000,11.2000,11.9000,2000
NSG,20160614,11.1000,12.0000,11.1000,12.0000,2100
NSG,20160615,12.0000,13.6000,12.0000,13.6000,1118200
NSG,20160616,13.8000,15.6000,13.7000,13.8000,9220
NSG,20160617,13.7000,14.5000,13.0000,13.0000,7400
NSG,20160620,13.0000,14.2000,12.2000,12.2000,8110
NSG,20160621,12.5000,13.2000,12.5000,13.2000,9600
NSG,20160622,12.8000,13.4000,12.8000,13.4000,700
NSG,20160623,13.2000,13.2000,12.2000,12.2000,16200
NSG,20160624,11.3000,11.4000,11.0000,11.3000,6800
NSG,20160627,12.0000,12.6000,12.0000,12.6000,4100
NSG,20160628,12.5000,12.7000,12.5000,12.7000,2600
NSG,20160629,13.0000,13.0000,13.0000,13.0000,100
NSG,20160630,13.1000,13.1000,13.0000,13.0000,310
NSG,20160701,13.0000,13.0000,13.0000,13.0000,0
NSG,20160704,12.5000,12.5000,11.5000,12.0000,6300
NSG,20160705,12.0000,12.0000,12.0000,12.0000,500
NSG,20160706,12.5000,12.5000,12.5000,12.5000,2000
NSG,20160707,12.5000,12.5000,12.0000,12.5000,10100
NSG,20160708,12.5000,12.5000,12.5000,12.5000,1000
NSG,20160711,12.1000,12.5000,12.1000,12.5000,2600
