<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NT2,20100201,13.0000,13.0000,13.0000,13.0000,0
NT2,20100202,13.0000,13.0000,13.0000,13.0000,10
NT2,20100203,13.0000,13.0000,13.0000,13.0000,0
NT2,20100204,13.0000,13.0000,13.0000,13.0000,0
NT2,20100205,13.0000,13.0000,13.0000,13.0000,0
NT2,20100208,11.8000,11.8000,11.8000,11.8000,500
NT2,20100209,11.8000,11.8000,11.8000,11.8000,0
NT2,20100210,11.8000,11.8000,11.8000,11.8000,0
NT2,20100211,11.8000,11.8000,11.8000,11.8000,0
NT2,20100212,11.8000,11.8000,11.8000,11.8000,0
NT2,20100222,12.8000,12.8000,12.8000,12.8000,10
NT2,20100223,12.5000,12.5000,12.0000,12.0000,1800
NT2,20100224,11.8000,11.8000,11.2000,11.2000,300
NT2,20100225,10.4000,10.4000,10.3000,10.3000,1000
NT2,20100226,9.4000,9.4000,9.4000,9.4000,860
NT2,20100301,9.4000,9.4000,9.4000,9.4000,0
NT2,20100302,9.4000,9.4000,9.4000,9.4000,0
NT2,20100303,9.4000,9.4000,9.4000,9.4000,0
NT2,20100304,8.5000,8.5000,8.5000,8.5000,400
NT2,20100305,9.0000,9.3000,9.0000,9.3000,1150
NT2,20100308,9.0000,9.0000,9.0000,9.0000,0
NT2,20100309,9.0000,9.0000,9.0000,9.0000,0
NT2,20100310,8.1000,8.2000,8.1000,8.2000,1020
NT2,20100311,7.6000,7.6000,7.4000,7.4000,1200
NT2,20100312,7.5000,7.5000,7.5000,7.5000,500
NT2,20100315,8.2000,8.2000,7.5000,7.5000,1200
NT2,20100316,8.3000,8.3000,8.3000,8.3000,200
NT2,20100317,8.3000,8.3000,8.3000,8.3000,0
NT2,20100318,9.1000,9.1000,8.5000,8.5000,5320
NT2,20100319,9.3000,9.3000,8.0000,8.0000,1600
NT2,20100322,8.5000,8.9000,8.5000,8.9000,3000
NT2,20100323,9.6000,9.6000,9.6000,9.6000,120
NT2,20100324,9.6000,9.6000,9.6000,9.6000,0
NT2,20100325,8.9000,8.9000,8.7000,8.7000,9500
NT2,20100326,8.8000,8.8000,8.8000,8.8000,0
NT2,20100329,9.6000,9.6000,9.6000,9.6000,4000
NT2,20100330,9.6000,9.6000,9.6000,9.6000,0
NT2,20100331,8.7000,8.7000,8.7000,8.7000,10
NT2,20100401,9.5000,9.5000,9.5000,9.5000,2010
NT2,20100402,8.6000,8.6000,8.6000,8.6000,10
NT2,20100405,9.0000,9.0000,9.0000,9.0000,20
NT2,20100406,9.5000,9.9000,9.5000,9.9000,2050
NT2,20100407,9.0000,9.0000,9.0000,9.0000,10
NT2,20100408,8.1000,8.1000,8.1000,8.1000,20
NT2,20100409,8.1000,8.1000,8.1000,8.1000,0
