<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NTW,20120409,20.0000,20.0000,20.0000,20.0000,0
NTW,20120410,18.0000,18.0000,18.0000,18.0000,3400
NTW,20120411,17.1000,17.1000,17.1000,17.1000,3600
NTW,20120412,16.4000,16.4000,16.4000,16.4000,3800
NTW,20120413,15.7000,17.9000,15.7000,17.9000,7900
NTW,20120416,17.9000,17.9000,17.9000,17.9000,200
NTW,20120417,16.2000,17.9000,16.2000,17.9000,7800
NTW,20120418,16.2000,16.2000,16.1000,16.1000,7300
NTW,20120419,17.7000,17.7000,17.7000,17.7000,300
NTW,20120420,19.0000,19.0000,19.0000,19.0000,300
NTW,20120423,19.0000,19.0000,19.0000,19.0000,0
NTW,20120424,17.1000,17.1000,17.1000,17.1000,1000
NTW,20120425,16.1000,18.0000,15.4000,15.4000,21800
NTW,20120426,15.4000,15.4000,15.4000,15.4000,15100
NTW,20120427,15.4000,15.4000,15.4000,15.4000,0
NTW,20120502,15.4000,15.4000,15.4000,15.4000,0
NTW,20120503,15.5000,15.5000,15.4000,15.4000,5500
NTW,20120504,16.9000,16.9000,16.9000,16.9000,600
NTW,20120507,16.9000,16.9000,16.9000,16.9000,0
NTW,20120508,15.5000,15.5000,15.5000,15.5000,100
NTW,20120509,15.5000,15.5000,15.5000,15.5000,0
NTW,20120510,15.5000,15.5000,15.5000,15.5000,0
NTW,20120511,15.5000,15.5000,15.5000,15.5000,0
NTW,20120514,15.5000,15.5000,15.5000,15.5000,0
NTW,20120515,15.5000,15.5000,15.5000,15.5000,0
NTW,20120516,15.5000,15.5000,15.5000,15.5000,0
NTW,20120517,15.5000,15.5000,15.5000,15.5000,0
NTW,20120518,3.5009,3.5009,3.5009,3.5009,0
NTW,20120521,3.3077,3.3077,3.3077,3.3077,100
NTW,20120522,3.1870,3.1870,3.1870,3.1870,100
NTW,20120523,3.1870,3.1870,3.1870,3.1870,0
NTW,20120524,3.1870,3.1870,3.1870,3.1870,0
NTW,20120525,3.1870,3.1870,3.1870,3.1870,0
NTW,20120528,3.1870,3.1870,3.1870,3.1870,0
NTW,20120529,3.1870,3.1870,3.1870,3.1870,0
NTW,20120530,3.1870,3.1870,3.1870,3.1870,0
NTW,20120531,3.5009,3.5009,3.5009,3.5009,3000
NTW,20120601,3.5009,3.5009,3.5009,3.5009,0
NTW,20120604,3.5009,3.5009,3.5009,3.5009,0
NTW,20120605,3.5009,3.5009,3.5009,3.5009,0
NTW,20120606,3.5009,3.5009,3.5009,3.5009,0
NTW,20120607,3.5009,3.5009,3.5009,3.5009,0
NTW,20120608,3.1870,3.8389,3.1870,3.8389,200
NTW,20120611,3.2111,3.2111,3.2111,3.2111,200
NTW,20120612,3.2111,3.2111,3.2111,3.2111,0
NTW,20120613,3.2111,3.2111,3.2111,3.2111,0
NTW,20120614,3.5250,3.5250,3.5250,3.5250,100
NTW,20120615,3.5250,3.5250,3.5250,3.5250,0
NTW,20120618,3.7423,3.7906,3.5491,3.5491,2600
NTW,20120619,3.5491,3.8630,3.5491,3.5491,3200
NTW,20120620,3.5491,3.8630,3.5491,3.6216,2300
NTW,20120621,3.3560,3.3560,3.3560,3.3560,200
NTW,20120622,3.3560,3.3560,3.3560,3.3560,0
NTW,20120625,3.6699,3.6699,3.6699,3.6699,100
NTW,20120626,3.6699,3.6699,3.6699,3.6699,0
NTW,20120627,3.6216,3.6216,3.6216,3.6216,200
NTW,20120628,3.6216,3.6216,3.6216,3.6216,0
NTW,20120629,3.8630,3.8630,3.5250,3.5491,1500
NTW,20120702,3.7423,3.7423,3.7423,3.7423,0
NTW,20120703,3.4043,3.4043,3.4043,3.4043,100
NTW,20120704,3.4043,3.4043,3.4043,3.4043,0
NTW,20120705,3.4043,3.4043,3.4043,3.4043,0
NTW,20120706,3.7423,3.7423,3.7423,3.7423,100
NTW,20120709,3.8630,3.8630,3.4043,3.4043,800
NTW,20120710,3.6940,3.6940,3.6940,3.6940,0
NTW,20120711,3.6940,3.6940,3.6940,3.6940,0
NTW,20120712,3.6940,3.6940,3.6940,3.6940,0
NTW,20120713,3.8630,3.8630,3.8630,3.8630,600
NTW,20120716,3.5733,3.9113,3.5733,3.8630,2400
NTW,20120717,3.5491,3.5491,3.5491,3.5491,100
NTW,20120718,3.8630,3.8630,3.8630,3.8630,1000
NTW,20120719,3.5491,3.5491,3.5491,3.5491,200
NTW,20120720,3.5491,3.5491,3.5491,3.5491,0
NTW,20120723,3.5491,3.5491,3.5491,3.5491,0
NTW,20120724,3.8872,3.8872,3.8872,3.8872,500
NTW,20120725,3.8872,3.8872,3.8872,3.8872,0
NTW,20120726,3.8872,3.8872,3.8872,3.8872,0
NTW,20120727,3.5733,3.5733,3.5733,3.5733,0
NTW,20120730,3.5733,3.5733,3.5733,3.5733,0
NTW,20120731,3.5733,3.5733,3.5733,3.5733,0
NTW,20120801,3.5733,3.5733,3.5733,3.5733,0
NTW,20120802,3.5733,3.5733,3.5733,3.5733,0
NTW,20120803,3.5733,3.5733,3.5733,3.5733,0
NTW,20120806,3.9113,3.9113,3.9113,3.9113,100
NTW,20120807,3.5491,3.5491,3.5491,3.5491,2200
NTW,20120808,3.1387,3.1387,3.1387,3.1387,0
NTW,20120809,3.1387,3.1387,3.1387,3.1387,0
NTW,20120810,3.1387,3.1387,3.1387,3.1387,0
NTW,20120813,3.1387,3.1387,3.1387,3.1387,0
NTW,20120814,3.1387,3.1387,3.1387,3.1387,0
NTW,20120815,3.1387,3.1387,3.1387,3.1387,0
NTW,20120816,3.1870,3.1870,3.1870,3.1870,900
NTW,20120817,2.8973,2.8973,2.8973,2.8973,500
NTW,20120820,2.8973,2.8973,2.8973,2.8973,0
NTW,20120821,2.8973,2.8973,2.8973,2.8973,0
NTW,20120822,2.8973,2.8973,2.8973,2.8973,0
NTW,20120823,2.8973,2.8973,2.8973,2.8973,0
NTW,20120824,2.8973,2.8973,2.8973,2.8973,0
NTW,20120827,2.8973,2.8973,2.8973,2.8973,0
NTW,20120828,2.6558,2.6558,2.6558,2.6558,200
NTW,20120829,2.6558,2.6558,2.6558,2.6558,0
NTW,20120830,2.6558,2.6558,2.6558,2.6558,0
NTW,20120831,2.6558,2.6558,2.6558,2.6558,0
NTW,20120904,2.6558,2.6558,2.6558,2.6558,0
NTW,20120905,2.6558,2.6558,2.6558,2.6558,0
