<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NVT,20100507,30.0000,30.0000,30.0000,30.0000,642490
NVT,20100510,31.5000,31.5000,29.1000,31.5000,1214870
NVT,20100511,33.0000,33.0000,31.5000,32.9000,524270
NVT,20100512,31.5000,31.9000,31.3000,31.3000,340090
NVT,20100513,30.0000,31.8000,30.0000,31.0000,396980
NVT,20100514,31.0000,31.0000,29.8000,31.0000,377120
NVT,20100517,29.9000,30.7000,29.5000,29.5000,194150
NVT,20100518,29.8000,29.8000,28.1000,28.1000,221280
NVT,20100519,26.7000,26.7000,26.7000,26.7000,60530
NVT,20100520,25.4000,26.7000,25.4000,25.4000,207780
NVT,20100521,24.2000,24.2000,24.2000,24.2000,51450
NVT,20100524,23.0000,25.4000,23.0000,25.4000,223300
NVT,20100525,25.4000,25.4000,24.2000,24.2000,188470
NVT,20100526,24.1000,25.4000,24.1000,25.4000,291350
NVT,20100527,25.6000,25.6000,24.6000,25.5000,168710
NVT,20100528,26.6000,26.6000,25.8000,26.0000,275130
NVT,20100531,24.7000,26.2000,24.7000,25.0000,91370
NVT,20100601,25.0000,25.0000,24.5000,24.6000,111550
NVT,20100602,24.7000,25.5000,24.7000,25.5000,195530
NVT,20100603,25.5000,26.1000,25.1000,25.5000,141380
NVT,20100604,25.5000,25.5000,24.7000,24.7000,117110
NVT,20100607,23.6000,24.5000,23.5000,23.5000,155480
NVT,20100608,22.5000,23.8000,22.5000,23.5000,86390
NVT,20100609,23.9000,23.9000,23.0000,23.5000,106760
NVT,20100610,23.5000,23.5000,22.9000,23.4000,96230
NVT,20100611,23.9000,23.9000,23.3000,23.3000,92870
NVT,20100614,23.3000,23.8000,23.1000,23.6000,115910
NVT,20100615,23.8000,23.9000,23.6000,23.7000,166440
NVT,20100616,24.1000,24.8000,24.0000,24.8000,193920
NVT,20100617,25.3000,26.0000,25.0000,26.0000,632510
NVT,20100618,26.6000,26.6000,25.3000,25.3000,214810
NVT,20100621,25.3000,25.9000,25.3000,25.3000,137690
NVT,20100622,25.3000,25.3000,24.4000,24.4000,145490
NVT,20100623,23.9000,24.5000,23.9000,23.9000,205240
NVT,20100624,24.3000,24.4000,23.9000,24.0000,187170
NVT,20100625,23.6000,24.3000,23.6000,23.7000,145690
NVT,20100628,23.5000,24.2000,23.5000,23.7000,122730
NVT,20100629,23.7000,24.4000,23.7000,23.7000,141540
NVT,20100630,23.7000,23.7000,23.2000,23.2000,103910
NVT,20100701,23.9000,23.9000,23.2000,23.7000,155290
NVT,20100702,24.0000,24.1000,23.5000,23.7000,94100
NVT,20100705,23.6000,23.8000,23.3000,23.3000,93960
NVT,20100706,23.3000,23.5000,22.9000,22.9000,128970
NVT,20100707,23.4000,23.4000,22.7000,22.7000,101530
NVT,20100708,22.7000,23.4000,22.7000,22.8000,151180
NVT,20100709,23.3000,23.9000,23.3000,23.9000,316580
NVT,20100712,25.0000,25.0000,25.0000,25.0000,389570
NVT,20100713,26.2000,26.2000,26.0000,26.2000,1044020
NVT,20100714,26.9000,27.1000,25.9000,25.9000,973730
NVT,20100715,25.8000,26.8000,25.4000,25.7000,869390
NVT,20100716,25.5000,26.9000,25.5000,26.5000,1401730
NVT,20100719,26.5000,26.5000,26.0000,26.2000,808050
NVT,20100720,26.3000,27.5000,26.2000,27.5000,2247570
NVT,20100721,27.9000,27.9000,26.6000,26.8000,875670
NVT,20100722,26.8000,26.8000,26.1000,26.1000,917680
NVT,20100723,26.3000,27.0000,26.2000,26.5000,720000
NVT,20100726,26.8000,27.5000,26.5000,26.8000,899960
NVT,20100727,26.9000,27.1000,26.4000,26.4000,599180
NVT,20100728,26.1000,26.3000,25.6000,25.7000,765620
NVT,20100729,25.8000,26.0000,25.4000,25.6000,456500
NVT,20100730,25.8000,26.4000,25.7000,26.0000,680700
NVT,20100802,25.9000,27.1000,25.9000,26.6000,701820
NVT,20100803,26.5000,27.0000,26.3000,26.3000,505750
NVT,20100804,26.3000,26.3000,25.5000,25.6000,596270
NVT,20100805,26.0000,26.1000,25.0000,25.0000,528560
NVT,20100806,25.0000,25.5000,24.5000,24.5000,599650
NVT,20100809,24.8000,24.8000,23.3000,23.5000,655880
NVT,20100810,23.0000,23.8000,22.4000,23.5000,781930
NVT,20100811,23.9000,24.0000,23.0000,23.5000,294210
NVT,20100812,23.0000,23.2000,22.4000,23.2000,977460
NVT,20100813,22.2000,23.3000,22.2000,23.0000,323240
NVT,20100816,23.5000,24.1000,23.3000,24.0000,1041690
NVT,20100817,24.4000,24.4000,23.2000,23.9000,359010
NVT,20100818,23.5000,23.5000,22.8000,23.0000,684350
NVT,20100819,23.1000,23.1000,22.5000,22.6000,277460
NVT,20100820,22.4000,22.6000,21.7000,22.6000,328470
NVT,20100823,21.9000,22.0000,21.5000,21.5000,343770
NVT,20100824,20.5000,20.9000,20.5000,20.5000,442730
NVT,20100825,19.5000,19.6000,19.5000,19.5000,215950
NVT,20100826,19.5000,19.7000,18.6000,18.6000,740110
NVT,20100827,17.8000,18.9000,17.7000,18.6000,447450
NVT,20100830,19.3000,19.5000,19.3000,19.5000,417510
NVT,20100831,19.5000,20.3000,19.2000,20.1000,594830
NVT,20100901,20.3000,20.3000,19.2000,19.2000,1293640
NVT,20100906,19.3000,20.1000,19.3000,20.1000,366880
NVT,20100907,21.1000,21.1000,21.1000,21.1000,223120
NVT,20100908,21.0000,22.0000,20.4000,21.5000,1015260
NVT,20100909,21.7000,22.3000,21.2000,21.4000,1182210
NVT,20100910,21.0000,21.4000,20.4000,20.4000,514590
NVT,20100913,19.5000,20.2000,19.4000,19.4000,505390
NVT,20100914,19.8000,19.8000,18.8000,19.4000,421180
NVT,20100915,19.4000,19.4000,18.5000,18.7000,380000
NVT,20100916,19.2000,19.2000,18.5000,18.8000,217040
NVT,20100917,19.3000,19.7000,19.0000,19.7000,397360
NVT,20100920,20.6000,20.6000,20.0000,20.2000,1492710
NVT,20100921,19.6000,20.4000,19.6000,20.0000,500690
NVT,20100922,20.0000,20.1000,19.8000,19.8000,219620
NVT,20100923,19.7000,19.9000,18.9000,19.3000,489240
NVT,20100924,19.8000,19.8000,19.0000,19.2000,414900
NVT,20100927,18.7000,19.4000,18.7000,19.0000,230230
NVT,20100928,19.2000,19.7000,19.0000,19.0000,299570
NVT,20100929,18.7000,19.3000,18.6000,18.7000,359360
NVT,20100930,18.5000,18.8000,18.1000,18.4000,482770
NVT,20101001,18.5000,18.7000,18.1000,18.1000,264510
NVT,20101004,18.0000,18.0000,17.2000,17.2000,499290
NVT,20101005,16.5000,17.2000,16.4000,17.2000,469030
NVT,20101006,17.2000,17.8000,16.9000,17.5000,296850
NVT,20101007,17.1000,17.8000,16.8000,16.8000,401200
NVT,20101008,16.8000,17.0000,16.5000,16.5000,296030
NVT,20101011,16.4000,17.3000,16.4000,17.3000,572720
NVT,20101012,17.4000,17.4000,16.7000,16.8000,326370
NVT,20101013,16.6000,17.1000,16.6000,16.9000,256540
NVT,20101014,17.3000,17.3000,16.8000,16.8000,134010
NVT,20101015,16.7000,16.8000,16.5000,16.6000,179780
NVT,20101018,16.8000,16.8000,16.5000,16.5000,115430
NVT,20101019,16.5000,16.6000,15.7000,15.7000,573360
NVT,20101020,15.2000,15.7000,15.0000,15.0000,366340
NVT,20101021,15.0000,15.3000,14.6000,15.0000,459450
NVT,20101022,14.6000,15.3000,14.6000,14.7000,295760
NVT,20101025,14.2000,15.0000,14.2000,15.0000,153340
NVT,20101026,15.0000,15.7000,15.0000,15.7000,614940
NVT,20101027,15.9000,15.9000,15.1000,15.2000,205220
NVT,20101028,15.2000,15.3000,14.8000,15.0000,257960
NVT,20101029,15.0000,15.3000,14.8000,14.8000,349510
NVT,20101101,14.7000,14.9000,14.7000,14.8000,234650
NVT,20101102,15.0000,15.0000,14.3000,14.6000,289090
NVT,20101103,14.7000,14.7000,14.3000,14.3000,308830
NVT,20101104,14.9000,14.9000,14.3000,14.5000,141930
NVT,20101105,15.0000,15.0000,14.5000,14.8000,242230
NVT,20101108,14.5000,15.0000,14.4000,15.0000,245660
NVT,20101109,14.6000,14.8000,14.3000,14.4000,218540
NVT,20101110,14.1000,14.4000,14.0000,14.1000,65190
NVT,20101111,13.9000,14.4000,13.5000,13.5000,131840
NVT,20101112,13.5000,13.5000,12.9000,12.9000,376830
NVT,20101115,13.4000,13.4000,12.3000,12.3000,274010
NVT,20101116,12.0000,12.0000,11.7000,11.7000,181600
NVT,20101117,11.5000,11.8000,11.3000,11.5000,497060
NVT,20101118,12.0000,12.0000,11.9000,12.0000,166110
NVT,20101119,12.5000,12.5000,11.8000,11.9000,348890
NVT,20101122,11.9000,11.9000,11.4000,11.4000,299700
NVT,20101123,11.4000,11.7000,11.4000,11.4000,240570
NVT,20101124,11.4000,11.9000,11.1000,11.7000,411430
NVT,20101125,11.8000,12.2000,11.8000,12.2000,473210
NVT,20101126,12.4000,12.8000,12.2000,12.8000,986100
NVT,20101129,12.2000,13.3000,12.2000,13.3000,832470
NVT,20101130,13.9000,13.9000,13.5000,13.9000,1461270
NVT,20101201,14.0000,14.1000,13.4000,13.8000,957570
NVT,20101202,13.8000,14.2000,13.2000,14.0000,1271070
NVT,20101203,14.7000,14.7000,14.6000,14.7000,1204540
NVT,20101206,14.9000,15.4000,14.2000,15.4000,1634760
NVT,20101207,14.9000,16.0000,14.9000,15.1000,1108250
NVT,20101208,15.0000,15.3000,14.4000,14.4000,1293600
NVT,20101209,14.1000,14.9000,13.8000,14.4000,828110
NVT,20101210,14.6000,15.1000,14.5000,15.1000,1415840
NVT,20101213,15.8000,15.8000,15.7000,15.8000,1015880
NVT,20101214,15.8000,16.0000,15.1000,15.1000,1176240
