<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ONE,20080625,25.0000,25.0000,25.0000,25.0000,13600
ONE,20080626,26.0000,26.0000,25.0000,26.0000,2700
ONE,20080627,25.8000,25.8000,25.8000,25.8000,0
ONE,20080630,25.8000,25.8000,25.8000,25.8000,0
ONE,20080701,25.8000,25.8000,25.8000,25.8000,0
ONE,20080702,24.8000,24.8000,24.8000,24.8000,100
ONE,20080703,23.9000,23.9000,23.9000,23.9000,100
ONE,20080704,23.0000,24.8000,23.0000,23.0000,9600
ONE,20080707,23.9000,23.9000,22.1000,22.1000,3100
ONE,20080708,21.8000,21.8000,21.8000,21.8000,100
ONE,20080709,21.8000,21.8000,21.8000,21.8000,0
ONE,20080710,21.0000,21.0000,21.0000,21.0000,100
ONE,20080711,20.2000,20.2000,20.2000,20.2000,2600
ONE,20080714,19.4000,19.4000,19.4000,19.4000,4100
ONE,20080715,18.7000,20.1000,18.7000,20.1000,90200
ONE,20080716,20.0000,20.0000,20.0000,20.0000,40000
ONE,20080717,20.8000,20.8000,20.8000,20.8000,36800
ONE,20080718,21.6000,21.6000,20.0000,20.0000,3200
ONE,20080721,20.1000,20.1000,20.1000,20.1000,2200
ONE,20080722,20.1000,20.1000,20.1000,20.1000,0
ONE,20080723,20.1000,20.1000,20.1000,20.1000,0
ONE,20080724,19.3000,19.3000,19.3000,19.3000,3200
ONE,20080725,18.6000,18.6000,18.6000,18.6000,200
ONE,20080728,17.9000,17.9000,17.9000,17.9000,1600
ONE,20080729,17.2000,17.4000,17.2000,17.2000,18100
ONE,20080730,16.6000,16.6000,16.6000,16.6000,3000
ONE,20080731,16.0000,16.0000,16.0000,16.0000,200
ONE,20080801,15.4000,16.6000,15.4000,15.6000,34500
ONE,20080804,15.5000,16.1000,15.5000,16.1000,16100
ONE,20080805,16.4000,16.4000,16.4000,16.4000,800
ONE,20080806,17.0000,17.0000,17.0000,17.0000,5200
ONE,20080807,17.6000,17.6000,17.6000,17.6000,1200
ONE,20080808,18.3000,18.3000,18.3000,18.3000,3100
ONE,20080811,19.0000,19.0000,19.0000,19.0000,26600
ONE,20080812,19.7000,19.7000,19.0000,19.7000,93400
ONE,20080813,4.0211,4.0211,4.0211,4.0211,2300
ONE,20080814,4.1606,4.1606,4.1373,4.1606,15200
ONE,20080815,4.3233,4.3233,4.3233,4.3233,29700
ONE,20080818,4.6254,4.6254,4.0211,4.0676,58200
ONE,20080819,3.9514,3.9514,3.7887,3.9514,11100
ONE,20080820,3.6027,3.6492,3.6027,3.6027,20400
ONE,20080821,3.4865,3.8351,3.4865,3.8351,8500
ONE,20080822,3.9746,3.9746,3.7189,3.9746,35800
ONE,20080825,4.0676,4.1606,4.0676,4.1606,32600
ONE,20080826,4.3930,4.4395,4.3930,4.4395,36900
ONE,20080827,4.7416,4.7416,4.4395,4.4395,60100
ONE,20080828,4.3697,4.3697,4.3697,4.3697,29200
ONE,20080829,4.1141,4.3697,4.0676,4.3697,30500
ONE,20080903,4.3930,4.3930,4.3930,4.3930,600
ONE,20080904,4.6952,4.6952,4.1838,4.4162,45500
ONE,20080905,4.4395,4.4395,4.1606,4.2070,23200
ONE,20080908,4.1141,4.3697,4.0443,4.2768,30400
ONE,20080909,4.4162,4.4627,4.3000,4.4627,31200
ONE,20080910,4.7416,4.7416,4.4162,4.4395,29900
ONE,20080911,4.3233,4.3233,4.2303,4.2303,14200
ONE,20080912,4.0211,4.0211,3.9979,3.9979,14400
ONE,20080915,3.9979,4.0443,3.9979,4.0211,19700
ONE,20080916,3.7422,3.7887,3.7422,3.7887,13800
ONE,20080917,3.4865,3.5795,3.4865,3.4865,11200
ONE,20080918,3.3703,3.3703,3.2773,3.2773,7800
ONE,20080919,3.4865,3.4865,3.4865,3.4865,1600
ONE,20080922,3.7189,3.7189,3.7189,3.7189,300
ONE,20080923,3.9746,3.9746,3.7189,3.9514,14300
ONE,20080924,3.9281,3.9281,3.9281,3.9281,0
ONE,20080925,3.9514,4.1838,3.9514,4.1373,2500
ONE,20080926,4.1141,4.1141,3.9979,3.9979,4500
ONE,20080929,4.0211,4.0211,4.0211,4.0211,3100
ONE,20080930,4.0211,4.0211,4.0211,4.0211,0
ONE,20081001,3.7422,4.1606,3.7422,4.0211,2800
ONE,20081002,4.0443,4.0443,3.9514,3.9514,3200
ONE,20081003,4.0211,4.0211,3.7887,3.7887,6200
ONE,20081006,3.8584,3.8584,3.8584,3.8584,0
ONE,20081007,3.8584,3.8584,3.8584,3.8584,0
ONE,20081008,3.6027,3.6027,3.6027,3.6027,2000
ONE,20081009,3.6724,3.8351,3.3703,3.3703,3800
ONE,20081010,3.5795,3.5795,3.5795,3.5795,0
ONE,20081013,3.7189,3.7189,3.7189,3.7189,100
ONE,20081014,3.9514,3.9746,3.8351,3.9514,60500
ONE,20081015,3.9746,3.9746,3.9746,3.9746,0
ONE,20081016,3.7189,3.7189,3.7189,3.7189,1000
ONE,20081017,3.7189,3.7189,3.7189,3.7189,0
ONE,20081020,3.4633,3.4633,3.4633,3.4633,6600
ONE,20081021,3.3703,3.4865,3.2308,3.2541,4200
ONE,20081022,3.1378,3.1378,3.0914,3.0914,1500
ONE,20081023,2.8822,2.8822,2.8822,2.8822,500
ONE,20081024,2.6962,2.6962,2.6962,2.6962,13500
ONE,20081027,2.5103,2.5103,2.5103,2.5103,1600
ONE,20081028,2.3476,2.3708,2.3476,2.3476,3400
ONE,20081029,2.5103,2.5103,2.5103,2.5103,20500
ONE,20081030,2.3476,2.6497,2.3476,2.6497,800
ONE,20081031,2.6033,2.6033,2.4405,2.6033,8200
ONE,20081103,2.6033,2.6497,2.6033,2.6497,200
ONE,20081104,2.7195,2.7195,2.7195,2.7195,1000
ONE,20081105,2.7892,2.8822,2.7892,2.8822,12100
ONE,20081106,2.7892,2.7892,2.6730,2.7892,1800
ONE,20081107,2.5800,2.6033,2.5800,2.5800,6800
ONE,20081110,2.6033,2.6033,2.5800,2.5800,700
ONE,20081111,2.4405,2.5568,2.4405,2.4405,3400
ONE,20081112,2.5568,2.5568,2.5568,2.5568,500
ONE,20081113,2.4405,2.4405,2.3941,2.3941,11000
ONE,20081114,2.4173,2.5103,2.4173,2.5103,2000
ONE,20081117,2.3011,2.3011,2.3011,2.3011,2100
ONE,20081118,2.2546,2.3011,2.2546,2.3011,400
ONE,20081119,2.3011,2.3011,2.2314,2.2546,5400
ONE,20081120,2.1616,2.2546,2.1151,2.2546,3700
ONE,20081121,2.0454,2.1616,2.0454,2.1616,800
ONE,20081124,2.2081,2.2546,2.1384,2.1384,2300
ONE,20081125,2.0454,2.0454,2.0222,2.0454,6500
ONE,20081126,2.0454,2.0454,2.0454,2.0454,800
ONE,20081127,2.0454,2.0687,2.0454,2.0687,3200
ONE,20081128,1.9757,2.0919,1.9757,2.0919,1800
ONE,20081201,2.1384,2.1384,2.0919,2.0919,200
ONE,20081202,2.0919,2.0919,2.0919,2.0919,500
ONE,20081203,1.9757,1.9757,1.9757,1.9757,1700
ONE,20081204,2.0919,2.0919,2.0919,2.0919,1300
ONE,20081205,1.9989,1.9989,1.9989,1.9989,1000
ONE,20081208,1.9989,1.9989,1.9989,1.9989,800
ONE,20081209,1.9989,1.9989,1.9989,1.9989,0
ONE,20081210,1.9060,1.9060,1.8595,1.8595,1200
ONE,20081211,1.9989,1.9989,1.9989,1.9989,500
ONE,20081212,2.0687,2.0919,2.0687,2.0919,2500
ONE,20081215,2.0919,2.0919,2.0919,2.0919,500
ONE,20081216,1.9757,1.9757,1.9757,1.9757,1100
ONE,20081217,2.0919,2.0919,2.0687,2.0687,1800
ONE,20081218,1.9989,1.9989,1.9989,1.9989,300
ONE,20081219,1.9989,1.9989,1.9989,1.9989,0
ONE,20081222,1.8595,1.8595,1.8595,1.8595,1500
ONE,20081223,1.8130,1.9757,1.8130,1.9757,900
ONE,20081224,1.9292,1.9524,1.8130,1.8130,500
ONE,20081225,1.9757,1.9757,1.8595,1.8595,600
ONE,20081226,1.8595,1.8595,1.7897,1.7897,700
ONE,20081229,1.7432,1.7432,1.7432,1.7432,1000
ONE,20081230,1.7897,1.7897,1.7897,1.7897,600
ONE,20081231,1.7897,1.7897,1.7897,1.7897,2700
ONE,20090102,1.8595,1.8595,1.8595,1.8595,1000
ONE,20090105,1.8130,1.9060,1.8130,1.9060,600
ONE,20090106,1.9292,1.9524,1.9292,1.9524,6900
ONE,20090107,1.9757,2.0454,1.9757,2.0454,3100
ONE,20090108,1.9757,1.9757,1.9524,1.9524,1100
ONE,20090109,2.0919,2.0919,2.0919,2.0919,20900
ONE,20090112,1.9757,1.9989,1.9524,1.9989,500
ONE,20090113,1.9060,2.0454,1.9060,2.0222,2600
ONE,20090114,1.9757,2.0222,1.9757,1.9989,500
ONE,20090115,2.0222,2.0919,1.9989,2.0919,6000
ONE,20090116,2.0919,2.0919,2.0919,2.0919,4400
ONE,20090119,2.1151,2.2314,2.1151,2.2314,11600
ONE,20090120,2.2081,2.2081,2.2081,2.2081,0
ONE,20090121,2.2081,2.2081,2.2081,2.2081,0
ONE,20090122,2.0919,2.1384,2.0919,2.1151,1700
ONE,20090123,2.1151,2.1151,2.1151,2.1151,0
ONE,20090202,2.2546,2.2546,2.2546,2.2546,10900
ONE,20090203,2.3941,2.3941,2.2546,2.3941,14500
ONE,20090204,2.4638,2.5103,2.4638,2.5103,9700
ONE,20090205,2.5568,2.6730,2.5568,2.6730,10200
ONE,20090206,2.6730,2.7892,2.6730,2.7892,3000
ONE,20090209,2.7892,2.7892,2.6033,2.6033,9700
ONE,20090210,2.5103,2.5103,2.4870,2.4870,12600
ONE,20090211,2.4638,2.4638,2.3476,2.3476,6800
ONE,20090212,2.3941,2.3941,2.3941,2.3941,2500
ONE,20090213,2.3941,2.4173,2.2546,2.2546,5600
ONE,20090216,2.3708,2.3708,2.3243,2.3243,1800
ONE,20090217,2.2778,2.3476,2.2778,2.3476,5700
ONE,20090218,2.2546,2.3243,2.2081,2.3243,4800
ONE,20090219,2.3941,2.4173,2.2546,2.2778,3600
ONE,20090220,2.2546,2.2778,2.2314,2.2778,2000
ONE,20090223,2.1384,2.2546,2.1384,2.2546,600
ONE,20090224,2.1616,2.1616,2.0919,2.0919,2900
ONE,20090225,2.0454,2.1384,2.0454,2.1384,800
ONE,20090226,2.0919,2.2081,2.0919,2.1849,2600
