<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PBP,20150127,21.4000,21.4000,21.4000,21.4000,273600
PBP,20150128,23.5000,23.5000,23.3000,23.5000,22900
PBP,20150129,25.8000,25.8000,23.3000,23.8000,149500
PBP,20150130,21.6000,22.3000,21.5000,21.5000,191000
PBP,20150202,21.5000,21.5000,19.4000,19.4000,29800
PBP,20150203,19.4000,20.6000,18.5000,20.6000,36100
PBP,20150204,19.9000,20.6000,19.0000,20.6000,19800
PBP,20150205,19.0000,19.9000,18.6000,18.6000,13800
PBP,20150206,18.6000,18.8000,18.4000,18.5000,22000
PBP,20150209,17.8000,17.9000,17.1000,17.9000,32900
PBP,20150210,17.1000,17.8000,17.0000,17.2000,28300
PBP,20150211,18.0000,18.9000,18.0000,18.5000,99700
PBP,20150212,18.5000,18.7000,18.1000,18.7000,30000
PBP,20150213,18.5000,18.5000,18.2000,18.3000,8500
PBP,20150224,18.4000,18.4000,17.8000,18.0000,11613
PBP,20150225,17.8000,18.0000,17.5000,17.9000,55500
PBP,20150226,17.3000,17.5000,17.3000,17.4000,17900
PBP,20150227,17.4000,19.0000,17.3000,19.0000,17400
PBP,20150302,18.0000,18.0000,17.6000,17.7000,25400
PBP,20150303,17.6000,18.1000,17.6000,18.1000,18100
PBP,20150304,18.1000,18.2000,17.7000,18.2000,20900
PBP,20150305,17.8000,18.1000,17.8000,18.0000,16500
PBP,20150306,17.8000,19.8000,17.3000,19.8000,92000
PBP,20150309,19.8000,21.6000,19.6000,21.0000,78200
PBP,20150310,20.6000,21.0000,20.0000,20.2000,22400
PBP,20150311,19.5000,19.5000,19.1000,19.4000,16700
PBP,20150312,19.0000,19.5000,18.8000,19.5000,9800
PBP,20150313,19.5000,19.6000,19.0000,19.2000,1800
PBP,20150316,19.0000,19.3000,19.0000,19.0000,21100
PBP,20150317,18.8000,19.6000,18.8000,19.6000,25400
PBP,20150318,19.2000,19.6000,19.2000,19.2000,8200
PBP,20150319,19.0000,19.0000,19.0000,19.0000,400
PBP,20150320,18.8000,19.5000,18.8000,19.4000,5700
PBP,20150323,18.0000,19.1000,18.0000,18.6000,1900
PBP,20150324,18.6000,18.6000,18.2000,18.5000,24800
PBP,20150325,18.2000,18.2000,18.1000,18.1000,5300
PBP,20150326,18.2000,19.1000,18.1000,19.1000,14000
PBP,20150327,19.2000,19.2000,18.5000,18.9000,1400
PBP,20150330,19.2000,19.2000,18.1000,18.1000,8100
PBP,20150331,18.4000,18.6000,18.1000,18.6000,8800
PBP,20150401,18.1000,18.2000,17.6000,17.8000,15800
PBP,20150402,17.7000,18.5000,17.7000,18.1000,5100
PBP,20150403,18.3000,18.3000,18.1000,18.1000,21600
PBP,20150406,18.5000,18.6000,18.2000,18.6000,2500
PBP,20150407,18.6000,18.6000,18.6000,18.6000,5000
PBP,20150408,18.5000,18.5000,18.5000,18.5000,1000
PBP,20150409,18.6000,18.6000,18.6000,18.6000,2400
PBP,20150410,18.7000,18.7000,18.2000,18.5000,13113
