<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PCG,20101229,16.0000,18.0000,12.1000,12.1000,32700
PCG,20101230,13.8000,13.8000,12.0000,12.0000,19200
PCG,20101231,11.6000,11.6000,11.5000,11.5000,2300
PCG,20110104,12.2000,12.2000,12.2000,12.2000,100
PCG,20110105,11.4000,12.0000,11.4000,11.8000,2400
PCG,20110106,12.0000,12.0000,10.7000,11.8000,1300
PCG,20110107,11.4000,11.4000,10.4000,11.2000,1100
PCG,20110110,11.5000,11.5000,11.5000,11.5000,100
PCG,20110111,11.8000,11.8000,11.5000,11.5000,300
PCG,20110112,12.3000,12.3000,12.3000,12.3000,100
PCG,20110113,12.3000,12.3000,12.3000,12.3000,0
PCG,20110114,11.7000,11.7000,11.7000,11.7000,500
PCG,20110117,10.9000,11.5000,10.9000,10.9000,2300
PCG,20110118,11.0000,11.0000,10.3000,10.8000,1500
PCG,20110119,9.9000,9.9000,9.8000,9.8000,7600
PCG,20110120,9.8000,10.0000,9.3000,9.3000,7500
PCG,20110121,9.7000,10.0000,9.5000,9.5000,2000
PCG,20110124,10.0000,10.0000,9.4000,9.8000,500
PCG,20110125,9.6000,9.6000,9.6000,9.6000,0
PCG,20110126,9.0000,9.0000,9.0000,9.0000,900
PCG,20110127,9.6000,9.6000,9.1000,9.1000,600
PCG,20110128,9.9000,9.9000,9.8000,9.8000,5600
PCG,20110208,9.6000,10.4000,9.4000,9.4000,1200
PCG,20110209,10.2000,10.2000,10.2000,10.2000,200
PCG,20110210,9.5000,9.5000,9.5000,9.5000,11000
PCG,20110211,10.1000,10.1000,9.5000,9.5000,5700
PCG,20110214,9.8000,9.8000,9.8000,9.8000,900
PCG,20110215,9.8000,9.8000,9.8000,9.8000,0
PCG,20110216,9.2000,9.5000,9.2000,9.5000,8000
PCG,20110217,9.3000,9.8000,8.8000,8.8000,800
PCG,20110218,9.4000,9.4000,8.5000,8.5000,400
PCG,20110221,8.2000,8.2000,8.2000,8.2000,1400
PCG,20110222,7.7000,7.7000,7.7000,7.7000,5100
PCG,20110223,7.2000,8.0000,7.2000,8.0000,8100
PCG,20110224,6.7000,7.1000,6.7000,7.1000,2500
PCG,20110225,7.0000,7.0000,6.5000,7.0000,4800
PCG,20110228,7.3000,7.3000,7.3000,7.3000,3500
PCG,20110301,7.6000,7.6000,7.6000,7.6000,1100
PCG,20110302,7.6000,7.6000,7.6000,7.6000,0
PCG,20110303,7.8000,8.0000,7.8000,7.8000,300
PCG,20110304,8.0000,8.0000,8.0000,8.0000,900
PCG,20110307,8.3000,8.3000,8.0000,8.3000,300
PCG,20110308,8.4000,8.4000,8.4000,8.4000,100
PCG,20110309,8.4000,8.4000,8.4000,8.4000,0
PCG,20110310,7.9000,8.2000,7.9000,7.9000,2100
PCG,20110311,7.5000,7.9000,7.5000,7.5000,3200
PCG,20110314,7.9000,7.9000,7.1000,7.1000,800
PCG,20110315,6.7000,6.7000,6.7000,6.7000,1400
PCG,20110316,7.1000,7.1000,6.7000,6.7000,5400
