<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PCM,20170810,15.0000,15.0000,15.0000,15.0000,0
PCM,20170811,15.0000,15.0000,15.0000,15.0000,0
PCM,20170814,15.0000,15.0000,15.0000,15.0000,0
PCM,20170815,15.0000,15.0000,15.0000,15.0000,0
PCM,20170816,15.0000,15.0000,15.0000,15.0000,0
PCM,20170817,12.0000,12.0000,12.0000,12.0000,1000
PCM,20170818,12.0000,12.0000,12.0000,12.0000,0
PCM,20170821,12.0000,12.0000,12.0000,12.0000,0
PCM,20170822,12.0000,12.0000,12.0000,12.0000,0
PCM,20170823,12.0000,12.0000,12.0000,12.0000,0
PCM,20170824,12.0000,12.0000,12.0000,12.0000,0
PCM,20170825,12.0000,12.0000,12.0000,12.0000,0
PCM,20170828,12.0000,12.0000,12.0000,12.0000,0
PCM,20170829,12.0000,12.0000,12.0000,12.0000,0
PCM,20170830,12.0000,12.0000,12.0000,12.0000,0
PCM,20170831,12.0000,12.0000,12.0000,12.0000,0
PCM,20170901,12.0000,12.0000,12.0000,12.0000,0
PCM,20170905,12.0000,12.0000,12.0000,12.0000,0
PCM,20170906,12.0000,12.0000,12.0000,12.0000,0
PCM,20170907,12.0000,12.0000,12.0000,12.0000,0
PCM,20170908,12.0000,12.0000,12.0000,12.0000,0
PCM,20170911,12.0000,12.0000,12.0000,12.0000,0
PCM,20170912,12.0000,12.0000,12.0000,12.0000,0
PCM,20170913,12.0000,12.0000,12.0000,12.0000,0
PCM,20170914,10.2000,10.2000,10.2000,10.2000,500
PCM,20170915,8.7000,8.7000,8.7000,8.7000,300
PCM,20170918,7.4000,7.4000,7.4000,7.4000,200
PCM,20170919,6.4000,6.4000,6.3000,6.3000,8600
PCM,20170920,6.3000,6.3000,6.3000,6.3000,0
PCM,20170921,6.5000,6.5000,6.5000,6.5000,184
PCM,20170922,6.5000,6.5000,6.5000,6.5000,0
PCM,20170925,6.5000,6.5000,6.5000,6.5000,0
PCM,20170926,6.5000,6.5000,6.5000,6.5000,0
PCM,20170927,6.5000,6.5000,6.5000,6.5000,0
PCM,20170928,6.5000,6.5000,6.5000,6.5000,0
PCM,20170929,6.8000,6.8000,6.8000,6.8000,500
PCM,20171002,6.5000,6.5000,6.5000,6.5000,1500
PCM,20171003,6.5000,6.5000,6.5000,6.5000,0
PCM,20171004,6.5000,6.5000,6.5000,6.5000,0
PCM,20171005,6.5000,6.5000,6.5000,6.5000,0
PCM,20171006,6.5000,6.5000,6.5000,6.5000,0
PCM,20171009,6.5000,6.5000,6.5000,6.5000,0
PCM,20171010,6.5000,6.5000,6.5000,6.5000,0
PCM,20171011,6.5000,6.5000,6.5000,6.5000,0
PCM,20171012,6.5000,6.5000,6.5000,6.5000,0
PCM,20171013,6.5000,6.5000,6.5000,6.5000,0
PCM,20171016,6.5000,6.5000,6.5000,6.5000,0
PCM,20171017,6.5000,6.5000,6.5000,6.5000,0
PCM,20171018,6.5000,6.5000,6.5000,6.5000,0
PCM,20171019,6.5000,6.5000,6.5000,6.5000,0
PCM,20171020,6.5000,6.5000,6.5000,6.5000,0
PCM,20171023,6.5000,6.5000,6.5000,6.5000,0
PCM,20171024,6.5000,6.5000,6.5000,6.5000,0
PCM,20171025,5.6000,5.6000,5.6000,5.6000,2000
PCM,20171026,4.8000,4.8000,4.8000,4.8000,4700
PCM,20171027,4.8000,4.8000,4.8000,4.8000,0
PCM,20171030,4.8000,4.8000,4.8000,4.8000,0
PCM,20171031,4.8000,4.8000,4.8000,4.8000,0
PCM,20171101,4.8000,4.8000,4.8000,4.8000,0
PCM,20171102,4.8000,4.8000,4.8000,4.8000,0
PCM,20171103,4.8000,4.8000,4.8000,4.8000,0
PCM,20171106,4.8000,4.8000,4.8000,4.8000,0
PCM,20171107,4.8000,4.8000,4.8000,4.8000,0
PCM,20171108,4.8000,4.8000,4.8000,4.8000,0
PCM,20171109,4.8000,4.8000,4.8000,4.8000,0
PCM,20171110,4.8000,4.8000,4.8000,4.8000,0
PCM,20171113,4.8000,4.8000,4.8000,4.8000,0
PCM,20171114,4.8000,4.8000,4.8000,4.8000,0
PCM,20171115,4.8000,4.8000,4.8000,4.8000,100
PCM,20171116,4.1000,4.1000,4.1000,4.1000,900
PCM,20171117,4.1000,4.1000,4.1000,4.1000,2000
PCM,20171120,4.1000,4.1000,4.1000,4.1000,0
PCM,20171121,4.1000,4.1000,4.1000,4.1000,0
PCM,20171122,4.1000,4.1000,4.1000,4.1000,0
PCM,20171123,4.1000,4.1000,4.1000,4.1000,0
PCM,20171124,4.1000,4.1000,4.1000,4.1000,0
PCM,20171127,4.1000,4.1000,4.1000,4.1000,0
PCM,20171128,4.1000,4.1000,4.1000,4.1000,0
PCM,20171129,4.1000,4.1000,4.1000,4.1000,0
PCM,20171130,4.1000,4.1000,4.1000,4.1000,0
PCM,20171201,4.5000,4.5000,4.5000,4.5000,100
PCM,20171204,4.5000,4.5000,4.5000,4.5000,0
PCM,20171205,4.5000,4.5000,4.5000,4.5000,200
PCM,20171206,4.5000,4.5000,4.5000,4.5000,0
PCM,20171207,4.5000,4.5000,4.5000,4.5000,0
PCM,20171208,4.5000,4.5000,4.5000,4.5000,0
PCM,20171211,4.5000,4.5000,4.5000,4.5000,0
PCM,20171212,4.5000,4.5000,4.5000,4.5000,0
PCM,20171213,4.5000,4.5000,4.5000,4.5000,0
PCM,20171214,4.5000,4.5000,4.5000,4.5000,0
PCM,20171215,4.5000,4.5000,4.5000,4.5000,0
PCM,20171218,4.5000,4.5000,4.5000,4.5000,0
PCM,20171219,4.5000,4.5000,4.5000,4.5000,0
PCM,20171220,4.5000,4.5000,4.5000,4.5000,0
PCM,20171221,4.5000,4.5000,4.5000,4.5000,0
PCM,20171222,4.5000,4.5000,4.5000,4.5000,0
PCM,20171225,4.5000,4.5000,4.5000,4.5000,0
PCM,20171226,4.5000,4.5000,4.5000,4.5000,0
PCM,20171227,5.1000,5.1000,5.1000,5.1000,100
PCM,20171228,5.1000,5.1000,5.1000,5.1000,0
PCM,20171229,5.1000,5.1000,5.1000,5.1000,0
PCM,20180102,5.1000,5.1000,5.1000,5.1000,0
PCM,20180103,5.1000,5.1000,5.1000,5.1000,0
PCM,20180104,5.1000,5.1000,5.1000,5.1000,0
PCM,20180105,5.1000,5.1000,5.1000,5.1000,0
PCM,20180108,5.1000,5.1000,5.1000,5.1000,0
PCM,20180109,5.1000,5.1000,5.1000,5.1000,0
PCM,20180110,5.1000,5.1000,5.1000,5.1000,0
PCM,20180111,5.1000,5.1000,5.1000,5.1000,0
PCM,20180112,5.1000,5.1000,5.1000,5.1000,0
PCM,20180115,5.1000,5.1000,5.1000,5.1000,0
PCM,20180116,5.1000,5.1000,5.1000,5.1000,0
PCM,20180117,5.1000,5.1000,5.1000,5.1000,0
PCM,20180118,5.1000,5.1000,5.1000,5.1000,0
PCM,20180119,5.1000,5.1000,5.1000,5.1000,0
PCM,20180122,5.1000,5.1000,5.1000,5.1000,0
PCM,20180123,5.1000,5.1000,5.1000,5.1000,0
PCM,20180124,5.1000,5.1000,5.1000,5.1000,0
PCM,20180125,5.1000,5.1000,5.1000,5.1000,0
PCM,20180126,5.1000,5.1000,5.1000,5.1000,0
PCM,20180129,5.1000,5.1000,5.1000,5.1000,0
PCM,20180130,5.1000,5.1000,5.1000,5.1000,0
PCM,20180131,5.1000,5.1000,5.1000,5.1000,0
PCM,20180201,5.1000,5.1000,5.1000,5.1000,0
PCM,20180202,5.1000,5.1000,5.1000,5.1000,0
PCM,20180205,5.1000,5.1000,5.1000,5.1000,0
PCM,20180206,5.1000,5.1000,5.1000,5.1000,0
PCM,20180207,5.1000,5.1000,5.1000,5.1000,0
PCM,20180208,5.1000,5.1000,5.1000,5.1000,0
PCM,20180209,5.1000,5.1000,5.1000,5.1000,0
PCM,20180212,5.1000,5.1000,5.1000,5.1000,0
PCM,20180213,5.1000,5.1000,5.1000,5.1000,0
PCM,20180221,5.1000,5.1000,5.1000,5.1000,0
PCM,20180222,5.1000,5.1000,5.1000,5.1000,0
PCM,20180223,5.1000,5.1000,5.1000,5.1000,0
PCM,20180226,5.1000,5.1000,5.1000,5.1000,0
PCM,20180227,5.1000,5.1000,5.1000,5.1000,0
PCM,20180228,5.1000,5.1000,5.1000,5.1000,0
PCM,20180301,5.1000,5.1000,5.1000,5.1000,0
PCM,20180302,5.1000,5.1000,5.1000,5.1000,0
PCM,20180305,5.1000,5.1000,5.1000,5.1000,0
PCM,20180306,5.1000,5.1000,5.1000,5.1000,0
PCM,20180307,5.1000,5.1000,5.1000,5.1000,0
PCM,20180308,5.1000,5.1000,5.1000,5.1000,0
PCM,20180309,5.1000,5.1000,5.1000,5.1000,0
PCM,20180312,5.1000,5.1000,5.1000,5.1000,0
PCM,20180313,5.1000,5.1000,5.1000,5.1000,0
PCM,20180314,5.1000,5.1000,5.1000,5.1000,0
PCM,20180315,5.1000,5.1000,5.1000,5.1000,0
