<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PDT,20181122,14.5000,14.5000,6.7000,6.7000,4300
PDT,20181123,11.0000,11.0000,11.0000,11.0000,100
PDT,20181126,11.0000,11.0000,11.0000,11.0000,0
PDT,20181127,9.5000,9.5000,9.5000,9.5000,100
PDT,20181128,8.1000,10.6000,8.1000,10.6000,300
PDT,20181129,7.8000,7.8000,7.8000,7.8000,100
PDT,20181130,8.9000,8.9000,6.7000,6.7000,300
PDT,20181203,6.6000,6.6000,6.6000,6.6000,100
PDT,20181204,5.8000,5.8000,5.8000,5.8000,100
PDT,20181205,6.6000,6.6000,5.6000,6.6000,1000
PDT,20181206,6.9000,6.9000,6.9000,6.9000,100
PDT,20181207,7.9000,7.9000,7.9000,7.9000,100
PDT,20181210,8.0000,8.0000,8.0000,8.0000,100
PDT,20181211,8.0000,8.0000,8.0000,8.0000,0
PDT,20181212,9.1000,9.1000,9.1000,9.1000,100
PDT,20181213,9.1000,9.1000,9.1000,9.1000,0
PDT,20181214,9.5000,9.5000,9.5000,9.5000,100
PDT,20181217,9.5000,9.5000,9.5000,9.5000,0
PDT,20181218,9.5000,9.5000,9.5000,9.5000,0
PDT,20181219,9.5000,9.5000,9.5000,9.5000,0
PDT,20181220,9.5000,9.5000,9.5000,9.5000,0
PDT,20181221,9.5000,9.5000,9.5000,9.5000,0
PDT,20181224,9.5000,9.5000,9.5000,9.5000,0
PDT,20181225,9.5000,9.5000,9.5000,9.5000,0
PDT,20181226,9.5000,9.5000,9.5000,9.5000,0
PDT,20181227,9.5000,9.5000,9.5000,9.5000,0
PDT,20181228,9.5000,9.5000,9.5000,9.5000,0
PDT,20190102,9.5000,9.5000,9.5000,9.5000,0
PDT,20190103,9.5000,9.5000,9.5000,9.5000,0
PDT,20190104,9.5000,9.5000,9.5000,9.5000,0
PDT,20190107,9.5000,9.5000,9.5000,9.5000,0
PDT,20190108,9.5000,9.5000,9.5000,9.5000,0
PDT,20190109,9.5000,9.5000,9.5000,9.5000,0
PDT,20190110,9.5000,9.5000,9.5000,9.5000,0
PDT,20190111,9.5000,9.5000,9.5000,9.5000,0
PDT,20190114,9.5000,9.5000,9.5000,9.5000,0
PDT,20190115,9.5000,9.5000,9.5000,9.5000,0
PDT,20190116,9.5000,9.5000,9.5000,9.5000,0
PDT,20190117,9.5000,9.5000,9.5000,9.5000,0
PDT,20190118,9.5000,9.5000,9.5000,9.5000,0
PDT,20190121,9.5000,9.5000,9.5000,9.5000,0
PDT,20190122,9.5000,9.5000,9.5000,9.5000,0
PDT,20190123,9.5000,9.5000,9.5000,9.5000,0
PDT,20190124,9.5000,9.5000,9.5000,9.5000,0
PDT,20190125,9.5000,9.5000,9.5000,9.5000,0
PDT,20190128,9.5000,9.5000,9.5000,9.5000,0
PDT,20190129,9.5000,9.5000,9.5000,9.5000,0
PDT,20190130,9.5000,9.5000,9.5000,9.5000,0
PDT,20190131,9.5000,9.5000,9.5000,9.5000,0
PDT,20190201,9.5000,9.5000,9.5000,9.5000,0
PDT,20190211,10.7000,10.7000,10.7000,10.7000,100
PDT,20190212,10.7000,10.7000,10.7000,10.7000,0
PDT,20190213,11.0000,11.0000,11.0000,11.0000,100
PDT,20190214,11.0000,11.0000,11.0000,11.0000,0
PDT,20190215,11.0000,11.0000,11.0000,11.0000,0
PDT,20190218,11.0000,11.0000,11.0000,11.0000,0
PDT,20190219,11.0000,11.0000,11.0000,11.0000,0
PDT,20190220,11.0000,11.0000,11.0000,11.0000,0
PDT,20190221,11.0000,11.0000,11.0000,11.0000,0
PDT,20190222,9.4000,9.4000,9.4000,9.4000,100
PDT,20190225,9.4000,9.4000,9.4000,9.4000,0
PDT,20190226,9.4000,9.4000,9.4000,9.4000,0
PDT,20190227,9.4000,9.4000,9.4000,9.4000,0
PDT,20190228,9.4000,9.4000,9.4000,9.4000,0
PDT,20190301,9.4000,9.4000,9.4000,9.4000,0
PDT,20190304,8.0000,8.0000,8.0000,8.0000,1200
PDT,20190305,6.8000,6.8000,6.8000,6.8000,3200
PDT,20190306,6.8000,6.8000,6.8000,6.8000,0
PDT,20190307,5.9000,5.9000,5.9000,5.9000,200
PDT,20190308,6.7000,6.7000,6.7000,6.7000,100
PDT,20190311,6.7000,6.7000,6.7000,6.7000,0
PDT,20190312,6.7000,6.7000,6.7000,6.7000,0
PDT,20190313,7.6000,7.6000,7.6000,7.6000,1900
PDT,20190314,7.6000,7.6000,7.6000,7.6000,0
PDT,20190315,7.6000,7.6000,7.6000,7.6000,0
PDT,20190318,7.6000,7.6000,7.6000,7.6000,0
PDT,20190319,7.6000,7.6000,7.6000,7.6000,0
PDT,20190320,7.6000,7.6000,7.6000,7.6000,0
PDT,20190321,7.6000,7.6000,7.6000,7.6000,0
PDT,20190322,7.6000,7.6000,7.6000,7.6000,0
PDT,20190325,7.6000,7.6000,7.6000,7.6000,0
PDT,20190326,7.6000,7.6000,7.6000,7.6000,0
PDT,20190327,8.7000,8.7000,8.7000,8.7000,200
PDT,20190328,8.0000,8.0000,8.0000,8.0000,500
PDT,20190329,8.0000,8.0000,8.0000,8.0000,400
PDT,20190401,8.0000,8.0000,8.0000,8.0000,0
PDT,20190402,9.0000,9.0000,9.0000,9.0000,100
PDT,20190403,9.0000,9.0000,9.0000,9.0000,1000
PDT,20190404,8.5000,8.5000,8.5000,8.5000,1100
PDT,20190405,8.3000,8.3000,8.0000,8.0000,800
PDT,20190408,8.0000,8.0000,8.0000,8.0000,0
PDT,20190409,8.0000,8.0000,8.0000,8.0000,0
PDT,20190410,8.0000,8.0000,8.0000,8.0000,0
PDT,20190411,8.0000,8.0000,8.0000,8.0000,0
PDT,20190412,8.0000,8.0000,8.0000,8.0000,0
PDT,20190416,8.0000,8.0000,8.0000,8.0000,0
PDT,20190417,8.0000,8.0000,8.0000,8.0000,0
PDT,20190418,8.0000,8.0000,8.0000,8.0000,0
PDT,20190419,8.0000,8.0000,8.0000,8.0000,0
PDT,20190422,8.0000,8.0000,8.0000,8.0000,0
PDT,20190423,9.0000,9.0000,9.0000,9.0000,1300
PDT,20190424,9.0000,9.0000,9.0000,9.0000,0
PDT,20190425,9.0000,9.0000,9.0000,9.0000,0
PDT,20190426,9.0000,9.0000,9.0000,9.0000,0
PDT,20190502,9.0000,9.0000,9.0000,9.0000,0
PDT,20190503,9.0000,9.0000,9.0000,9.0000,0
PDT,20190506,9.0000,9.0000,9.0000,9.0000,0
PDT,20190507,9.0000,9.0000,9.0000,9.0000,0
PDT,20190508,9.0000,9.0000,9.0000,9.0000,0
PDT,20190509,9.0000,9.0000,9.0000,9.0000,0
PDT,20190510,9.1000,9.1000,9.1000,9.1000,100
PDT,20190513,9.1000,9.1000,9.1000,9.1000,0
PDT,20190514,9.1000,9.1000,9.1000,9.1000,0
PDT,20190515,9.1000,9.1000,9.1000,9.1000,0
PDT,20190516,9.1000,9.1000,9.1000,9.1000,0
PDT,20190517,9.1000,9.1000,9.1000,9.1000,0
PDT,20190520,9.1000,9.1000,9.1000,9.1000,0
PDT,20190521,9.1000,9.1000,9.1000,9.1000,0
PDT,20190522,8.0000,8.0000,8.0000,8.0000,100
PDT,20190523,8.0000,8.0000,8.0000,8.0000,0
PDT,20190524,8.0000,8.0000,8.0000,8.0000,0
PDT,20190527,8.0000,8.0000,8.0000,8.0000,0
PDT,20190528,6.8000,6.8000,6.8000,6.8000,100
PDT,20190529,7.8000,7.8000,7.8000,7.8000,100
PDT,20190530,7.8000,7.8000,7.8000,7.8000,0
PDT,20190531,6.7000,6.7000,6.7000,6.7000,200
PDT,20190603,6.7000,6.7000,6.7000,6.7000,0
PDT,20190604,6.7000,6.7000,6.7000,6.7000,0
PDT,20190605,5.7000,7.3000,5.7000,7.3000,400
PDT,20190606,6.1000,6.1000,6.1000,6.1000,0
PDT,20190607,6.1000,6.1000,6.1000,6.1000,0
PDT,20190610,6.1000,6.1000,6.1000,6.1000,0
PDT,20190611,6.1000,6.1000,6.1000,6.1000,0
PDT,20190612,7.0000,7.0000,7.0000,7.0000,100
PDT,20190613,7.0000,7.0000,7.0000,7.0000,0
PDT,20190614,7.0000,7.0000,7.0000,7.0000,0
PDT,20190617,7.0000,7.0000,7.0000,7.0000,0
PDT,20190618,7.0000,7.0000,7.0000,7.0000,0
PDT,20190619,7.0000,7.0000,7.0000,7.0000,0
PDT,20190620,7.0000,7.0000,7.0000,7.0000,0
PDT,20190621,7.0000,7.0000,7.0000,7.0000,0
PDT,20190624,7.0000,7.0000,7.0000,7.0000,0
PDT,20190625,7.0000,7.0000,7.0000,7.0000,400
PDT,20190626,7.0000,7.0000,7.0000,7.0000,0
PDT,20190627,7.0000,7.0000,7.0000,7.0000,0
PDT,20190628,7.0000,7.0000,7.0000,7.0000,0
PDT,20190701,7.0000,7.0000,7.0000,7.0000,0
PDT,20190702,7.0000,7.0000,7.0000,7.0000,0
PDT,20190703,7.0000,7.0000,7.0000,7.0000,0
PDT,20190704,7.0000,7.0000,7.0000,7.0000,0
PDT,20190705,7.0000,7.0000,7.0000,7.0000,0
PDT,20190708,8.0000,8.0000,8.0000,8.0000,100
PDT,20190709,8.0000,9.2000,7.5000,8.0000,2100
PDT,20190710,8.0000,8.0000,8.0000,8.0000,0
PDT,20190711,8.0000,8.0000,8.0000,8.0000,0
PDT,20190712,8.0000,8.0000,8.0000,8.0000,3000
PDT,20190715,8.0000,8.0000,8.0000,8.0000,0
PDT,20190716,8.0000,8.0000,8.0000,8.0000,0
PDT,20190717,8.0000,8.0000,8.0000,8.0000,0
PDT,20190718,8.0000,8.0000,8.0000,8.0000,0
PDT,20190719,8.0000,8.0000,8.0000,8.0000,0
PDT,20190722,7.5000,7.5000,7.5000,7.5000,1000
PDT,20190723,7.5000,7.5000,7.5000,7.5000,0
PDT,20190724,7.5000,7.5000,7.5000,7.5000,0
PDT,20190725,7.5000,7.5000,7.5000,7.5000,0
PDT,20190726,7.5000,7.5000,7.5000,7.5000,0
PDT,20190729,7.5000,7.5000,7.5000,7.5000,0
PDT,20190730,7.5000,7.5000,7.5000,7.5000,0
PDT,20190731,7.5000,7.5000,7.5000,7.5000,0
PDT,20190801,7.5000,7.5000,7.5000,7.5000,0
PDT,20190802,7.5000,7.5000,7.5000,7.5000,0
PDT,20190805,7.5000,7.5000,7.5000,7.5000,0
PDT,20190806,7.5000,7.5000,7.5000,7.5000,0
PDT,20190807,7.5000,7.5000,7.5000,7.5000,0
PDT,20190808,7.5000,7.5000,7.5000,7.5000,0
PDT,20190809,7.5000,7.5000,7.5000,7.5000,0
PDT,20190812,7.5000,7.5000,7.5000,7.5000,0
PDT,20190813,7.5000,7.5000,7.5000,7.5000,0
PDT,20190814,7.5000,7.5000,7.5000,7.5000,0
PDT,20190815,7.5000,7.5000,7.5000,7.5000,0
