<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PEN,20140925,10.7776,10.7776,10.7776,10.7776,24900
PEN,20140926,11.8278,11.8278,9.7275,9.7275,27500
PEN,20140929,10.4460,10.4460,8.7879,8.7879,2100
PEN,20140930,7.9589,7.9589,7.9589,7.9589,800
PEN,20141001,7.1851,8.7327,7.1851,7.1851,38700
PEN,20141002,7.9036,7.9036,7.9036,7.9036,15200
PEN,20141003,8.6774,8.6774,8.6774,8.6774,8810
PEN,20141006,8.6774,8.6774,7.8483,7.8483,6400
PEN,20141007,7.7378,8.1247,7.7378,8.0694,1800
PEN,20141008,7.2956,8.0141,7.2956,7.3509,13200
PEN,20141009,7.2956,7.2956,7.0746,7.1851,1600
PEN,20141010,7.9036,7.9036,7.6273,7.6273,200
PEN,20141013,7.1851,7.1851,6.9087,6.9640,4200
PEN,20141014,7.0746,7.0746,7.0746,7.0746,300
PEN,20141015,7.2956,7.2956,7.2956,7.2956,100
PEN,20141016,6.9087,6.9087,6.9087,6.9087,1000
PEN,20141017,6.9087,6.9087,6.9087,6.9087,0
PEN,20141020,6.7429,6.7429,6.3008,6.3008,1700
PEN,20141021,6.4113,6.6324,6.4113,6.6324,600
PEN,20141022,6.6324,6.6324,6.6324,6.6324,500
PEN,20141023,6.6324,6.6324,6.6324,6.6324,0
PEN,20141024,6.6324,6.6324,6.6324,6.6324,0
PEN,20141027,6.6324,6.6324,6.6324,6.6324,0
PEN,20141028,6.6324,6.6324,6.6324,6.6324,0
PEN,20141029,6.0244,6.0244,6.0244,6.0244,500
PEN,20141030,5.5823,5.5823,5.5823,5.5823,100
PEN,20141031,5.1401,6.1350,5.1401,6.1350,2000
PEN,20141103,6.1350,6.1350,6.1350,6.1350,0
PEN,20141104,6.1350,6.1350,6.1350,6.1350,0
PEN,20141105,5.9139,6.5219,5.9139,6.5219,200
PEN,20141106,6.5219,6.5219,6.5219,6.5219,0
PEN,20141107,5.9139,5.9692,5.9139,5.9139,1700
PEN,20141110,5.9139,5.9139,5.9139,5.9139,0
PEN,20141111,5.9139,5.9139,5.9139,5.9139,0
PEN,20141112,5.9139,5.9139,5.9139,5.9139,0
PEN,20141113,6.0244,6.0244,6.0244,6.0244,100
PEN,20141114,6.0244,6.0244,6.0244,6.0244,0
PEN,20141117,6.0244,6.0244,6.0244,6.0244,0
PEN,20141118,5.5270,5.5270,5.5270,5.5270,8300
PEN,20141119,6.0797,6.0797,6.0797,6.0797,400
PEN,20141120,5.7481,6.0797,5.7481,6.0797,800
PEN,20141121,5.8033,5.8033,5.6928,5.6928,400
PEN,20141124,5.6928,5.6928,5.6928,5.6928,0
PEN,20141125,5.6928,5.6928,5.6928,5.6928,0
PEN,20141126,5.6928,5.6928,5.6928,5.6928,0
PEN,20141127,5.6928,5.6928,5.6928,5.6928,0
PEN,20141128,5.1954,5.1954,5.1401,5.1401,2200
PEN,20141201,5.1401,5.1401,5.1401,5.1401,0
PEN,20141202,5.6375,5.6375,5.6375,5.6375,100
PEN,20141203,5.6375,5.6375,5.6375,5.6375,0
PEN,20141204,5.5270,5.5270,5.5270,5.5270,100
PEN,20141205,5.5270,5.5270,5.5270,5.5270,0
PEN,20141208,4.9743,4.9743,4.9743,4.9743,1500
PEN,20141209,4.9743,4.9743,4.9743,4.9743,1400
PEN,20141210,4.9743,4.9743,4.9743,4.9743,0
PEN,20141211,4.9743,4.9743,4.9743,4.9743,0
PEN,20141212,4.9743,4.9743,4.9743,4.9743,0
PEN,20141215,4.9743,4.9743,4.9743,4.9743,0
PEN,20141216,4.9743,4.9743,4.9743,4.9743,0
PEN,20141217,5.1954,5.1954,5.1954,5.1954,2000
PEN,20141218,4.7532,4.7532,4.7532,4.7532,800
PEN,20141219,4.7532,4.7532,4.7532,4.7532,0
PEN,20141222,5.0848,5.0848,5.0848,5.0848,100
PEN,20141223,5.0848,5.0848,5.0848,5.0848,0
PEN,20141224,5.1401,5.1401,5.1401,5.1401,300
PEN,20141225,4.9743,4.9743,4.9743,4.9743,100
PEN,20141226,4.6979,4.6979,4.6979,4.6979,1800
PEN,20141229,4.4216,4.4216,4.4216,4.4216,3000
PEN,20141230,4.4216,4.4216,4.4216,4.4216,2000
PEN,20141231,4.4216,4.4216,4.4216,4.4216,1700
PEN,20150105,4.4216,4.4216,4.4216,4.4216,0
PEN,20150106,4.4216,4.4216,4.4216,4.4216,4700
PEN,20150107,4.4769,4.4769,4.4216,4.4216,2000
PEN,20150108,4.4216,4.4216,4.4216,4.4216,0
PEN,20150109,4.4216,4.4216,4.4216,4.4216,0
PEN,20150112,4.4216,4.4216,4.4216,4.4216,300
PEN,20150113,4.4216,4.4216,4.4216,4.4216,0
PEN,20150114,4.4216,4.7532,4.4216,4.7532,10100
PEN,20150115,4.7532,4.7532,4.7532,4.7532,0
PEN,20150116,4.4216,4.4216,4.4216,4.4216,500
PEN,20150119,4.4216,4.4216,4.4216,4.4216,0
PEN,20150120,4.4216,4.4216,4.4216,4.4216,0
PEN,20150121,4.4216,4.4216,4.4216,4.4216,0
PEN,20150122,4.4216,4.8638,4.4216,4.8638,3500
PEN,20150123,5.2506,5.2506,5.2506,5.2506,500
PEN,20150126,5.5270,5.7481,5.5270,5.7481,7700
PEN,20150127,5.6375,6.0797,5.5270,6.0797,3300
PEN,20150128,6.0797,6.5771,6.0797,6.5771,300
PEN,20150129,6.5771,6.5771,6.5771,6.5771,0
PEN,20150130,6.3560,6.4113,6.0244,6.0244,4600
PEN,20150202,6.0244,6.0244,5.7481,5.7481,4100
PEN,20150203,5.7481,5.7481,5.7481,5.7481,0
PEN,20150204,6.0244,6.0797,6.0244,6.0244,2400
PEN,20150205,6.2455,6.2455,6.2455,6.2455,100
PEN,20150206,6.2455,6.2455,6.2455,6.2455,0
PEN,20150209,6.3008,6.3008,6.3008,6.3008,500
PEN,20150210,6.3008,6.3008,6.3008,6.3008,0
PEN,20150211,6.3560,6.3560,6.0797,6.3560,800
PEN,20150212,6.3560,6.3560,6.3560,6.3560,0
PEN,20150213,6.3560,6.6324,6.3560,6.6324,200
PEN,20150224,6.6324,6.6324,6.6324,6.6324,0
PEN,20150225,7.0746,7.0746,7.0746,7.0746,200
PEN,20150226,7.0746,7.0746,7.0746,7.0746,1000
PEN,20150227,7.0746,7.0746,7.0746,7.0746,0
PEN,20150302,7.0746,7.0746,7.0746,7.0746,0
PEN,20150303,6.4113,6.8535,6.4113,6.8535,2600
PEN,20150304,6.8535,6.8535,6.5771,6.5771,300
PEN,20150305,6.6324,6.6324,6.4666,6.4666,1500
PEN,20150306,6.5771,6.5771,6.5771,6.5771,100
PEN,20150309,6.0797,6.5771,5.9692,6.5771,1500
PEN,20150310,6.5771,6.5771,6.5771,6.5771,0
PEN,20150311,6.0797,6.0797,6.0797,6.0797,2070
PEN,20150312,6.0797,6.0797,6.0797,6.0797,0
PEN,20150313,6.0797,6.0797,6.0797,6.0797,0
PEN,20150316,6.0797,6.0797,6.0797,6.0797,20
PEN,20150317,6.6324,6.6324,6.3560,6.3560,200
PEN,20150318,6.3560,6.3560,6.3560,6.3560,0
