<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PGB,20201228,16.3000,18.1000,16.2000,17.7000,338900
PGB,20201229,17.7000,18.3000,17.4000,17.4000,239800
PGB,20201230,17.7000,17.9000,17.1000,17.7000,117980
PGB,20201231,18.0000,18.7000,17.4000,17.8000,107500
PGB,20210104,17.8000,17.9000,17.5000,17.8000,122000
PGB,20210105,17.4000,17.4000,16.9000,17.1000,61390
PGB,20210106,17.1000,17.1000,16.4000,16.5000,119800
PGB,20210107,16.5000,16.9000,16.3000,16.8000,124791
PGB,20210108,16.6000,16.7000,16.5000,16.6000,86300
PGB,20210111,16.6000,16.7000,16.5000,16.5000,68700
PGB,20210112,16.5000,16.5000,16.0000,16.4000,49900
PGB,20210113,16.3000,16.5000,16.0000,16.3000,52050
PGB,20210114,16.0000,16.3000,15.8000,16.3000,29677
PGB,20210115,16.2000,16.3000,16.0000,16.3000,112317
PGB,20210118,16.2000,16.2000,15.9000,16.2000,71180
PGB,20210119,16.0000,16.2000,15.3000,16.0000,95763
PGB,20210120,16.0000,16.0000,15.3000,15.5000,30969
PGB,20210121,15.8000,16.0000,15.6000,15.8000,16045
PGB,20210122,16.0000,16.0000,15.5000,15.6000,34500
PGB,20210125,15.4000,15.6000,15.3000,15.5000,20493
PGB,20210126,15.4000,15.5000,14.8000,14.8000,29963
PGB,20210127,15.0000,15.1000,14.0000,14.5000,30950
PGB,20210128,14.0000,14.5000,12.4000,12.4000,201992
PGB,20210129,10.6000,13.5000,10.6000,12.0000,395943
PGB,20210201,12.2000,12.6000,11.0000,12.6000,41800
PGB,20210202,12.6000,13.8000,12.0000,13.8000,79300
PGB,20210203,13.5000,14.7000,13.5000,14.0000,61742
PGB,20210204,14.3000,14.5000,13.5000,13.8000,29711
PGB,20210205,13.8000,14.5000,13.8000,13.8000,63003
PGB,20210208,14.0000,14.8000,13.0000,13.6000,20100
PGB,20210209,13.6000,14.0000,13.0000,13.6000,47039
PGB,20210217,13.4000,13.6000,13.3000,13.5000,36900
PGB,20210218,13.5000,13.8000,13.5000,13.7000,29325
