<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PGS,20071115,80.0000,80.0000,68.0000,71.9000,59000
PGS,20071116,70.0000,72.0000,70.0000,70.8000,34300
PGS,20071119,71.8000,71.8000,63.9000,64.9000,33600
PGS,20071120,63.0000,63.6000,62.0000,63.5000,6800
PGS,20071121,62.2000,62.2000,59.0000,59.5000,12000
PGS,20071122,60.0000,62.0000,60.0000,60.5000,15100
PGS,20071123,62.0000,62.0000,60.5000,61.0000,7900
PGS,20071126,61.0000,61.0000,59.5000,59.6000,7600
PGS,20071127,60.5000,60.5000,58.9000,58.9000,10000
PGS,20071128,58.0000,59.7000,57.5000,57.5000,5900
PGS,20071129,61.0000,61.0000,60.4000,61.0000,6900
PGS,20071130,60.7000,60.7000,59.0000,59.0000,6300
PGS,20071203,59.3000,61.5000,58.0000,61.3000,16200
PGS,20071204,61.0000,61.0000,59.0000,60.5000,15400
PGS,20071205,61.5000,61.5000,59.0000,59.2000,12800
PGS,20071206,59.1000,60.0000,58.9000,60.0000,4200
PGS,20071207,65.4000,65.4000,59.0000,59.5000,15300
PGS,20071210,60.0000,60.0000,57.0000,58.0000,7700
PGS,20071211,57.5000,58.0000,56.5000,57.0000,3100
PGS,20071212,57.0000,57.5000,56.9000,57.5000,11100
PGS,20071213,57.0000,57.0000,54.7000,57.0000,1200
PGS,20071214,51.0000,55.1000,50.5000,55.1000,5400
PGS,20071217,51.0000,52.0000,49.0000,49.5000,4800
PGS,20071218,50.0000,53.0000,50.0000,50.5000,17900
PGS,20071219,50.5000,55.6000,50.5000,55.0000,15400
PGS,20071220,56.0000,56.0000,53.5000,53.5000,2500
PGS,20071221,54.0000,54.7000,53.6000,54.1000,12100
PGS,20071224,54.2000,55.0000,54.0000,54.4000,2700
PGS,20071225,54.5000,54.5000,53.0000,53.0000,6700
PGS,20071226,54.0000,54.1000,52.5000,54.0000,3400
PGS,20071227,52.9000,53.0000,52.5000,53.0000,2600
PGS,20071228,51.0000,54.8000,51.0000,54.8000,2000
PGS,20080102,52.6000,52.6000,47.4000,50.2000,1600
PGS,20080103,51.0000,52.0000,50.7000,52.0000,3500
