<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PKR,20170106,10.0000,10.0000,10.0000,10.0000,0
PKR,20170109,10.0000,10.0000,10.0000,10.0000,0
PKR,20170110,10.0000,10.0000,10.0000,10.0000,0
PKR,20170111,10.0000,10.0000,10.0000,10.0000,0
PKR,20170112,10.0000,10.0000,10.0000,10.0000,0
PKR,20170113,10.0000,10.0000,10.0000,10.0000,0
PKR,20170116,10.0000,10.0000,10.0000,10.0000,0
PKR,20170117,10.0000,10.0000,10.0000,10.0000,0
PKR,20170118,10.0000,10.0000,10.0000,10.0000,0
PKR,20170119,10.0000,10.0000,10.0000,10.0000,0
PKR,20170120,10.0000,10.0000,10.0000,10.0000,0
PKR,20170123,10.0000,10.0000,10.0000,10.0000,0
PKR,20170124,10.0000,10.0000,10.0000,10.0000,0
PKR,20170125,6.0000,6.0000,6.0000,6.0000,5000
PKR,20170202,6.0000,6.0000,6.0000,6.0000,0
PKR,20170203,6.0000,6.0000,6.0000,6.0000,0
PKR,20170206,6.9000,6.9000,6.9000,6.9000,100
PKR,20170207,6.9000,6.9000,6.9000,6.9000,0
PKR,20170208,6.9000,6.9000,6.9000,6.9000,0
PKR,20170209,6.9000,6.9000,6.9000,6.9000,0
PKR,20170210,6.9000,6.9000,6.9000,6.9000,0
PKR,20170213,6.9000,6.9000,6.9000,6.9000,0
PKR,20170214,6.9000,6.9000,6.9000,6.9000,0
PKR,20170215,6.9000,6.9000,6.9000,6.9000,0
PKR,20170216,6.9000,6.9000,6.9000,6.9000,0
PKR,20170217,6.9000,6.9000,6.9000,6.9000,0
PKR,20170220,6.9000,6.9000,6.9000,6.9000,0
PKR,20170221,6.9000,6.9000,6.9000,6.9000,0
PKR,20170222,6.9000,6.9000,6.9000,6.9000,0
PKR,20170223,6.9000,6.9000,6.9000,6.9000,0
PKR,20170224,6.9000,6.9000,6.9000,6.9000,0
PKR,20170227,6.9000,6.9000,6.9000,6.9000,0
PKR,20170228,6.9000,6.9000,6.9000,6.9000,0
PKR,20170301,6.9000,6.9000,6.9000,6.9000,0
PKR,20170302,6.9000,6.9000,6.9000,6.9000,0
PKR,20170303,6.9000,6.9000,6.9000,6.9000,0
PKR,20170306,6.9000,6.9000,6.9000,6.9000,0
PKR,20170307,6.9000,6.9000,6.9000,6.9000,0
PKR,20170308,6.9000,6.9000,6.9000,6.9000,0
PKR,20170309,6.9000,6.9000,6.9000,6.9000,0
PKR,20170310,6.9000,6.9000,6.9000,6.9000,0
PKR,20170313,6.9000,6.9000,6.9000,6.9000,0
PKR,20170314,6.9000,6.9000,6.9000,6.9000,0
PKR,20170315,6.9000,6.9000,6.9000,6.9000,0
PKR,20170316,6.9000,6.9000,6.9000,6.9000,0
PKR,20170317,6.9000,6.9000,6.9000,6.9000,0
PKR,20170320,6.9000,6.9000,6.9000,6.9000,0
PKR,20170321,6.9000,6.9000,6.9000,6.9000,0
PKR,20170322,6.9000,6.9000,6.9000,6.9000,0
PKR,20170323,6.9000,6.9000,6.9000,6.9000,0
PKR,20170324,6.9000,6.9000,6.9000,6.9000,0
PKR,20170327,6.9000,6.9000,6.9000,6.9000,0
PKR,20170328,6.9000,6.9000,6.9000,6.9000,0
PKR,20170329,6.9000,6.9000,6.9000,6.9000,0
PKR,20170330,6.9000,6.9000,6.9000,6.9000,0
PKR,20170331,6.9000,6.9000,6.9000,6.9000,0
PKR,20170403,6.9000,6.9000,6.9000,6.9000,0
PKR,20170404,6.9000,6.9000,6.9000,6.9000,0
PKR,20170405,6.9000,6.9000,6.9000,6.9000,0
PKR,20170407,6.9000,6.9000,6.9000,6.9000,0
PKR,20170410,6.9000,6.9000,6.9000,6.9000,0
PKR,20170411,6.9000,6.9000,6.9000,6.9000,0
PKR,20170412,6.9000,6.9000,6.9000,6.9000,0
PKR,20170413,6.9000,6.9000,6.9000,6.9000,0
PKR,20170414,6.9000,6.9000,6.9000,6.9000,0
PKR,20170417,6.9000,6.9000,6.9000,6.9000,0
PKR,20170418,6.9000,6.9000,6.9000,6.9000,0
PKR,20170419,6.9000,6.9000,6.9000,6.9000,0
PKR,20170420,6.9000,6.9000,6.9000,6.9000,0
PKR,20170421,6.9000,6.9000,6.9000,6.9000,0
PKR,20170424,6.9000,6.9000,6.9000,6.9000,0
PKR,20170425,6.9000,6.9000,6.9000,6.9000,0
PKR,20170426,6.9000,6.9000,6.9000,6.9000,0
PKR,20170427,6.9000,6.9000,6.9000,6.9000,0
PKR,20170428,6.9000,6.9000,6.9000,6.9000,0
PKR,20170503,6.9000,6.9000,6.9000,6.9000,1600
PKR,20170504,6.9000,6.9000,6.9000,6.9000,0
PKR,20170505,6.9000,6.9000,6.9000,6.9000,0
PKR,20170508,6.9000,6.9000,6.9000,6.9000,0
PKR,20170509,6.9000,6.9000,6.9000,6.9000,2000
PKR,20170510,6.9000,6.9000,6.9000,6.9000,0
PKR,20170511,6.9000,6.9000,6.9000,6.9000,0
PKR,20170512,6.9000,6.9000,6.9000,6.9000,0
PKR,20170515,6.9000,6.9000,6.9000,6.9000,0
PKR,20170516,6.9000,6.9000,6.9000,6.9000,0
PKR,20170517,6.9000,6.9000,6.9000,6.9000,0
PKR,20170518,1.4134,1.4134,1.4134,1.4134,0
PKR,20170519,1.4134,1.4134,1.4134,1.4134,0
PKR,20170522,1.4134,1.4134,1.4134,1.4134,0
PKR,20170523,1.4134,1.4134,1.4134,1.4134,0
PKR,20170524,1.4134,1.4134,1.4134,1.4134,0
PKR,20170525,1.4134,1.4134,1.4134,1.4134,0
PKR,20170526,1.4134,1.4134,1.4134,1.4134,0
PKR,20170529,1.4134,1.4134,1.4134,1.4134,0
PKR,20170530,1.4134,1.4134,1.4134,1.4134,0
PKR,20170531,1.4134,1.4134,1.4134,1.4134,0
PKR,20170601,1.4134,1.4134,1.4134,1.4134,0
PKR,20170602,1.4134,1.4134,1.4134,1.4134,0
PKR,20170605,1.4134,1.4134,1.4134,1.4134,0
PKR,20170606,1.6186,1.6186,1.6186,1.6186,2100
PKR,20170607,1.6186,1.6186,1.6186,1.6186,0
PKR,20170608,1.6186,1.6186,1.6186,1.6186,0
