<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PLO,20200410,3.0000,3.0000,3.0000,3.0000,0
PLO,20200413,3.0000,3.0000,3.0000,3.0000,0
PLO,20200414,3.0000,3.0000,3.0000,3.0000,0
PLO,20200415,3.0000,3.0000,3.0000,3.0000,0
PLO,20200416,3.0000,3.0000,3.0000,3.0000,0
PLO,20200417,3.0000,3.0000,3.0000,3.0000,0
PLO,20200420,3.0000,3.0000,3.0000,3.0000,0
PLO,20200421,3.0000,3.0000,3.0000,3.0000,0
PLO,20200422,3.0000,3.0000,3.0000,3.0000,0
PLO,20200423,3.0000,3.0000,3.0000,3.0000,0
PLO,20200424,3.0000,3.0000,3.0000,3.0000,0
PLO,20200427,3.0000,3.0000,3.0000,3.0000,0
PLO,20200428,3.0000,3.0000,3.0000,3.0000,0
PLO,20200429,3.0000,3.0000,3.0000,3.0000,0
PLO,20200504,3.0000,3.0000,3.0000,3.0000,0
PLO,20200505,3.0000,3.0000,3.0000,3.0000,0
PLO,20200506,3.0000,3.0000,3.0000,3.0000,0
PLO,20200507,3.0000,3.0000,3.0000,3.0000,0
PLO,20200508,3.0000,3.0000,3.0000,3.0000,270000
PLO,20200511,3.0000,3.0000,3.0000,3.0000,0
PLO,20200512,3.0000,3.0000,3.0000,3.0000,0
PLO,20200513,3.0000,3.0000,3.0000,3.0000,0
PLO,20200514,3.0000,3.0000,3.0000,3.0000,0
PLO,20200515,3.0000,3.0000,3.0000,3.0000,0
PLO,20200518,3.0000,3.0000,3.0000,3.0000,0
PLO,20200519,3.0000,3.0000,3.0000,3.0000,0
PLO,20200520,3.0000,3.0000,3.0000,3.0000,0
PLO,20200521,3.0000,3.0000,3.0000,3.0000,0
PLO,20200522,3.0000,3.0000,3.0000,3.0000,0
PLO,20200525,3.0000,3.0000,3.0000,3.0000,0
PLO,20200526,3.0000,3.0000,3.0000,3.0000,0
PLO,20200527,3.0000,3.0000,3.0000,3.0000,0
PLO,20200528,3.0000,3.0000,3.0000,3.0000,0
PLO,20200529,3.0000,3.0000,3.0000,3.0000,0
PLO,20200601,3.0000,3.0000,3.0000,3.0000,0
PLO,20200602,3.0000,3.0000,3.0000,3.0000,0
PLO,20200603,3.0000,3.0000,3.0000,3.0000,0
PLO,20200604,3.0000,3.0000,3.0000,3.0000,0
PLO,20200605,3.0000,3.0000,3.0000,3.0000,0
PLO,20200608,3.0000,3.0000,3.0000,3.0000,0
PLO,20200609,3.0000,3.0000,3.0000,3.0000,0
PLO,20200610,3.0000,3.0000,3.0000,3.0000,0
PLO,20200611,3.0000,3.0000,3.0000,3.0000,0
PLO,20200612,3.0000,3.0000,3.0000,3.0000,0
PLO,20200615,3.0000,3.0000,3.0000,3.0000,0
PLO,20200616,3.0000,3.0000,3.0000,3.0000,0
PLO,20200617,3.0000,3.0000,3.0000,3.0000,0
PLO,20200618,3.0000,3.0000,3.0000,3.0000,0
