<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PMB,20151007,16.3000,16.3000,12.6000,12.7000,72600
PMB,20151008,13.0000,13.0000,13.0000,13.0000,300
PMB,20151009,12.6000,13.0000,12.6000,12.9000,3700
PMB,20151012,12.9000,12.9000,12.6000,12.9000,5300
PMB,20151013,12.8000,12.9000,12.8000,12.9000,7700
PMB,20151014,12.9000,12.9000,12.9000,12.9000,4100
PMB,20151015,13.0000,13.0000,12.8000,12.8000,3700
PMB,20151016,12.8000,12.8000,12.8000,12.8000,10800
PMB,20151019,13.8000,13.8000,13.8000,13.8000,200
PMB,20151020,13.8000,13.8000,13.8000,13.8000,0
PMB,20151021,12.9000,12.9000,12.9000,12.9000,500
PMB,20151022,12.8000,12.8000,12.7000,12.7000,5200
PMB,20151023,12.8000,13.2000,12.8000,13.2000,1600
PMB,20151026,13.2000,13.2000,13.2000,13.2000,0
PMB,20151027,13.2000,13.2000,13.2000,13.2000,0
PMB,20151028,12.8000,12.9000,12.7000,12.9000,4300
PMB,20151029,12.9000,12.9000,12.9000,12.9000,100
PMB,20151030,13.2000,13.2000,13.0000,13.1000,18900
PMB,20151102,13.2000,13.2000,13.0000,13.0000,7200
PMB,20151103,13.0000,13.1000,12.8000,13.1000,17900
PMB,20151104,13.0000,13.2000,13.0000,13.2000,9000
PMB,20151105,13.0000,13.0000,13.0000,13.0000,800
PMB,20151106,13.0000,13.0000,12.9000,12.9000,1200
PMB,20151109,12.9000,12.9000,12.9000,12.9000,6200
PMB,20151110,13.0000,13.0000,13.0000,13.0000,800
PMB,20151111,12.8000,12.8000,12.8000,12.8000,1600
PMB,20151112,12.8000,12.8000,12.8000,12.8000,0
PMB,20151113,12.8000,12.8000,12.8000,12.8000,0
PMB,20151116,12.8000,12.8000,12.8000,12.8000,0
PMB,20151117,12.8000,12.8000,12.8000,12.8000,0
PMB,20151118,12.8000,12.8000,12.8000,12.8000,0
PMB,20151119,12.9000,12.9000,12.9000,12.9000,2000
PMB,20151120,13.0000,13.0000,13.0000,13.0000,200
PMB,20151123,13.0000,13.0000,13.0000,13.0000,0
PMB,20151124,13.0000,13.0000,13.0000,13.0000,0
PMB,20151125,13.0000,13.0000,13.0000,13.0000,0
PMB,20151126,12.9000,12.9000,12.9000,12.9000,700
PMB,20151127,12.9000,12.9000,12.9000,12.9000,0
PMB,20151130,12.9000,12.9000,12.8000,12.8000,2700
PMB,20151201,12.8000,12.8000,12.8000,12.8000,0
PMB,20151202,12.8000,12.8000,12.7000,12.7000,2000
PMB,20151203,12.7000,12.7000,12.7000,12.7000,0
PMB,20151204,12.7000,12.7000,12.7000,12.7000,0
PMB,20151207,12.7000,12.7000,12.7000,12.7000,0
PMB,20151208,12.7000,12.7000,12.7000,12.7000,0
PMB,20151209,12.7000,12.7000,12.7000,12.7000,0
PMB,20151210,12.7000,12.7000,12.7000,12.7000,0
PMB,20151211,12.6000,12.6000,12.6000,12.6000,7800
PMB,20151214,12.6000,12.6000,12.6000,12.6000,0
PMB,20151215,13.4000,13.4000,13.4000,13.4000,100
PMB,20151216,13.4000,13.4000,13.4000,13.4000,0
PMB,20151217,12.1000,12.5000,12.1000,12.5000,2100
PMB,20151218,12.5000,12.5000,12.5000,12.5000,0
PMB,20151221,12.5000,12.5000,12.5000,12.5000,0
PMB,20151222,12.5000,12.5000,12.5000,12.5000,0
PMB,20151223,12.5000,12.5000,12.5000,12.5000,0
PMB,20151224,12.4000,12.4000,12.4000,12.4000,100
PMB,20151225,12.4000,12.4000,12.4000,12.4000,0
PMB,20151228,12.4000,12.4000,12.4000,12.4000,0
PMB,20151229,12.4000,12.4000,12.4000,12.4000,0
PMB,20151230,12.3000,12.3000,12.3000,12.3000,300
PMB,20151231,12.3000,12.3000,12.3000,12.3000,0
PMB,20160104,12.3000,12.3000,12.3000,12.3000,0
PMB,20160105,12.3000,12.3000,12.3000,12.3000,0
PMB,20160106,12.3000,12.3000,12.3000,12.3000,0
PMB,20160107,12.2000,12.2000,12.2000,12.2000,1000
PMB,20160108,12.2000,12.2000,12.2000,12.2000,0
PMB,20160111,12.2000,12.2000,12.2000,12.2000,0
PMB,20160112,12.1000,12.1000,12.1000,12.1000,900
PMB,20160113,12.1000,12.1000,12.1000,12.1000,0
PMB,20160114,12.0000,12.0000,12.0000,12.0000,8300
PMB,20160115,12.0000,12.0000,12.0000,12.0000,0
PMB,20160118,11.9000,11.9000,11.9000,11.9000,8500
PMB,20160119,11.9000,11.9000,11.9000,11.9000,0
PMB,20160120,11.7000,11.7000,11.7000,11.7000,400
PMB,20160121,11.7000,11.7000,11.7000,11.7000,0
PMB,20160122,11.7000,11.7000,11.7000,11.7000,0
PMB,20160125,11.7000,11.7000,11.7000,11.7000,0
PMB,20160126,11.7000,11.7000,11.7000,11.7000,0
PMB,20160127,12.8000,12.8000,12.8000,12.8000,100
PMB,20160128,12.8000,12.8000,12.8000,12.8000,0
PMB,20160129,12.8000,12.8000,12.8000,12.8000,0
PMB,20160201,12.8000,12.8000,12.8000,12.8000,0
PMB,20160202,12.8000,12.8000,12.8000,12.8000,0
PMB,20160203,11.6000,14.0000,11.6000,14.0000,200
PMB,20160204,12.6000,12.6000,12.6000,12.6000,100
PMB,20160205,12.6000,12.6000,12.6000,12.6000,0
PMB,20160215,12.6000,12.6000,12.6000,12.6000,0
PMB,20160216,11.4000,11.4000,11.4000,11.4000,100
PMB,20160217,11.6000,11.6000,11.6000,11.6000,200
PMB,20160218,11.6000,11.6000,11.6000,11.6000,0
PMB,20160219,11.6000,11.6000,11.6000,11.6000,0
PMB,20160222,11.6000,11.6000,11.6000,11.6000,0
PMB,20160223,11.6000,11.6000,11.6000,11.6000,0
PMB,20160224,11.6000,11.6000,11.6000,11.6000,0
PMB,20160225,11.5000,11.5000,11.5000,11.5000,200
PMB,20160226,11.4000,11.4000,11.4000,11.4000,1000
PMB,20160229,11.4000,11.4000,11.4000,11.4000,0
PMB,20160301,11.4000,11.4000,11.4000,11.4000,0
PMB,20160302,11.4000,11.4000,11.4000,11.4000,0
