<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PME,20171108,81.6000,81.6000,81.6000,81.6000,26010
PME,20171109,87.3000,87.3000,87.3000,87.3000,520010
PME,20171110,93.2000,93.2000,90.0000,92.0000,86270
PME,20171113,89.0000,89.0000,85.6000,85.9000,133560
PME,20171114,82.0000,84.5000,81.0000,84.0000,56000
PME,20171115,82.6000,86.0000,82.6000,84.9000,171420
PME,20171116,85.4000,85.4000,84.2000,84.5000,37790
PME,20171117,83.0000,84.6000,82.6000,82.6000,85000
PME,20171120,82.6000,83.6000,82.0000,82.0000,53540
PME,20171121,82.0000,82.1000,79.0000,79.6000,94910
PME,20171122,79.5000,79.7000,79.0000,79.7000,39290
PME,20171123,80.1000,81.0000,79.7000,80.0000,24570
PME,20171124,80.0000,83.0000,80.0000,83.0000,40890
PME,20171127,83.0000,83.0000,81.0000,82.0000,45650
PME,20171128,80.3000,82.5000,80.3000,82.0000,42930
PME,20171129,82.0000,83.2000,82.0000,82.9000,95470
PME,20171130,82.5000,82.5000,82.0000,82.5000,27060
PME,20171201,82.5000,82.5000,82.0000,82.0000,15800
PME,20171204,82.0000,82.0000,80.0000,81.0000,20540
PME,20171205,81.9000,81.9000,80.5000,80.5000,10720
PME,20171206,80.1000,80.5000,79.6000,80.5000,53530
PME,20171207,81.6000,81.6000,79.1000,79.3000,4440
PME,20171208,79.3000,79.3000,78.0000,79.3000,21050
PME,20171211,79.3000,80.0000,79.0000,79.0000,12920
PME,20171212,77.5000,79.4000,77.5000,79.0000,4960
PME,20171213,79.0000,79.0000,78.0000,78.2000,4560
PME,20171214,77.5000,78.2000,77.5000,78.1000,11050
PME,20171215,77.8000,78.3000,77.7000,78.3000,11130
PME,20171218,78.3000,79.0000,77.0000,79.0000,8590
PME,20171219,78.0000,80.4000,77.5000,80.0000,31900
PME,20171220,79.1000,80.0000,79.1000,80.0000,34790
