<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PMW,20190717,17.5000,17.5000,17.5000,17.5000,1000
PMW,20190718,17.5000,17.5000,17.5000,17.5000,0
PMW,20190719,17.5000,17.5000,17.5000,17.5000,0
PMW,20190722,20.1000,20.1000,20.1000,20.1000,100
PMW,20190723,23.1000,23.1000,23.1000,23.1000,100
PMW,20190724,26.5000,26.5000,26.5000,26.5000,400
PMW,20190725,30.4000,30.4000,30.4000,30.4000,200
PMW,20190726,34.9000,34.9000,34.9000,34.9000,100
PMW,20190729,40.1000,40.1000,40.1000,40.1000,100
PMW,20190730,41.5000,46.0000,41.0000,46.0000,2200
PMW,20190731,45.0000,45.5000,45.0000,45.5000,2500
PMW,20190801,38.3000,38.3000,38.3000,38.3000,300
PMW,20190802,32.7000,32.7000,32.7000,32.7000,100
PMW,20190805,27.9000,32.7000,27.9000,32.7000,300
PMW,20190806,30.0000,30.0000,30.0000,30.0000,200
PMW,20190807,25.5000,25.5000,25.5000,25.5000,100
PMW,20190808,25.5000,25.5000,25.5000,25.5000,0
PMW,20190809,21.7000,21.7000,21.7000,21.7000,0
PMW,20190812,18.4494,18.4494,18.4494,18.4494,100
PMW,20190813,21.1729,21.1729,21.1729,21.1729,100
PMW,20190814,21.1729,21.1729,21.1729,21.1729,0
PMW,20190815,21.1729,21.1729,21.1729,21.1729,0
PMW,20190816,21.1729,21.1729,21.1729,21.1729,0
PMW,20190819,21.1729,21.1729,21.1729,21.1729,0
PMW,20190820,21.1729,21.1729,21.1729,21.1729,0
PMW,20190821,21.1729,21.1729,21.1729,21.1729,0
PMW,20190822,21.1729,21.1729,21.1729,21.1729,0
PMW,20190823,21.1729,21.1729,21.1729,21.1729,0
PMW,20190826,21.1729,21.1729,21.1729,21.1729,0
PMW,20190827,21.1729,21.1729,21.1729,21.1729,0
PMW,20190828,21.1729,21.1729,21.1729,21.1729,0
PMW,20190829,21.1729,21.1729,21.1729,21.1729,0
PMW,20190830,21.1729,21.1729,21.1729,21.1729,0
PMW,20190903,21.1729,21.1729,21.1729,21.1729,0
PMW,20190904,21.1729,21.1729,21.1729,21.1729,0
PMW,20190905,21.1729,21.1729,21.1729,21.1729,0
PMW,20190906,21.1729,21.1729,21.1729,21.1729,0
PMW,20190909,21.1729,21.1729,21.1729,21.1729,0
PMW,20190910,21.1729,21.1729,21.1729,21.1729,0
PMW,20190911,21.1729,21.1729,21.1729,21.1729,0
PMW,20190912,21.1729,21.1729,21.1729,21.1729,0
PMW,20190913,21.1729,21.1729,21.1729,21.1729,0
PMW,20190916,21.1729,21.1729,21.1729,21.1729,0
PMW,20190917,21.1729,21.1729,21.1729,21.1729,0
PMW,20190918,21.1729,21.1729,21.1729,21.1729,0
PMW,20190919,21.1729,21.1729,21.1729,21.1729,0
PMW,20190920,21.1729,21.1729,21.1729,21.1729,0
PMW,20190923,21.1729,21.1729,21.1729,21.1729,0
PMW,20190924,21.1729,21.1729,21.1729,21.1729,0
PMW,20190925,21.1729,21.1729,21.1729,21.1729,0
PMW,20190926,21.1729,21.1729,21.1729,21.1729,0
PMW,20190927,21.1729,21.1729,21.1729,21.1729,0
PMW,20190930,21.1729,21.1729,21.1729,21.1729,0
PMW,20191001,21.1729,21.1729,21.1729,21.1729,0
PMW,20191002,21.1729,21.1729,21.1729,21.1729,0
PMW,20191003,21.1729,21.1729,21.1729,21.1729,0
PMW,20191004,24.3356,24.3356,24.3356,24.3356,30000
PMW,20191007,25.4777,27.9376,25.4777,27.9376,1400
PMW,20191008,30.6611,30.6611,30.6611,30.6611,100
PMW,20191009,30.6611,30.6611,30.6611,30.6611,0
PMW,20191010,30.7490,30.7490,30.7490,30.7490,100
PMW,20191011,26.1805,28.9919,26.1805,28.9919,500
PMW,20191014,31.1882,31.1882,28.9919,28.9919,1200
PMW,20191015,25.1263,31.6275,25.1263,31.6275,400
PMW,20191016,28.9919,28.9919,28.9919,28.9919,500
PMW,20191017,25.7413,28.9919,25.7413,28.9919,600
PMW,20191018,29.4311,29.8704,29.4311,29.8704,600
PMW,20191021,30.7490,30.7490,30.7490,30.7490,300
PMW,20191022,30.7490,30.7490,30.7490,30.7490,0
PMW,20191023,26.4441,26.4441,26.4441,26.4441,100
PMW,20191024,30.3975,30.3975,30.3975,30.3975,200
PMW,20191025,32.0668,32.0668,32.0668,32.0668,700
PMW,20191028,32.0668,32.0668,32.0668,32.0668,0
PMW,20191029,32.0668,32.0668,32.0668,32.0668,0
PMW,20191030,32.0668,32.0668,32.0668,32.0668,0
PMW,20191031,32.0668,32.0668,32.0668,32.0668,0
PMW,20191101,32.0668,32.5060,32.0668,32.5060,800
PMW,20191104,32.1546,32.1546,32.1546,32.1546,0
PMW,20191105,32.1546,32.1546,32.1546,32.1546,0
PMW,20191106,27.4105,27.4105,27.4105,27.4105,200
PMW,20191107,27.4105,27.4105,27.4105,27.4105,0
PMW,20191108,27.4105,27.4105,27.4105,27.4105,0
