<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PNC,20050711,16.0000,16.0000,16.0000,16.0000,11430
PNC,20050712,16.0000,16.5000,16.0000,16.5000,20190
PNC,20050713,17.1000,17.3000,17.1000,17.3000,47680
PNC,20050714,17.5000,17.5000,17.3000,17.3000,40380
PNC,20050715,17.3000,17.5000,17.3000,17.5000,31870
PNC,20050718,17.5000,17.5000,17.5000,17.5000,27440
PNC,20050719,17.4000,17.4000,17.4000,17.4000,11750
PNC,20050720,17.3000,17.3000,17.1000,17.1000,11460
PNC,20050721,17.0000,17.0000,16.9000,16.9000,12580
PNC,20050722,16.5000,16.5000,16.4000,16.4000,43130
PNC,20050725,16.4000,17.0000,16.4000,17.0000,11840
PNC,20050726,17.0000,17.0000,16.8000,16.8000,1740
PNC,20050727,16.8000,16.8000,16.8000,16.8000,1000
PNC,20050728,16.3000,16.4000,16.3000,16.4000,9610
PNC,20050729,16.4000,16.4000,16.4000,16.4000,1200
PNC,20050801,16.5000,16.6000,16.5000,16.6000,1890
PNC,20050802,16.6000,16.6000,16.6000,16.6000,1350
PNC,20050803,16.6000,16.9000,16.6000,16.9000,9660
PNC,20050804,17.1000,17.3000,17.1000,17.3000,4590
PNC,20050805,17.5000,17.5000,17.0000,17.0000,17010
PNC,20050808,17.0000,17.0000,16.9000,16.9000,2920
PNC,20050809,16.9000,16.9000,16.8000,16.8000,2700
PNC,20050810,16.7000,16.8000,16.7000,16.8000,2890
PNC,20050811,17.2000,17.2000,17.1000,17.1000,10810
PNC,20050812,17.1000,17.1000,17.0000,17.0000,2300
PNC,20050815,16.9000,16.9000,16.7000,16.7000,8450
PNC,20050816,16.5000,16.5000,16.5000,16.5000,14960
PNC,20050817,6.6063,6.6063,6.5258,6.5258,10630
PNC,20050818,6.5258,6.5258,6.4452,6.4452,5700
PNC,20050819,6.5258,6.5258,6.4855,6.4855,2300
PNC,20050822,6.6063,6.6063,6.5661,6.5661,3030
PNC,20050823,6.6063,6.6063,6.5258,6.5258,11120
PNC,20050824,6.4452,6.4452,6.4452,6.4452,570
PNC,20050825,6.4452,6.4855,6.4452,6.4855,1160
PNC,20050826,6.5258,6.5258,6.4855,6.4855,500
PNC,20050829,6.4452,6.4452,6.4452,6.4452,11880
PNC,20050830,6.4452,6.4452,6.4452,6.4452,6700
PNC,20050831,6.4452,6.4452,6.4452,6.4452,3340
PNC,20050901,6.4452,6.4452,6.4049,6.4049,10500
PNC,20050905,6.4049,6.4049,6.2841,6.2841,4720
PNC,20050906,6.2841,6.2841,6.2438,6.2438,14680
PNC,20050907,6.2841,6.3647,6.2841,6.3647,4690
PNC,20050908,6.4049,6.4049,6.4049,6.4049,8670
PNC,20050909,6.4049,6.4049,6.3244,6.3244,7380
PNC,20050912,6.2438,6.2438,6.2438,6.2438,2060
PNC,20050913,6.3244,6.3244,6.2438,6.2438,2410
PNC,20050914,6.2438,6.2438,6.2438,6.2438,13360
PNC,20050915,6.2438,6.2438,6.2438,6.2438,5460
PNC,20050916,6.2035,6.2438,6.2035,6.2438,4550
PNC,20050919,6.2438,6.3244,6.2438,6.3244,4250
PNC,20050920,6.6063,6.6063,6.6063,6.6063,5860
PNC,20050921,6.8480,6.8480,6.6466,6.6466,19610
PNC,20050922,6.6466,6.6466,6.6466,6.6466,7910
PNC,20050923,6.6466,6.6466,6.6466,6.6466,10370
PNC,20050926,6.6466,6.6466,6.5661,6.5661,8030
PNC,20050927,6.4452,6.4452,6.4452,6.4452,3070
PNC,20050928,6.6063,6.6063,6.4452,6.4452,19750
PNC,20050929,6.4452,6.4452,6.4452,6.4452,7000
PNC,20050930,6.7675,6.7675,6.7675,6.7675,32490
PNC,20051003,6.7675,6.7675,6.7675,6.7675,7700
PNC,20051004,6.6466,6.6466,6.6466,6.6466,3290
PNC,20051005,6.6466,6.6466,6.5258,6.5258,7520
PNC,20051006,6.5258,6.5661,6.5258,6.5661,4580
PNC,20051007,6.5661,6.6466,6.5661,6.6466,5250
PNC,20051010,6.6466,6.6466,6.6466,6.6466,10910
PNC,20051011,6.6869,6.6869,6.6063,6.6063,18190
PNC,20051012,6.4452,6.4452,6.4452,6.4452,4190
PNC,20051013,6.5258,6.5258,6.5258,6.5258,6690
PNC,20051014,6.6063,6.6063,6.6063,6.6063,17160
PNC,20051017,6.6063,6.6063,6.6063,6.6063,29230
PNC,20051018,6.6063,6.6063,6.6063,6.6063,28920
PNC,20051019,6.5258,6.6063,6.5258,6.6063,18220
PNC,20051020,6.6466,6.6466,6.6063,6.6063,5960
PNC,20051021,6.6063,6.6063,6.6063,6.6063,14460
PNC,20051024,6.6063,6.6063,6.6063,6.6063,14200
PNC,20051025,6.6063,6.6063,6.6063,6.6063,13170
PNC,20051026,6.6063,6.6063,6.4452,6.4452,19030
PNC,20051027,6.4452,6.4452,6.3647,6.3647,26490
PNC,20051028,6.6063,6.6063,6.6063,6.6063,16320
PNC,20051031,6.6063,6.6063,6.5661,6.5661,8890
PNC,20051101,6.5661,6.5661,6.5661,6.5661,19260
PNC,20051102,6.5661,6.5661,6.5661,6.5661,5100
PNC,20051103,6.4452,6.5258,6.4452,6.5258,6360
PNC,20051104,6.5661,6.5661,6.4855,6.4855,7110
PNC,20051107,6.5258,6.5258,6.5258,6.5258,30140
PNC,20051108,6.5258,6.5258,6.4855,6.4855,4760
PNC,20051109,6.5661,6.5661,6.5258,6.5258,4910
PNC,20051110,6.5258,6.5258,6.4855,6.4855,3510
PNC,20051111,6.6063,6.6063,6.5258,6.5258,3510
PNC,20051114,6.5258,6.5258,6.5258,6.5258,21940
PNC,20051115,6.5258,6.5258,6.4452,6.4452,3300
PNC,20051116,6.5661,6.5661,6.5258,6.5258,9100
PNC,20051117,6.4855,6.4855,6.4855,6.4855,470
PNC,20051118,6.4855,6.4855,6.4452,6.4452,4160
PNC,20051121,6.5258,6.6063,6.5258,6.6063,26100
PNC,20051122,6.4855,6.5258,6.4855,6.5258,6270
PNC,20051123,6.5258,6.5258,6.5258,6.5258,1000
PNC,20051124,6.4452,6.4855,6.4452,6.4855,9770
PNC,20051125,6.5258,6.5258,6.5258,6.5258,6340
PNC,20051128,6.5258,6.5661,6.5258,6.5661,4340
PNC,20051129,6.5661,6.5661,6.5661,6.5661,9520
PNC,20051130,6.5661,6.6466,6.5661,6.6466,11290
PNC,20051201,6.6466,6.6466,6.6466,6.6466,3150
PNC,20051202,6.5661,6.6063,6.5661,6.6063,2320
PNC,20051205,6.6063,6.6063,6.4855,6.4855,270
PNC,20051206,6.4855,6.4855,6.4855,6.4855,1000
PNC,20051207,6.4855,6.4855,6.4855,6.4855,10
PNC,20051208,6.5661,6.5661,6.5661,6.5661,3500
PNC,20051209,6.5661,6.5661,6.5661,6.5661,110
PNC,20051212,6.5661,6.5661,6.5661,6.5661,10
PNC,20051213,6.4855,6.5258,6.4855,6.5258,1520
PNC,20051214,6.5661,6.5661,6.5661,6.5661,2630
PNC,20051215,6.5258,6.5258,6.4855,6.4855,2510
PNC,20051216,6.4855,6.5258,6.4855,6.5258,50
PNC,20051219,6.5258,6.5258,6.5258,6.5258,13000
PNC,20051220,6.5258,6.5258,6.4855,6.4855,2350
PNC,20051221,6.4452,6.4855,6.4452,6.4855,10240
PNC,20051222,6.4855,6.5258,6.4855,6.5258,16760
PNC,20051223,6.5258,6.5258,6.5258,6.5258,4630
PNC,20051226,6.5258,6.5258,6.5258,6.5258,350
PNC,20051227,6.5258,6.5258,6.5258,6.5258,4510
PNC,20051228,6.4855,6.5258,6.4855,6.5258,830
PNC,20051229,6.5258,6.5258,6.4855,6.4855,2050
PNC,20051230,6.5258,6.6869,6.5258,6.6869,13970
PNC,20060103,6.6869,6.7675,6.6869,6.7675,5090
PNC,20060104,6.7675,6.8480,6.7675,6.8480,23600
PNC,20060105,6.8480,6.8480,6.8480,6.8480,12480
PNC,20060106,6.8480,6.8480,6.8480,6.8480,11720
PNC,20060109,6.8480,6.8480,6.8480,6.8480,10100
PNC,20060110,6.8480,6.8480,6.8480,6.8480,25630
PNC,20060111,6.8480,6.9286,6.8480,6.9286,8550
PNC,20060112,6.9286,6.9286,6.9286,6.9286,3970
PNC,20060113,7.0495,7.2509,7.0495,7.2509,22400
PNC,20060117,7.2509,7.5329,7.2509,7.5329,12550
PNC,20060118,7.5731,7.5731,7.5329,7.5329,5670
PNC,20060119,7.4523,7.4523,7.4523,7.4523,4360
PNC,20060120,7.4523,7.4523,7.4523,7.4523,5110
PNC,20060123,7.5329,7.5329,7.5329,7.5329,4670
PNC,20060124,7.5329,7.6537,7.5329,7.6537,3280
PNC,20060125,7.6537,7.9760,7.6537,7.9760,18030
PNC,20060126,8.0565,8.1371,8.0565,8.1371,6000
PNC,20060127,8.2579,8.2982,8.2579,8.2982,5420
PNC,20060206,8.2982,8.4594,8.2982,8.4594,480
PNC,20060207,8.7413,8.8622,8.7413,8.8622,1910
PNC,20060208,9.3053,9.3053,9.3053,9.3053,20250
PNC,20060209,9.6678,9.6678,9.6678,9.6678,13440
PNC,20060210,9.4261,9.4261,9.4261,9.4261,2400
PNC,20060213,8.9830,8.9830,8.9830,8.9830,2370
