<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PNJ,20071017,6.5512,6.5512,6.5512,6.5512,0
PNJ,20071018,6.5512,6.5512,6.3464,6.3464,0
PNJ,20071023,6.3464,6.3464,6.3464,6.3464,0
PNJ,20071024,6.3464,6.3464,6.3464,6.3464,0
PNJ,20071025,6.3464,6.6877,6.3464,6.6877,0
PNJ,20071026,6.6877,6.6877,6.6877,6.6877,0
PNJ,20071029,6.6877,6.6877,6.6877,6.6877,0
PNJ,20071030,6.6877,6.6877,6.6877,6.6877,0
PNJ,20071031,6.6877,6.6877,6.2782,6.2782,0
PNJ,20071101,6.2782,6.3464,6.2782,6.3464,0
PNJ,20071102,6.3464,6.3464,6.3464,6.3464,0
PNJ,20071103,6.3464,6.3464,6.3464,6.3464,0
PNJ,20071106,6.3464,6.3464,6.3464,6.3464,0
PNJ,20071107,6.3464,6.3464,6.3464,6.3464,0
PNJ,20071108,6.3464,6.3464,6.3464,6.3464,0
PNJ,20071109,6.3464,6.3464,6.3464,6.3464,0
PNJ,20071112,6.3464,6.3464,6.3464,6.3464,0
PNJ,20071113,6.3464,6.3464,6.2782,6.2782,0
PNJ,20071114,6.2782,6.3464,6.2782,6.3464,0
PNJ,20071115,6.3464,6.3464,6.2782,6.2782,0
PNJ,20071116,6.2782,6.2782,6.2782,6.2782,0
PNJ,20071119,6.2782,6.2782,6.2100,6.2100,0
PNJ,20071120,6.2100,6.2100,6.2100,6.2100,0
PNJ,20071121,6.2100,6.2100,6.2100,6.2100,0
PNJ,20071122,6.2100,6.2100,6.2100,6.2100,0
PNJ,20071123,6.2100,6.2100,6.2100,6.2100,0
PNJ,20071126,6.2100,6.2100,6.2100,6.2100,0
PNJ,20071127,6.2100,6.2100,6.2100,6.2100,0
PNJ,20071128,6.2100,6.2100,6.2100,6.2100,0
PNJ,20071129,6.2100,6.2782,5.9370,6.2100,0
PNJ,20071130,6.2100,6.2782,5.9370,6.1417,0
PNJ,20071203,6.1417,6.2782,5.9370,6.0735,0
PNJ,20071204,6.0735,6.2782,5.9370,6.0735,0
PNJ,20071205,6.0735,6.2782,5.9370,6.0735,0
PNJ,20071206,6.0735,6.0735,5.9370,5.9370,0
PNJ,20071207,5.9370,6.0735,5.9370,5.9370,0
PNJ,20071210,5.9370,6.0735,5.9370,5.9370,0
PNJ,20071211,5.9370,6.0735,5.9370,5.9370,0
PNJ,20071212,5.9370,6.0735,5.9370,5.9370,0
PNJ,20071213,5.9370,6.0735,5.8688,5.9370,0
PNJ,20071214,5.9370,6.0735,5.8688,5.9370,0
PNJ,20071217,5.9370,6.0735,5.8688,5.9370,0
PNJ,20071218,5.9370,6.0735,5.8688,5.9370,0
PNJ,20071219,5.9370,6.0735,5.8688,5.9370,0
PNJ,20071220,5.9370,6.0735,5.8688,5.9370,0
PNJ,20071221,5.9370,6.0735,5.8688,5.9370,0
PNJ,20071224,5.9370,6.0735,5.8688,5.9370,0
PNJ,20071226,5.9370,6.0735,5.8688,5.9370,0
PNJ,20080102,5.9370,6.0735,5.8688,5.9370,0
PNJ,20080103,5.9370,6.0735,5.8688,5.9370,0
PNJ,20080104,5.9370,6.0735,5.8688,5.9370,0
PNJ,20080107,5.9370,6.0735,5.8688,5.9370,0
PNJ,20080108,5.9370,5.9370,5.5276,5.5958,0
PNJ,20080109,5.5958,5.6640,5.5276,5.5958,0
PNJ,20080110,5.5958,5.6640,5.5276,5.5958,0
PNJ,20080111,5.5958,5.6640,5.5276,5.5958,0
PNJ,20080114,5.5958,5.6640,5.5276,5.5958,0
PNJ,20080115,5.5958,5.5958,5.3911,5.4661,0
PNJ,20080116,5.4661,5.5275,5.3910,5.4593,0
PNJ,20080117,5.4593,5.5275,5.3911,5.4593,0
PNJ,20080118,5.4593,5.5275,5.3911,5.4593,0
PNJ,20080121,5.4593,5.5275,5.3228,5.3911,0
PNJ,20080122,5.3911,5.5276,5.3229,5.3911,0
PNJ,20080123,5.3911,5.5276,5.3229,5.3911,0
PNJ,20080124,5.3911,5.5276,5.3229,5.3911,0
PNJ,20080125,5.3911,5.5276,5.3229,5.3911,0
PNJ,20080128,5.3911,5.5276,5.3229,5.3911,0
PNJ,20080129,5.3911,5.5276,5.3229,5.3911,0
PNJ,20080130,5.3911,5.5276,5.3229,5.3911,0
PNJ,20080131,5.3911,5.5276,5.3229,5.3911,0
PNJ,20080201,5.3911,5.5276,5.3229,5.3911,0
PNJ,20080212,5.3911,5.5276,5.3229,5.3911,0
PNJ,20080213,5.3911,5.5276,5.3229,5.3911,0
PNJ,20080214,5.3911,5.5276,5.3229,5.3911,0
PNJ,20080215,5.3911,5.5276,5.3229,5.3911,0
PNJ,20080218,5.3911,5.5276,5.3229,5.3911,0
PNJ,20080219,5.3911,5.5276,5.3229,5.3911,0
PNJ,20080220,5.3911,5.3911,4.8452,4.9134,0
PNJ,20080221,4.9134,4.9816,4.8452,4.9134,0
PNJ,20080222,4.9134,4.9816,4.8452,4.9134,0
PNJ,20080225,4.9134,4.9816,4.8452,4.9134,0
PNJ,20080226,4.9134,4.9816,4.8452,4.9134,0
PNJ,20080227,4.9134,4.9816,4.7769,4.8793,0
PNJ,20080228,4.8793,4.9817,4.7769,4.8793,0
PNJ,20080229,4.8793,4.9817,4.7769,4.8793,0
PNJ,20080303,4.8793,4.9817,4.7769,4.8793,0
PNJ,20080304,4.8793,4.9817,4.7769,4.8793,0
PNJ,20080305,4.8793,4.9817,4.7769,4.8793,0
PNJ,20080306,4.8793,4.9817,4.7769,4.8793,0
PNJ,20080307,4.8793,4.9817,4.7769,4.8793,0
PNJ,20080310,4.8793,4.9817,4.7769,4.8793,0
PNJ,20080311,4.8793,4.9817,4.7769,4.8793,0
PNJ,20080312,4.8793,4.9817,4.7769,4.8793,0
PNJ,20080313,4.8793,4.9817,4.4357,4.6404,0
PNJ,20080314,4.6404,4.9816,4.4357,4.6404,0
PNJ,20080317,4.6404,4.7086,4.2992,4.4357,0
PNJ,20080318,4.4357,4.5722,4.0945,4.2310,0
PNJ,20080319,4.2310,4.5722,4.0945,4.2310,0
PNJ,20080320,4.2310,4.5722,4.0945,4.2310,0
PNJ,20080321,4.2310,4.2310,3.7533,3.8898,0
PNJ,20080324,3.8898,3.9580,3.7533,3.7874,0
PNJ,20080325,3.7874,3.8215,3.7192,3.7533,0
PNJ,20080326,3.7533,3.8215,3.7192,3.7533,0
PNJ,20080327,3.7533,3.8215,3.7192,3.7533,0
PNJ,20080328,3.7533,3.8215,3.7192,3.7533,0
PNJ,20080331,3.7533,3.8215,3.7192,3.7533,0
PNJ,20080401,3.7533,3.8215,3.7192,3.7533,0
PNJ,20080402,3.7533,4.0945,3.7533,3.9921,0
PNJ,20080403,3.9921,4.1627,3.7533,4.1627,0
PNJ,20080404,4.1627,4.1627,3.7533,4.1627,0
PNJ,20080407,4.1627,4.4357,4.1627,4.3674,0
PNJ,20080408,4.3674,4.4356,4.1627,4.3674,0
PNJ,20080409,4.3674,4.4356,4.1627,4.2992,0
PNJ,20080410,4.2992,4.4357,4.1627,4.2310,0
PNJ,20080411,4.2310,4.4357,4.1628,4.2310,0
PNJ,20080416,4.2310,4.4357,4.1628,4.1968,0
PNJ,20080417,4.1968,4.3674,3.8897,4.0262,0
PNJ,20080418,4.0262,4.3674,3.8897,4.0262,0
PNJ,20080421,4.0262,4.3674,3.8897,3.9580,0
PNJ,20080422,3.9580,4.2992,3.8215,3.9580,0
PNJ,20080423,3.9580,4.1627,3.8215,3.9239,0
PNJ,20080424,3.9239,3.9580,3.7533,3.8556,0
PNJ,20080425,3.8556,3.9580,3.7532,3.8556,0
PNJ,20080428,3.8556,3.9580,3.7532,3.9239,0
PNJ,20080429,3.9239,3.9921,3.7533,3.9239,0
PNJ,20080505,3.9239,3.9921,3.7533,3.8898,0
PNJ,20080506,3.8898,3.9922,3.7533,3.8898,0
PNJ,20080507,3.8898,3.9922,3.7533,3.8898,0
PNJ,20080508,3.8898,3.9922,3.7533,3.8898,0
PNJ,20080509,3.8898,3.8898,3.7533,3.8215,0
PNJ,20080512,3.8215,3.8897,3.7533,3.8215,0
PNJ,20080513,3.8215,3.8897,3.7533,3.8215,0
PNJ,20080514,3.8215,3.8897,3.7533,3.8215,0
PNJ,20080515,3.8215,3.8897,3.2756,3.4803,0
PNJ,20080516,3.4803,3.8897,3.2756,3.4803,0
PNJ,20080519,3.4803,3.8897,3.2756,3.4803,0
PNJ,20080520,3.4803,3.8897,3.2756,3.4803,0
