<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PPP,20090624,7.2044,9.6059,7.2044,7.2044,300
PPP,20090625,9.1256,9.1256,9.1256,9.1256,300
PPP,20090626,10.0382,10.0382,10.0382,10.0382,2400
PPP,20090629,10.9988,10.9988,10.9988,10.9988,100
PPP,20090630,9.9421,12.0555,9.9421,12.0554,210
PPP,20090701,9.0776,9.0776,9.0776,9.0776,100
PPP,20090702,8.2131,9.6059,8.2131,8.2611,1300
PPP,20090703,8.3572,8.3572,8.3571,8.3571,0
PPP,20090706,9.1256,9.1256,7.5406,9.1256,2200
PPP,20090707,7.5406,7.6367,7.5406,7.5887,5700
PPP,20090708,6.8202,6.8202,6.8202,6.8202,2100
PPP,20090709,6.8202,6.8202,6.8202,6.8202,0
PPP,20090710,6.7241,6.7241,6.7241,6.7241,300
PPP,20090713,6.7241,7.3966,6.7241,7.3966,310
PPP,20090714,7.3966,7.3966,7.3485,7.3485,70
PPP,20090715,7.8768,7.8769,7.8768,7.8769,50
PPP,20090716,7.1084,8.6454,7.1084,7.2044,1836
PPP,20090717,7.6847,7.6847,6.8202,6.8202,900
PPP,20090720,6.8682,6.8682,6.8682,6.8682,0
PPP,20090721,6.2438,6.2438,6.2438,6.2438,1700
PPP,20090722,6.8682,6.8682,5.6194,6.4840,976
PPP,20090723,7.1084,7.1084,6.2439,7.1084,410
PPP,20090724,7.1084,7.1084,6.9643,6.9643,60
PPP,20090727,6.9643,6.9643,6.9643,6.9643,0
PPP,20090728,6.9643,6.9643,6.9643,6.9643,0
PPP,20090729,6.9643,6.9643,6.9643,6.9643,0
PPP,20090730,7.0604,7.0604,6.3879,6.3879,3100
PPP,20090731,6.5800,6.5800,6.2438,6.2438,3200
PPP,20090803,6.5800,6.5801,6.5800,6.5801,100
PPP,20090804,6.5801,6.5801,6.5801,6.5801,0
PPP,20090805,6.2439,6.2439,6.2438,6.2438,200
PPP,20090806,5.9556,6.5800,5.9556,6.4840,130
PPP,20090807,6.0998,6.0998,6.0037,6.0037,2000
PPP,20090810,5.4754,5.8596,5.4754,5.8596,310
PPP,20090811,5.9076,5.9076,5.8596,5.8596,2000
PPP,20090812,5.8116,5.8116,5.7635,5.7636,4000
PPP,20090813,5.7636,5.7636,5.7636,5.7636,100
PPP,20090814,6.0038,6.0038,6.0037,6.0037,1500
PPP,20090817,5.7636,5.7636,5.4273,5.5234,2000
PPP,20090818,5.0431,5.0431,5.0431,5.0431,4500
PPP,20090819,5.5234,5.5234,5.5234,5.5234,3780
PPP,20090820,5.2833,5.3313,5.2833,5.2833,3000
PPP,20090821,5.2833,5.2833,5.2833,5.2833,0
PPP,20090824,5.2833,5.2833,5.2833,5.2833,0
PPP,20090825,5.2833,5.8116,4.9951,4.9951,3450
PPP,20090826,5.6675,5.6675,5.1872,5.1872,2000
PPP,20090827,5.6195,5.6195,5.2833,5.2833,4100
PPP,20090828,5.2833,5.5235,5.2833,5.5234,5500
PPP,20090831,5.5234,5.8596,5.4273,5.8596,10610
PPP,20090901,5.6675,6.2438,5.6675,6.2438,5500
PPP,20090903,6.3879,6.4840,6.3879,6.4840,4700
PPP,20090904,6.7241,6.7241,6.6761,6.6761,3510
PPP,20090907,6.4840,6.6761,6.2438,6.4840,5000
PPP,20090908,6.6761,7.1564,6.6761,7.1564,1850
PPP,20090909,6.0998,6.2438,6.0998,6.2438,5400
PPP,20090910,6.4839,6.7721,6.4839,6.6761,4000
PPP,20090911,7.3005,7.3005,6.6281,6.6281,2560
PPP,20090914,6.7242,7.7328,6.7241,6.7241,2550
PPP,20090915,7.3965,7.3966,7.3965,7.3966,100
PPP,20090916,6.7242,6.7242,6.6761,6.6761,1100
PPP,20090917,7.3485,7.3485,7.3485,7.3485,50
PPP,20090918,6.8682,6.8682,6.7241,6.7241,610
PPP,20090921,6.7241,6.7241,6.7241,6.7241,0
PPP,20090922,7.1564,7.2044,6.0517,6.2438,8700
PPP,20090923,6.7241,6.7241,5.7635,5.7636,3200
PPP,20090924,6.2439,6.2439,5.8116,5.8116,2720
PPP,20090925,6.6281,6.6281,6.0517,6.0517,1040
PPP,20090928,5.7635,5.7636,5.7635,5.7636,2000
PPP,20090929,6.0038,6.0038,5.7636,5.7636,3100
PPP,20090930,5.8116,5.8116,5.3313,5.3313,1800
PPP,20091001,5.2833,5.2833,5.2833,5.2833,220
PPP,20091002,5.7636,5.7636,5.2833,5.2833,510
PPP,20091005,5.2833,5.2833,5.2833,5.2833,1000
PPP,20091006,5.0431,5.0431,5.0431,5.0431,1000
PPP,20091007,5.5234,5.5234,5.5234,5.5234,710
PPP,20091008,5.2833,5.7636,5.2833,5.7636,2540
PPP,20091009,5.2833,5.7636,5.2833,5.2833,0
PPP,20091012,5.2833,5.7156,5.2833,5.7155,0
PPP,20091013,5.9076,5.9076,5.3313,5.3313,9000
PPP,20091014,5.7636,5.7636,5.7636,5.7636,200
PPP,20091015,5.5235,6.2439,5.5235,6.2438,8160
PPP,20091016,6.2438,6.2438,6.0037,6.0037,11950
PPP,20091019,6.1958,6.2438,6.0037,6.1958,0
PPP,20091020,6.5800,6.7241,6.5800,6.6281,8060
PPP,20091021,7.3005,7.3005,6.2438,6.2438,10460
PPP,20091022,6.7241,6.7241,6.5320,6.5320,2050
PPP,20091023,6.7241,6.7241,6.2438,6.4840,10600
PPP,20091026,6.6761,6.6761,6.0037,6.0037,2040
PPP,20091027,6.3399,6.3399,6.3399,6.3399,0
PPP,20091028,6.5320,6.6281,6.4840,6.4840,3450
PPP,20091029,6.5320,6.5320,6.4840,6.5320,0
PPP,20091030,6.0517,6.0517,6.0517,6.0517,500
PPP,20091102,5.5234,5.7636,5.4753,5.7636,4000
PPP,20091103,6.1478,6.1478,6.1478,6.1478,90
PPP,20091104,6.1478,6.2439,6.1478,6.2438,7280
PPP,20091105,6.0037,6.0037,5.6194,5.6195,3300
PPP,20091106,6.1959,6.1959,5.2833,5.2833,3010
PPP,20091109,5.5715,5.7636,5.5715,5.7636,8000
PPP,20091110,5.5715,5.7156,5.5715,5.7155,2600
PPP,20091111,5.7155,5.7155,5.7155,5.7155,1250
PPP,20091112,6.2438,6.2438,5.7635,5.7636,6070
PPP,20091113,5.7636,5.7636,5.5715,5.7636,0
PPP,20091116,5.3794,6.1478,5.3794,6.1478,6300
PPP,20091117,6.0037,6.0037,6.0037,6.0037,10
PPP,20091118,5.7636,6.4360,5.7636,6.4360,1350
PPP,20091119,6.0037,6.0037,6.0037,6.0037,1900
PPP,20091120,5.4273,5.4273,5.4273,5.4273,2000
PPP,20091123,5.4273,5.4273,5.4273,5.4273,0
PPP,20091124,4.8990,5.9557,4.8990,5.9557,80
PPP,20091125,5.8116,5.8116,5.8116,5.8116,0
PPP,20091126,5.8116,5.8116,5.8116,5.8116,0
PPP,20091127,5.8116,5.8116,5.8116,5.8116,0
PPP,20091130,6.3880,6.3880,6.3879,6.3879,100
PPP,20091201,6.3879,6.3879,6.3879,6.3879,0
PPP,20091202,6.3879,6.3879,6.3879,6.3879,0
PPP,20091203,6.3879,6.3879,6.3879,6.3879,0
PPP,20091204,6.3879,6.3879,6.3879,6.3879,0
PPP,20091207,6.3879,6.3879,6.3879,6.3879,0
PPP,20091208,5.7635,5.7636,5.7635,5.7636,10
PPP,20091209,6.3400,6.3400,6.3399,6.3399,10
PPP,20091210,6.3399,6.3399,6.3399,6.3399,0
PPP,20091211,6.3399,6.3399,6.3399,6.3399,0
PPP,20091214,6.7241,6.7241,6.7241,6.7241,50
PPP,20091215,6.7241,6.7241,6.7241,6.7241,0
PPP,20091216,6.9642,6.9643,6.9642,6.9643,50
PPP,20091217,6.9643,6.9643,6.9643,6.9643,0
PPP,20091218,6.9643,6.9643,6.9643,6.9643,17000
PPP,20091221,6.2919,6.2919,6.2919,6.2919,300
PPP,20091222,6.2919,6.2919,6.2919,6.2919,0
PPP,20091223,5.7636,5.7636,5.7636,5.7636,100
PPP,20091224,5.2833,5.2833,5.2833,5.2833,10000
PPP,20091225,4.8510,4.8510,4.8510,4.8510,110
PPP,20091228,4.4187,4.4187,4.4187,4.4187,260
PPP,20091229,4.4187,4.4187,4.4187,4.4187,0
PPP,20091230,4.4187,4.4187,4.4187,4.4187,0
PPP,20091231,4.8029,4.8030,4.8029,4.8030,1000
PPP,20100104,5.2833,5.2833,5.2833,5.2833,2500
PPP,20100105,5.2833,5.2833,5.2833,5.2833,0
PPP,20100106,4.7550,5.2833,4.7550,5.2833,340
PPP,20100107,4.8991,4.8991,4.8990,4.8990,0
PPP,20100108,4.8029,4.8030,4.8029,4.8030,200
PPP,20100111,4.8030,4.8030,4.8030,4.8030,0
PPP,20100112,4.8030,4.8030,4.8030,4.8030,0
PPP,20100113,4.8030,4.8030,4.3707,4.3707,9000
PPP,20100114,4.5628,4.5628,4.5628,4.5628,1000
PPP,20100115,4.9951,4.9951,4.9951,4.9951,400
PPP,20100118,5.0431,5.0431,5.0431,5.0431,100
PPP,20100119,4.5628,4.5628,4.5628,4.5628,1000
PPP,20100120,4.9951,4.9951,4.9951,4.9951,100
PPP,20100121,5.4754,5.4754,5.4754,5.4754,50
PPP,20100122,6.0037,6.0037,6.0037,6.0037,50
PPP,20100125,6.5801,6.5801,6.5801,6.5801,50
PPP,20100126,6.7242,6.7242,6.7241,6.7241,50
PPP,20100127,6.8202,6.8202,6.0517,6.0517,2040
PPP,20100128,6.0517,6.0517,6.0517,6.0517,0
PPP,20100129,5.4753,5.4754,5.4753,5.4754,300
PPP,20100201,5.4754,5.4754,5.4754,5.4754,0
PPP,20100202,4.7550,4.8030,4.7550,4.8030,1400
PPP,20100203,4.7550,4.7550,4.7549,4.7549,0
PPP,20100204,4.7549,4.7549,4.7549,4.7549,0
PPP,20100205,4.3226,4.3227,4.3226,4.3227,1000
