<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PPY,20160302,8.5186,8.5186,8.5186,8.5186,0
PPY,20160303,8.5186,8.5186,8.5186,8.5186,0
PPY,20160304,11.0448,11.0448,11.0448,11.0448,100
PPY,20160307,12.1023,12.1023,12.1023,12.1023,100
PPY,20160308,12.1023,12.1023,12.1023,12.1023,0
PPY,20160309,13.2773,13.2773,13.2773,13.2773,100
PPY,20160310,13.2773,13.2773,13.2773,13.2773,0
PPY,20160311,13.2773,13.2773,13.2773,13.2773,0
PPY,20160314,13.2773,13.2773,13.2773,13.2773,0
PPY,20160315,12.0436,12.0436,12.0436,12.0436,200
PPY,20160316,12.0436,12.0436,12.0436,12.0436,0
PPY,20160317,12.0436,12.0436,12.0436,12.0436,0
PPY,20160318,12.0436,12.0436,12.0436,12.0436,0
PPY,20160321,12.0436,12.0436,12.0436,12.0436,0
PPY,20160322,12.0436,12.0436,12.0436,12.0436,0
PPY,20160323,12.0436,12.0436,12.0436,12.0436,0
PPY,20160324,12.0436,12.0436,12.0436,12.0436,0
PPY,20160325,12.0436,12.0436,12.0436,12.0436,0
PPY,20160328,12.0436,12.0436,12.0436,12.0436,0
PPY,20160329,12.0436,12.0436,12.0436,12.0436,0
PPY,20160330,12.0436,12.0436,12.0436,12.0436,0
PPY,20160331,12.0436,12.0436,12.0436,12.0436,0
PPY,20160401,12.0436,12.0436,12.0436,12.0436,0
PPY,20160404,12.0436,12.0436,12.0436,12.0436,0
PPY,20160405,12.0436,12.0436,12.0436,12.0436,0
PPY,20160406,12.0436,12.0436,12.0436,12.0436,0
PPY,20160407,12.0436,12.0436,12.0436,12.0436,0
PPY,20160408,12.0436,12.0436,12.0436,12.0436,0
PPY,20160411,12.0436,12.0436,12.0436,12.0436,0
PPY,20160412,12.0436,12.0436,12.0436,12.0436,0
PPY,20160413,12.0436,12.0436,12.0436,12.0436,0
PPY,20160414,10.8686,10.8686,10.8686,10.8686,423
PPY,20160415,10.8686,10.8686,10.8686,10.8686,0
PPY,20160419,10.8686,10.8686,10.8686,10.8686,0
PPY,20160420,10.8686,10.8686,10.8686,10.8686,0
PPY,20160421,10.8686,10.8686,10.8686,10.8686,0
PPY,20160422,10.8686,10.8686,10.8686,10.8686,0
PPY,20160425,10.8686,10.8686,10.8686,10.8686,0
PPY,20160426,10.8686,10.8686,10.8686,10.8686,0
PPY,20160427,10.8686,10.8686,10.8686,10.8686,0
PPY,20160428,10.8686,10.8686,10.8686,10.8686,0
PPY,20160429,10.8686,10.8686,10.8686,10.8686,0
PPY,20160504,10.8686,10.8686,10.8686,10.8686,0
PPY,20160505,10.8686,10.8686,10.8686,10.8686,0
PPY,20160506,10.8686,10.8686,10.8686,10.8686,200
PPY,20160509,10.8686,10.8686,10.8686,10.8686,0
PPY,20160510,10.8686,10.8686,10.8686,10.8686,0
PPY,20160511,10.8686,10.8686,10.8686,10.8686,0
PPY,20160512,10.8686,10.8686,10.8686,10.8686,100
PPY,20160513,10.5749,10.5749,10.5748,10.5748,200
PPY,20160516,10.5748,10.5748,10.5744,10.5744,0
PPY,20160517,10.5744,10.5744,10.5744,10.5744,0
PPY,20160518,10.5744,10.5744,10.5744,10.5744,0
PPY,20160519,10.5744,10.5744,10.5744,10.5744,0
PPY,20160520,10.5744,10.5744,10.5744,10.5744,0
PPY,20160523,10.5744,10.5744,10.5744,10.5744,0
PPY,20160524,10.5744,10.5744,10.5744,10.5744,0
PPY,20160525,10.5744,10.5744,10.5744,10.5744,0
PPY,20160526,10.5744,10.5744,10.5744,10.5744,0
PPY,20160527,10.5744,10.5744,10.5744,10.5744,0
PPY,20160530,10.5744,10.5744,10.5744,10.5744,0
PPY,20160531,10.5744,10.5744,10.5744,10.5744,0
PPY,20160601,10.5744,10.5744,10.5744,10.5744,0
PPY,20160602,10.5744,10.5744,10.5744,10.5744,0
PPY,20160603,10.5744,10.5744,10.5744,10.5744,400
PPY,20160606,10.5744,10.5744,10.5744,10.5744,0
PPY,20160607,10.5744,10.5744,10.5744,10.5744,0
PPY,20160608,10.5744,10.5744,10.5744,10.5744,0
PPY,20160609,10.5744,10.5744,10.5744,10.5744,0
PPY,20160610,10.5744,10.5744,10.5744,10.5744,0
PPY,20160613,10.5744,10.5744,10.5744,10.5744,0
PPY,20160614,10.5744,10.5744,10.5744,10.5744,0
PPY,20160615,10.5744,10.5744,10.5744,10.5744,0
PPY,20160616,10.5744,10.5744,10.5744,10.5744,0
PPY,20160617,10.5744,10.5744,10.5744,10.5744,0
PPY,20160620,10.5744,10.5744,10.5744,10.5744,0
PPY,20160621,10.5744,10.5744,10.5744,10.5744,0
PPY,20160622,10.5744,10.5744,10.5744,10.5744,0
PPY,20160623,11.0810,11.0810,11.0810,11.0810,100
PPY,20160624,11.0810,11.0810,11.0810,11.0810,0
PPY,20160627,11.0810,11.0810,11.0810,11.0810,0
PPY,20160628,11.0810,11.0810,11.0810,11.0810,0
PPY,20160629,11.0810,11.0810,11.0810,11.0810,0
PPY,20160630,11.0810,11.0810,11.0810,11.0810,0
PPY,20160701,11.0810,11.0810,11.0810,11.0810,100
PPY,20160704,10.4478,10.4478,10.4478,10.4478,300
PPY,20160705,10.4478,10.4478,10.4478,10.4478,0
PPY,20160706,10.4478,10.4478,10.4478,10.4478,0
PPY,20160707,10.4478,10.4478,10.4478,10.4478,0
PPY,20160708,10.4478,10.4478,10.4478,10.4478,0
PPY,20160711,10.4478,10.4478,10.4478,10.4478,0
PPY,20160712,10.4478,10.4478,10.4478,10.4478,0
PPY,20160713,10.4478,10.4478,10.4478,10.4478,0
PPY,20160714,10.4478,10.4478,10.4478,10.4478,0
PPY,20160715,10.4478,10.4478,10.4478,10.4478,0
PPY,20160718,10.4478,10.4478,10.4478,10.4478,0
PPY,20160719,10.4478,10.4478,10.4478,10.4478,0
PPY,20160720,10.4478,10.4478,10.4478,10.4478,0
PPY,20160721,10.4478,10.4478,10.4478,10.4478,0
PPY,20160722,10.4478,10.4478,10.4478,10.4478,0
PPY,20160725,10.4478,10.4478,10.4478,10.4478,0
PPY,20160726,10.4478,10.4478,10.4478,10.4478,0
PPY,20160727,10.4478,10.4478,10.4478,10.4478,0
PPY,20160728,10.4478,10.4478,10.4478,10.4478,0
PPY,20160729,10.4478,10.4478,10.4478,10.4478,0
