<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PSC,20061229,32.0000,40.0000,32.0000,38.6000,5100
PSC,20070102,38.6000,38.6000,38.6000,38.6000,0
PSC,20070103,38.6000,38.6000,38.6000,38.6000,0
PSC,20070104,38.6000,38.6000,38.6000,38.6000,0
PSC,20070105,38.6000,38.6000,38.6000,38.6000,0
PSC,20070108,42.4000,42.4000,42.4000,42.4000,100
PSC,20070109,46.6000,46.6000,46.6000,46.6000,300
PSC,20070110,45.9000,45.9000,45.9000,45.9000,200
PSC,20070111,45.9000,45.9000,45.9000,45.9000,0
PSC,20070112,45.9000,45.9000,45.9000,45.9000,0
PSC,20070115,45.9000,45.9000,45.9000,45.9000,0
PSC,20070116,45.9000,45.9000,45.9000,45.9000,0
PSC,20070117,45.9000,45.9000,45.9000,45.9000,0
PSC,20070118,45.9000,45.9000,45.9000,45.9000,0
PSC,20070119,48.0000,48.0000,48.0000,48.0000,1000
PSC,20070122,48.0000,48.0000,48.0000,48.0000,0
PSC,20070123,48.0000,48.0000,48.0000,48.0000,0
PSC,20070124,48.0000,48.0000,48.0000,48.0000,0
PSC,20070125,48.0000,48.0000,48.0000,48.0000,1100
PSC,20070126,48.0000,48.0000,48.0000,48.0000,0
PSC,20070129,48.0000,48.0000,48.0000,48.0000,0
PSC,20070130,48.0000,48.0000,48.0000,48.0000,0
PSC,20070131,48.0000,48.0000,48.0000,48.0000,0
PSC,20070201,48.0000,48.0000,48.0000,48.0000,0
PSC,20070202,48.0000,48.0000,48.0000,48.0000,0
PSC,20070205,51.0000,51.0000,46.0000,46.0000,1200
PSC,20070206,52.0000,52.0000,52.0000,52.0000,800
PSC,20070207,53.2000,53.2000,53.0000,53.0000,600
PSC,20070208,53.0000,53.0000,53.0000,53.0000,0
PSC,20070209,53.0000,53.0000,53.0000,53.0000,0
PSC,20070212,53.0000,53.0000,53.0000,53.0000,300
PSC,20070213,50.0000,50.0000,50.0000,50.0000,3700
PSC,20070214,50.0000,50.5000,50.0000,50.5000,6400
PSC,20070215,49.0000,49.0000,49.0000,49.0000,4000
PSC,20070226,49.7000,52.0000,49.0000,52.0000,12500
PSC,20070227,52.5000,56.4000,52.5000,56.4000,7200
PSC,20070228,60.1000,60.1000,60.0000,60.0000,3300
PSC,20070301,6.3992,7.1274,6.3992,6.3992,5800
PSC,20070302,6.5316,6.5316,6.5095,6.5095,1000
PSC,20070305,6.5095,6.9508,6.5095,6.8957,3200
PSC,20070306,7.1715,7.5025,7.0612,7.2818,8700
PSC,20070307,8.0100,8.0321,7.9438,8.0321,2300
PSC,20070308,8.7713,8.7934,8.1093,8.7934,3400
PSC,20070309,9.5326,9.5326,8.1645,9.5326,3000
PSC,20070312,9.4885,9.9960,8.1865,9.9298,2700
PSC,20070313,10.4814,10.4814,9.5988,10.0401,7600
PSC,20070314,9.3781,10.0401,9.3781,9.5988,1900
PSC,20070315,9.6539,9.6539,9.6539,9.6539,0
PSC,20070316,9.2678,9.6539,8.6941,8.6941,2400
PSC,20070319,9.4885,9.5988,9.3781,9.5105,3200
PSC,20070320,10.1394,10.1394,9.0471,9.0471,2100
PSC,20070321,8.2748,8.8265,8.2748,8.8265,600
PSC,20070322,8.4624,8.9368,8.2748,8.2748,1000
PSC,20070323,8.3851,8.4955,8.3851,8.3851,1600
PSC,20070326,8.4513,8.4513,8.4513,8.4513,0
PSC,20070327,8.4513,8.4513,8.4513,8.4513,0
PSC,20070328,7.6128,7.6128,7.6128,7.6128,1000
PSC,20070329,7.9438,8.3300,7.6128,8.3300,1200
PSC,20070330,8.1645,8.1645,8.1645,8.1645,100
PSC,20070402,8.2196,8.2196,8.2196,8.2196,100
PSC,20070403,8.2196,8.2196,8.2196,8.2196,0
PSC,20070404,8.2196,8.2196,8.2196,8.2196,0
PSC,20070405,8.2196,8.2196,8.2196,8.2196,0
PSC,20070406,8.2196,8.2196,8.2196,8.2196,0
PSC,20070409,8.2196,8.2196,8.2196,8.2196,0
PSC,20070410,8.2196,8.2196,8.2196,8.2196,0
PSC,20070411,8.2196,8.2196,8.2196,8.2196,0
PSC,20070412,8.2196,8.2196,8.2196,8.2196,0
PSC,20070413,8.2196,8.2196,8.2196,8.2196,0
PSC,20070416,7.6128,7.6128,7.6128,7.6128,100
PSC,20070417,6.8626,6.8626,6.8626,6.8626,100
PSC,20070418,6.6198,6.6198,6.6198,6.6198,1700
PSC,20070419,6.6198,6.8405,6.6198,6.6198,4400
PSC,20070420,6.6198,6.6198,6.6198,6.6198,200
PSC,20070423,6.5095,6.5095,6.5095,6.5095,500
PSC,20070424,5.8586,6.3992,5.8586,5.9579,700
PSC,20070425,5.9579,5.9579,5.6379,5.6379,3100
PSC,20070502,5.1194,5.6820,5.1194,5.6820,500
PSC,20070503,5.1304,5.1304,5.1304,5.1304,200
PSC,20070504,4.6339,5.0201,4.6339,4.6339,1400
PSC,20070507,4.5787,4.5787,4.5236,4.5236,2200
PSC,20070508,4.9870,4.9870,4.8546,4.8546,1000
PSC,20070509,5.1524,5.4393,5.1524,5.4062,1000
PSC,20070510,5.8917,5.8917,5.8917,5.8917,600
PSC,20070511,5.8917,5.8917,5.8917,5.8917,0
PSC,20070514,5.8917,5.8917,5.8917,5.8917,0
PSC,20070515,5.5165,5.5165,5.5165,5.5165,900
PSC,20070516,5.4172,5.4172,5.2959,5.2959,500
PSC,20070517,5.2959,5.2959,5.2959,5.2959,100
PSC,20070518,5.2628,5.2628,5.2076,5.2076,600
PSC,20070521,5.2407,5.2407,5.2407,5.2407,0
PSC,20070522,5.2407,5.2407,5.2407,5.2407,0
PSC,20070523,5.5386,5.7593,5.2959,5.2959,1500
PSC,20070524,5.3510,5.3510,5.3510,5.3510,1000
PSC,20070525,5.3510,5.4062,5.2959,5.4062,800
PSC,20070528,5.5165,5.5165,5.5165,5.5165,200
PSC,20070529,5.5165,5.6269,5.4062,5.6269,1200
PSC,20070530,5.6820,5.6820,5.4614,5.4614,1500
PSC,20070531,5.5165,5.9579,5.5165,5.5717,1900
PSC,20070601,5.8475,5.8475,5.8475,5.8475,200
PSC,20070604,6.3992,6.4323,6.3992,6.4323,600
PSC,20070605,7.0722,7.0722,7.0722,7.0722,9300
PSC,20070606,7.7783,7.7783,7.1715,7.7232,9500
PSC,20070607,7.5025,7.8887,7.3922,7.6128,4300
PSC,20070608,7.7232,7.7232,7.4915,7.4915,500
PSC,20070611,7.0612,7.0612,7.0612,7.0612,300
PSC,20070612,7.0612,7.1163,7.0612,7.1163,1100
PSC,20070613,7.0612,7.0612,7.0612,7.0612,400
PSC,20070614,6.8405,7.0060,6.8405,7.0060,1100
PSC,20070615,6.9288,6.9288,6.9288,6.9288,0
PSC,20070618,6.9288,6.9288,6.9288,6.9288,0
PSC,20070619,6.2447,6.2447,6.2447,6.2447,300
PSC,20070620,6.2447,6.2447,6.2447,6.2447,0
PSC,20070621,5.6269,5.8475,5.6269,5.8475,400
PSC,20070622,6.1785,6.3661,6.1785,6.3661,800
PSC,20070625,6.3440,6.3440,6.3440,6.3440,700
PSC,20070626,6.2889,6.3440,6.2889,6.3440,2000
PSC,20070627,6.3330,6.3330,6.3330,6.3330,0
PSC,20070628,6.3330,6.3330,6.3330,6.3330,0
PSC,20070629,6.3330,6.3330,6.3330,6.3330,0
PSC,20070702,5.9027,5.9027,5.9027,5.9027,1500
PSC,20070703,5.9027,5.9027,5.9027,5.9027,0
PSC,20070704,5.3179,5.5165,5.3179,5.5165,2400
PSC,20070705,5.2959,5.2959,4.9649,4.9649,1300
PSC,20070706,4.9649,4.9649,4.9649,4.9649,700
PSC,20070709,5.0752,5.0752,5.0752,5.0752,500
PSC,20070710,5.0752,5.1855,5.0201,5.1855,4900
PSC,20070711,5.1304,5.1304,5.0752,5.0752,2000
PSC,20070712,5.1855,5.1855,5.0752,5.0752,4300
PSC,20070713,5.0752,5.0752,5.0532,5.0532,2000
PSC,20070716,5.0642,5.0642,5.0642,5.0642,0
PSC,20070717,5.0642,5.0642,5.0642,5.0642,0
PSC,20070718,4.6339,4.6339,4.6339,4.6339,100
PSC,20070719,5.0973,5.0973,5.0973,5.0973,400
PSC,20070720,5.0973,5.0973,5.0973,5.0973,0
PSC,20070723,5.0973,5.0973,5.0973,5.0973,0
PSC,20070724,5.2959,5.2959,5.2959,5.2959,200
PSC,20070725,5.5165,5.5165,5.5165,5.5165,500
PSC,20070726,4.9649,4.9649,4.9649,4.9649,200
PSC,20070727,4.9649,4.9649,4.9649,4.9649,0
PSC,20070730,4.9649,4.9649,4.9649,4.9649,0
PSC,20070731,4.9649,4.9649,4.9649,4.9649,0
PSC,20070801,4.9649,4.9649,4.9649,4.9649,0
PSC,20070802,4.5346,4.5346,4.5346,4.5346,100
PSC,20070803,4.9649,4.9649,4.6339,4.6339,700
PSC,20070806,4.6780,4.6780,4.6780,4.6780,0
PSC,20070807,4.6780,4.6780,4.6780,4.6780,0
PSC,20070808,4.6780,4.6780,4.6780,4.6780,0
PSC,20070809,4.6780,4.6780,4.6780,4.6780,0
PSC,20070810,4.4684,4.4684,4.4684,4.4684,100
PSC,20070813,4.4684,4.4684,4.4684,4.4684,0
PSC,20070814,4.8546,4.8546,4.8546,4.8546,100
PSC,20070815,4.8546,4.8546,4.8546,4.8546,0
PSC,20070816,4.8546,4.8546,4.8546,4.8546,1100
PSC,20070817,4.8546,4.8546,4.8546,4.8546,0
PSC,20070820,4.5236,4.5236,4.5236,4.5236,500
PSC,20070821,4.5346,4.5456,4.5346,4.5456,400
PSC,20070822,4.5898,4.6339,4.5898,4.6339,1200
PSC,20070823,4.6339,4.6339,4.6339,4.6339,900
PSC,20070824,4.6339,4.6339,4.6339,4.6339,0
PSC,20070827,4.6339,4.6339,4.6339,4.6339,0
PSC,20070828,4.6339,4.6339,4.6339,4.6339,0
PSC,20070829,4.6339,4.6339,4.6339,4.6339,0
PSC,20070830,4.4684,4.4684,4.4684,4.4684,200
PSC,20070831,4.5236,4.5236,4.4684,4.4684,700
PSC,20070904,4.4905,4.4905,4.4905,4.4905,0
PSC,20070905,4.7442,4.7442,4.7442,4.7442,100
PSC,20070906,4.3029,4.4794,4.3029,4.4684,1800
PSC,20070907,4.6891,4.6891,4.6891,4.6891,200
PSC,20070910,4.6891,4.6891,4.6891,4.6891,0
PSC,20070911,4.6449,4.7994,4.6339,4.7994,2200
PSC,20070912,4.9649,5.1855,4.8546,5.1414,3700
PSC,20070913,5.1304,5.1304,4.9649,5.1304,2100
PSC,20070914,5.1194,5.1304,5.1194,5.1304,1500
PSC,20070917,5.1304,5.1304,5.1304,5.1304,100
PSC,20070918,5.1304,5.1304,5.1304,5.1304,1300
PSC,20070919,5.2959,5.3510,5.2959,5.3510,500
PSC,20070920,5.3510,5.4614,5.3510,5.4614,500
PSC,20070921,5.4172,5.4172,5.4172,5.4172,0
PSC,20070924,5.5165,5.9579,5.5165,5.5165,1500
PSC,20070925,5.6710,5.6710,5.5717,5.5717,1300
PSC,20070926,5.6820,5.7924,5.6269,5.7372,6700
PSC,20070927,5.7372,5.7482,5.7372,5.7372,2400
PSC,20070928,6.0682,6.3109,6.0682,6.3109,7900
PSC,20071001,6.9288,6.9288,6.9288,6.9288,7900
PSC,20071002,7.6128,7.6128,6.8405,6.9508,14000
PSC,20071003,7.4804,7.6128,7.0612,7.2818,8600
PSC,20071004,7.1715,7.9604,7.1715,7.7452,2500
PSC,20071005,7.7452,8.2472,7.7452,8.2472,5000
PSC,20071008,8.4624,8.8783,8.4624,8.8783,11300
PSC,20071009,9.6672,9.6672,8.8209,8.8209,5900
