<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PSW,20150721,7.1418,7.1418,7.0368,7.0368,1800
PSW,20150722,6.8267,6.8267,6.8267,6.8267,3000
PSW,20150723,6.8267,7.0893,6.8267,7.0893,1300
PSW,20150724,6.5642,6.8267,6.5642,6.8267,500
PSW,20150727,6.8267,6.8267,6.8267,6.8267,0
PSW,20150728,6.8267,6.8267,6.8267,6.8267,0
PSW,20150729,7.0893,7.0893,7.0893,7.0893,100
PSW,20150730,7.0893,7.0893,7.0893,7.0893,0
PSW,20150731,7.0893,7.0893,7.0893,7.0893,0
PSW,20150803,6.7742,6.7742,6.4066,6.4066,1200
PSW,20150804,6.3541,6.9317,6.3541,6.9317,600
PSW,20150805,6.5641,6.5641,6.5641,6.5641,100
PSW,20150806,6.5641,6.5641,6.5641,6.5641,0
PSW,20150807,6.0390,6.0390,6.0390,6.0390,100
PSW,20150810,6.0390,6.0390,6.0390,6.0390,0
PSW,20150811,6.0390,6.0390,6.0390,6.0390,0
PSW,20150812,6.0390,6.0390,6.0390,6.0390,0
PSW,20150813,6.0390,6.0390,6.0390,6.0390,0
PSW,20150814,6.6166,6.6167,6.6166,6.6167,100
PSW,20150817,6.6167,6.6167,6.6167,6.6167,0
PSW,20150818,6.6167,6.6167,6.6167,6.6167,0
PSW,20150819,6.6167,6.6167,6.6167,6.6167,0
PSW,20150820,6.6167,6.6167,6.6167,6.6167,0
PSW,20150821,6.6167,6.6167,6.6167,6.6167,0
PSW,20150824,6.6167,6.6167,6.6167,6.6167,0
PSW,20150825,6.6167,6.6167,6.6167,6.6167,0
PSW,20150826,6.6167,6.6167,6.6167,6.6167,0
PSW,20150827,6.6167,6.6167,6.6167,6.6167,0
PSW,20150828,6.6167,6.6167,6.6167,6.6167,0
PSW,20150831,5.9865,5.9865,5.9865,5.9865,1000
PSW,20150901,5.9865,5.9865,5.9865,5.9865,0
PSW,20150903,5.8290,5.8290,5.8290,5.8290,5000
PSW,20150904,5.8290,5.8290,5.8290,5.8290,0
PSW,20150907,5.8290,5.8290,5.8290,5.8290,0
PSW,20150908,5.7765,5.7765,5.7764,5.7764,1000
PSW,20150909,5.7764,5.7764,5.7764,5.7764,0
PSW,20150910,5.7764,5.7764,5.7764,5.7764,0
PSW,20150911,5.7764,5.7764,5.7764,5.7764,0
PSW,20150914,5.1988,6.3016,5.1988,6.3016,200
PSW,20150915,6.3016,6.3016,6.3016,6.3016,0
PSW,20150916,6.3016,6.3016,6.3016,6.3016,0
PSW,20150917,5.7765,5.7765,5.7764,5.7764,10000
PSW,20150918,5.7764,5.7764,5.7764,5.7764,1650
PSW,20150921,5.8814,5.8815,5.8814,5.8815,100
PSW,20150922,5.8815,5.8815,5.8815,5.8815,0
PSW,20150923,5.8815,5.8815,5.8815,5.8815,0
PSW,20150924,5.8815,5.8815,5.8815,5.8815,0
PSW,20150925,5.8815,5.8815,5.8815,5.8815,0
PSW,20150928,5.8815,5.8815,5.8815,5.8815,0
PSW,20150929,5.3039,5.3039,5.3038,5.3038,100
PSW,20150930,5.3038,5.3038,5.3038,5.3038,0
PSW,20151001,5.3038,5.3038,5.3038,5.3038,0
PSW,20151002,5.3038,5.3038,5.3038,5.3038,0
PSW,20151005,5.3038,5.3038,5.3038,5.3038,0
PSW,20151006,5.3038,5.3038,5.3038,5.3038,0
PSW,20151007,5.3038,5.3038,5.3038,5.3038,0
PSW,20151008,5.8289,5.8290,5.8289,5.8290,100
PSW,20151009,5.8290,5.8290,5.8290,5.8290,0
PSW,20151012,6.4066,6.4066,6.4066,6.4066,200
PSW,20151013,5.7764,5.7764,5.7764,5.7764,100
PSW,20151014,5.7764,5.7764,5.7764,5.7764,0
PSW,20151015,5.7764,5.7764,5.7764,5.7764,0
PSW,20151016,5.7764,5.7764,5.7763,5.7763,0
PSW,20151019,5.7763,5.7763,5.7763,5.7763,0
PSW,20151020,6.3426,6.3426,6.3426,6.3426,100
PSW,20151021,5.7197,5.9462,5.7197,5.9462,1100
PSW,20151022,5.9462,5.9462,5.9462,5.9462,0
PSW,20151023,5.9462,5.9462,5.9462,5.9462,8500
PSW,20151026,5.9462,5.9462,5.9462,5.9462,0
PSW,20151027,5.9462,5.9462,5.9462,5.9462,0
PSW,20151028,5.9462,5.9462,5.9462,5.9462,0
PSW,20151029,5.9462,5.9462,5.9462,5.9462,300
PSW,20151030,5.9462,5.9462,5.9462,5.9462,0
PSW,20151102,5.9462,5.9462,5.9462,5.9462,0
PSW,20151103,5.9462,5.9462,5.9462,5.9462,0
PSW,20151104,5.9462,5.9462,5.9462,5.9462,0
