<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PTH,20100324,23.0000,23.0000,23.0000,23.0000,800
PTH,20100325,23.0000,23.0000,23.0000,23.0000,0
PTH,20100326,23.0000,23.0000,23.0000,23.0000,0
PTH,20100329,23.0000,23.0000,23.0000,23.0000,0
PTH,20100330,23.0000,23.0000,23.0000,23.0000,0
PTH,20100331,23.0000,23.0000,23.0000,23.0000,0
PTH,20100401,23.0000,23.0000,23.0000,23.0000,0
PTH,20100402,23.0000,23.0000,23.0000,23.0000,0
PTH,20100405,23.0000,23.0000,23.0000,23.0000,0
PTH,20100406,23.0000,23.0000,23.0000,23.0000,0
PTH,20100407,23.0000,23.0000,23.0000,23.0000,0
PTH,20100408,23.0000,23.0000,23.0000,23.0000,0
PTH,20100409,23.0000,23.0000,23.0000,23.0000,0
PTH,20100412,23.0000,23.0000,23.0000,23.0000,0
PTH,20100413,23.0000,23.0000,23.0000,23.0000,0
PTH,20100414,23.0000,23.0000,23.0000,23.0000,0
PTH,20100415,23.0000,23.0000,23.0000,23.0000,0
PTH,20100416,23.0000,23.0000,23.0000,23.0000,0
PTH,20100419,23.0000,23.0000,23.0000,23.0000,0
PTH,20100420,23.0000,23.0000,23.0000,23.0000,0
PTH,20100421,23.0000,23.0000,23.0000,23.0000,0
PTH,20100422,23.0000,23.0000,23.0000,23.0000,0
PTH,20100426,23.0000,23.0000,23.0000,23.0000,0
PTH,20100427,23.0000,23.0000,23.0000,23.0000,0
PTH,20100428,25.1000,25.1000,25.1000,25.1000,1000
PTH,20100429,25.1000,25.1000,25.1000,25.1000,0
PTH,20100504,25.1000,25.1000,25.1000,25.1000,0
PTH,20100505,25.1000,25.1000,25.1000,25.1000,0
PTH,20100506,25.1000,25.1000,25.1000,25.1000,0
PTH,20100507,25.1000,25.1000,25.1000,25.1000,500
PTH,20100510,25.5000,25.5000,25.5000,25.5000,500
PTH,20100511,25.5000,25.5000,25.5000,25.5000,0
PTH,20100512,25.5000,25.5000,25.5000,25.5000,0
PTH,20100513,28.0000,28.0000,28.0000,28.0000,100
PTH,20100514,28.0000,28.0000,28.0000,28.0000,0
PTH,20100517,28.0000,28.0000,28.0000,28.0000,0
PTH,20100518,28.0000,28.0000,28.0000,28.0000,0
PTH,20100519,30.8000,30.8000,30.8000,30.8000,100
PTH,20100520,30.8000,30.8000,30.8000,30.8000,0
PTH,20100521,33.8000,33.8000,33.8000,33.8000,150
PTH,20100524,33.8000,33.8000,33.8000,33.8000,0
PTH,20100525,33.8000,33.8000,33.8000,33.8000,0
PTH,20100526,33.8000,33.8000,33.8000,33.8000,0
PTH,20100527,33.8000,33.8000,33.8000,33.8000,0
PTH,20100528,33.8000,33.8000,33.8000,33.8000,0
PTH,20100531,33.8000,33.8000,33.8000,33.8000,0
PTH,20100601,33.8000,33.8000,33.8000,33.8000,0
PTH,20100602,33.8000,33.8000,33.8000,33.8000,0
PTH,20100603,33.8000,33.8000,33.8000,33.8000,0
PTH,20100604,33.8000,33.8000,33.8000,33.8000,0
PTH,20100607,33.8000,33.8000,33.8000,33.8000,0
PTH,20100608,33.8000,33.8000,33.8000,33.8000,0
PTH,20100609,33.8000,33.8000,33.8000,33.8000,0
PTH,20100610,33.8000,33.8000,33.8000,33.8000,0
PTH,20100611,33.8000,33.8000,33.8000,33.8000,0
PTH,20100614,33.8000,33.8000,33.8000,33.8000,0
PTH,20100615,33.8000,33.8000,33.8000,33.8000,0
PTH,20100616,33.8000,33.8000,33.8000,33.8000,0
PTH,20100617,33.8000,33.8000,33.8000,33.8000,0
PTH,20100618,33.8000,33.8000,33.8000,33.8000,0
PTH,20100621,33.8000,33.8000,33.8000,33.8000,0
PTH,20100622,33.8000,33.8000,33.8000,33.8000,0
PTH,20100623,33.8000,33.8000,33.8000,33.8000,0
PTH,20100624,33.8000,33.8000,33.8000,33.8000,0
PTH,20100625,33.8000,33.8000,33.8000,33.8000,0
PTH,20100628,33.8000,33.8000,33.8000,33.8000,0
PTH,20100629,33.8000,33.8000,33.8000,33.8000,0
PTH,20100630,33.8000,33.8000,33.8000,33.8000,0
PTH,20100701,33.8000,33.8000,33.8000,33.8000,0
PTH,20100702,33.8000,33.8000,33.8000,33.8000,350
PTH,20100705,33.8000,33.8000,33.8000,33.8000,0
PTH,20100706,33.8000,33.8000,33.8000,33.8000,0
PTH,20100707,33.8000,33.8000,33.8000,33.8000,0
PTH,20100708,33.8000,33.8000,33.8000,33.8000,0
PTH,20100709,33.8000,33.8000,33.8000,33.8000,0
PTH,20100712,33.8000,33.8000,33.8000,33.8000,0
PTH,20100713,33.8000,33.8000,33.8000,33.8000,0
PTH,20100714,37.1000,37.1000,37.1000,37.1000,500
PTH,20100715,38.0000,38.0000,38.0000,38.0000,500
PTH,20100716,38.0000,38.0000,38.0000,38.0000,0
PTH,20100719,38.0000,38.0000,38.0000,38.0000,0
PTH,20100720,41.8000,41.8000,41.8000,41.8000,100
PTH,20100721,41.8000,41.8000,41.8000,41.8000,0
PTH,20100722,41.8000,41.8000,41.8000,41.8000,0
PTH,20100723,41.8000,41.8000,41.8000,41.8000,0
PTH,20100726,41.8000,41.8000,41.8000,41.8000,0
PTH,20100727,41.8000,41.8000,41.8000,41.8000,0
PTH,20100728,45.9000,45.9000,45.9000,45.9000,100
PTH,20100729,45.9000,45.9000,45.9000,45.9000,0
PTH,20100730,45.9000,45.9000,45.9000,45.9000,0
PTH,20100802,50.4000,50.4000,50.4000,50.4000,100
PTH,20100803,50.4000,50.4000,50.4000,50.4000,0
PTH,20100804,50.4000,50.4000,50.4000,50.4000,0
PTH,20100805,50.4000,50.4000,50.4000,50.4000,0
PTH,20100806,50.4000,50.4000,50.4000,50.4000,0
PTH,20100809,50.4000,50.4000,50.4000,50.4000,0
PTH,20100810,50.4000,50.4000,50.4000,50.4000,0
PTH,20100811,50.4000,50.4000,50.4000,50.4000,0
PTH,20100812,50.4000,50.4000,50.4000,50.4000,0
PTH,20100813,50.4000,50.4000,50.4000,50.4000,0
PTH,20100816,50.4000,50.4000,50.4000,50.4000,0
PTH,20100817,50.4000,50.4000,50.4000,50.4000,0
PTH,20100818,50.4000,50.4000,50.4000,50.4000,0
PTH,20100819,50.0000,50.0000,50.0000,50.0000,300
PTH,20100820,50.0000,50.0000,50.0000,50.0000,0
PTH,20100823,50.0000,50.0000,50.0000,50.0000,0
PTH,20100824,50.0000,50.0000,50.0000,50.0000,0
PTH,20100825,50.0000,50.0000,50.0000,50.0000,0
PTH,20100826,50.0000,50.0000,50.0000,50.0000,0
PTH,20100827,50.0000,50.0000,50.0000,50.0000,0
PTH,20100830,50.0000,50.0000,50.0000,50.0000,0
PTH,20100831,50.0000,50.0000,50.0000,50.0000,0
PTH,20100901,50.0000,50.0000,50.0000,50.0000,0
PTH,20100906,50.0000,50.0000,50.0000,50.0000,0
PTH,20100907,50.0000,50.0000,50.0000,50.0000,0
PTH,20100908,50.0000,50.0000,50.0000,50.0000,0
PTH,20100909,50.0000,50.0000,50.0000,50.0000,0
PTH,20100910,50.0000,50.0000,50.0000,50.0000,0
PTH,20100913,50.0000,50.0000,50.0000,50.0000,0
PTH,20100914,50.0000,50.0000,50.0000,50.0000,0
PTH,20100915,50.0000,50.0000,50.0000,50.0000,0
PTH,20100916,50.0000,50.0000,50.0000,50.0000,0
PTH,20100917,50.0000,50.0000,50.0000,50.0000,0
PTH,20100920,50.0000,50.0000,50.0000,50.0000,0
PTH,20100921,50.0000,50.0000,50.0000,50.0000,0
PTH,20100922,50.0000,50.0000,50.0000,50.0000,0
PTH,20100923,50.0000,50.0000,50.0000,50.0000,0
PTH,20100924,50.0000,50.0000,50.0000,50.0000,0
PTH,20100927,50.0000,50.0000,50.0000,50.0000,0
PTH,20100928,55.0000,55.0000,55.0000,55.0000,200
PTH,20100929,55.0000,55.0000,55.0000,55.0000,0
PTH,20100930,55.0000,55.0000,55.0000,55.0000,0
PTH,20101001,55.0000,55.0000,55.0000,55.0000,0
PTH,20101004,55.0000,55.0000,55.0000,55.0000,0
PTH,20101005,55.0000,55.0000,55.0000,55.0000,0
PTH,20101006,55.0000,55.0000,55.0000,55.0000,0
PTH,20101007,55.0000,55.0000,55.0000,55.0000,0
PTH,20101008,55.0000,55.0000,55.0000,55.0000,0
PTH,20101011,55.0000,55.0000,55.0000,55.0000,0
PTH,20101012,55.0000,55.0000,55.0000,55.0000,0
PTH,20101013,55.0000,55.0000,55.0000,55.0000,0
PTH,20101014,55.0000,55.0000,55.0000,55.0000,0
PTH,20101015,55.0000,55.0000,55.0000,55.0000,0
PTH,20101018,55.0000,55.0000,55.0000,55.0000,0
PTH,20101019,55.0000,55.0000,55.0000,55.0000,0
PTH,20101020,55.0000,55.0000,55.0000,55.0000,0
PTH,20101021,55.0000,55.0000,55.0000,55.0000,0
PTH,20101022,55.0000,55.0000,55.0000,55.0000,0
PTH,20101025,55.0000,55.0000,55.0000,55.0000,0
PTH,20101026,55.0000,55.0000,55.0000,55.0000,0
PTH,20101027,55.0000,55.0000,55.0000,55.0000,0
PTH,20101028,55.0000,55.0000,55.0000,55.0000,0
PTH,20101029,55.0000,55.0000,55.0000,55.0000,0
PTH,20101101,55.0000,55.0000,55.0000,55.0000,0
PTH,20101102,55.0000,55.0000,55.0000,55.0000,0
PTH,20101103,55.0000,55.0000,55.0000,55.0000,0
PTH,20101230,15.0000,15.0000,15.0000,15.0000,200
PTH,20101231,15.0000,15.0000,15.0000,15.0000,0
PTH,20110104,15.0000,15.0000,15.0000,15.0000,0
PTH,20110105,15.0000,15.0000,15.0000,15.0000,0
PTH,20110106,15.0000,15.0000,15.0000,15.0000,0
