<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PTK,20120925,12.0000,14.4000,12.0000,14.4000,10190
PTK,20120926,15.1000,15.1000,14.8000,15.1000,15700
PTK,20120927,15.6000,15.8000,14.6000,14.6000,18310
PTK,20120928,14.6000,14.9000,14.5000,14.5000,18600
PTK,20121001,15.1000,15.2000,14.3000,15.0000,20710
PTK,20121002,15.7000,15.7000,15.5000,15.7000,27940
PTK,20121003,16.3000,16.3000,15.7000,16.0000,24590
PTK,20121004,16.0000,16.7000,15.4000,16.0000,36800
PTK,20121005,16.1000,16.7000,15.6000,16.1000,30100
PTK,20121008,16.2000,16.7000,15.8000,16.2000,28000
PTK,20121009,15.8000,16.3000,15.7000,16.3000,28000
PTK,20121010,15.9000,16.0000,15.9000,16.0000,20730
PTK,20121011,15.7000,16.8000,15.6000,16.8000,37990
PTK,20121012,16.1000,17.3000,16.1000,16.8000,25100
PTK,20121015,16.8000,17.2000,16.2000,16.2000,23670
PTK,20121016,16.2000,16.9000,16.0000,16.8000,33500
PTK,20121017,16.8000,16.8000,16.2000,16.2000,29600
PTK,20121018,16.2000,16.3000,15.9000,15.9000,25200
PTK,20121019,15.9000,15.9000,15.2000,15.2000,26800
PTK,20121022,15.2000,15.8000,15.1000,15.5000,37270
PTK,20121023,15.5000,16.2000,15.5000,16.2000,51500
PTK,20121024,16.0000,16.5000,16.0000,16.2000,28810
PTK,20121025,16.8000,16.8000,15.8000,15.8000,27100
PTK,20121026,15.8000,16.5000,15.7000,16.5000,29100
PTK,20121029,17.0000,17.3000,16.8000,17.0000,89860
PTK,20121030,17.0000,17.4000,17.0000,17.4000,49280
PTK,20121031,17.5000,17.6000,17.4000,17.5000,103060
PTK,20121101,17.5000,17.8000,17.4000,17.7000,42430
PTK,20121102,17.7000,17.7000,17.4000,17.6000,34740
PTK,20121105,17.4000,18.2000,17.4000,18.0000,87290
PTK,20121106,18.0000,18.2000,17.8000,17.8000,62500
PTK,20121107,17.9000,18.2000,17.9000,18.1000,112510
PTK,20121108,18.1000,18.2000,18.1000,18.2000,53700
PTK,20121109,18.4000,18.6000,18.3000,18.3000,106540
PTK,20121112,18.4000,18.6000,18.4000,18.5000,121900
PTK,20121113,18.5000,18.7000,18.4000,18.4000,129790
PTK,20121114,18.4000,18.8000,18.4000,18.5000,133080
PTK,20121115,18.5000,18.5000,18.2000,18.2000,154210
PTK,20121116,18.3000,18.4000,18.1000,18.1000,127300
PTK,20121119,18.1000,18.3000,18.0000,18.1000,129120
PTK,20121120,18.1000,18.3000,18.1000,18.3000,112540
PTK,20121121,18.3000,18.6000,17.9000,17.9000,145260
PTK,20121122,17.9000,17.9000,17.8000,17.9000,128530
PTK,20121123,17.9000,18.0000,17.8000,17.8000,123920
PTK,20121126,17.8000,17.9000,17.5000,17.6000,110050
PTK,20121127,17.6000,17.7000,17.1000,17.1000,134810
PTK,20121128,17.1000,17.2000,17.0000,17.0000,103980
PTK,20121129,17.0000,17.2000,17.0000,17.1000,107140
PTK,20121130,17.1000,17.2000,17.1000,17.1000,105960
PTK,20121203,17.1000,17.5000,16.7000,16.8000,248460
PTK,20121204,16.7000,16.9000,16.7000,16.7000,270910
PTK,20121205,16.7000,16.8000,16.6000,16.6000,251750
PTK,20121206,16.6000,16.7000,16.5000,16.6000,246270
PTK,20121207,16.6000,16.7000,16.4000,16.4000,193620
PTK,20121210,16.4000,17.2000,16.4000,17.2000,150050
PTK,20121211,17.2000,17.3000,17.2000,17.2000,123490
PTK,20121212,17.2000,17.6000,17.1000,17.6000,124370
PTK,20121213,17.6000,17.6000,17.5000,17.5000,104280
PTK,20121214,17.5000,17.7000,17.5000,17.6000,106520
PTK,20121217,17.8000,17.9000,17.6000,17.7000,99900
PTK,20121218,17.7000,17.8000,17.6000,17.6000,113790
PTK,20121219,17.6000,17.9000,17.6000,17.7000,104680
PTK,20121220,17.7000,17.7000,17.5000,17.5000,108130
PTK,20121221,17.5000,17.5000,17.2000,17.2000,109720
PTK,20121224,17.2000,17.3000,16.4000,16.4000,102480
PTK,20121225,16.4000,16.6000,15.7000,16.6000,125670
PTK,20121226,16.6000,16.8000,16.6000,16.8000,108460
PTK,20121227,16.8000,17.1000,16.8000,17.1000,382020
PTK,20121228,17.1000,17.3000,16.9000,17.2000,491330
PTK,20130102,17.2000,18.0000,17.2000,17.5000,90920
PTK,20130103,17.6000,17.6000,16.7000,16.7000,115240
PTK,20130104,16.7000,16.7000,15.9000,15.9000,151810
PTK,20130107,15.8000,15.9000,15.2000,15.3000,216550
PTK,20130108,14.7000,15.7000,14.7000,15.2000,347510
PTK,20130109,14.5000,15.9000,14.5000,14.5000,156270
PTK,20130110,14.3000,15.0000,13.8000,14.7000,162210
PTK,20130111,14.0000,14.0000,14.0000,14.0000,227030
PTK,20130114,14.0000,14.0000,13.3000,13.5000,240500
PTK,20130115,12.7000,13.0000,12.6000,12.7000,275850
