<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PTO,20170620,14.0000,14.0000,14.0000,14.0000,100
PTO,20170621,14.0000,14.0000,14.0000,14.0000,0
PTO,20170622,14.0000,14.0000,14.0000,14.0000,0
PTO,20170623,14.0000,14.0000,14.0000,14.0000,0
PTO,20170626,14.0000,14.2000,14.0000,14.2000,2000
PTO,20170627,14.0000,14.2000,14.0000,14.2000,2000
PTO,20170628,12.0000,12.0000,12.0000,12.0000,100
PTO,20170629,12.0000,12.0000,12.0000,12.0000,0
PTO,20170630,12.0000,12.0000,12.0000,12.0000,0
PTO,20170703,12.0000,12.0000,12.0000,12.0000,0
PTO,20170704,12.0000,12.0000,12.0000,12.0000,0
PTO,20170705,10.2000,10.2000,10.2000,10.2000,1000
PTO,20170706,10.2000,10.2000,10.2000,10.2000,0
PTO,20170707,10.2000,10.2000,10.2000,10.2000,0
PTO,20170710,10.2000,10.2000,10.2000,10.2000,0
PTO,20170711,10.2000,10.2000,10.2000,10.2000,0
PTO,20170712,10.2000,10.2000,10.2000,10.2000,0
PTO,20170713,10.2000,10.2000,10.2000,10.2000,0
PTO,20170714,11.7000,11.7000,11.7000,11.7000,100
PTO,20170717,11.7000,11.7000,11.7000,11.7000,0
PTO,20170718,11.7000,11.7000,11.7000,11.7000,0
PTO,20170719,13.4000,13.4000,13.4000,13.4000,100
PTO,20170720,13.4000,13.4000,13.4000,13.4000,0
PTO,20170721,13.4000,13.4000,13.4000,13.4000,0
PTO,20170724,13.4000,13.4000,13.4000,13.4000,4100
PTO,20170725,13.4000,14.5000,13.4000,14.5000,9500
PTO,20170726,12.0000,14.5000,12.0000,14.5000,6600
PTO,20170727,14.5000,14.5000,14.5000,14.5000,0
PTO,20170728,14.5000,14.5000,14.5000,14.5000,0
PTO,20170731,14.5000,14.5000,14.5000,14.5000,0
PTO,20170801,14.5000,14.5000,14.5000,14.5000,0
PTO,20170802,15.5000,15.5000,15.5000,15.5000,100
PTO,20170803,15.5000,15.5000,15.5000,15.5000,0
PTO,20170804,13.8000,13.8000,13.8000,13.8000,4500
PTO,20170807,13.8000,13.8000,13.8000,13.8000,0
PTO,20170808,13.8000,13.8000,13.8000,13.8000,3100
PTO,20170809,13.8000,13.8000,13.8000,13.8000,0
PTO,20170810,11.8000,11.8000,11.8000,11.8000,100
PTO,20170811,11.8000,11.8000,11.8000,11.8000,0
PTO,20170814,13.5000,13.5000,13.5000,13.5000,100
PTO,20170815,13.5000,13.5000,13.5000,13.5000,0
PTO,20170816,13.8000,13.8000,13.8000,13.8000,3000
PTO,20170817,13.8000,13.8000,13.8000,13.8000,3000
PTO,20170818,13.8000,13.8000,13.8000,13.8000,1300
PTO,20170821,13.5000,13.5000,13.5000,13.5000,2000
PTO,20170822,13.5000,13.5000,13.5000,13.5000,0
PTO,20170823,13.5000,13.5000,13.5000,13.5000,5000
PTO,20170824,13.5000,13.5000,13.5000,13.5000,0
PTO,20170825,12.0000,12.0000,12.0000,12.0000,400
PTO,20170828,12.5000,12.5000,12.5000,12.5000,100
PTO,20170829,12.5000,12.5000,12.5000,12.5000,0
PTO,20170830,13.6000,13.7000,13.6000,13.7000,5300
PTO,20170831,13.6000,13.6000,13.6000,13.6000,0
PTO,20170901,13.5000,13.7000,13.5000,13.7000,4000
PTO,20170905,13.7000,13.7000,13.7000,13.7000,0
PTO,20170906,13.0000,13.0000,13.0000,13.0000,100
PTO,20170907,13.0000,13.0000,13.0000,13.0000,0
PTO,20170908,13.0000,13.0000,13.0000,13.0000,0
PTO,20170911,13.5000,13.5000,13.5000,13.5000,3000
PTO,20170912,13.5000,13.5000,13.5000,13.5000,4000
PTO,20170913,13.5000,13.5000,13.5000,13.5000,3400
PTO,20170914,11.5000,11.5000,11.5000,11.5000,100
PTO,20170915,11.5000,11.5000,11.5000,11.5000,0
