<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PTX,20180730,10.0000,10.0000,10.0000,10.0000,0
PTX,20180731,10.0000,10.0000,10.0000,10.0000,0
PTX,20180801,10.0000,10.0000,10.0000,10.0000,0
PTX,20180802,10.0000,10.0000,10.0000,10.0000,0
PTX,20180803,10.0000,10.0000,10.0000,10.0000,0
PTX,20180806,10.0000,10.0000,10.0000,10.0000,0
PTX,20180807,10.0000,10.0000,10.0000,10.0000,0
PTX,20180808,10.0000,10.0000,10.0000,10.0000,0
PTX,20180809,10.0000,10.0000,10.0000,10.0000,0
PTX,20180810,10.0000,10.0000,10.0000,10.0000,0
PTX,20180813,10.0000,10.0000,10.0000,10.0000,0
PTX,20180814,10.0000,10.0000,10.0000,10.0000,0
PTX,20180815,10.0000,10.0000,10.0000,10.0000,0
PTX,20180816,10.0000,10.0000,10.0000,10.0000,0
PTX,20180817,10.0000,10.0000,10.0000,10.0000,0
PTX,20180820,10.0000,10.0000,10.0000,10.0000,0
PTX,20180821,10.0000,10.0000,10.0000,10.0000,0
PTX,20180822,10.0000,10.0000,10.0000,10.0000,0
PTX,20180823,10.0000,10.0000,10.0000,10.0000,0
PTX,20180824,10.0000,10.0000,10.0000,10.0000,0
PTX,20180827,10.0000,10.0000,10.0000,10.0000,0
PTX,20180828,10.0000,10.0000,10.0000,10.0000,0
PTX,20180829,10.0000,10.0000,10.0000,10.0000,0
PTX,20180830,10.0000,10.0000,10.0000,10.0000,0
PTX,20180831,10.0000,10.0000,10.0000,10.0000,0
PTX,20180904,10.0000,10.0000,10.0000,10.0000,0
PTX,20180905,10.0000,10.0000,10.0000,10.0000,0
PTX,20180906,10.0000,10.0000,10.0000,10.0000,0
PTX,20180907,10.0000,10.0000,10.0000,10.0000,0
PTX,20180910,10.0000,10.0000,10.0000,10.0000,0
PTX,20180911,10.0000,10.0000,10.0000,10.0000,0
PTX,20180912,10.0000,10.0000,10.0000,10.0000,0
PTX,20180913,10.0000,10.0000,10.0000,10.0000,0
PTX,20180914,10.0000,10.0000,10.0000,10.0000,0
PTX,20180917,10.0000,10.0000,10.0000,10.0000,0
PTX,20180918,10.0000,10.0000,10.0000,10.0000,0
PTX,20180919,10.0000,10.0000,10.0000,10.0000,0
PTX,20180920,10.0000,10.0000,10.0000,10.0000,0
PTX,20180921,10.0000,10.0000,10.0000,10.0000,0
PTX,20180924,10.0000,10.0000,10.0000,10.0000,0
PTX,20180925,10.0000,10.0000,10.0000,10.0000,0
PTX,20180926,10.0000,10.0000,10.0000,10.0000,0
PTX,20180927,10.0000,10.0000,10.0000,10.0000,0
PTX,20180928,10.0000,10.0000,10.0000,10.0000,0
PTX,20181001,10.0000,10.0000,10.0000,10.0000,0
PTX,20181002,10.0000,10.0000,10.0000,10.0000,0
PTX,20181003,10.0000,10.0000,10.0000,10.0000,0
PTX,20181004,10.0000,10.0000,10.0000,10.0000,0
PTX,20181005,10.0000,10.0000,10.0000,10.0000,0
PTX,20181008,10.0000,10.0000,10.0000,10.0000,0
PTX,20181009,10.0000,10.0000,10.0000,10.0000,0
PTX,20181010,10.0000,10.0000,10.0000,10.0000,0
