<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PVA,20081212,21.0000,21.0000,12.5000,13.9000,56600
PVA,20081215,12.9000,12.9000,12.9000,12.9000,1000
PVA,20081216,12.0000,12.0000,12.0000,12.0000,2000
PVA,20081217,11.2000,11.2000,11.2000,11.2000,3500
PVA,20081218,10.5000,10.5000,10.5000,10.5000,2100
PVA,20081219,9.8000,11.2000,9.8000,10.2000,93600
PVA,20081222,10.2000,10.5000,9.7000,10.0000,5200
PVA,20081223,9.7000,9.8000,9.5000,9.8000,6100
PVA,20081224,9.5000,9.7000,9.5000,9.7000,12800
PVA,20081225,9.3000,9.6000,9.0000,9.0000,14000
PVA,20081226,9.0000,9.0000,8.8000,8.8000,2900
PVA,20081229,9.0000,9.0000,8.9000,8.9000,6700
PVA,20081230,8.8000,9.0000,8.7000,8.9000,9300
PVA,20081231,8.7000,8.9000,8.7000,8.9000,15400
PVA,20090102,9.0000,9.0000,8.8000,8.8000,6000
PVA,20090105,9.1000,9.2000,9.1000,9.2000,400
PVA,20090106,9.3000,9.3000,9.3000,9.3000,100
PVA,20090107,9.6000,9.6000,9.2000,9.3000,3900
PVA,20090108,9.0000,9.0000,8.8000,8.8000,14300
PVA,20090109,9.0000,9.0000,8.9000,9.0000,500
PVA,20090112,9.1000,9.1000,9.1000,9.1000,100
PVA,20090113,9.2000,9.2000,9.1000,9.1000,200
PVA,20090114,9.2000,9.2000,9.2000,9.2000,0
PVA,20090115,8.6000,8.7000,8.6000,8.6000,3800
PVA,20090116,9.0000,9.0000,8.1000,8.1000,1100
PVA,20090119,8.7000,8.7000,8.7000,8.7000,100
PVA,20090120,9.2000,9.2000,8.5000,8.5000,700
PVA,20090121,9.0000,9.0000,8.5000,8.5000,1800
PVA,20090122,8.9000,8.9000,8.9000,8.9000,100
PVA,20090123,8.9000,9.5000,8.9000,9.5000,8700
PVA,20090202,9.3000,9.3000,9.3000,9.3000,0
PVA,20090203,9.2000,9.4000,8.7000,8.7000,3100
PVA,20090204,9.0000,9.5000,8.7000,9.1000,15700
PVA,20090205,9.3000,9.4000,8.4000,8.9000,15100
PVA,20090206,8.8000,9.0000,8.8000,9.0000,400
PVA,20090209,9.0000,9.0000,8.5000,8.5000,2500
PVA,20090210,8.9000,8.9000,8.9000,8.9000,1500
PVA,20090211,8.5000,8.8000,8.3000,8.8000,8000
PVA,20090212,8.2000,8.5000,8.2000,8.5000,1700
PVA,20090213,8.3000,8.3000,8.3000,8.3000,0
PVA,20090216,8.4000,8.4000,8.4000,8.4000,100
PVA,20090217,8.0000,8.0000,8.0000,8.0000,4200
PVA,20090218,7.5000,7.5000,7.5000,7.5000,1600
PVA,20090219,8.0000,8.0000,8.0000,8.0000,100
PVA,20090220,7.5000,7.5000,7.5000,7.5000,600
PVA,20090223,7.5000,7.5000,7.5000,7.5000,0
PVA,20090224,8.0000,8.0000,7.5000,7.5000,1400
PVA,20090225,8.0000,8.0000,8.0000,8.0000,700
PVA,20090226,8.3000,8.3000,8.3000,8.3000,700
PVA,20090227,8.3000,8.3000,7.8000,8.3000,1300
PVA,20090302,8.6000,8.6000,8.0000,8.0000,2200
PVA,20090303,8.6000,8.6000,7.6000,7.6000,2500
PVA,20090304,8.2000,8.2000,7.3000,7.3000,5000
PVA,20090305,7.9000,7.9000,7.9000,7.9000,1600
PVA,20090306,8.2000,8.2000,8.0000,8.1000,3000
PVA,20090309,8.4000,8.6000,8.2000,8.2000,1900
PVA,20090310,8.9000,8.9000,8.0000,8.8000,6900
PVA,20090311,8.9000,8.9000,8.4000,8.6000,3100
PVA,20090312,9.1000,9.1000,8.0000,8.0000,5400
PVA,20090313,8.5000,8.5000,7.9000,8.0000,3000
PVA,20090316,8.4000,8.4000,7.7000,7.7000,3100
PVA,20090317,8.2000,8.2000,8.2000,8.2000,2900
PVA,20090318,8.7000,8.7000,8.4000,8.4000,5100
PVA,20090319,8.7000,8.7000,8.0000,8.4000,1800
PVA,20090320,8.5000,8.5000,8.0000,8.2000,800
PVA,20090323,8.5000,8.6000,8.5000,8.6000,500
PVA,20090324,9.2000,9.2000,8.6000,8.7000,1300
PVA,20090325,9.2000,9.2000,8.3000,8.3000,1800
PVA,20090326,8.8000,8.8000,8.0000,8.0000,5400
PVA,20090327,8.5000,8.5000,7.7000,7.7000,5300
PVA,20090330,8.3000,8.3000,7.9000,7.9000,900
PVA,20090331,8.5000,8.6000,8.0000,8.0000,13500
PVA,20090401,8.3000,8.3000,8.1000,8.2000,12400
PVA,20090402,8.6000,8.7000,8.5000,8.7000,20800
PVA,20090403,9.3000,9.3000,9.2000,9.3000,15900
PVA,20090407,9.7000,9.7000,9.0000,9.6000,25900
