<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PVC,20071115,150.1000,189.9000,140.0000,170.0000,380300
PVC,20071116,170.1000,170.3000,170.0000,170.3000,173300
PVC,20071119,187.3000,187.3000,187.3000,187.3000,51800
PVC,20071120,206.0000,206.0000,170.9000,170.9000,139800
PVC,20071121,170.0000,170.0000,166.6000,166.6000,44500
PVC,20071122,150.3000,168.0000,150.3000,159.0000,157100
PVC,20071123,157.1000,157.1000,152.6000,153.6000,149900
PVC,20071126,148.0000,153.0000,139.0000,149.0000,258000
PVC,20071127,146.0000,154.0000,144.5000,148.5000,49200
PVC,20071128,150.0000,150.0000,146.5000,148.5000,33400
PVC,20071129,147.3000,150.0000,146.5000,147.0000,57200
PVC,20071130,147.1000,147.9000,144.0000,145.0000,41200
PVC,20071203,145.5000,146.0000,143.0000,143.6000,59100
PVC,20071204,144.4000,144.4000,139.0000,140.0000,85300
PVC,20071205,142.0000,143.0000,135.0000,138.0000,50700
PVC,20071206,138.0000,138.0000,130.0000,132.0000,78900
PVC,20071207,130.0000,142.0000,126.0000,134.0000,77100
PVC,20071210,132.2000,136.0000,128.1000,129.0000,81300
PVC,20071211,128.1000,129.0000,125.5000,125.5000,37900
PVC,20071212,125.0000,130.0000,121.2000,125.5000,104700
PVC,20071213,125.1000,125.1000,121.0000,122.0000,11800
PVC,20071214,120.1000,121.2000,115.0000,118.0000,35000
PVC,20071217,118.0000,118.0000,108.1000,108.5000,44200
PVC,20071218,104.0000,112.4000,102.0000,111.0000,61700
PVC,20071219,108.2000,116.8000,103.0000,116.8000,31400
PVC,20071220,119.0000,123.0000,110.1000,116.0000,45600
PVC,20071221,112.0000,123.0000,112.0000,120.0000,77000
PVC,20071224,125.1000,127.0000,120.0000,121.0000,44500
PVC,20071225,121.0000,121.0000,118.0000,119.2000,41200
PVC,20071226,117.5000,123.5000,117.5000,121.0000,38600
PVC,20071227,122.0000,122.0000,120.1000,121.0000,36600
PVC,20071228,121.0000,132.8000,120.1000,131.6000,51700
PVC,20080102,133.0000,133.0000,125.0000,127.0000,58300
PVC,20080103,128.0000,128.0000,123.0000,124.5000,19000
PVC,20080104,125.0000,125.0000,121.2000,122.0000,22300
PVC,20080107,122.8000,122.8000,111.0000,117.9000,18600
PVC,20080108,117.0000,124.9000,115.0000,117.0000,27900
PVC,20080109,119.0000,119.0000,112.0000,113.5000,32600
PVC,20080110,113.7000,114.0000,102.5000,110.0000,120800
PVC,20080111,106.0000,113.0000,105.5000,108.5000,49100
PVC,20080114,108.2000,108.2000,102.0000,103.8000,36000
PVC,20080115,104.0000,104.0000,93.2000,95.0000,81700
PVC,20080116,99.0000,104.3000,99.0000,104.3000,66500
PVC,20080117,110.0000,112.0000,96.0000,105.0000,74500
PVC,20080118,106.0000,112.0000,98.0000,107.0000,56800
