<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PVL,20100415,46.0000,46.0000,20.0000,31.6000,3387100
PVL,20100416,30.5000,31.3000,30.5000,31.3000,197300
PVL,20100419,33.4000,33.4000,33.4000,33.4000,274700
PVL,20100420,35.7000,35.7000,34.6000,35.7000,1923600
PVL,20100421,38.1000,38.1000,35.2000,38.1000,3244800
PVL,20100422,40.2000,40.2000,35.8000,36.2000,1211700
PVL,20100426,36.0000,36.0000,34.8000,34.8000,1051900
PVL,20100427,32.6000,35.7000,32.5000,33.5000,2256400
PVL,20100428,32.5000,34.5000,32.0000,33.4000,1771900
PVL,20100429,33.5000,36.0000,33.5000,36.0000,1802000
PVL,20100504,38.0000,38.1000,37.5000,38.1000,1102700
PVL,20100505,39.9000,40.0000,36.2000,37.5000,1699700
PVL,20100506,37.6000,40.2000,37.0000,39.9000,3261300
PVL,20100507,38.0000,40.2000,37.2000,38.3000,2232400
PVL,20100510,38.0000,38.4000,36.1000,36.9000,1437800
PVL,20100511,37.5000,38.0000,35.5000,36.3000,1133300
PVL,20100512,36.5000,36.5000,34.0000,34.0000,1821600
PVL,20100513,33.9000,35.5000,32.5000,33.2000,1321200
PVL,20100514,33.5000,34.3000,33.0000,33.6000,669700
PVL,20100517,34.0000,34.8000,32.3000,32.4000,751200
PVL,20100518,33.0000,33.0000,31.0000,31.2000,1142000
PVL,20100519,31.4000,31.4000,29.3000,29.3000,667800
PVL,20100520,29.0000,30.9000,27.5000,28.8000,1526100
PVL,20100521,28.7000,28.7000,26.3000,26.3000,637900
PVL,20100524,24.6000,26.3000,24.5000,24.7000,1463300
PVL,20100525,24.5000,26.0000,23.0000,25.3000,846100
PVL,20100526,25.0000,26.8000,25.0000,26.8000,669700
PVL,20100527,28.1000,28.4000,26.7000,28.4000,1054700
PVL,20100528,30.1000,30.1000,30.1000,30.1000,360200
PVL,20100531,32.2000,32.2000,29.0000,29.3000,794900
PVL,20100601,28.8000,29.5000,28.2000,28.5000,970000
PVL,20100602,27.6000,28.8000,26.8000,27.8000,723300
PVL,20100603,29.3000,29.7000,28.0000,28.7000,681700
PVL,20100604,28.7000,28.8000,27.5000,27.8000,494600
PVL,20100607,26.1000,26.9000,26.1000,26.1000,995300
PVL,20100608,25.8000,27.1000,25.5000,27.0000,584000
PVL,20100609,27.2000,27.5000,26.5000,26.7000,505900
PVL,20100610,27.0000,27.0000,26.5000,26.9000,253500
PVL,20100611,27.3000,27.8000,26.8000,27.0000,479000
PVL,20100614,27.4000,28.0000,27.0000,27.9000,647600
PVL,20100615,27.6000,29.5000,27.6000,28.9000,1160700
PVL,20100616,30.0000,30.7000,29.8000,30.7000,1036100
PVL,20100617,31.9000,31.9000,29.3000,29.6000,1151900
PVL,20100618,30.0000,30.0000,28.8000,29.2000,763400
PVL,20100621,29.5000,31.3000,29.5000,30.9000,1440800
PVL,20100622,30.9000,30.9000,29.4000,29.6000,769800
PVL,20100623,29.3000,29.9000,28.6000,29.3000,639100
PVL,20100624,29.8000,30.2000,28.9000,29.1000,542400
PVL,20100625,28.8000,28.8000,28.0000,28.5000,720300
PVL,20100628,28.5000,29.1000,28.1000,28.7000,408700
PVL,20100629,29.1000,29.2000,28.4000,28.5000,396700
PVL,20100630,27.7000,28.0000,27.1000,27.9000,564100
PVL,20100701,27.2000,28.4000,27.2000,27.8000,384700
PVL,20100702,28.0000,28.2000,27.7000,28.0000,613000
PVL,20100705,28.3000,28.7000,28.0000,28.1000,370300
PVL,20100706,28.0000,28.2000,27.4000,27.8000,356900
PVL,20100707,28.1000,28.1000,26.9000,27.2000,407300
PVL,20100708,28.0000,28.2000,26.0000,27.0000,336200
PVL,20100709,27.3000,27.4000,27.0000,27.1000,326600
PVL,20100712,27.8000,27.8000,27.0000,27.4000,243800
PVL,20100713,28.2000,28.6000,27.6000,28.5000,535900
PVL,20100714,28.9000,29.4000,28.0000,28.3000,356800
PVL,20100715,28.0000,28.4000,27.7000,27.9000,228600
PVL,20100716,28.4000,28.4000,27.6000,27.7000,256500
PVL,20100719,27.5000,28.3000,27.5000,27.8000,445100
PVL,20100720,27.9000,28.2000,27.4000,27.6000,297900
PVL,20100721,27.9000,28.0000,27.2000,27.2000,335800
PVL,20100722,27.2000,27.5000,26.8000,26.9000,342800
