<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PVP,20161220,15.4000,15.4000,15.4000,15.4000,1000
PVP,20161221,17.7000,17.7000,17.7000,17.7000,3000
PVP,20161222,20.3000,20.3000,20.3000,20.3000,6900
PVP,20161223,23.3000,23.3000,20.6000,20.8000,7200
PVP,20161226,23.5000,23.5000,19.5000,19.5000,1500
PVP,20161227,18.8000,18.8000,18.8000,18.8000,500
PVP,20161228,18.8000,18.8000,18.8000,18.8000,0
PVP,20161229,18.8000,18.8000,18.8000,18.8000,0
PVP,20161230,16.0000,16.0000,16.0000,16.0000,100
PVP,20170103,16.0000,16.0000,16.0000,16.0000,0
PVP,20170104,16.0000,16.0000,16.0000,16.0000,0
PVP,20170105,13.6000,13.6000,13.6000,13.6000,3700
PVP,20170106,13.6000,13.6000,13.6000,13.6000,0
PVP,20170109,13.6000,13.6000,13.6000,13.6000,0
PVP,20170110,13.6000,13.6000,13.6000,13.6000,0
PVP,20170111,13.6000,13.6000,13.6000,13.6000,0
PVP,20170112,13.6000,13.6000,13.6000,13.6000,0
PVP,20170113,13.6000,13.6000,13.6000,13.6000,0
PVP,20170116,13.6000,13.6000,13.6000,13.6000,0
PVP,20170117,13.6000,13.6000,13.6000,13.6000,0
PVP,20170118,13.6000,13.6000,13.6000,13.6000,0
PVP,20170119,13.6000,13.6000,13.6000,13.6000,0
PVP,20170120,13.6000,13.6000,13.6000,13.6000,0
PVP,20170123,13.6000,13.6000,13.6000,13.6000,0
PVP,20170124,11.6000,11.6000,11.6000,11.6000,200
PVP,20170125,9.9000,9.9000,9.9000,9.9000,200
PVP,20170202,9.9000,9.9000,9.9000,9.9000,0
PVP,20170203,9.9000,9.9000,9.9000,9.9000,0
PVP,20170206,8.5000,8.5000,8.5000,8.5000,100
PVP,20170207,7.3000,7.3000,7.3000,7.3000,100
PVP,20170208,6.3000,6.3000,6.3000,6.3000,4800
PVP,20170209,7.2000,7.2000,6.3000,6.3000,4700
PVP,20170210,7.2000,7.2000,6.3000,6.3000,200
PVP,20170213,6.5000,6.5000,6.5000,6.5000,2000
PVP,20170214,6.5000,6.5000,6.5000,6.5000,100
PVP,20170215,6.0000,7.4000,6.0000,7.4000,2800
PVP,20170216,7.0000,7.0000,7.0000,7.0000,600
PVP,20170217,8.0000,8.0000,8.0000,8.0000,100
PVP,20170220,9.0000,9.2000,9.0000,9.2000,500
PVP,20170221,9.1000,9.1000,9.0000,9.1000,3400
PVP,20170222,9.1000,9.1000,9.1000,9.1000,0
PVP,20170223,7.8000,7.8000,7.8000,7.8000,300
PVP,20170224,6.7000,6.7000,6.7000,6.7000,3000
PVP,20170227,7.7000,7.7000,7.7000,7.7000,500
PVP,20170228,8.8000,8.8000,8.8000,8.8000,200
PVP,20170301,8.8000,8.8000,8.8000,8.8000,0
PVP,20170302,8.7000,8.7000,8.5000,8.5000,6200
PVP,20170303,8.6000,8.6000,8.6000,8.6000,0
PVP,20170306,8.0000,8.0000,7.4000,7.4000,3000
PVP,20170307,8.6000,8.6000,8.6000,8.6000,200
PVP,20170308,8.6000,8.6000,8.6000,8.6000,0
PVP,20170309,7.5000,7.5000,7.5000,7.5000,100
PVP,20170310,8.5000,8.5000,8.5000,8.5000,100
PVP,20170313,8.5000,8.5000,8.5000,8.5000,0
PVP,20170314,9.1000,9.1000,9.1000,9.1000,100
PVP,20170315,9.1000,9.1000,9.1000,9.1000,0
PVP,20170316,9.1000,9.1000,9.1000,9.1000,0
PVP,20170317,9.1000,9.1000,9.1000,9.1000,0
PVP,20170320,9.1000,9.1000,9.1000,9.1000,0
PVP,20170321,9.1000,9.1000,9.1000,9.1000,0
PVP,20170322,7.8000,9.0000,7.8000,9.0000,2000
PVP,20170323,8.2000,8.2000,8.2000,8.2000,0
PVP,20170324,7.0000,7.9000,7.0000,7.9000,800
PVP,20170327,6.5000,7.9000,6.5000,7.8000,1300
PVP,20170328,8.2000,8.2000,8.2000,8.2000,300
PVP,20170329,9.0000,9.0000,8.4000,8.4000,200
PVP,20170330,8.9000,8.9000,8.9000,8.9000,140
PVP,20170331,8.9000,8.9000,8.9000,8.9000,0
PVP,20170403,8.9000,8.9000,8.9000,8.9000,0
PVP,20170404,8.9000,8.9000,8.9000,8.9000,0
PVP,20170405,8.9000,8.9000,8.9000,8.9000,40
PVP,20170407,8.9000,8.9000,8.9000,8.9000,0
PVP,20170410,8.9000,8.9000,8.9000,8.9000,0
PVP,20170411,8.9000,8.9000,8.9000,8.9000,0
PVP,20170412,8.9000,8.9000,8.9000,8.9000,0
PVP,20170413,8.9000,8.9000,8.9000,8.9000,0
PVP,20170414,8.9000,8.9000,8.9000,8.9000,0
PVP,20170417,8.9000,8.9000,8.9000,8.9000,0
PVP,20170418,8.9000,8.9000,8.9000,8.9000,0
PVP,20170419,8.9000,8.9000,8.9000,8.9000,0
PVP,20170420,8.9000,8.9000,8.9000,8.9000,0
PVP,20170421,8.9000,8.9000,8.9000,8.9000,0
PVP,20170424,8.9000,8.9000,8.9000,8.9000,0
PVP,20170425,8.9000,8.9000,8.9000,8.9000,0
PVP,20170426,8.9000,8.9000,8.9000,8.9000,0
PVP,20170427,8.0000,8.9000,7.6000,7.6000,1300
PVP,20170428,8.8000,8.8000,6.9000,6.9000,5700
PVP,20170503,7.4000,7.4000,7.4000,7.4000,0
PVP,20170504,7.0000,7.0000,7.0000,7.0000,500
PVP,20170505,7.0000,7.0000,7.0000,7.0000,0
PVP,20170508,7.9000,7.9000,7.9000,7.9000,500
PVP,20170509,6.8000,6.8000,6.8000,6.8000,8300
PVP,20170510,7.7000,7.7000,7.7000,7.7000,500
PVP,20170511,7.7000,7.7000,7.7000,7.7000,0
PVP,20170512,7.7000,7.7000,7.7000,7.7000,0
PVP,20170515,7.7000,7.7000,7.7000,7.7000,0
PVP,20170516,7.0000,7.0000,7.0000,7.0000,500
PVP,20170517,7.9000,7.9000,6.0000,6.0000,300
PVP,20170518,7.0000,7.0000,6.5000,6.5000,1400
PVP,20170519,5.7000,6.7000,5.7000,6.7000,1800
PVP,20170522,6.7000,6.7000,6.7000,6.7000,300
PVP,20170523,7.6000,7.6000,7.6000,7.6000,200
PVP,20170524,7.6000,7.6000,7.6000,7.6000,0
PVP,20170525,7.6000,7.6000,7.6000,7.6000,0
PVP,20170526,7.6000,7.6000,7.6000,7.6000,0
PVP,20170529,7.6000,7.6000,7.6000,7.6000,0
PVP,20170530,7.6000,8.5000,7.6000,8.5000,1600
PVP,20170531,6.8000,8.5000,6.8000,8.4000,2000
PVP,20170601,7.9000,7.9000,7.9000,7.9000,0
PVP,20170602,7.9000,7.9000,7.9000,7.9000,0
PVP,20170605,7.9000,7.9000,7.9000,7.9000,0
PVP,20170606,7.9000,7.9000,7.9000,7.9000,0
PVP,20170607,7.9000,7.9000,7.9000,7.9000,0
PVP,20170608,7.9000,7.9000,7.9000,7.9000,0
PVP,20170609,7.9000,7.9000,7.9000,7.9000,0
PVP,20170612,7.9000,7.9000,7.9000,7.9000,0
PVP,20170613,7.9000,7.9000,7.9000,7.9000,0
PVP,20170614,7.9000,7.9000,7.9000,7.9000,0
PVP,20170615,7.9000,7.9000,7.9000,7.9000,0
PVP,20170616,7.9000,7.9000,7.9000,7.9000,0
PVP,20170619,7.9000,7.9000,7.9000,7.9000,0
PVP,20170620,7.9000,7.9000,7.9000,7.9000,0
PVP,20170621,7.9000,7.9000,7.9000,7.9000,0
PVP,20170622,7.9000,7.9000,7.9000,7.9000,0
PVP,20170623,7.9000,7.9000,7.9000,7.9000,0
PVP,20170626,7.9000,7.9000,7.9000,7.9000,0
PVP,20170627,7.9000,7.9000,7.9000,7.9000,0
PVP,20170628,7.9000,7.9000,7.9000,7.9000,0
PVP,20170629,7.6000,9.0000,7.6000,8.9000,2000
PVP,20170630,9.0000,9.0000,9.0000,9.0000,500
PVP,20170703,9.0000,9.0000,9.0000,9.0000,0
PVP,20170704,9.0000,9.0000,9.0000,9.0000,0
PVP,20170705,9.0000,9.0000,9.0000,9.0000,0
