<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PX1,20101208,15.5000,15.5000,15.5000,15.5000,100
PX1,20101209,15.5000,15.5000,15.5000,15.5000,0
PX1,20101210,15.7000,15.7000,15.7000,15.7000,1000
PX1,20101213,15.7000,15.7000,15.7000,15.7000,0
PX1,20101214,15.7000,15.7000,15.7000,15.7000,0
PX1,20101215,15.7000,15.7000,15.7000,15.7000,0
PX1,20101216,15.7000,15.7000,15.7000,15.7000,0
PX1,20101217,15.7000,15.7000,15.7000,15.7000,0
PX1,20101220,15.7000,15.7000,15.7000,15.7000,0
PX1,20101221,15.7000,15.7000,15.7000,15.7000,0
PX1,20101222,15.7000,15.7000,15.7000,15.7000,0
PX1,20101223,15.7000,15.7000,15.7000,15.7000,0
PX1,20101224,15.7000,15.7000,15.7000,15.7000,0
PX1,20101227,15.7000,15.7000,15.7000,15.7000,0
PX1,20101228,15.7000,15.7000,15.7000,15.7000,0
PX1,20101229,15.7000,15.7000,15.7000,15.7000,0
PX1,20101230,15.7000,15.7000,15.7000,15.7000,0
PX1,20101231,15.5000,15.5000,15.5000,15.5000,100
PX1,20110104,15.5000,15.5000,15.5000,15.5000,0
PX1,20110105,15.5000,15.5000,15.5000,15.5000,0
PX1,20110106,15.5000,15.5000,15.5000,15.5000,0
PX1,20110107,15.5000,15.5000,15.5000,15.5000,0
PX1,20110110,15.5000,15.5000,15.5000,15.5000,0
PX1,20110111,15.5000,15.5000,15.5000,15.5000,0
PX1,20110112,15.5000,15.5000,15.5000,15.5000,0
PX1,20110113,15.5000,15.5000,15.5000,15.5000,0
PX1,20110114,15.5000,15.5000,15.5000,15.5000,0
PX1,20110117,15.5000,15.5000,15.5000,15.5000,0
PX1,20110118,15.5000,15.5000,15.5000,15.5000,0
PX1,20110119,15.5000,15.5000,15.5000,15.5000,0
PX1,20110120,15.5000,15.5000,15.5000,15.5000,0
PX1,20110121,15.5000,15.5000,15.5000,15.5000,0
PX1,20110124,15.9000,15.9000,15.9000,15.9000,100
PX1,20110125,15.9000,15.9000,15.9000,15.9000,0
PX1,20110126,15.9000,15.9000,15.9000,15.9000,0
PX1,20110127,15.9000,15.9000,15.9000,15.9000,0
PX1,20110128,15.9000,15.9000,15.9000,15.9000,0
PX1,20110208,15.9000,15.9000,15.9000,15.9000,0
PX1,20110209,15.9000,15.9000,15.9000,15.9000,0
PX1,20110210,15.9000,15.9000,15.9000,15.9000,0
PX1,20110211,15.9000,15.9000,15.9000,15.9000,0
PX1,20110214,15.9000,15.9000,15.9000,15.9000,0
PX1,20110215,15.9000,15.9000,15.9000,15.9000,0
PX1,20110216,15.9000,15.9000,15.9000,15.9000,0
PX1,20110217,15.9000,15.9000,15.9000,15.9000,0
PX1,20110218,15.9000,15.9000,15.9000,15.9000,0
PX1,20110221,15.9000,15.9000,15.9000,15.9000,0
PX1,20110222,15.9000,15.9000,15.9000,15.9000,0
PX1,20110223,15.9000,15.9000,15.9000,15.9000,0
PX1,20110224,15.9000,15.9000,15.9000,15.9000,0
PX1,20110225,15.9000,15.9000,15.9000,15.9000,0
PX1,20110228,15.9000,15.9000,15.9000,15.9000,0
PX1,20110301,15.9000,15.9000,15.9000,15.9000,0
PX1,20110302,15.9000,15.9000,15.9000,15.9000,0
PX1,20110303,15.9000,15.9000,15.9000,15.9000,100
PX1,20110304,15.9000,15.9000,15.9000,15.9000,0
PX1,20110307,15.9000,15.9000,15.9000,15.9000,0
PX1,20110308,15.9000,15.9000,15.9000,15.9000,0
PX1,20110309,15.9000,15.9000,15.9000,15.9000,0
PX1,20110310,15.9000,15.9000,15.9000,15.9000,0
PX1,20110311,15.9000,15.9000,15.9000,15.9000,0
PX1,20110314,15.9000,15.9000,15.9000,15.9000,0
PX1,20110315,15.9000,15.9000,15.9000,15.9000,0
PX1,20110316,15.9000,15.9000,15.9000,15.9000,0
PX1,20110317,15.9000,15.9000,15.9000,15.9000,0
PX1,20110318,15.9000,15.9000,15.9000,15.9000,0
PX1,20110321,15.9000,15.9000,15.9000,15.9000,0
PX1,20110322,15.9000,15.9000,15.9000,15.9000,0
PX1,20110323,15.9000,15.9000,15.9000,15.9000,0
PX1,20110324,15.9000,15.9000,15.9000,15.9000,0
PX1,20110325,15.9000,15.9000,15.9000,15.9000,0
PX1,20110328,15.9000,15.9000,15.9000,15.9000,0
PX1,20110329,15.9000,15.9000,15.9000,15.9000,0
PX1,20110330,15.9000,15.9000,15.9000,15.9000,100
PX1,20110331,15.9000,15.9000,15.9000,15.9000,0
PX1,20110401,15.9000,15.9000,15.9000,15.9000,0
PX1,20110404,15.9000,15.9000,15.9000,15.9000,0
PX1,20110405,15.9000,15.9000,15.9000,15.9000,0
PX1,20110406,15.9000,15.9000,15.9000,15.9000,0
PX1,20110407,15.9000,15.9000,15.9000,15.9000,0
PX1,20110408,15.9000,15.9000,15.9000,15.9000,0
PX1,20110413,15.9000,15.9000,15.9000,15.9000,0
PX1,20110414,15.9000,15.9000,15.9000,15.9000,0
PX1,20110415,15.9000,15.9000,15.9000,15.9000,0
PX1,20110418,15.9000,15.9000,15.9000,15.9000,0
PX1,20110419,15.9000,15.9000,15.9000,15.9000,0
PX1,20110420,15.9000,15.9000,15.9000,15.9000,0
PX1,20110421,15.9000,15.9000,15.9000,15.9000,0
PX1,20110422,15.9000,15.9000,15.9000,15.9000,100
PX1,20110425,15.9000,15.9000,15.9000,15.9000,0
PX1,20110426,15.9000,15.9000,15.9000,15.9000,0
PX1,20110427,15.9000,15.9000,15.9000,15.9000,0
PX1,20110428,15.9000,15.9000,15.9000,15.9000,0
PX1,20110429,15.9000,15.9000,15.9000,15.9000,0
PX1,20110504,15.9000,15.9000,15.9000,15.9000,0
PX1,20110505,15.9000,15.9000,15.9000,15.9000,0
PX1,20110506,15.9000,15.9000,15.9000,15.9000,0
PX1,20110509,15.9000,15.9000,15.9000,15.9000,0
PX1,20110510,15.9000,15.9000,15.9000,15.9000,0
PX1,20110511,15.9000,15.9000,15.9000,15.9000,0
PX1,20110512,15.9000,15.9000,15.9000,15.9000,0
PX1,20110513,15.9000,15.9000,15.9000,15.9000,0
PX1,20110516,15.9000,15.9000,15.9000,15.9000,0
PX1,20110517,15.9000,15.9000,15.9000,15.9000,0
PX1,20110518,15.9000,15.9000,15.9000,15.9000,0
PX1,20110519,15.9000,15.9000,15.9000,15.9000,0
PX1,20110520,15.9000,15.9000,15.9000,15.9000,0
PX1,20110523,15.9000,15.9000,15.9000,15.9000,0
PX1,20110524,15.9000,15.9000,15.9000,15.9000,0
PX1,20110525,15.9000,15.9000,15.9000,15.9000,0
PX1,20110526,15.9000,15.9000,15.9000,15.9000,0
PX1,20110527,15.5000,15.5000,15.5000,15.5000,100
PX1,20110530,15.5000,15.5000,15.5000,15.5000,0
PX1,20110531,15.5000,15.5000,15.5000,15.5000,0
PX1,20110601,15.5000,15.5000,15.5000,15.5000,0
PX1,20110602,15.5000,15.5000,15.5000,15.5000,0
PX1,20110603,15.5000,15.5000,15.5000,15.5000,0
PX1,20110606,15.6000,15.6000,15.6000,15.6000,100
PX1,20110607,15.6000,15.6000,15.6000,15.6000,0
PX1,20110608,15.6000,15.6000,15.6000,15.6000,0
PX1,20110609,15.6000,15.6000,15.6000,15.6000,0
PX1,20110610,15.6000,15.6000,15.6000,15.6000,0
PX1,20110613,15.6000,15.6000,15.6000,15.6000,0
PX1,20110614,15.6000,15.6000,15.6000,15.6000,0
PX1,20110615,15.6000,15.6000,15.6000,15.6000,0
PX1,20110616,15.6000,15.6000,15.6000,15.6000,0
PX1,20110617,15.6000,15.6000,15.6000,15.6000,0
PX1,20110620,15.6000,15.6000,15.6000,15.6000,0
PX1,20110621,15.6000,15.6000,15.6000,15.6000,0
PX1,20110622,15.6000,15.6000,15.6000,15.6000,0
PX1,20110623,15.6000,15.6000,15.6000,15.6000,0
PX1,20110624,15.6000,15.6000,15.6000,15.6000,0
