<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PXM,20100621,21.6000,25.0000,21.6000,22.3000,197170
PXM,20100622,22.3000,23.4000,22.3000,23.4000,553640
PXM,20100623,23.4000,23.6000,23.0000,23.4000,133870
PXM,20100624,23.4000,24.1000,23.0000,24.1000,252720
PXM,20100625,23.6000,23.9000,23.1000,23.4000,118200
PXM,20100628,23.0000,23.3000,22.8000,22.8000,123560
PXM,20100629,23.6000,23.6000,22.8000,23.0000,235260
PXM,20100630,22.1000,22.3000,21.9000,22.3000,147620
PXM,20100701,21.9000,22.6000,21.5000,21.5000,75050
PXM,20100702,21.6000,22.0000,21.5000,21.7000,90370
PXM,20100705,22.7000,22.7000,22.0000,22.7000,297600
PXM,20100706,23.4000,23.4000,22.0000,22.0000,163870
PXM,20100707,22.0000,22.6000,21.5000,21.8000,58880
PXM,20100708,21.8000,21.9000,21.0000,21.0000,110040
PXM,20100709,21.0000,21.2000,20.7000,20.9000,119600
PXM,20100712,21.7000,21.8000,20.6000,21.6000,111000
PXM,20100713,22.4000,22.4000,21.6000,22.1000,105030
PXM,20100714,21.8000,22.9000,21.3000,21.3000,88980
PXM,20100715,21.3000,22.2000,21.3000,21.4000,175130
PXM,20100716,21.4000,21.7000,21.2000,21.7000,135320
PXM,20100719,21.8000,21.8000,21.0000,21.2000,94500
PXM,20100720,21.0000,21.1000,20.4000,20.5000,103960
PXM,20100721,20.5000,20.7000,20.3000,20.7000,115370
PXM,20100722,20.7000,20.7000,20.2000,20.2000,36620
PXM,20100723,20.8000,20.8000,19.5000,19.5000,142760
PXM,20100726,19.8000,20.4000,19.8000,20.1000,160060
PXM,20100727,20.5000,20.5000,19.8000,20.1000,64300
PXM,20100728,20.0000,20.9000,19.1000,19.3000,37270
PXM,20100729,19.0000,19.1000,18.4000,18.8000,140410
PXM,20100730,18.8000,18.9000,18.6000,18.6000,74990
PXM,20100802,19.1000,19.1000,18.3000,18.3000,102160
PXM,20100803,18.7000,19.0000,18.5000,18.5000,87650
PXM,20100804,18.5000,18.6000,18.3000,18.4000,65670
PXM,20100805,18.9000,18.9000,18.3000,18.4000,54120
PXM,20100806,18.3000,18.5000,18.0000,18.0000,72340
PXM,20100809,18.0000,18.0000,17.1000,17.1000,58630
PXM,20100810,16.4000,16.4000,16.3000,16.3000,86830
PXM,20100811,16.7000,16.8000,15.7000,16.4000,48300
PXM,20100812,15.7000,16.4000,15.6000,15.6000,55990
PXM,20100813,15.0000,15.6000,14.9000,15.4000,67050
PXM,20100816,15.4000,16.1000,15.4000,16.1000,69040
PXM,20100817,15.8000,15.8000,15.5000,15.7000,40140
PXM,20100818,15.7000,15.7000,15.0000,15.0000,93760
PXM,20100819,14.7000,15.1000,14.7000,14.9000,35380
PXM,20100820,14.3000,14.7000,14.2000,14.7000,17510
PXM,20100823,14.5000,15.0000,14.5000,14.7000,22230
PXM,20100824,14.2000,14.2000,14.0000,14.0000,34570
PXM,20100825,13.3000,13.4000,13.3000,13.3000,16520
PXM,20100826,13.0000,13.5000,12.7000,12.7000,108930
PXM,20100827,12.2000,13.3000,12.1000,12.4000,65420
PXM,20100830,13.0000,13.0000,13.0000,13.0000,37320
PXM,20100831,13.2000,13.6000,13.1000,13.6000,82710
PXM,20100901,14.0000,14.0000,13.0000,13.8000,67400
PXM,20100906,14.4000,14.4000,14.4000,14.4000,149380
PXM,20100907,14.4000,15.1000,13.8000,15.1000,213380
PXM,20100908,14.7000,15.8000,14.7000,15.8000,303010
PXM,20100909,16.5000,16.5000,16.4000,16.5000,120560
PXM,20100910,17.0000,17.3000,15.8000,15.8000,279630
PXM,20100913,15.4000,15.8000,15.1000,15.2000,101560
PXM,20100914,15.8000,15.9000,15.2000,15.9000,77890
PXM,20100915,16.5000,16.5000,15.3000,15.3000,39820
PXM,20100916,15.3000,15.6000,14.9000,15.3000,39230
PXM,20100917,15.9000,16.0000,15.3000,16.0000,257800
PXM,20100920,16.8000,16.8000,16.3000,16.7000,159110
PXM,20100921,16.0000,17.2000,15.9000,16.7000,117380
PXM,20100922,16.2000,16.3000,15.9000,15.9000,171130
PXM,20100923,15.4000,15.9000,15.2000,15.4000,167270
PXM,20100924,15.4000,15.7000,15.0000,15.2000,39720
PXM,20100927,15.2000,15.3000,15.0000,15.0000,24410
PXM,20100928,15.6000,15.6000,14.7000,14.9000,57360
PXM,20100929,15.0000,15.0000,14.2000,14.4000,134040
PXM,20100930,14.4000,14.4000,14.2000,14.3000,28140
PXM,20101001,14.7000,14.7000,14.2000,14.2000,21350
PXM,20101004,13.9000,13.9000,13.5000,13.6000,129910
PXM,20101005,13.7000,14.0000,13.4000,14.0000,24990
PXM,20101006,14.3000,14.6000,13.9000,14.0000,72800
PXM,20101007,14.5000,14.5000,13.9000,14.2000,27870
PXM,20101008,13.8000,14.5000,13.6000,13.6000,25770
PXM,20101011,14.1000,14.1000,13.4000,13.4000,36470
PXM,20101012,13.8000,13.8000,13.3000,13.4000,27410
PXM,20101013,13.4000,13.6000,13.4000,13.5000,50120
PXM,20101014,13.5000,13.6000,13.3000,13.4000,29670
PXM,20101015,13.1000,13.4000,12.8000,13.1000,69640
PXM,20101018,13.5000,13.5000,12.8000,13.0000,9000
PXM,20101019,13.0000,13.0000,12.4000,12.5000,74600
PXM,20101020,12.5000,12.5000,11.9000,11.9000,41020
PXM,20101021,11.9000,12.2000,11.5000,11.6000,31560
PXM,20101022,12.0000,12.0000,11.5000,11.8000,27290
PXM,20101025,12.1000,12.3000,11.8000,12.3000,66800
PXM,20101026,12.8000,12.9000,12.8000,12.9000,52610
PXM,20101027,12.9000,13.1000,12.3000,12.4000,63370
PXM,20101028,12.9000,12.9000,12.3000,12.3000,18890
PXM,20101029,12.3000,12.4000,12.0000,12.3000,15620
PXM,20101101,12.4000,12.4000,11.8000,12.4000,38040
PXM,20101102,9.0802,9.0802,8.7724,8.7724,21650
PXM,20101103,8.8494,8.8494,8.6955,8.6955,31030
PXM,20101104,8.7724,8.7724,8.6955,8.6955,20870
PXM,20101105,8.6955,9.0802,8.6955,9.0802,26740
PXM,20101108,9.0802,9.1572,8.7724,8.7724,11270
PXM,20101109,8.4646,8.9263,8.3876,8.3876,30320
PXM,20101110,8.3876,8.3876,8.1568,8.1568,19500
PXM,20101111,8.4646,8.4646,7.9259,7.9259,10070
PXM,20101112,7.9259,7.9259,7.6181,7.6181,41980
PXM,20101115,7.8490,7.9259,7.6181,7.6951,41950
PXM,20101116,7.8490,7.8490,7.6181,7.6951,38630
PXM,20101117,7.6951,7.8490,7.6951,7.6951,12930
PXM,20101118,7.9259,8.0798,7.9259,8.0798,59930
