<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
QHD,20100422,11.4712,12.1363,11.1387,11.6375,12100
QHD,20100426,11.5876,11.5877,11.5876,11.5877,0
QHD,20100427,10.7897,10.7897,10.7897,10.7897,7295
QHD,20100428,10.7897,10.7897,10.7897,10.7897,100
QHD,20100429,10.0416,10.0416,10.0415,10.0415,900
QHD,20100504,10.1412,10.2244,9.3765,10.2244,4900
QHD,20100505,9.9750,9.9750,9.6758,9.9750,4200
QHD,20100506,10.4738,10.5901,9.9750,9.9750,1900
QHD,20100507,9.8087,10.0415,9.8087,9.9750,3600
QHD,20100510,9.2435,9.9584,9.2435,9.9584,1000
QHD,20100511,9.9584,9.9584,9.1438,9.1438,7200
QHD,20100512,8.5287,8.5287,8.5287,8.5287,4000
QHD,20100513,7.9801,7.9801,7.9800,7.9800,4000
QHD,20100514,8.3125,8.3125,8.3125,8.3125,600
QHD,20100517,7.7306,8.2294,7.7306,7.7473,5700
QHD,20100518,8.3126,8.3126,8.1463,8.1463,200
QHD,20100519,7.9800,7.9800,7.6642,7.6642,2500
QHD,20100520,7.9302,7.9302,7.9302,7.9302,0
QHD,20100521,7.9302,7.9302,7.8138,7.8138,300
QHD,20100524,7.5977,7.5977,7.5977,7.5977,200
QHD,20100525,7.5977,7.5977,7.5977,7.5977,0
QHD,20100526,7.9801,8.1131,7.9801,8.1130,500
QHD,20100527,8.0631,8.0632,8.0631,8.0632,0
QHD,20100528,8.0798,8.0798,7.8138,7.8138,1000
QHD,20100531,7.4813,7.7473,7.3982,7.7473,400
QHD,20100601,7.8969,7.8969,7.8969,7.8969,200
QHD,20100602,7.8969,7.8969,7.8969,7.8969,0
QHD,20100603,7.9800,7.9800,7.8138,7.8138,2300
QHD,20100604,7.8138,7.8138,7.8138,7.8138,300
QHD,20100607,7.7307,7.7307,7.7307,7.7307,300
QHD,20100608,7.7307,7.7307,7.7307,7.7307,0
QHD,20100609,7.8138,7.8138,7.3982,7.3982,600
QHD,20100610,6.9493,6.9826,6.9493,6.9825,1000
QHD,20100611,6.8994,7.0324,6.8994,7.0324,1900
QHD,20100614,6.4505,6.6500,6.4505,6.6500,600
QHD,20100615,6.1513,6.9326,6.1513,6.6500,2500
QHD,20100616,6.8163,7.1322,6.7497,7.1322,3500
QHD,20100617,6.4339,6.8163,6.4339,6.8163,1900
QHD,20100618,6.8163,7.0324,6.8163,7.0324,9200
QHD,20100621,7.2652,7.2652,6.8994,6.8994,300
QHD,20100622,7.3982,7.3982,7.3150,7.3150,300
QHD,20100623,7.3981,7.3982,7.3981,7.3982,100
QHD,20100624,6.9826,6.9826,6.9825,6.9825,1700
QHD,20100625,6.9825,6.9825,6.9825,6.9825,200
QHD,20100628,6.9825,6.9825,6.7830,6.7830,2000
QHD,20100629,6.8163,6.8163,6.8163,6.8163,6200
QHD,20100630,6.8163,6.8163,6.4006,6.4006,1500
QHD,20100701,6.5336,6.5336,6.5336,6.5336,0
QHD,20100702,6.7663,6.7663,6.5336,6.6500,1600
QHD,20100705,6.7331,6.8163,6.7331,6.8163,10300
QHD,20100706,6.9826,6.9826,6.7997,6.7997,1100
QHD,20100707,6.8163,6.8163,6.8163,6.8163,100
QHD,20100708,6.8163,6.8163,6.8163,6.8163,0
QHD,20100709,6.6500,6.6500,6.6500,6.6500,200
QHD,20100712,6.8163,6.8163,6.8163,6.8163,400
QHD,20100713,7.0657,7.0657,6.9992,6.9992,1700
QHD,20100714,7.0158,7.0158,7.0158,7.0158,0
QHD,20100715,7.0158,7.0158,7.0158,7.0158,100
QHD,20100716,7.0158,7.0158,7.0158,7.0158,0
QHD,20100719,6.9825,6.9825,6.9825,6.9825,200
QHD,20100720,6.8163,6.8163,6.8163,6.8163,1000
QHD,20100721,6.8163,6.8163,6.8163,6.8163,0
QHD,20100722,6.8163,6.8163,6.8163,6.8163,0
QHD,20100723,6.8163,6.8163,6.8163,6.8163,4600
QHD,20100726,6.8163,6.8163,6.8163,6.8163,1000
QHD,20100727,6.6500,6.6500,6.6500,6.6500,700
QHD,20100728,6.6500,6.6500,6.6500,6.6500,900
QHD,20100729,6.6500,6.6500,6.6500,6.6500,2600
QHD,20100730,6.6500,6.6500,6.6500,6.6500,500
QHD,20100802,6.7331,6.7331,6.6500,6.6500,2100
QHD,20100803,6.6833,6.6833,6.6833,6.6833,0
QHD,20100804,6.7332,6.7332,6.6500,6.7332,3500
QHD,20100805,6.7332,6.9826,6.6501,6.8994,7000
QHD,20100806,6.8994,6.8994,6.8495,6.8495,3400
QHD,20100809,6.9160,7.3483,6.6500,6.6500,3800
QHD,20100810,6.6500,6.6500,6.5835,6.5835,1300
QHD,20100811,6.6334,6.6334,6.6334,6.6334,0
QHD,20100812,6.6334,6.6334,6.6334,6.6334,0
QHD,20100813,6.6334,6.6334,6.6334,6.6334,0
QHD,20100816,6.6334,6.6334,6.6334,6.6334,500
QHD,20100817,6.6334,6.6334,6.6334,6.6334,0
QHD,20100818,6.6334,6.6334,6.6334,6.6334,0
QHD,20100819,6.6334,6.6334,6.6334,6.6334,0
QHD,20100820,6.6334,6.6334,6.6334,6.6334,0
QHD,20100823,6.6334,6.6334,6.6334,6.6334,0
QHD,20100824,6.1845,6.1845,6.1845,6.1845,2000
QHD,20100825,6.1845,6.1845,6.1845,6.1845,0
QHD,20100826,6.1845,6.1845,6.1845,6.1845,0
QHD,20100827,6.1845,6.1845,6.1845,6.1845,0
QHD,20100830,6.2344,6.2344,5.9850,5.9850,1100
QHD,20100831,5.7356,5.9850,5.7356,5.7356,3400
QHD,20100901,5.5361,5.5361,5.4862,5.4863,5300
QHD,20100906,5.4863,5.7357,5.4863,5.7356,1900
QHD,20100907,5.6857,5.6858,5.6857,5.6858,100
QHD,20100908,5.6110,5.6110,5.3616,5.3616,3300
QHD,20100909,5.4364,5.4364,5.4364,5.4364,0
QHD,20100910,5.2369,5.2369,5.1122,5.1122,8100
QHD,20100913,5.1621,5.1621,5.1621,5.1621,0
QHD,20100914,5.1621,5.1621,5.1621,5.1621,0
QHD,20100915,4.8628,4.8878,4.8628,4.8628,700
QHD,20100916,4.8628,4.8628,4.8628,4.8628,1800
QHD,20100917,5.1870,5.1870,5.1870,5.1870,200
QHD,20100920,4.9875,4.9875,4.9875,4.9875,1000
QHD,20100921,4.9875,5.0374,4.9875,5.0374,3700
QHD,20100922,4.6633,4.7381,4.6633,4.7381,3000
QHD,20100923,4.7381,4.7381,4.6134,4.6135,4000
QHD,20100924,4.6883,4.6883,4.6883,4.6883,3200
QHD,20100927,4.7382,5.0125,4.6883,5.0125,6900
QHD,20100928,5.2120,5.2120,5.2120,5.2120,7000
QHD,20100929,5.5611,5.5611,5.5362,5.5611,3600
QHD,20100930,5.9352,5.9352,5.6110,5.9351,13300
QHD,20101001,5.9102,5.9102,5.9102,5.9102,0
QHD,20101004,5.5112,5.5112,5.5112,5.5112,1000
QHD,20101005,5.1371,5.1371,5.1371,5.1371,3000
QHD,20101006,4.7880,4.7880,4.7880,4.7880,200
QHD,20101007,4.8628,5.1122,4.8628,5.1122,1600
QHD,20101008,5.2369,5.2369,4.9626,4.9626,3200
QHD,20101011,5.4614,5.4614,5.4613,5.4613,1000
QHD,20101012,5.7356,5.7356,5.7356,5.7356,500
QHD,20101013,5.7356,5.7356,5.3366,5.3366,1700
QHD,20101014,5.7356,5.7356,5.1122,5.1122,1400
QHD,20101015,4.9376,4.9376,4.9376,4.9376,2200
QHD,20101018,4.9376,4.9376,4.7381,4.7381,4300
QHD,20101019,4.4887,4.4888,4.4887,4.4888,100
QHD,20101020,4.2394,4.2394,4.2394,4.2394,2000
QHD,20101021,3.9900,3.9900,3.9900,3.9900,500
QHD,20101022,4.0399,4.0399,3.7406,3.7656,7300
QHD,20101025,3.7905,3.8155,3.7905,3.8155,2000
QHD,20101026,4.0649,4.0649,4.0648,4.0648,100
QHD,20101027,4.1147,4.1147,4.1147,4.1147,1000
QHD,20101028,3.8653,3.9900,3.8653,3.9900,1100
QHD,20101029,3.8653,3.8653,3.6159,3.6160,1000
QHD,20101101,3.5661,3.6659,3.5661,3.6658,1400
QHD,20101102,3.3666,3.3666,3.3666,3.3666,1000
QHD,20101103,3.1671,3.3915,3.1671,3.3915,1100
QHD,20101104,3.4414,3.4663,3.4414,3.4663,500
QHD,20101105,3.5162,3.6658,3.5162,3.6658,5800
QHD,20101108,3.5910,3.5910,3.5910,3.5910,1000
QHD,20101109,3.3416,3.7406,3.3416,3.6908,2500
QHD,20101110,3.3167,3.8155,3.3167,3.7406,6200
QHD,20101111,3.7406,3.7406,3.7406,3.7406,0
QHD,20101112,3.5162,3.6409,3.5162,3.6409,2000
QHD,20101115,3.3167,3.7407,3.3167,3.7406,2000
QHD,20101116,3.7406,3.7406,3.3665,3.3666,1500
QHD,20101117,3.6160,3.6160,3.2918,3.2918,5000
QHD,20101118,3.6659,3.6659,3.6658,3.6658,100
QHD,20101119,3.9152,3.9152,3.6658,3.6658,1700
QHD,20101122,3.6907,3.6908,3.6907,3.6908,3000
QHD,20101123,3.7407,3.7407,3.7406,3.7406,100
QHD,20101124,3.7406,3.7406,3.5411,3.5411,1200
QHD,20101125,3.8154,3.8155,3.8154,3.8155,1000
QHD,20101126,4.0649,4.0649,4.0399,4.0648,4600
QHD,20101129,4.3391,4.3391,4.3391,4.3391,2100
QHD,20101130,4.6134,4.6384,4.6134,4.6384,2000
QHD,20101201,4.6384,4.6384,4.6384,4.6384,0
QHD,20101202,4.6384,4.7382,4.6384,4.7381,2000
QHD,20101203,5.0124,5.0124,4.9625,4.9626,2200
QHD,20101206,5.2619,5.2619,5.2618,5.2618,200
QHD,20101207,5.6109,5.6109,4.9127,4.9127,2000
QHD,20101208,5.5860,5.5860,4.9127,4.9127,400
QHD,20101209,5.4115,5.4115,5.4115,5.4115,0
QHD,20101210,5.7856,5.7856,5.0374,5.6110,3200
QHD,20101213,4.7631,4.7631,4.7631,4.7631,1000
QHD,20101214,5.0374,5.0374,4.7631,4.7631,1500
QHD,20101215,4.7382,4.7382,4.6384,4.6384,600
QHD,20101216,4.4888,4.4888,4.4888,4.4888,2000
QHD,20101217,4.4888,4.4888,4.4888,4.4888,0
QHD,20101220,4.4888,4.4888,4.4888,4.4888,0
QHD,20101221,4.4888,4.4888,4.4888,4.4888,0
QHD,20101222,4.4888,4.4888,4.4888,4.4888,0
QHD,20101223,4.4888,4.4888,4.4888,4.4888,0
QHD,20101224,4.4888,4.4888,4.4888,4.4888,0
QHD,20101227,4.4888,4.4888,4.4888,4.4888,0
QHD,20101228,4.4888,4.4888,4.4888,4.4888,0
QHD,20101229,4.4888,4.4888,4.4888,4.4888,0
QHD,20101230,4.4888,4.4888,4.4888,4.4888,0
QHD,20101231,4.4888,4.4888,4.4888,4.4888,0
QHD,20110104,4.4888,4.4888,4.4888,4.4888,0
QHD,20110105,4.4888,4.4888,4.4888,4.4888,0
QHD,20110106,4.4888,4.4888,4.4888,4.4888,0
QHD,20110107,4.4888,4.4888,4.4888,4.4888,0
QHD,20110110,4.4888,4.4888,4.4888,4.4888,0
QHD,20110111,4.4888,4.4888,4.4888,4.4888,0
QHD,20110112,4.2893,4.2893,4.2893,4.2893,1000
QHD,20110113,4.5886,4.5886,4.5885,4.5885,500
QHD,20110114,4.5885,4.5885,4.5885,4.5885,0
QHD,20110117,4.5885,4.5885,4.5885,4.5885,0
QHD,20110118,4.5885,4.5885,4.5885,4.5885,0
QHD,20110119,4.5885,4.5885,4.5885,4.5885,0
QHD,20110120,4.5885,4.5885,4.5885,4.5885,0
QHD,20110121,4.5885,4.5885,4.5885,4.5885,0
QHD,20110124,4.5885,4.5885,4.5885,4.5885,0
QHD,20110125,4.5885,4.5885,4.5885,4.5885,0
QHD,20110126,4.8877,4.8878,4.8877,4.8878,1000
QHD,20110127,4.8878,4.8878,4.8878,4.8878,0
QHD,20110128,4.8878,4.8878,4.8878,4.8878,0
QHD,20110208,4.8878,4.8878,4.8878,4.8878,0
QHD,20110209,4.8878,4.8878,4.8878,4.8878,0
QHD,20110210,4.8878,4.8878,4.8878,4.8878,0
QHD,20110211,4.8878,4.8878,4.8878,4.8878,0
QHD,20110214,4.8878,4.8878,4.8878,4.8878,0
QHD,20110215,4.8878,4.8878,4.8878,4.8878,0
QHD,20110216,5.1372,5.1372,4.5636,4.5636,1500
QHD,20110217,4.9377,4.9377,4.9376,4.9376,0
QHD,20110218,4.9376,4.9376,4.9376,4.9376,0
QHD,20110221,4.6134,4.6135,4.6134,4.6135,500
QHD,20110222,4.3142,4.3142,4.3142,4.3142,500
QHD,20110223,4.1147,4.1147,4.1147,4.1147,500
QHD,20110224,4.1147,4.1147,4.1147,4.1147,0
QHD,20110225,4.1147,4.1147,4.1147,4.1147,0
QHD,20110228,4.1147,4.1147,4.1147,4.1147,0
QHD,20110301,4.3890,4.3890,4.3890,4.3890,100
QHD,20110302,4.3890,4.3890,4.3890,4.3890,0
QHD,20110303,4.6882,4.6883,4.6882,4.6883,100
