<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
QLT,20170403,9.5000,9.6000,9.5000,9.6000,400
QLT,20170404,9.6000,9.6000,9.6000,9.6000,200
QLT,20170405,9.5000,9.5000,9.5000,9.5000,200
QLT,20170407,9.5000,9.5000,9.5000,9.5000,200
QLT,20170410,9.6000,9.6000,9.6000,9.6000,100
QLT,20170411,9.5000,9.5000,9.5000,9.5000,100
QLT,20170412,10.0000,10.0000,10.0000,10.0000,100
QLT,20170413,10.0000,10.0000,10.0000,10.0000,100
QLT,20170414,10.0000,10.0000,10.0000,10.0000,0
QLT,20170417,10.0000,10.0000,10.0000,10.0000,0
QLT,20170418,10.0000,10.0000,10.0000,10.0000,0
QLT,20170419,10.0000,10.0000,10.0000,10.0000,300
QLT,20170420,10.0000,10.0000,10.0000,10.0000,0
QLT,20170421,10.5000,10.5000,10.5000,10.5000,100
QLT,20170424,9.6000,9.6000,9.6000,9.6000,200
QLT,20170425,10.0000,10.0000,10.0000,10.0000,100
QLT,20170426,10.0000,10.0000,10.0000,10.0000,100
QLT,20170427,10.0000,10.0000,10.0000,10.0000,0
QLT,20170428,9.5000,9.5000,9.5000,9.5000,200
QLT,20170503,9.5000,9.5000,9.5000,9.5000,0
QLT,20170504,9.5000,9.5000,9.5000,9.5000,0
QLT,20170505,9.5000,9.5000,9.5000,9.5000,0
QLT,20170508,9.5000,9.5000,9.5000,9.5000,0
QLT,20170509,9.5000,9.5000,9.5000,9.5000,0
QLT,20170510,9.5000,9.5000,9.5000,9.5000,0
QLT,20170511,9.5000,9.5000,9.5000,9.5000,0
QLT,20170512,9.5000,9.5000,9.5000,9.5000,0
QLT,20170515,9.5000,9.5000,9.5000,9.5000,0
QLT,20170516,9.5000,9.5000,9.5000,9.5000,0
QLT,20170517,9.5000,9.5000,9.5000,9.5000,0
QLT,20170518,9.5000,9.5000,9.5000,9.5000,0
QLT,20170519,9.5000,9.5000,9.5000,9.5000,0
QLT,20170522,9.5000,9.5000,9.5000,9.5000,0
QLT,20170523,9.5000,9.5000,9.5000,9.5000,0
QLT,20170524,9.5000,9.5000,9.5000,9.5000,0
QLT,20170525,9.5000,9.5000,9.5000,9.5000,0
QLT,20170526,9.5000,9.5000,9.5000,9.5000,0
QLT,20170529,9.5000,9.5000,9.5000,9.5000,0
QLT,20170530,9.5000,9.5000,9.5000,9.5000,0
QLT,20170531,9.5000,9.5000,9.5000,9.5000,0
QLT,20170601,9.5000,9.5000,9.5000,9.5000,0
QLT,20170602,9.5000,9.5000,9.5000,9.5000,0
QLT,20170605,9.5000,9.5000,9.5000,9.5000,0
QLT,20170606,9.5000,9.5000,9.5000,9.5000,0
QLT,20170607,9.5000,9.5000,9.5000,9.5000,0
QLT,20170608,9.5000,9.5000,9.5000,9.5000,0
QLT,20170609,9.5000,9.5000,9.5000,9.5000,0
QLT,20170612,9.5000,9.5000,9.5000,9.5000,100
QLT,20170613,9.5000,9.5000,9.5000,9.5000,0
QLT,20170614,9.5000,9.5000,9.5000,9.5000,0
QLT,20170615,9.5000,9.5000,9.5000,9.5000,0
QLT,20170616,9.5000,9.5000,9.5000,9.5000,0
QLT,20170619,9.5000,9.5000,9.5000,9.5000,0
QLT,20170620,9.5000,9.5000,9.5000,9.5000,100
QLT,20170621,9.5000,9.5000,9.5000,9.5000,0
QLT,20170622,9.5000,9.5000,9.5000,9.5000,0
QLT,20170623,10.8000,10.8000,10.8000,10.8000,100
QLT,20170626,9.5000,9.5000,9.5000,9.5000,200
QLT,20170627,9.5000,9.5000,9.5000,9.5000,0
QLT,20170628,9.5000,9.5000,9.5000,9.5000,35
QLT,20170629,9.5000,9.5000,9.5000,9.5000,0
QLT,20170630,9.5000,9.5000,9.5000,9.5000,0
QLT,20170703,9.5000,9.5000,9.5000,9.5000,35
QLT,20170704,9.5000,9.5000,9.5000,9.5000,0
QLT,20170705,9.5000,9.5000,9.5000,9.5000,0
QLT,20170706,9.5000,9.5000,9.5000,9.5000,0
QLT,20170707,9.5000,9.5000,9.5000,9.5000,0
QLT,20170710,9.5000,9.5000,9.5000,9.5000,0
QLT,20170711,9.5000,9.5000,9.5000,9.5000,0
QLT,20170712,9.5000,9.5000,9.5000,9.5000,0
QLT,20170713,9.5000,9.5000,9.5000,9.5000,0
QLT,20170714,9.5000,9.5000,9.5000,9.5000,100
QLT,20170717,9.5000,9.5000,9.5000,9.5000,0
QLT,20170718,9.5000,9.5000,9.5000,9.5000,0
QLT,20170719,9.5000,9.5000,9.5000,9.5000,0
QLT,20170720,9.5000,9.5000,9.5000,9.5000,0
QLT,20170721,9.5000,9.5000,9.5000,9.5000,0
QLT,20170724,9.5000,9.5000,9.5000,9.5000,0
QLT,20170725,9.5000,9.5000,9.5000,9.5000,100
QLT,20170726,9.5000,9.5000,9.5000,9.5000,0
QLT,20170727,9.5000,9.5000,9.5000,9.5000,0
QLT,20170728,9.5000,9.5000,9.5000,9.5000,0
QLT,20170731,9.5000,9.5000,9.5000,9.5000,0
QLT,20170801,9.5000,9.5000,9.5000,9.5000,0
QLT,20170802,9.5000,9.5000,9.5000,9.5000,0
QLT,20170803,9.5000,9.5000,9.5000,9.5000,0
QLT,20170804,9.5000,9.5000,9.5000,9.5000,0
QLT,20170807,9.5000,9.5000,9.5000,9.5000,0
QLT,20170808,9.5000,9.5000,9.5000,9.5000,100
QLT,20170809,9.5000,9.5000,9.5000,9.5000,0
QLT,20170810,9.5000,9.5000,9.5000,9.5000,0
QLT,20170811,9.5000,9.5000,9.5000,9.5000,0
QLT,20170814,9.5000,9.5000,9.5000,9.5000,0
QLT,20170815,9.5000,9.5000,9.5000,9.5000,0
QLT,20170816,9.5000,9.5000,9.5000,9.5000,0
QLT,20170817,9.5000,9.5000,9.5000,9.5000,0
QLT,20170818,9.5000,9.5000,9.5000,9.5000,0
QLT,20170821,10.0000,10.0000,10.0000,10.0000,100
QLT,20170822,9.5000,9.5000,9.5000,9.5000,100
QLT,20170823,9.5000,9.5000,9.5000,9.5000,0
QLT,20170824,9.5000,9.5000,9.5000,9.5000,0
QLT,20170825,9.5000,9.5000,9.5000,9.5000,0
QLT,20170828,9.5000,9.5000,9.5000,9.5000,0
QLT,20170829,9.5000,9.5000,9.5000,9.5000,0
QLT,20170830,8.1000,8.1000,8.1000,8.1000,100
QLT,20170831,8.1000,8.1000,8.1000,8.1000,0
QLT,20170901,8.1000,8.1000,8.1000,8.1000,0
QLT,20170905,8.1000,8.1000,8.1000,8.1000,0
QLT,20170906,8.1000,8.1000,8.1000,8.1000,0
QLT,20170907,8.1000,8.1000,8.1000,8.1000,0
QLT,20170908,8.1000,8.1000,8.1000,8.1000,0
QLT,20170911,9.3000,9.3000,9.3000,9.3000,200
QLT,20170912,9.3000,9.3000,9.3000,9.3000,0
QLT,20170913,9.3000,9.3000,9.3000,9.3000,0
QLT,20170914,9.3000,9.3000,9.3000,9.3000,0
QLT,20170915,9.3000,9.3000,9.3000,9.3000,0
QLT,20170918,9.3000,9.3000,9.3000,9.3000,0
QLT,20170919,9.5000,9.5000,9.5000,9.5000,100
QLT,20170920,9.5000,9.5000,9.5000,9.5000,0
QLT,20170921,4.4168,4.4168,4.4168,4.4168,0
QLT,20170922,4.4168,4.4168,4.4168,4.4168,0
QLT,20170925,4.4168,4.4168,4.4168,4.4168,0
QLT,20170926,4.4168,4.4168,4.4168,4.4168,0
QLT,20170927,4.4168,4.4168,4.4168,4.4168,0
QLT,20170928,4.4168,4.4168,4.4168,4.4168,0
