<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
QPH,20140711,10.0000,10.0000,10.0000,10.0000,0
QPH,20140714,10.0000,10.0000,10.0000,10.0000,0
QPH,20140715,10.0000,10.0000,10.0000,10.0000,0
QPH,20140716,10.0000,10.0000,10.0000,10.0000,0
QPH,20140717,10.0000,10.0000,10.0000,10.0000,0
QPH,20140718,10.0000,10.0000,10.0000,10.0000,0
QPH,20140721,10.0000,10.0000,10.0000,10.0000,0
QPH,20140722,10.0000,10.0000,10.0000,10.0000,0
QPH,20140723,10.0000,10.0000,10.0000,10.0000,0
QPH,20140724,10.0000,10.0000,10.0000,10.0000,0
QPH,20140725,10.0000,10.0000,10.0000,10.0000,0
QPH,20140728,10.0000,10.0000,10.0000,10.0000,0
QPH,20140729,10.0000,10.0000,10.0000,10.0000,0
QPH,20140730,8.9000,8.9000,8.9000,8.9000,10000
QPH,20140731,8.9000,8.9000,8.9000,8.9000,0
QPH,20140801,9.7000,9.7000,8.1000,8.1000,10200
QPH,20140804,9.7000,9.7000,9.7000,9.7000,0
QPH,20140805,9.7000,9.7000,9.7000,9.7000,0
QPH,20140806,9.7000,9.7000,9.7000,9.7000,0
QPH,20140807,9.7000,9.7000,9.7000,9.7000,0
QPH,20140808,9.7000,9.7000,9.7000,9.7000,0
QPH,20140811,8.8000,10.0000,8.8000,10.0000,8212900
QPH,20140812,10.0000,10.0000,10.0000,10.0000,0
QPH,20140813,10.0000,10.0000,10.0000,10.0000,0
QPH,20140814,10.0000,10.0000,10.0000,10.0000,0
QPH,20140815,10.0000,10.0000,10.0000,10.0000,0
QPH,20140818,10.0000,10.0000,10.0000,10.0000,0
QPH,20140819,10.0000,10.0000,10.0000,10.0000,0
QPH,20140820,10.0000,10.0000,10.0000,10.0000,0
QPH,20140821,10.0000,10.0000,10.0000,10.0000,0
QPH,20140822,10.0000,10.0000,10.0000,10.0000,0
QPH,20140825,9.0000,9.0000,9.0000,9.0000,200
QPH,20140826,8.1000,8.1000,8.1000,8.1000,100
QPH,20140827,7.3000,7.3000,7.3000,7.3000,100
QPH,20140828,6.6000,6.6000,6.6000,6.6000,100
QPH,20140829,6.2000,6.2000,6.2000,6.2000,100
QPH,20140903,5.7000,5.7000,5.7000,5.7000,600
QPH,20140904,5.4000,6.2000,5.4000,6.2000,200
QPH,20140905,6.3000,6.3000,6.3000,6.3000,100
QPH,20140908,5.8000,6.9000,5.8000,6.9000,200
QPH,20140909,6.4000,6.4000,6.4000,6.4000,0
QPH,20140910,6.4000,6.4000,6.4000,6.4000,0
QPH,20140911,6.4000,6.4000,6.4000,6.4000,0
QPH,20140912,5.8000,6.0000,5.8000,6.0000,300
QPH,20140915,6.4000,6.4000,6.4000,6.4000,100
QPH,20140916,6.4000,6.4000,6.4000,6.4000,0
QPH,20140917,7.0000,7.0000,7.0000,7.0000,100
QPH,20140918,7.7000,7.7000,7.7000,7.7000,100
QPH,20140919,7.7000,7.7000,7.7000,7.7000,0
QPH,20140922,8.0000,8.0000,8.0000,8.0000,100
QPH,20140923,8.0000,8.0000,8.0000,8.0000,0
QPH,20140924,7.2000,7.2000,7.2000,7.2000,100
QPH,20140925,7.5000,7.5000,7.5000,7.5000,100
QPH,20140926,7.5000,7.5000,7.5000,7.5000,0
QPH,20140929,7.5000,7.5000,7.5000,7.5000,0
QPH,20140930,7.5000,7.5000,7.5000,7.5000,0
QPH,20141001,7.5000,7.5000,7.5000,7.5000,0
QPH,20141002,6.8000,6.8000,6.8000,6.8000,2000
QPH,20141003,6.2000,6.2000,6.2000,6.2000,100
QPH,20141006,5.6000,6.2000,5.6000,5.8000,3600
QPH,20141007,6.4000,6.4000,6.4000,6.4000,500
QPH,20141008,5.8000,5.8000,5.8000,5.8000,3000
QPH,20141009,5.4000,6.3000,5.4000,5.4000,6100
QPH,20141010,5.5000,5.5000,5.5000,5.5000,0
QPH,20141013,5.0000,5.0000,5.0000,5.0000,100
QPH,20141014,5.0000,5.0000,5.0000,5.0000,0
QPH,20141015,4.6000,4.6000,4.6000,4.6000,100
QPH,20141016,4.6000,4.6000,4.6000,4.6000,0
QPH,20141017,4.6000,4.6000,4.6000,4.6000,0
QPH,20141020,4.2000,4.2000,4.2000,4.2000,100
QPH,20141021,4.2000,4.2000,4.2000,4.2000,100
QPH,20141022,4.2000,4.2000,4.2000,4.2000,0
QPH,20141023,4.2000,4.2000,4.2000,4.2000,0
QPH,20141024,4.2000,4.2000,4.2000,4.2000,0
QPH,20141027,4.2000,4.2000,4.2000,4.2000,0
QPH,20141028,4.2000,4.2000,4.2000,4.2000,0
QPH,20141029,4.2000,4.2000,4.2000,4.2000,0
