<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
RAL,20061206,86.0000,86.0000,86.0000,86.0000,41580
RAL,20061207,86.0000,90.0000,86.0000,90.0000,88780
RAL,20061208,94.0000,94.0000,94.0000,94.0000,8380
RAL,20061211,98.5000,98.5000,98.5000,98.5000,20000
RAL,20061212,103.0000,103.0000,103.0000,103.0000,91280
RAL,20061213,108.0000,108.0000,108.0000,108.0000,60760
RAL,20061214,113.0000,113.0000,113.0000,113.0000,50070
RAL,20061215,113.0000,115.0000,108.0000,115.0000,100550
RAL,20061218,115.0000,115.0000,110.0000,110.0000,90730
RAL,20061219,110.0000,110.0000,105.0000,106.0000,64260
RAL,20061220,106.0000,106.0000,101.0000,102.0000,53730
RAL,20061221,107.0000,107.0000,107.0000,107.0000,164920
RAL,20061222,102.0000,102.0000,102.0000,102.0000,18510
RAL,20061225,97.0000,107.0000,97.0000,107.0000,61300
RAL,20061226,107.0000,107.0000,107.0000,107.0000,66970
RAL,20061227,107.0000,110.0000,107.0000,110.0000,63690
RAL,20061228,110.0000,110.0000,108.0000,110.0000,67330
RAL,20061229,111.0000,111.0000,110.0000,111.0000,36160
RAL,20070102,111.0000,111.0000,106.0000,111.0000,36510
RAL,20070103,111.0000,111.0000,110.0000,110.0000,10330
RAL,20070104,112.0000,112.0000,110.0000,112.0000,55890
RAL,20070105,113.0000,113.0000,112.0000,113.0000,34340
RAL,20070108,110.0000,110.0000,108.0000,110.0000,23430
RAL,20070109,109.0000,110.0000,109.0000,110.0000,69340
RAL,20070110,110.0000,111.0000,110.0000,111.0000,75760
RAL,20070111,111.0000,111.0000,111.0000,111.0000,101890
RAL,20070112,111.0000,111.0000,109.0000,110.0000,66280
RAL,20070115,109.0000,111.0000,109.0000,111.0000,97810
RAL,20070116,111.0000,116.0000,111.0000,116.0000,67760
RAL,20070117,117.0000,117.0000,111.0000,111.0000,69570
RAL,20070118,110.0000,111.0000,110.0000,111.0000,33440
RAL,20070119,114.0000,114.0000,113.0000,113.0000,65420
RAL,20070122,113.0000,113.0000,108.0000,108.0000,48390
RAL,20070123,108.0000,110.0000,108.0000,110.0000,11700
RAL,20070124,111.0000,112.0000,111.0000,112.0000,45110
RAL,20070125,111.0000,111.0000,108.0000,108.0000,43250
RAL,20070126,267.0000,267.0000,107.0000,107.0000,40930
RAL,20070129,112.0000,112.0000,108.0000,112.0000,22540
RAL,20070130,114.0000,115.0000,114.0000,115.0000,25280
RAL,20070131,112.0000,112.0000,112.0000,112.0000,71890
RAL,20070201,112.0000,112.0000,112.0000,112.0000,33630
RAL,20070202,112.0000,112.0000,112.0000,112.0000,37740
RAL,20070205,117.0000,117.0000,117.0000,117.0000,122690
RAL,20070206,120.0000,122.0000,120.0000,120.0000,167150
RAL,20070207,126.0000,126.0000,126.0000,126.0000,119990
RAL,20070208,125.0000,132.0000,125.0000,125.0000,113510
RAL,20070209,119.0000,119.0000,119.0000,119.0000,23520
RAL,20070212,122.0000,122.0000,122.0000,122.0000,63120
RAL,20070213,125.0000,125.0000,122.0000,125.0000,62320
RAL,20070214,123.0000,125.0000,123.0000,123.0000,55280
RAL,20070215,123.0000,127.0000,123.0000,123.0000,61440
RAL,20070226,129.0000,129.0000,129.0000,129.0000,62050
RAL,20070227,135.0000,135.0000,135.0000,135.0000,44420
RAL,20070228,129.0000,141.0000,129.0000,129.0000,81550
RAL,20070301,129.0000,129.0000,125.0000,129.0000,30030
RAL,20070302,129.0000,129.0000,127.0000,127.0000,20990
RAL,20070305,130.0000,130.0000,129.0000,130.0000,47120
RAL,20070306,129.0000,130.0000,129.0000,129.0000,47230
RAL,20070307,123.0000,126.0000,123.0000,126.0000,32860
RAL,20070308,130.0000,130.0000,129.0000,130.0000,46620
RAL,20070309,130.0000,130.0000,130.0000,130.0000,51510
RAL,20070312,136.0000,136.0000,131.0000,132.0000,85020
RAL,20070313,136.0000,136.0000,136.0000,136.0000,86680
RAL,20070314,132.0000,136.0000,132.0000,132.0000,68400
RAL,20070315,126.0000,126.0000,126.0000,126.0000,32810
RAL,20070316,130.0000,132.0000,130.0000,132.0000,31460
RAL,20070319,138.0000,138.0000,137.0000,137.0000,119910
RAL,20070320,135.0000,137.0000,132.0000,132.0000,67270
RAL,20070321,130.0000,130.0000,127.0000,130.0000,46750
RAL,20070322,135.0000,136.0000,135.0000,135.0000,185230
RAL,20070323,135.0000,135.0000,133.0000,133.0000,126060
RAL,20070326,128.0000,128.0000,127.0000,127.0000,15980
RAL,20070327,30.5829,30.5829,29.8370,29.8370,62920
RAL,20070328,28.3452,28.3452,28.3452,28.3452,38250
RAL,20070329,29.5884,29.5884,29.5884,29.5884,70210
RAL,20070330,30.5829,30.8316,30.3343,30.3343,124730
RAL,20070402,31.8261,31.8261,31.8261,31.8261,120010
RAL,20070403,32.3234,32.3234,31.8261,31.8261,101520
RAL,20070404,31.8261,32.0748,31.8261,32.0748,61620
RAL,20070405,32.0748,32.0748,31.3289,31.3289,7210
RAL,20070406,31.3289,31.8261,31.3289,31.8261,101290
RAL,20070409,31.8261,31.8261,31.5775,31.5775,7410
RAL,20070410,31.3289,31.3289,30.8316,30.8316,10430
RAL,20070411,31.0802,31.0802,30.5829,30.8316,11570
RAL,20070412,29.3397,29.8370,29.3397,29.8370,12500
RAL,20070413,30.3343,30.5829,30.3343,30.5829,85240
RAL,20070416,29.8370,29.8370,29.0911,29.0911,15110
RAL,20070417,29.0911,29.3397,29.0911,29.3397,42740
RAL,20070418,30.5829,30.5829,30.5829,30.5829,9770
RAL,20070419,31.0802,31.0802,30.3343,30.3343,7050
RAL,20070420,29.3397,31.0802,29.3397,30.3343,41490
RAL,20070423,29.8370,29.8370,29.5884,29.5884,13760
RAL,20070424,29.8370,29.8370,28.3452,29.8370,14720
RAL,20070425,29.8370,31.3289,29.8370,31.3289,48020
RAL,20070502,31.3289,32.3234,31.3289,32.3234,47120
RAL,20070503,32.3234,32.3234,31.3289,31.3289,9470
RAL,20070504,32.0748,32.0748,32.0748,32.0748,32000
RAL,20070507,30.5829,33.5666,30.5829,33.5666,154750
RAL,20070508,33.5666,33.5666,33.0694,33.0694,41980
RAL,20070509,32.8207,32.8207,32.0748,32.0748,30540
RAL,20070510,31.3289,32.0748,31.3289,31.3289,8160
RAL,20070511,31.5775,32.0748,31.5775,32.0748,25490
RAL,20070514,32.0748,32.0748,32.0748,32.0748,20570
