<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
RTB,20161107,19.5000,19.5000,19.5000,19.5000,200
RTB,20161108,20.0000,20.0000,20.0000,20.0000,700
RTB,20161109,20.0000,20.0000,20.0000,20.0000,100
RTB,20161110,20.0000,20.5000,20.0000,20.5000,4500
RTB,20161111,23.3000,23.3000,23.3000,23.3000,300
RTB,20161114,23.3000,23.3000,23.3000,23.3000,0
RTB,20161115,23.3000,23.3000,23.3000,23.3000,0
RTB,20161116,23.3000,23.3000,23.3000,23.3000,0
RTB,20161117,19.9000,19.9000,19.9000,19.9000,100
RTB,20161118,17.0000,17.0000,17.0000,17.0000,1700
RTB,20161121,14.5000,14.5000,14.5000,14.5000,100
RTB,20161122,16.6000,16.6000,16.6000,16.6000,100
RTB,20161123,16.6000,16.6000,16.6000,16.6000,0
RTB,20161124,19.0000,19.0000,19.0000,19.0000,100
RTB,20161125,19.0000,19.0000,16.2000,16.2000,200
RTB,20161128,19.9000,19.9000,19.9000,19.9000,100
RTB,20161129,20.4000,20.4000,20.4000,20.4000,100
RTB,20161130,20.9000,20.9000,20.9000,20.9000,100
RTB,20161201,20.9000,20.9000,20.9000,20.9000,0
RTB,20161202,20.9000,20.9000,20.9000,20.9000,0
RTB,20161205,20.9000,20.9000,20.9000,20.9000,0
RTB,20161206,20.9000,20.9000,20.9000,20.9000,0
RTB,20161207,20.9000,20.9000,20.9000,20.9000,0
RTB,20161208,20.9000,20.9000,20.9000,20.9000,0
RTB,20161209,17.8000,17.8000,17.8000,17.8000,100
RTB,20161212,17.1000,17.1000,15.2000,15.2000,200
RTB,20161213,16.2000,16.2000,16.2000,16.2000,10
RTB,20161214,16.2000,16.2000,16.2000,16.2000,0
RTB,20161215,16.2000,16.2000,16.2000,16.2000,0
RTB,20161216,18.0000,18.4000,13.8000,18.4000,300
RTB,20161219,17.9000,17.9000,17.9000,17.9000,100
RTB,20161220,15.3000,15.3000,15.3000,15.3000,100
RTB,20161221,17.5000,17.5000,17.5000,17.5000,100
RTB,20161222,17.5000,17.5000,17.5000,17.5000,0
RTB,20161223,19.8000,19.8000,15.5000,15.5000,200
RTB,20161226,19.9000,19.9000,19.9000,19.9000,100
RTB,20161227,19.9000,19.9000,19.9000,19.9000,0
RTB,20161228,17.0000,17.0000,17.0000,17.0000,1210
RTB,20161229,17.0000,17.0000,17.0000,17.0000,0
RTB,20161230,17.0000,17.0000,17.0000,17.0000,0
RTB,20170103,14.5000,14.5000,14.5000,14.5000,500
RTB,20170104,16.6000,16.6000,16.0000,16.0000,600
RTB,20170105,16.1000,16.1000,16.1000,16.1000,0
RTB,20170106,16.1000,16.1000,16.1000,16.1000,0
RTB,20170109,16.1000,16.1000,16.1000,16.1000,0
RTB,20170110,13.7000,13.7000,13.7000,13.7000,100
RTB,20170111,15.5000,15.5000,15.5000,15.5000,100
RTB,20170112,16.4000,16.4000,16.4000,16.4000,100
RTB,20170113,16.4000,16.4000,16.4000,16.4000,0
RTB,20170116,16.4000,16.4000,16.4000,16.4000,0
RTB,20170117,16.4000,16.4000,16.4000,16.4000,76
RTB,20170118,16.4000,16.4000,16.4000,16.4000,0
RTB,20170119,14.0000,14.0000,14.0000,14.0000,100
RTB,20170120,14.0000,14.0000,14.0000,14.0000,0
RTB,20170123,14.0000,14.0000,14.0000,14.0000,0
RTB,20170124,14.0000,14.0000,14.0000,14.0000,0
RTB,20170125,14.0000,14.0000,14.0000,14.0000,0
RTB,20170202,14.0000,14.0000,14.0000,14.0000,0
RTB,20170203,14.0000,14.0000,14.0000,14.0000,0
RTB,20170206,14.0000,14.0000,14.0000,14.0000,0
RTB,20170207,14.0000,14.0000,14.0000,14.0000,0
RTB,20170208,14.0000,14.0000,14.0000,14.0000,0
RTB,20170209,14.0000,14.0000,14.0000,14.0000,0
RTB,20170210,14.0000,14.0000,14.0000,14.0000,0
RTB,20170213,14.0000,15.0000,14.0000,14.0000,300
RTB,20170214,14.3000,14.3000,14.3000,14.3000,0
RTB,20170215,14.3000,14.3000,14.3000,14.3000,0
RTB,20170216,15.0000,15.0000,15.0000,15.0000,100
RTB,20170217,15.0000,15.0000,15.0000,15.0000,100
RTB,20170220,15.0000,15.0000,15.0000,15.0000,0
RTB,20170221,15.0000,15.0000,15.0000,15.0000,0
