<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
RTS,20161101,10.0000,10.0000,10.0000,10.0000,0
RTS,20161102,10.0000,10.0000,10.0000,10.0000,0
RTS,20161103,10.0000,10.0000,10.0000,10.0000,0
RTS,20161104,10.0000,10.0000,10.0000,10.0000,0
RTS,20161107,10.0000,10.0000,10.0000,10.0000,0
RTS,20161108,10.0000,10.0000,10.0000,10.0000,0
RTS,20161109,10.0000,10.0000,10.0000,10.0000,0
RTS,20161110,10.0000,10.0000,10.0000,10.0000,0
RTS,20161111,10.0000,10.0000,10.0000,10.0000,0
RTS,20161114,10.0000,10.0000,10.0000,10.0000,0
RTS,20161115,10.0000,10.0000,10.0000,10.0000,0
RTS,20161116,10.0000,10.0000,10.0000,10.0000,0
RTS,20161117,10.0000,10.0000,10.0000,10.0000,0
RTS,20161118,10.0000,10.0000,10.0000,10.0000,0
RTS,20161121,10.0000,10.0000,10.0000,10.0000,0
RTS,20161122,10.0000,10.0000,10.0000,10.0000,0
RTS,20161123,10.0000,10.0000,10.0000,10.0000,0
RTS,20161124,10.0000,10.0000,10.0000,10.0000,0
RTS,20161125,10.0000,10.0000,10.0000,10.0000,0
RTS,20161128,10.0000,10.0000,10.0000,10.0000,0
RTS,20161129,10.0000,10.0000,10.0000,10.0000,0
RTS,20161130,10.0000,10.0000,10.0000,10.0000,0
RTS,20161201,10.0000,10.0000,10.0000,10.0000,0
RTS,20161202,10.0000,10.0000,10.0000,10.0000,0
RTS,20161205,10.0000,10.0000,10.0000,10.0000,0
RTS,20161206,10.0000,10.0000,10.0000,10.0000,0
RTS,20161207,10.0000,10.0000,10.0000,10.0000,0
RTS,20161208,10.0000,10.0000,10.0000,10.0000,0
RTS,20161209,10.0000,10.0000,10.0000,10.0000,0
RTS,20161212,10.0000,10.0000,10.0000,10.0000,0
RTS,20161213,10.0000,10.0000,10.0000,10.0000,0
RTS,20161214,10.0000,10.0000,10.0000,10.0000,0
RTS,20161215,10.0000,10.0000,10.0000,10.0000,0
RTS,20161216,10.0000,10.0000,10.0000,10.0000,0
RTS,20161219,10.0000,10.0000,10.0000,10.0000,0
RTS,20161220,10.0000,10.0000,10.0000,10.0000,0
RTS,20161221,10.0000,10.0000,10.0000,10.0000,0
RTS,20161222,10.0000,10.0000,10.0000,10.0000,0
RTS,20161223,10.0000,10.0000,10.0000,10.0000,0
RTS,20161226,10.0000,10.0000,10.0000,10.0000,0
RTS,20161227,10.0000,10.0000,10.0000,10.0000,0
RTS,20161228,10.0000,10.0000,10.0000,10.0000,0
RTS,20161229,10.0000,10.0000,10.0000,10.0000,0
RTS,20161230,10.0000,10.0000,10.0000,10.0000,0
RTS,20170103,10.0000,10.0000,10.0000,10.0000,0
RTS,20170104,10.0000,10.0000,10.0000,10.0000,0
RTS,20170105,10.0000,10.0000,10.0000,10.0000,0
RTS,20170106,10.0000,10.0000,10.0000,10.0000,0
RTS,20170109,10.0000,10.0000,10.0000,10.0000,0
RTS,20170110,10.0000,10.0000,10.0000,10.0000,0
