<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
S55,20061222,26.0000,26.5000,26.0000,26.2000,3000
S55,20061225,26.2000,26.2000,26.2000,26.2000,0
S55,20061226,26.2000,26.2000,26.2000,26.2000,0
S55,20061228,26.2000,26.2000,26.2000,26.2000,0
S55,20061229,26.2000,26.2000,26.2000,26.2000,0
S55,20070102,26.2000,26.2000,26.2000,26.2000,0
S55,20070103,26.2000,26.2000,26.2000,26.2000,0
S55,20070104,26.2000,26.2000,26.2000,26.2000,0
S55,20070105,26.2000,26.2000,26.2000,26.2000,0
S55,20070108,26.2000,26.2000,26.2000,26.2000,0
S55,20070109,26.2000,26.2000,26.2000,26.2000,0
S55,20070110,26.2000,26.2000,26.2000,26.2000,0
S55,20070111,26.2000,26.2000,26.2000,26.2000,0
S55,20070112,26.2000,26.2000,26.2000,26.2000,0
S55,20070115,26.2000,26.2000,26.2000,26.2000,0
S55,20070116,26.2000,26.2000,26.2000,26.2000,0
S55,20070117,26.2000,26.2000,26.2000,26.2000,0
S55,20070118,26.2000,26.2000,26.2000,26.2000,0
S55,20070119,26.2000,26.2000,26.2000,26.2000,0
S55,20070122,26.0000,26.0000,26.0000,26.0000,100
S55,20070123,26.0000,26.0000,26.0000,26.0000,0
S55,20070124,26.0000,26.0000,26.0000,26.0000,0
S55,20070125,26.0000,26.0000,26.0000,26.0000,0
S55,20070126,26.0000,26.0000,26.0000,26.0000,0
S55,20070129,26.0000,26.0000,26.0000,26.0000,0
S55,20070130,26.0000,26.0000,26.0000,26.0000,0
S55,20070131,28.6000,28.6000,28.5000,28.6000,5400
S55,20070201,28.5000,28.5000,28.5000,28.5000,0
S55,20070202,28.5000,28.5000,28.5000,28.5000,0
S55,20070205,28.5000,28.5000,28.5000,28.5000,0
S55,20070206,31.3000,31.3000,31.3000,31.3000,100
S55,20070207,34.4000,34.4000,34.4000,34.4000,100
S55,20070208,37.8000,37.8000,37.8000,37.8000,100
S55,20070209,41.5000,41.5000,41.5000,41.5000,1100
S55,20070212,45.6000,45.6000,45.6000,45.6000,100
S55,20070213,50.1000,50.1000,50.1000,50.1000,100
S55,20070214,55.1000,55.1000,55.1000,55.1000,100
S55,20070215,60.6000,60.6000,60.6000,60.6000,600
S55,20070226,66.6000,66.6000,66.6000,66.6000,2200
S55,20070227,73.2000,73.2000,73.2000,73.2000,100
S55,20070228,73.2000,73.2000,73.2000,73.2000,0
S55,20070301,80.5000,80.5000,80.5000,80.5000,4900
S55,20070302,88.5000,88.5000,88.5000,88.5000,100
S55,20070305,97.3000,97.3000,97.3000,97.3000,100
S55,20070306,107.0000,107.0000,107.0000,107.0000,4900
S55,20070307,117.7000,117.7000,117.7000,117.7000,3900
S55,20070308,129.4000,129.4000,129.4000,129.4000,8200
S55,20070309,142.3000,142.3000,119.0000,129.4000,3100
S55,20070312,135.8000,135.8000,128.0000,128.0000,1500
S55,20070313,120.0000,120.0000,119.0000,119.0000,3200
S55,20070314,119.8000,119.8000,119.8000,119.8000,0
S55,20070315,119.0000,119.0000,107.9000,107.9000,800
S55,20070316,102.0000,112.2000,101.0000,112.2000,2600
S55,20070319,112.2000,113.0000,102.8000,113.0000,3700
S55,20070320,115.6000,115.6000,115.6000,115.6000,2600
S55,20070321,9.2317,9.2317,9.2317,9.2317,400
S55,20070322,9.2317,9.2317,9.2317,9.2317,0
S55,20070323,8.3123,8.3123,8.3123,8.3123,1000
S55,20070326,8.3123,8.3123,8.3123,8.3123,0
S55,20070327,7.4818,8.1269,7.4818,8.1269,600
S55,20070328,7.1259,7.1259,7.1259,7.1259,100
S55,20070329,7.7858,7.7858,7.7858,7.7858,100
S55,20070330,7.7858,7.7858,7.7858,7.7858,0
S55,20070402,8.1565,8.1565,8.1565,8.1565,200
S55,20070403,7.7858,7.7858,7.5633,7.7858,600
S55,20070404,7.7116,7.7116,7.7116,7.7116,0
S55,20070405,7.7858,7.7858,7.7858,7.7858,200
S55,20070406,7.5633,7.5633,7.5633,7.5633,600
S55,20070409,7.5633,7.5633,7.5633,7.5633,0
S55,20070410,7.5633,7.5633,7.5633,7.5633,0
S55,20070411,7.5633,7.5633,7.5633,7.5633,300
