<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SAP,20061214,28.0000,28.0000,28.0000,28.0000,2000
SAP,20061215,30.0000,30.0000,30.0000,30.0000,500
SAP,20061218,30.0000,30.0000,30.0000,30.0000,0
SAP,20061219,30.0000,30.0000,30.0000,30.0000,0
SAP,20061220,27.1000,27.1000,27.1000,27.1000,500
SAP,20061221,26.5000,26.5000,26.5000,26.5000,200
SAP,20061222,25.0000,25.0000,25.0000,25.0000,2000
SAP,20061225,22.5000,22.5000,22.5000,22.5000,500
SAP,20061226,22.0000,24.0000,21.0000,21.8000,7500
SAP,20061227,20.0000,21.8000,20.0000,21.8000,3300
SAP,20061228,20.0000,22.8000,20.0000,20.6000,3200
SAP,20061229,22.0000,22.0000,20.5000,20.5000,3700
SAP,20070102,23.8000,23.8000,23.8000,23.8000,700
SAP,20070103,24.0000,24.5000,24.0000,24.2000,1200
SAP,20070104,24.2000,24.2000,24.2000,24.2000,1000
SAP,20070105,26.0000,26.0000,26.0000,26.0000,1000
SAP,20070108,26.0000,26.0000,26.0000,26.0000,0
SAP,20070109,26.0000,26.0000,26.0000,26.0000,0
SAP,20070110,24.5000,24.5000,24.5000,24.5000,500
SAP,20070111,24.5000,24.5000,24.5000,24.5000,0
SAP,20070112,24.5000,24.5000,24.5000,24.5000,0
SAP,20070115,22.1000,22.1000,22.1000,22.1000,500
SAP,20070116,23.5000,23.5000,23.5000,23.5000,3000
SAP,20070117,23.5000,23.5000,23.5000,23.5000,0
SAP,20070118,24.0000,24.0000,24.0000,24.0000,1000
SAP,20070119,26.4000,26.4000,26.4000,26.4000,3600
SAP,20070122,27.6000,29.0000,27.6000,29.0000,12600
SAP,20070123,31.5000,31.5000,29.5000,29.5000,7200
SAP,20070124,31.5000,31.5000,30.0000,30.0000,3600
SAP,20070125,31.5000,31.5000,31.5000,31.5000,0
SAP,20070126,28.4000,28.4000,28.4000,28.4000,600
SAP,20070129,28.4000,28.4000,28.4000,28.4000,1000
SAP,20070130,29.5000,31.0000,27.0000,30.5000,8500
SAP,20070131,30.5000,30.5000,29.6000,29.6000,1100
SAP,20070201,30.0000,30.0000,30.0000,30.0000,500
SAP,20070202,30.0000,33.0000,30.0000,30.0000,2500
SAP,20070205,30.0000,30.0000,30.0000,30.0000,600
SAP,20070206,30.0000,30.0000,30.0000,30.0000,0
SAP,20070207,29.5000,29.5000,29.5000,29.5000,1200
SAP,20070208,30.0000,30.0000,29.0000,29.0000,1000
SAP,20070209,29.4000,29.4000,29.4000,29.4000,0
SAP,20070212,29.4000,29.4000,29.0000,29.0000,1000
SAP,20070213,29.2000,29.2000,29.2000,29.2000,0
SAP,20070214,29.2000,29.2000,29.2000,29.2000,100
SAP,20070215,29.0000,30.0000,29.0000,30.0000,900
SAP,20070226,30.0000,32.7000,30.0000,32.7000,5300
SAP,20070227,34.1000,34.2000,30.5000,30.5000,5100
SAP,20070228,34.5000,34.5000,34.0000,34.2000,8500
SAP,20070301,36.0000,37.6000,35.7000,37.6000,5100
SAP,20070302,39.7000,39.7000,38.0000,39.5000,9100
SAP,20070305,43.3000,43.3000,43.3000,43.3000,1100
SAP,20070306,47.6000,47.6000,47.6000,47.6000,900
SAP,20070307,52.3000,52.3000,52.3000,52.3000,5100
SAP,20070308,57.5000,57.5000,57.5000,57.5000,3500
SAP,20070309,63.2000,63.2000,63.2000,63.2000,8900
SAP,20070312,69.5000,69.5000,65.0000,65.0000,12000
SAP,20070313,65.4000,75.0000,65.4000,69.0000,6000
