<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SB1,20161226,21.0000,21.0000,21.0000,21.0000,100
SB1,20161227,24.1000,24.1000,24.1000,24.1000,100
SB1,20161228,27.7000,27.7000,27.7000,27.7000,200
SB1,20161229,31.8000,31.8000,29.7000,29.7000,19800
SB1,20161230,28.0000,30.4000,28.0000,28.4000,2600
SB1,20170103,30.0000,30.0000,30.0000,30.0000,100
SB1,20170104,26.0000,28.0000,25.5000,28.0000,4600
SB1,20170105,22.5000,23.4000,22.5000,23.3000,2700
SB1,20170106,23.5000,23.5000,23.0000,23.5000,6700
SB1,20170109,21.0000,21.9000,19.9000,19.9000,5800
SB1,20170110,20.8000,20.8000,18.9000,20.0000,6200
SB1,20170111,16.8000,22.3000,16.8000,22.3000,4500
SB1,20170112,23.4000,23.4000,20.6000,21.9000,1300
SB1,20170113,24.4000,24.4000,19.0000,20.5000,9400
SB1,20170116,20.0000,20.1000,20.0000,20.0000,8300
SB1,20170117,21.0000,21.4000,21.0000,21.4000,600
SB1,20170118,23.0000,23.0000,23.0000,23.0000,100
SB1,20170119,20.1000,21.0000,20.1000,20.5000,4300
SB1,20170120,23.3000,23.3000,23.3000,23.3000,100
SB1,20170123,25.9000,25.9000,25.9000,25.9000,200
SB1,20170124,22.1000,22.1000,22.1000,22.1000,500
SB1,20170125,22.0000,22.4000,22.0000,22.4000,200
SB1,20170202,23.0000,23.0000,23.0000,23.0000,100
SB1,20170203,21.0000,21.0000,21.0000,21.0000,5500
SB1,20170206,22.4000,23.0000,22.4000,23.0000,400
SB1,20170207,22.0000,22.0000,22.0000,22.0000,300
SB1,20170208,22.0000,22.0000,22.0000,22.0000,4000
SB1,20170209,17.3926,17.3926,17.3926,17.3926,100
SB1,20170210,17.3926,17.3926,17.3926,17.3926,0
SB1,20170213,15.5021,15.6534,15.2753,15.6534,5300
SB1,20170214,14.3678,15.1240,14.3678,14.8972,3300
SB1,20170215,17.0901,17.0901,15.1240,15.1240,300
SB1,20170216,15.8046,15.8046,15.8046,15.8046,0
SB1,20170217,15.1240,15.1240,14.7459,15.1240,1100
SB1,20170220,14.8972,14.8972,14.8972,14.8972,0
SB1,20170221,15.1240,15.1240,15.1240,15.1240,400
SB1,20170222,16.6364,16.6364,15.2753,15.2753,2800
SB1,20170223,16.2583,16.2583,16.2583,16.2583,0
SB1,20170224,15.1240,15.1240,14.3678,15.0484,6600
SB1,20170227,15.1240,15.1240,14.3678,15.1240,3100
SB1,20170228,14.7459,14.7459,14.7459,14.7459,0
SB1,20170301,14.7459,14.7459,14.7459,14.7459,0
SB1,20170302,14.7459,14.7459,14.7459,14.7459,0
SB1,20170303,14.4434,14.6703,14.3678,14.6703,600
SB1,20170306,14.4434,14.4434,14.4434,14.4434,600
SB1,20170307,14.4434,14.4434,14.4434,14.4434,0
SB1,20170308,13.6116,14.3678,13.6116,14.3678,2800
SB1,20170309,13.9897,14.2922,13.2335,13.2335,6400
SB1,20170310,13.5360,13.5360,13.5360,13.5360,0
SB1,20170313,13.2335,13.6116,12.8554,13.6116,3200
SB1,20170314,12.4773,12.8554,12.4773,12.8554,3200
SB1,20170315,12.8554,12.8554,12.4773,12.4773,7100
SB1,20170316,12.0992,12.7798,12.0992,12.5529,5200
SB1,20170317,12.4017,12.4017,12.4017,12.4017,0
SB1,20170320,14.0653,14.0653,12.8554,13.6116,1800
SB1,20170321,15.6534,15.6534,15.5777,15.5777,600
SB1,20170322,13.3091,13.3091,13.3091,13.3091,1000
SB1,20170323,13.3091,13.3091,13.3091,13.3091,0
SB1,20170324,15.1240,15.2753,12.8554,13.6116,2600
SB1,20170327,13.5360,13.6116,13.2335,13.5360,10100
SB1,20170328,12.8554,12.8554,12.8554,12.8554,3300
SB1,20170329,12.8554,12.8554,12.8554,12.8554,0
SB1,20170330,12.8554,12.8554,12.8554,12.8554,3500
SB1,20170331,13.6116,13.6116,12.8554,12.8554,2200
SB1,20170403,14.3678,14.3678,12.8554,13.6116,1200
SB1,20170404,13.0823,13.0823,13.0823,13.0823,0
SB1,20170405,13.0823,13.0823,13.0823,13.0823,0
SB1,20170407,13.0823,13.0823,13.0823,13.0823,0
SB1,20170410,13.0823,13.0823,13.0823,13.0823,0
SB1,20170411,13.2335,13.6116,12.4773,12.4773,3400
SB1,20170412,13.2335,13.2335,13.2335,13.2335,0
SB1,20170413,13.2335,13.2335,13.2335,13.2335,0
SB1,20170414,13.2335,13.2335,13.2335,13.2335,0
SB1,20170417,11.3430,11.3430,11.2674,11.2674,30000
