<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SBH,20180607,22.0000,22.0000,22.0000,22.0000,0
SBH,20180608,22.0000,22.0000,22.0000,22.0000,0
SBH,20180611,22.0000,22.0000,22.0000,22.0000,0
SBH,20180612,30.0000,30.0000,30.0000,30.0000,100
SBH,20180613,30.0000,30.0000,30.0000,30.0000,7900
SBH,20180614,30.0000,30.0000,30.0000,30.0000,8100
SBH,20180615,29.5000,29.5000,29.5000,29.5000,2426
SBH,20180618,25.2000,25.2000,25.2000,25.2000,100
SBH,20180619,25.2000,25.2000,25.2000,25.2000,0
SBH,20180620,27.0000,27.0000,27.0000,27.0000,1020
SBH,20180621,27.0000,27.0000,27.0000,27.0000,1000
SBH,20180622,26.5000,26.5000,25.2000,25.2000,2600
SBH,20180625,25.8000,25.8000,25.2000,25.2000,2700
SBH,20180626,25.2000,25.2000,25.2000,25.2000,1000
SBH,20180627,25.0000,25.0000,24.4000,24.4000,1100
SBH,20180628,25.0000,25.0000,25.0000,25.0000,500
SBH,20180629,25.0000,25.0000,25.0000,25.0000,500
SBH,20180702,25.0000,25.0000,25.0000,25.0000,0
SBH,20180703,24.5000,24.5000,24.0000,24.0000,2400
SBH,20180704,24.5000,24.5000,24.5000,24.5000,1500
SBH,20180705,25.0000,25.0000,24.5000,24.5000,4000
SBH,20180706,24.3000,24.3000,24.2000,24.2000,800
SBH,20180709,24.3000,24.3000,24.3000,24.3000,306
SBH,20180710,24.2000,24.2000,24.2000,24.2000,4300
SBH,20180711,24.2000,24.2000,24.2000,24.2000,0
SBH,20180712,24.2000,24.2000,24.2000,24.2000,0
SBH,20180713,24.2000,24.2000,24.2000,24.2000,0
SBH,20180716,24.2000,24.2000,24.2000,24.2000,0
SBH,20180717,24.2000,24.2000,24.2000,24.2000,0
SBH,20180718,24.2000,24.2000,24.2000,24.2000,0
SBH,20180719,24.2000,24.2000,24.2000,24.2000,0
SBH,20180720,24.2000,24.2000,24.2000,24.2000,0
SBH,20180723,24.2000,24.2000,24.2000,24.2000,0
SBH,20180724,24.2000,24.2000,24.2000,24.2000,0
SBH,20180725,24.2000,24.2000,24.2000,24.2000,0
SBH,20180726,24.2000,24.2000,24.2000,24.2000,0
SBH,20180727,25.8000,26.7000,23.0000,23.0000,12900
SBH,20180730,26.7000,26.8000,26.7000,26.8000,2500
SBH,20180731,22.8000,22.8000,22.8000,22.8000,100
SBH,20180801,22.8000,22.8000,22.8000,22.8000,0
SBH,20180802,22.8000,22.8000,22.8000,22.8000,6
SBH,20180803,22.8000,22.8000,22.8000,22.8000,0
