<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SBL,20170123,23.8000,23.8000,23.8000,23.8000,100
SBL,20170124,27.3000,27.3000,27.3000,27.3000,100
SBL,20170125,31.3000,31.3000,31.3000,31.3000,1100
SBL,20170202,35.0000,35.0000,35.0000,35.0000,2100
SBL,20170203,35.0000,37.0000,35.0000,37.0000,7400
SBL,20170206,35.1000,35.1000,35.0000,35.0000,3300
SBL,20170207,35.0000,35.0000,35.0000,35.0000,0
SBL,20170208,30.0000,33.0000,30.0000,33.0000,700
SBL,20170209,34.0000,34.0000,27.5000,32.5000,900
SBL,20170210,33.0000,33.0000,27.3000,27.3000,700
SBL,20170213,31.5000,32.5000,31.5000,32.5000,2500
SBL,20170214,31.0000,31.0000,28.6000,28.6000,200
SBL,20170215,26.5000,30.8000,26.5000,30.8000,200
SBL,20170216,29.1000,29.1000,29.1000,29.1000,5000
SBL,20170217,29.1000,29.1000,29.1000,29.1000,1600
SBL,20170220,29.1000,29.1000,29.1000,29.1000,0
SBL,20170221,28.5000,28.5000,28.5000,28.5000,4000
SBL,20170222,28.5000,28.5000,28.5000,28.5000,0
SBL,20170223,17.9921,17.9921,17.9921,17.9921,0
SBL,20170224,17.9921,17.9921,17.9921,17.9921,0
SBL,20170227,17.9921,17.9921,17.9921,17.9921,0
SBL,20170228,17.9921,17.9921,17.9921,17.9921,0
SBL,20170301,19.6277,19.6277,19.6277,19.6277,2000
SBL,20170302,21.5905,21.5905,21.5905,21.5905,500
SBL,20170303,18.6463,21.5905,18.6463,21.5905,2200
SBL,20170306,21.2634,21.2634,21.2634,21.2634,200
SBL,20170307,21.2634,21.2634,21.2634,21.2634,200
SBL,20170308,21.2634,21.2634,21.2634,21.2634,100
SBL,20170309,21.2634,21.2634,21.2634,21.2634,0
SBL,20170310,21.2634,21.2634,21.2634,21.2634,0
SBL,20170313,21.2634,21.2634,21.2634,21.2634,0
SBL,20170314,21.2634,21.2634,21.2634,21.2634,0
SBL,20170315,21.2634,21.2634,21.2634,21.2634,0
SBL,20170316,21.8522,21.8522,18.3846,18.3846,1300
SBL,20170317,19.1697,19.1697,19.1697,19.1697,0
SBL,20170320,19.1697,19.1697,18.1884,18.1884,8400
SBL,20170321,18.3192,18.3192,18.3192,18.3192,0
SBL,20170322,17.7304,17.7304,17.7304,17.7304,1000
SBL,20170323,17.7304,17.7304,17.7304,17.7304,0
SBL,20170324,17.7304,17.7304,17.7304,17.7304,0
SBL,20170327,17.7304,17.7304,17.7304,17.7304,400
SBL,20170328,17.7304,17.7304,17.7304,17.7304,0
SBL,20170329,17.7304,17.7304,17.7304,17.7304,0
SBL,20170330,17.7304,17.7304,17.7304,17.7304,0
SBL,20170331,17.7304,17.7304,17.7304,17.7304,0
SBL,20170403,17.7304,17.7304,17.7304,17.7304,0
SBL,20170404,17.7304,17.7304,17.7304,17.7304,0
SBL,20170405,17.7304,17.7304,17.7304,17.7304,0
SBL,20170407,17.7304,17.7304,17.7304,17.7304,0
SBL,20170410,17.7304,17.7304,17.7304,17.7304,0
SBL,20170411,17.7304,17.7304,17.7304,17.7304,0
SBL,20170412,17.7304,17.7304,17.7304,17.7304,0
SBL,20170413,17.7304,17.7304,17.7304,17.7304,0
SBL,20170414,17.7304,17.7304,17.7304,17.7304,0
SBL,20170417,17.7304,17.7304,17.7304,17.7304,0
SBL,20170418,17.7304,17.7304,17.7304,17.7304,0
SBL,20170419,17.7304,17.7304,17.7304,17.7304,0
SBL,20170420,17.7304,17.7304,17.7304,17.7304,0
SBL,20170421,17.7304,17.7304,17.7304,17.7304,0
SBL,20170424,17.7304,17.7304,17.7304,17.7304,0
SBL,20170425,17.7304,17.7304,17.7304,17.7304,0
SBL,20170426,17.9921,17.9921,17.9921,17.9921,5000
SBL,20170427,17.9921,17.9921,17.9921,17.9921,2000
SBL,20170428,17.9921,17.9921,17.9921,17.9921,0
SBL,20170503,16.6836,16.6836,16.6836,16.6836,2000
SBL,20170504,16.6836,16.7490,16.6836,16.6836,3000
SBL,20170505,16.3564,16.3564,16.3564,16.3564,7500
SBL,20170508,16.3564,16.3564,16.3564,16.3564,0
SBL,20170509,16.3564,16.3564,16.3564,16.3564,0
SBL,20170510,16.3564,16.3564,16.3564,16.3564,0
SBL,20170511,15.3751,16.3564,15.3751,16.3564,3000
SBL,20170512,15.7022,15.7022,15.7022,15.7022,0
SBL,20170515,15.3751,15.3751,15.3751,15.3751,2000
SBL,20170516,15.3750,15.3750,15.3750,15.3750,0
SBL,20170517,15.3750,15.3750,15.3750,15.3750,0
SBL,20170518,15.3750,15.3750,15.3750,15.3750,0
SBL,20170519,14.0472,14.1870,13.9773,14.1870,11600
SBL,20170522,14.1171,14.1171,14.1171,14.1171,5500
SBL,20170523,14.1171,14.1171,14.1171,14.1171,0
SBL,20170524,14.6762,14.6762,14.6762,14.6762,510
SBL,20170525,14.6762,14.6762,14.6762,14.6762,0
SBL,20170526,14.6762,14.6762,14.6762,14.6762,0
SBL,20170529,14.6762,14.6762,14.6762,14.6762,10500
SBL,20170530,14.6762,14.6762,14.6762,14.6762,0
SBL,20170531,14.6762,14.6762,14.6762,14.6762,12100
SBL,20170601,14.6762,14.6762,14.6762,14.6762,0
SBL,20170602,14.6762,14.6762,14.6762,14.6762,5000
SBL,20170605,14.6762,14.6762,14.6762,14.6762,2500
SBL,20170606,14.6762,14.6762,14.6762,14.6762,500
SBL,20170607,14.6762,14.7461,14.6762,14.6762,11000
SBL,20170608,14.6762,14.6762,14.6762,14.6762,0
SBL,20170609,14.6762,14.6762,14.6762,14.6762,1000
SBL,20170612,16.4233,16.4233,16.4233,16.4233,100
SBL,20170613,14.7461,14.7461,14.6762,14.6762,9500
SBL,20170614,14.6762,14.6762,14.6762,14.6762,0
SBL,20170615,14.6762,14.6762,14.6762,14.6762,0
SBL,20170616,14.3267,14.3267,14.3267,14.3267,6600
SBL,20170619,14.3267,14.3267,14.3267,14.3267,0
SBL,20170620,14.3267,14.3267,14.3267,14.3267,0
SBL,20170621,14.4665,14.4665,14.4665,14.4665,1020
SBL,20170622,14.4665,14.4665,14.3966,14.4665,5500
SBL,20170623,14.4665,14.4665,14.4665,14.4665,0
SBL,20170626,14.4665,14.4665,14.4665,14.4665,0
SBL,20170627,14.4665,14.4665,14.4665,14.4665,0
SBL,20170628,14.4665,14.4665,14.4665,14.4665,0
SBL,20170629,13.9773,13.9773,13.9773,13.9773,3500
SBL,20170630,13.9773,14.3267,13.9773,14.3267,5700
SBL,20170703,14.2569,14.2569,14.2569,14.2569,0
SBL,20170704,14.2569,14.2569,14.2569,14.2569,0
SBL,20170705,14.2569,14.2569,14.2569,14.2569,0
SBL,20170706,14.2569,14.2569,14.2569,14.2569,0
SBL,20170707,14.2569,14.2569,14.2569,14.2569,0
SBL,20170710,14.2569,14.2569,14.2569,14.2569,0
SBL,20170711,14.2569,14.2569,14.2569,14.2569,0
SBL,20170712,14.2569,14.2569,14.2569,14.2569,0
SBL,20170713,13.9773,13.9773,13.9773,13.9773,500
SBL,20170714,13.9773,13.9773,13.9773,13.9773,10800
SBL,20170717,13.9773,14.3267,13.9773,13.9773,11900
SBL,20170718,14.0472,14.0472,14.0472,14.0472,0
SBL,20170719,13.6279,13.6279,13.6279,13.6279,12500
SBL,20170720,13.6279,13.6279,13.4182,13.4182,18400
