<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SC5,20071018,192.0000,192.0000,192.0000,192.0000,5100
SC5,20071019,201.0000,201.0000,201.0000,201.0000,16630
SC5,20071022,211.0000,211.0000,211.0000,211.0000,78970
SC5,20071023,221.0000,221.0000,221.0000,221.0000,87310
SC5,20071024,232.0000,232.0000,232.0000,232.0000,51270
SC5,20071025,243.0000,243.0000,243.0000,243.0000,76710
SC5,20071026,255.0000,255.0000,255.0000,255.0000,169820
SC5,20071029,265.0000,265.0000,250.0000,250.0000,267400
SC5,20071030,245.0000,250.0000,245.0000,245.0000,104260
SC5,20071031,234.0000,240.0000,234.0000,238.0000,110460
SC5,20071101,238.0000,241.0000,238.0000,240.0000,150260
SC5,20071102,243.0000,243.0000,237.0000,237.0000,65440
SC5,20071105,227.0000,232.0000,226.0000,226.0000,163020
SC5,20071106,217.0000,222.0000,216.0000,216.0000,250620
SC5,20071107,210.0000,215.0000,207.0000,207.0000,335550
SC5,20071108,215.0000,217.0000,214.0000,217.0000,157790
SC5,20071109,227.0000,227.0000,220.0000,227.0000,449940
SC5,20071112,220.0000,225.0000,217.0000,219.0000,106590
SC5,20071113,211.0000,213.0000,209.0000,209.0000,135850
SC5,20071114,215.0000,219.0000,213.0000,218.0000,190580
SC5,20071115,211.0000,213.0000,209.0000,213.0000,143400
SC5,20071116,211.0000,213.0000,211.0000,212.0000,105200
SC5,20071119,214.0000,214.0000,210.0000,211.0000,95140
SC5,20071120,211.0000,211.0000,208.0000,208.0000,154120
SC5,20071121,206.0000,207.0000,204.0000,207.0000,92000
SC5,20071122,208.0000,210.0000,207.0000,207.0000,73380
SC5,20071123,205.0000,207.0000,203.0000,204.0000,133090
SC5,20071126,209.0000,209.0000,206.0000,208.0000,197140
SC5,20071127,210.0000,211.0000,206.0000,206.0000,202790
SC5,20071128,206.0000,209.0000,206.0000,209.0000,125810
SC5,20071129,211.0000,211.0000,208.0000,209.0000,75880
SC5,20071130,207.0000,208.0000,207.0000,207.0000,42320
SC5,20071203,207.0000,208.0000,206.0000,207.0000,102960
SC5,20071204,209.0000,209.0000,207.0000,207.0000,123690
SC5,20071205,207.0000,207.0000,205.0000,205.0000,89100
SC5,20071206,205.0000,205.0000,204.0000,204.0000,82150
SC5,20071207,203.0000,204.0000,202.0000,203.0000,126950
SC5,20071210,200.0000,201.0000,195.0000,196.0000,132200
SC5,20071211,196.0000,196.0000,188.0000,190.0000,272030
SC5,20071212,188.0000,196.0000,188.0000,192.0000,130440
SC5,20071213,192.0000,192.0000,188.0000,188.0000,122680
SC5,20071214,186.0000,187.0000,185.0000,185.0000,89880
SC5,20071217,177.0000,179.0000,176.0000,176.0000,278070
SC5,20071218,168.0000,171.0000,168.0000,170.0000,222860
SC5,20071219,178.0000,178.0000,178.0000,178.0000,48580
SC5,20071220,186.0000,186.0000,178.0000,181.0000,230990
SC5,20071221,180.0000,185.0000,180.0000,184.0000,82260
SC5,20071224,183.0000,183.0000,180.0000,181.0000,80700
SC5,20071225,176.0000,180.0000,176.0000,178.0000,55660
SC5,20071226,179.0000,181.0000,178.0000,181.0000,78380
SC5,20071227,182.0000,182.0000,179.0000,179.0000,77300
SC5,20071228,180.0000,180.0000,179.0000,180.0000,63000
SC5,20080102,183.0000,183.0000,180.0000,180.0000,29850
SC5,20080103,180.0000,180.0000,176.0000,177.0000,38990
SC5,20080104,175.0000,177.0000,175.0000,175.0000,45910
SC5,20080107,174.0000,174.0000,168.0000,172.0000,53550
SC5,20080108,176.0000,177.0000,174.0000,174.0000,53200
SC5,20080109,174.0000,174.0000,171.0000,171.0000,58360
SC5,20080110,166.0000,167.0000,164.0000,167.0000,98610
SC5,20080111,165.0000,170.0000,165.0000,168.0000,76270
SC5,20080114,168.0000,169.0000,163.0000,163.0000,73010
SC5,20080115,157.0000,157.0000,155.0000,156.0000,95990
SC5,20080116,163.0000,163.0000,162.0000,163.0000,139920
SC5,20080117,165.0000,165.0000,157.0000,160.0000,91190
SC5,20080118,158.0000,166.0000,158.0000,165.0000,44130
SC5,20080121,165.0000,166.0000,163.0000,163.0000,93710
SC5,20080122,158.0000,160.0000,158.0000,159.0000,66030
SC5,20080123,155.0000,156.0000,152.0000,152.0000,116680
SC5,20080124,155.0000,155.0000,150.0000,150.0000,106120
SC5,20080125,146.0000,152.0000,146.0000,150.0000,64820
SC5,20080128,150.0000,150.0000,148.0000,149.0000,30710
SC5,20080129,149.0000,156.0000,149.0000,156.0000,102150
SC5,20080130,163.0000,163.0000,163.0000,163.0000,81540
SC5,20080131,163.0000,168.0000,160.0000,168.0000,130090
SC5,20080201,171.0000,173.0000,169.0000,172.0000,94830
SC5,20080212,170.0000,170.0000,164.0000,164.0000,34480
SC5,20080213,164.0000,164.0000,159.0000,159.0000,62000
SC5,20080214,160.0000,163.0000,160.0000,161.0000,62550
SC5,20080215,159.0000,161.0000,158.0000,160.0000,60590
SC5,20080218,153.0000,155.0000,152.0000,153.0000,127060
SC5,20080219,153.0000,154.0000,152.0000,153.0000,54770
SC5,20080220,150.0000,150.0000,146.0000,146.0000,112780
SC5,20080221,139.0000,139.0000,139.0000,139.0000,10710
SC5,20080222,133.0000,133.0000,133.0000,133.0000,77790
SC5,20080225,139.0000,139.0000,137.0000,139.0000,70060
SC5,20080226,133.0000,139.0000,133.0000,133.0000,56270
SC5,20080227,127.0000,133.0000,127.0000,127.0000,58700
SC5,20080228,123.0000,124.0000,121.0000,121.0000,68000
SC5,20080229,115.0000,115.0000,115.0000,115.0000,10840
SC5,20080303,110.0000,110.0000,110.0000,110.0000,5990
SC5,20080304,105.0000,105.0000,105.0000,105.0000,690
SC5,20080305,100.0000,100.0000,100.0000,100.0000,2570
SC5,20080306,105.0000,105.0000,105.0000,105.0000,184990
SC5,20080307,105.0000,110.0000,105.0000,110.0000,275950
SC5,20080310,115.0000,115.0000,105.0000,105.0000,133280
SC5,20080311,100.0000,101.0000,100.0000,100.0000,68640
SC5,20080312,96.0000,104.0000,96.0000,98.0000,81150
SC5,20080313,98.0000,100.0000,94.5000,96.5000,68140
SC5,20080314,93.0000,95.5000,92.0000,94.0000,114790
SC5,20080317,89.5000,89.5000,89.5000,89.5000,22490
SC5,20080318,85.5000,85.5000,85.5000,85.5000,2780
SC5,20080319,81.5000,84.5000,81.5000,81.5000,143720
SC5,20080320,77.5000,77.5000,77.5000,77.5000,4440
SC5,20080321,74.0000,74.0000,74.0000,74.0000,1780
SC5,20080324,70.5000,70.5000,70.5000,70.5000,1110
SC5,20080325,67.0000,67.0000,67.0000,67.0000,3630
SC5,20080326,64.0000,64.0000,64.0000,64.0000,25320
SC5,20080327,63.5000,64.5000,63.5000,64.5000,186400
SC5,20080328,65.0000,65.0000,65.0000,65.0000,28460
SC5,20080331,65.5000,65.5000,64.5000,65.5000,102550
SC5,20080401,66.0000,66.0000,66.0000,66.0000,1510
SC5,20080402,66.5000,66.5000,66.5000,66.5000,10
SC5,20080403,67.0000,67.0000,67.0000,67.0000,3280
SC5,20080404,67.5000,67.5000,67.5000,67.5000,4060
SC5,20080407,68.5000,68.5000,68.5000,68.5000,39650
SC5,20080408,67.5000,67.5000,67.5000,67.5000,86940
SC5,20080409,66.5000,66.5000,66.5000,66.5000,16400
SC5,20080410,65.5000,65.5000,65.5000,65.5000,1120
SC5,20080411,64.5000,64.5000,64.5000,64.5000,1270
SC5,20080416,63.5000,63.5000,63.5000,63.5000,4130
SC5,20080417,62.5000,62.5000,62.5000,62.5000,31140
SC5,20080418,61.5000,61.5000,61.5000,61.5000,7400
SC5,20080421,60.5000,60.5000,60.5000,60.5000,520
SC5,20080422,59.5000,59.5000,59.5000,59.5000,910
SC5,20080423,59.5000,59.5000,58.5000,58.5000,2300
SC5,20080424,57.5000,57.5000,57.5000,57.5000,2790
SC5,20080425,56.5000,56.5000,56.5000,56.5000,2950
SC5,20080428,55.5000,55.5000,55.5000,55.5000,11610
SC5,20080429,54.5000,54.5000,54.5000,54.5000,11320
SC5,20080505,54.5000,54.5000,53.5000,53.5000,510
SC5,20080506,52.5000,52.5000,52.5000,52.5000,710
SC5,20080507,51.5000,51.5000,51.5000,51.5000,5140
SC5,20080508,50.5000,50.5000,50.5000,50.5000,5810
SC5,20080509,49.5000,49.5000,49.5000,49.5000,15760
SC5,20080512,48.6000,48.6000,48.6000,48.6000,100
SC5,20080513,47.7000,47.7000,47.7000,47.7000,10
SC5,20080514,46.8000,46.8000,46.8000,46.8000,10
SC5,20080515,45.9000,45.9000,45.9000,45.9000,20
SC5,20080516,45.0000,45.0000,45.0000,45.0000,1000
SC5,20080519,44.1000,44.1000,44.1000,44.1000,5740
SC5,20080520,43.3000,43.3000,43.3000,43.3000,1000
SC5,20080521,42.5000,42.5000,42.5000,42.5000,6400
SC5,20080522,41.7000,41.7000,41.7000,41.7000,6670
SC5,20080523,40.9000,40.9000,40.9000,40.9000,1530
SC5,20080526,40.1000,40.1000,40.1000,40.1000,50
SC5,20080527,40.1000,40.1000,40.1000,40.1000,0
SC5,20080528,40.1000,40.1000,40.1000,40.1000,0
SC5,20080529,40.1000,40.1000,40.1000,40.1000,0
SC5,20080530,39.3000,39.3000,39.3000,39.3000,6710
SC5,20080602,38.6000,38.6000,38.6000,38.6000,110
SC5,20080603,37.9000,37.9000,37.9000,37.9000,30
SC5,20080604,37.2000,37.2000,37.2000,37.2000,470
SC5,20080605,37.2000,37.2000,37.2000,37.2000,0
SC5,20080606,36.5000,36.5000,36.5000,36.5000,2090
SC5,20080609,35.8000,35.8000,35.8000,35.8000,110
SC5,20080610,35.1000,35.1000,35.1000,35.1000,10
SC5,20080611,34.4000,34.4000,34.4000,34.4000,2110
SC5,20080612,33.8000,33.8000,33.8000,33.8000,8420
SC5,20080613,33.2000,33.2000,33.2000,33.2000,58710
SC5,20080616,32.6000,33.7000,32.6000,33.1000,139150
SC5,20080617,33.7000,33.7000,33.0000,33.7000,104830
SC5,20080618,33.1000,33.1000,33.1000,33.1000,36820
SC5,20080619,32.3000,32.3000,32.2000,32.2000,1820
SC5,20080620,32.2000,32.2000,31.3000,31.3000,3200
SC5,20080623,30.4000,30.4000,30.4000,30.4000,7270
SC5,20080624,29.5000,29.5000,29.5000,29.5000,39400
SC5,20080625,28.7000,30.0000,28.7000,28.8000,118290
SC5,20080626,29.6000,29.6000,28.0000,28.0000,192790
SC5,20080627,27.2000,28.8000,27.2000,28.0000,49700
SC5,20080630,27.2000,28.0000,27.2000,27.2000,89130
SC5,20080701,28.0000,28.0000,28.0000,28.0000,43000
SC5,20080702,28.8000,28.8000,28.2000,28.8000,81420
SC5,20080703,29.6000,29.6000,29.6000,29.6000,20150
SC5,20080704,30.4000,30.4000,30.4000,30.4000,17250
SC5,20080707,31.3000,31.3000,29.5000,29.5000,131120
SC5,20080708,28.7000,30.0000,28.7000,30.0000,46880
SC5,20080709,30.9000,30.9000,30.6000,30.9000,140850
SC5,20080710,31.8000,31.8000,31.8000,31.8000,58780
SC5,20080711,32.7000,32.7000,32.7000,32.7000,14400
SC5,20080714,33.6000,33.6000,33.6000,33.6000,22300
SC5,20080715,34.6000,34.6000,34.6000,34.6000,99950
SC5,20080716,9.0495,9.0495,9.0180,9.0495,240540
SC5,20080717,9.3008,9.3008,9.3008,9.3008,15100
SC5,20080718,9.5522,9.5522,9.3008,9.5522,236850
SC5,20080721,9.4265,9.4265,9.2694,9.2694,87000
SC5,20080722,9.0180,9.0180,9.0180,9.0180,1460
SC5,20080723,8.7667,8.7667,8.7667,8.7667,2200
SC5,20080724,8.5153,9.0180,8.5153,8.5467,254220
SC5,20080725,8.5467,8.7981,8.4839,8.7981,186440
SC5,20080728,9.0495,9.0495,9.0495,9.0495,35200
SC5,20080729,9.3008,9.3008,9.3008,9.3008,20400
SC5,20080730,9.5522,9.5522,9.0809,9.5522,245610
SC5,20080731,9.2694,9.7407,9.2694,9.3323,140310
SC5,20080801,9.0809,9.3008,9.0809,9.0809,72890
SC5,20080804,8.8295,8.8295,8.8295,8.8295,55890
SC5,20080805,8.5781,8.5781,8.5781,8.5781,10150
SC5,20080806,8.3268,8.8295,8.3268,8.8295,153760
SC5,20080807,9.0495,9.0495,8.6096,8.6096,69160
SC5,20080808,8.7981,8.8609,8.6410,8.8609,58700
SC5,20080811,9.1123,9.1123,9.1123,9.1123,57990
SC5,20080812,9.3637,9.3637,9.1751,9.3637,153710
SC5,20080813,9.6151,9.6151,9.3637,9.6151,181330
SC5,20080814,9.8978,9.8978,9.8978,9.8978,38580
SC5,20080815,10.1806,10.1806,10.1806,10.1806,8870
SC5,20080818,10.6834,10.6834,10.6834,10.6834,117470
SC5,20080819,11.2176,11.2176,10.9976,11.2176,430710
SC5,20080820,11.6260,11.7517,11.2176,11.7517,245040
SC5,20080821,12.3173,12.3173,12.3173,12.3173,18250
SC5,20080822,12.9143,12.9143,12.9143,12.9143,14430
SC5,20080825,13.5428,13.5428,13.5428,13.5428,100
SC5,20080826,14.2026,14.2026,14.2026,14.2026,2450
SC5,20080827,14.8939,14.8939,14.8939,14.8939,11630
SC5,20080828,15.6166,15.6166,15.6166,15.6166,252770
SC5,20080829,14.8625,16.3393,14.8625,16.3393,425240
SC5,20080903,17.1248,17.1248,17.1248,17.1248,64640
SC5,20080904,17.9104,17.9104,17.1248,17.9104,191070
SC5,20080905,17.5962,17.9104,17.1248,17.1248,153420
SC5,20080908,16.3393,16.3393,16.3393,16.3393,40260
SC5,20080909,15.5223,15.7109,15.5223,15.5223,168050
SC5,20080910,14.7682,14.7682,14.7682,14.7682,56900
SC5,20080911,14.0455,14.0455,14.0455,14.0455,4920
SC5,20080912,13.3542,13.3542,13.3542,13.3542,3540
SC5,20080915,12.6944,13.9827,12.6944,12.6944,161410
SC5,20080916,12.0659,12.0659,12.0659,12.0659,9270
SC5,20080917,11.4689,11.4689,11.4689,11.4689,2140
SC5,20080918,10.9033,10.9033,10.9033,10.9033,7460
SC5,20080919,10.6834,11.4375,10.6834,11.4375,286250
SC5,20080922,12.0031,12.0031,12.0031,12.0031,29430
SC5,20080923,11.4061,11.9403,11.4061,11.4061,153870
SC5,20080924,10.8405,10.9976,10.8405,10.8405,34190
SC5,20080925,10.3378,10.9662,10.3378,10.5263,75150
SC5,20080926,11.0290,11.0290,10.0864,10.6834,90060
SC5,20080929,10.6834,10.9348,10.3692,10.4006,82550
SC5,20080930,9.8978,9.8978,9.8978,9.8978,21220
SC5,20081001,9.7407,9.8978,9.4265,9.4265,156970
SC5,20081002,9.8036,9.8978,9.4265,9.8978,94810
SC5,20081003,9.9921,10.3692,9.8978,10.3692,136840
SC5,20081006,9.9921,10.0550,9.8664,9.8978,100440
SC5,20081007,9.4265,9.5836,9.4265,9.4265,205890
SC5,20081008,9.1123,9.4265,9.1123,9.4265,87220
SC5,20081009,8.9552,9.8036,8.9552,9.2694,117670
SC5,20081010,8.9238,9.2694,8.8295,8.8609,128860
