<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SCC,20061220,25.0000,40.0000,25.0000,27.0000,13100
SCC,20061221,29.7000,29.7000,25.8000,27.0000,19200
SCC,20061222,26.5000,26.5000,26.5000,26.5000,200
SCC,20061225,26.5000,26.5000,26.0000,26.0000,300
SCC,20061226,26.2000,26.2000,26.2000,26.2000,0
SCC,20061227,26.0000,26.0000,26.0000,26.0000,0
SCC,20061228,26.2000,26.2000,26.2000,26.2000,0
SCC,20061229,28.8000,28.8000,25.0000,25.0000,10100
SCC,20070102,25.0000,25.0000,25.0000,25.0000,0
SCC,20070103,25.5000,25.5000,25.5000,25.5000,100
SCC,20070104,25.0000,25.0000,25.0000,25.0000,100
SCC,20070105,25.0000,25.0000,25.0000,25.0000,1500
SCC,20070108,25.0000,25.0000,25.0000,25.0000,0
SCC,20070109,25.0000,25.0000,25.0000,25.0000,0
SCC,20070110,25.0000,25.0000,25.0000,25.0000,0
SCC,20070111,22.5000,25.0000,22.5000,24.5000,3000
SCC,20070112,23.0000,24.1000,23.0000,23.0000,2500
SCC,20070115,24.9000,26.0000,21.4000,25.0000,20900
SCC,20070116,27.3000,27.3000,25.0000,26.6000,14800
SCC,20070117,29.2000,29.2000,27.0000,28.0000,18900
SCC,20070118,29.0000,29.0000,27.8000,28.0000,3000
SCC,20070119,27.5000,27.5000,27.0000,27.0000,7700
SCC,20070122,27.0000,27.5000,26.0000,27.0000,19500
SCC,20070123,27.0000,27.1000,26.5000,26.5000,6000
SCC,20070124,26.0000,26.0000,26.0000,26.0000,1000
SCC,20070125,26.2000,26.2000,25.9000,26.2000,2100
SCC,20070126,26.0000,26.0000,26.0000,26.0000,1000
SCC,20070129,26.0000,26.0000,25.0000,25.0000,500
SCC,20070130,26.5000,26.5000,25.9000,25.9000,2600
SCC,20070131,26.0000,27.6000,26.0000,27.4000,18400
SCC,20070201,28.0000,29.8000,27.6000,29.0000,17800
SCC,20070202,31.1000,31.1000,28.5000,28.5000,17100
SCC,20070205,29.5000,29.5000,28.0000,29.0000,11600
SCC,20070206,29.0000,29.0000,28.5000,28.9000,10100
SCC,20070207,28.5000,29.0000,28.0000,28.4000,3400
SCC,20070208,28.2000,28.2000,28.1000,28.1000,1500
SCC,20070209,27.0000,27.0000,27.0000,27.0000,4000
SCC,20070212,26.8000,28.0000,26.8000,27.6000,2800
SCC,20070213,28.0000,28.2000,27.5000,27.5000,11100
SCC,20070214,29.0000,29.0000,28.0000,28.5000,19900
SCC,20070215,29.0000,31.1000,29.0000,31.1000,12700
SCC,20070226,33.5000,33.7000,33.5000,33.7000,11400
SCC,20070227,37.0000,37.0000,37.0000,37.0000,22100
SCC,20070228,40.7000,40.7000,40.7000,40.7000,49200
SCC,20070301,44.7000,44.7000,44.7000,44.7000,61400
SCC,20070302,49.1000,49.1000,49.1000,49.1000,54500
SCC,20070305,54.0000,54.0000,54.0000,54.0000,17200
SCC,20070306,59.4000,59.4000,59.4000,59.4000,44500
SCC,20070307,65.3000,65.3000,65.3000,65.3000,76600
SCC,20070308,71.8000,71.8000,71.7000,71.8000,62100
SCC,20070309,78.9000,78.9000,68.1000,68.1000,44900
SCC,20070312,75.0000,75.0000,67.4000,67.4000,11100
SCC,20070313,61.2000,63.0000,61.2000,61.2000,17200
SCC,20070314,40.1655,41.3667,40.1655,40.1655,13200
SCC,20070315,36.1865,36.1865,36.1865,36.1865,17300
SCC,20070316,32.5828,39.7901,32.5828,39.7901,41300
SCC,20070319,38.1384,38.1384,38.1384,38.1384,21000
SCC,20070320,41.8922,41.8922,41.8922,41.8922,86000
SCC,20070321,45.0454,46.0214,41.8922,44.5949,19400
SCC,20070322,44.2946,45.0454,40.5408,40.5408,13100
SCC,20070323,39.0393,39.1144,38.1384,38.6640,14000
SCC,20070326,35.2856,37.5378,34.7600,34.9102,9100
SCC,20070327,31.9071,33.0333,31.9071,31.9071,5500
SCC,20070328,28.9792,34.5348,28.9792,34.5348,14300
