<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SD9,20061220,45.0000,60.0000,41.0000,48.7000,14900
SD9,20061221,50.0000,50.0000,45.0000,45.0000,20500
SD9,20061222,43.2000,43.2000,43.2000,43.2000,2400
SD9,20061225,38.9000,38.9000,38.9000,38.9000,6200
SD9,20061226,35.1000,35.1000,35.1000,35.1000,6500
SD9,20061227,31.6000,31.6000,31.6000,31.6000,6000
SD9,20061228,28.5000,30.0000,28.5000,28.9000,80100
SD9,20061229,30.0000,30.5000,26.1000,27.0000,85600
SD9,20070102,29.0000,30.3000,28.5000,30.0000,43000
SD9,20070103,30.0000,32.4000,29.5000,31.1000,70700
SD9,20070104,34.2000,34.2000,32.3000,34.0000,32300
SD9,20070105,36.6000,36.6000,33.0000,34.0000,68200
SD9,20070108,34.4000,34.4000,33.4000,33.8000,41000
SD9,20070109,33.5000,33.5000,30.5000,31.5000,25500
SD9,20070110,33.0000,33.5000,31.6000,32.5000,44500
SD9,20070111,33.5000,35.0000,33.0000,34.0000,92100
SD9,20070112,35.0000,35.0000,33.0000,33.5000,42800
SD9,20070115,37.1000,37.1000,33.5000,33.5000,40800
SD9,20070116,34.5000,34.5000,32.0000,33.9000,49400
SD9,20070117,33.0000,33.2000,31.0000,32.0000,27200
SD9,20070118,31.2000,32.0000,31.0000,32.0000,35500
SD9,20070119,31.5000,33.0000,31.5000,33.0000,44200
SD9,20070122,35.5000,35.5000,32.0000,32.3000,69700
SD9,20070123,34.0000,36.0000,32.5000,32.5000,58700
SD9,20070124,34.0000,35.0000,33.0000,34.1000,133900
SD9,20070125,33.2000,35.0000,33.2000,34.6000,85200
SD9,20070126,34.5000,37.8000,34.2000,37.8000,118400
SD9,20070129,39.8000,39.8000,39.8000,39.8000,25400
SD9,20070130,43.7000,43.7000,43.7000,43.7000,43500
SD9,20070131,48.0000,48.0000,48.0000,48.0000,56900
SD9,20070201,52.8000,52.8000,52.8000,52.8000,101700
SD9,20070202,58.0000,58.0000,58.0000,58.0000,74100
SD9,20070205,63.8000,63.8000,63.8000,63.8000,21300
SD9,20070206,70.1000,70.1000,64.0000,66.5000,273700
SD9,20070207,67.0000,74.0000,65.0000,70.0000,218500
SD9,20070208,70.0000,70.0000,65.5000,67.5000,86700
SD9,20070209,65.5000,68.0000,60.9000,64.5000,44300
SD9,20070212,60.0000,67.5000,60.0000,63.7000,39600
SD9,20070213,65.0000,69.9000,65.0000,69.0000,55200
SD9,20070214,67.9000,74.6000,67.9000,73.0000,67700
SD9,20070215,74.5000,80.8000,74.5000,80.8000,86000
SD9,20070226,87.4000,87.4000,87.4000,87.4000,31400
SD9,20070227,96.1000,96.1000,96.1000,96.1000,12700
SD9,20070228,105.7000,105.7000,105.7000,105.7000,165200
SD9,20070301,116.2000,116.2000,108.2000,115.0000,145500
SD9,20070302,115.0000,120.5000,109.9000,118.0000,90700
SD9,20070305,125.9000,125.9000,115.0000,125.9000,83500
SD9,20070306,135.4000,135.4000,130.0000,133.0000,69800
SD9,20070307,128.0000,144.0000,120.0000,129.0000,46200
SD9,20070308,123.0000,125.0000,117.0000,117.0000,48800
SD9,20070309,115.0000,119.0000,110.0000,114.0000,71800
SD9,20070312,124.9000,124.9000,110.5000,116.0000,64000
SD9,20070313,120.0000,125.0000,110.0000,116.0000,81200
SD9,20070314,116.0000,117.0000,106.4000,108.0000,48400
SD9,20070315,100.8000,106.0000,100.8000,105.0000,78800
SD9,20070316,110.0000,111.8000,102.0000,111.8000,37500
SD9,20070319,120.5000,120.5000,112.0000,115.0000,47900
SD9,20070320,115.0000,118.0000,104.6000,113.0000,23000
SD9,20070321,115.0000,118.0000,111.0000,114.0000,56300
SD9,20070322,115.7000,118.0000,107.0000,109.9000,45600
SD9,20070323,124.7000,124.7000,111.5000,124.0000,112200
SD9,20070326,122.0000,133.3000,115.0000,115.0000,42800
SD9,20070327,118.0000,118.0000,109.0000,109.0000,12600
SD9,20070328,99.6000,116.0000,99.6000,116.0000,81600
SD9,20070329,110.0000,113.3000,110.0000,113.3000,16900
SD9,20070330,123.0000,123.9000,112.5000,112.5000,56800
SD9,20070402,105.7000,112.0000,105.7000,105.7000,44400
SD9,20070403,110.0000,110.0000,96.0000,100.0000,36700
SD9,20070404,95.0000,107.0000,95.0000,107.0000,26600
SD9,20070405,99.0000,108.0000,99.0000,101.0000,28700
SD9,20070406,96.0000,100.1000,96.0000,98.0000,39900
SD9,20070409,98.0000,98.5000,97.5000,98.0000,17900
SD9,20070410,107.0000,107.0000,97.0000,97.4000,21600
SD9,20070411,97.7000,97.9000,95.0000,95.0000,13200
SD9,20070412,96.0000,97.0000,88.0000,90.0000,22600
SD9,20070413,86.9000,91.0000,82.1000,82.2000,37300
SD9,20070416,79.5000,80.0000,74.7000,74.7000,26800
SD9,20070417,70.0000,83.5000,69.1000,71.5000,51100
SD9,20070418,76.0000,77.2000,72.0000,77.2000,13000
SD9,20070419,83.0000,83.0000,77.0000,77.0000,47900
SD9,20070420,76.0000,76.0000,72.8000,73.5000,23400
SD9,20070423,73.0000,73.0000,68.0000,68.7000,16700
SD9,20070424,71.0000,72.0000,70.0000,71.0000,21900
SD9,20070425,64.0000,73.5000,64.0000,73.0000,22600
SD9,20070502,73.0000,73.0000,70.5000,72.0000,5000
SD9,20070503,68.5000,72.0000,68.5000,71.5000,18600
SD9,20070504,70.0000,71.0000,69.5000,69.5000,16800
SD9,20070507,74.0000,76.8000,68.1000,73.0000,24700
SD9,20070508,75.0000,76.0000,73.0000,74.0000,30900
SD9,20070509,76.0000,76.0000,71.5000,71.9000,19800
SD9,20070510,72.0000,72.0000,70.1000,70.9000,17200
SD9,20070511,70.0000,73.1000,70.0000,73.0000,14700
SD9,20070514,72.5000,74.0000,72.0000,73.5000,38400
SD9,20070515,74.4000,74.5000,72.0000,73.0000,22100
SD9,20070516,73.5000,73.5000,71.5000,71.5000,27800
SD9,20070517,72.0000,72.5000,72.0000,72.3000,13400
SD9,20070518,72.0000,74.8000,72.0000,74.8000,42100
SD9,20070521,76.1000,81.0000,76.0000,81.0000,29600
SD9,20070522,88.4000,88.4000,88.4000,88.4000,8000
SD9,20070523,97.2000,97.2000,85.0000,93.0000,112700
SD9,20070524,92.0000,94.9000,86.8000,87.3000,30900
SD9,20070525,78.6000,93.0000,78.6000,91.0000,78000
SD9,20070528,94.0000,94.0000,87.9000,88.9000,37700
SD9,20070529,90.0000,90.5000,82.5000,85.0000,27000
SD9,20070530,84.8000,84.8000,80.1000,83.5000,40300
SD9,20070531,83.0000,84.9000,83.0000,84.1000,46300
SD9,20070601,80.0000,80.0000,75.0000,76.5000,48500
SD9,20070604,75.0000,76.3000,74.0000,74.0000,18400
SD9,20070605,75.0000,78.0000,72.0000,73.5000,20400
SD9,20070606,73.5000,75.9000,73.5000,75.9000,32500
SD9,20070607,76.0000,77.0000,75.5000,75.5000,19900
SD9,20070608,76.0000,76.5000,75.2000,75.3000,38400
SD9,20070611,74.0000,75.0000,73.0000,74.8000,6800
SD9,20070612,74.0000,74.7000,74.0000,74.0000,8100
SD9,20070613,74.3000,74.9000,73.0000,74.2000,22900
SD9,20070614,76.0000,77.0000,75.0000,76.0000,34400
SD9,20070615,76.2000,77.0000,76.0000,76.4000,22300
SD9,20070618,78.0000,78.0000,76.0000,76.4000,17200
SD9,20070619,77.0000,77.0000,75.0000,75.5000,6200
SD9,20070620,75.9000,76.4000,75.0000,75.6000,17500
SD9,20070621,75.5000,75.5000,74.0000,74.0000,15700
SD9,20070622,74.1000,75.0000,73.7000,74.0000,12900
SD9,20070625,74.5000,74.5000,72.0000,72.4000,24700
SD9,20070626,73.0000,73.0000,71.0000,71.0000,19300
SD9,20070627,73.0000,73.0000,69.0000,69.1000,14400
SD9,20070628,69.0000,69.0000,66.6000,66.6000,27900
SD9,20070629,65.0000,66.0000,62.5000,63.5000,32900
SD9,20070702,62.0000,64.0000,61.2000,62.0000,17000
SD9,20070703,47.0000,47.0000,42.3000,42.9000,19300
SD9,20070704,42.8000,47.5000,42.8000,47.5000,20200
SD9,20070705,47.0000,48.1000,45.0000,45.0000,40700
SD9,20070706,45.5000,46.5000,45.1000,46.0000,18400
SD9,20070709,46.0000,46.8000,45.0000,46.8000,16400
SD9,20070710,47.5000,48.5000,47.5000,48.4000,15700
SD9,20070711,48.0000,51.0000,48.0000,50.6000,37000
SD9,20070712,50.0000,52.5000,48.2000,49.0000,32200
SD9,20070713,49.0000,54.5000,48.0000,52.0000,39900
SD9,20070716,52.0000,52.6000,51.0000,51.9000,39600
