<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SDD,20080123,70.0000,70.0000,40.0000,49.9000,316400
SDD,20080124,50.2000,53.4000,49.2000,51.5000,286900
SDD,20080125,51.4000,52.4000,50.0000,50.0000,119100
SDD,20080128,50.0000,51.0000,47.7000,47.7000,29600
SDD,20080129,47.0000,50.2000,45.0000,48.0000,113800
SDD,20080130,49.9000,52.8000,49.9000,52.5000,214500
SDD,20080131,55.5000,55.5000,48.0000,50.0000,71300
SDD,20080201,52.0000,52.0000,50.4000,51.5000,99900
SDD,20080212,53.0000,53.0000,48.0000,49.0000,13500
SDD,20080213,48.0000,49.0000,46.9000,46.9000,40600
SDD,20080214,48.0000,49.9000,47.5000,48.0000,32700
SDD,20080215,48.7000,49.1000,46.2000,47.5000,28000
SDD,20080218,47.5000,47.5000,43.4000,44.2000,98900
SDD,20080219,44.5000,46.4000,42.1000,43.0000,76000
SDD,20080220,48.2000,48.2000,40.0000,40.7000,69700
SDD,20080221,38.1000,38.1000,37.5000,37.5000,34100
SDD,20080222,37.0000,38.0000,33.9000,36.1000,115600
SDD,20080225,35.0000,38.1000,35.0000,38.1000,66400
SDD,20080226,41.7000,41.7000,34.3000,34.3000,55600
SDD,20080227,33.1000,38.0000,33.1000,34.9000,43900
SDD,20080228,38.3000,38.3000,33.8000,34.4000,41000
SDD,20080229,35.0000,35.0000,31.6000,32.3000,55700
SDD,20080303,32.5000,33.5000,29.4000,29.4000,72600
SDD,20080304,28.0000,28.0000,27.8000,27.8000,17300
SDD,20080305,25.1000,26.1000,25.1000,25.1000,78200
SDD,20080306,27.7000,27.7000,27.7000,27.7000,9900
SDD,20080307,30.4000,30.4000,30.4000,30.4000,6000
SDD,20080310,33.4000,33.4000,28.5000,30.7000,138300
SDD,20080311,29.2000,30.0000,28.9000,28.9000,79300
SDD,20080312,28.9000,31.6000,28.0000,30.0000,59500
SDD,20080313,31.8000,32.0000,28.6000,30.2000,31200
SDD,20080314,29.0000,29.9000,28.7000,29.0000,42200
SDD,20080317,28.0000,28.7000,26.3000,26.5000,82800
SDD,20080318,24.0000,24.0000,23.9000,23.9000,65300
SDD,20080319,24.4000,26.0000,22.0000,23.5000,41300
SDD,20080320,24.5000,24.8000,22.7000,23.1000,42100
SDD,20080321,22.1000,22.5000,21.3000,21.4000,66100
SDD,20080324,20.0000,20.0000,19.5000,19.5000,25400
SDD,20080325,18.5000,18.5000,17.6000,17.6000,19500
SDD,20080326,17.6000,19.0000,16.1000,18.0000,116700
SDD,20080327,18.1000,18.1000,18.1000,18.1000,7200
SDD,20080328,18.4000,18.4000,18.4000,18.4000,9000
SDD,20080331,18.7000,18.7000,18.7000,18.7000,1000
SDD,20080401,19.0000,19.0000,19.0000,19.0000,3700
SDD,20080402,19.3000,19.3000,19.3000,19.3000,100
SDD,20080403,19.6000,19.6000,19.6000,19.6000,400
SDD,20080404,19.9000,19.9000,19.9000,19.9000,2900
SDD,20080407,20.4000,20.4000,20.4000,20.4000,1100
SDD,20080408,21.0000,21.0000,19.8000,20.8000,123000
SDD,20080409,20.8000,20.9000,19.7000,19.7000,16800
SDD,20080410,19.4000,19.4000,19.4000,19.4000,3000
SDD,20080411,18.9000,18.9000,18.9000,18.9000,800
SDD,20080416,18.4000,18.4000,18.4000,18.4000,4400
SDD,20080417,17.9000,18.9000,17.9000,18.5000,93500
SDD,20080418,18.3000,18.8000,17.8000,17.9000,25200
SDD,20080421,17.7000,17.7000,17.5000,17.5000,5700
SDD,20080422,17.0000,17.0000,17.0000,17.0000,4700
SDD,20080423,16.5000,16.5000,16.5000,16.5000,1300
SDD,20080424,16.1000,16.7000,16.1000,16.1000,72400
SDD,20080425,16.0000,16.2000,15.8000,16.1000,34700
SDD,20080428,15.8000,16.3000,15.7000,16.3000,39000
SDD,20080429,16.3000,16.5000,16.0000,16.0000,27700
SDD,20080505,15.9000,15.9000,15.9000,15.9000,12300
SDD,20080506,15.5000,15.5000,15.5000,15.5000,200
SDD,20080507,15.1000,15.1000,15.1000,15.1000,700
SDD,20080508,14.7000,14.7000,14.7000,14.7000,1700
SDD,20080509,14.3000,14.3000,14.3000,14.3000,500
SDD,20080512,13.9000,13.9000,13.9000,13.9000,100
SDD,20080513,13.5000,13.5000,13.5000,13.5000,100
SDD,20080514,13.1000,13.1000,13.1000,13.1000,500
SDD,20080515,12.8000,12.8000,12.8000,12.8000,1100
SDD,20080516,12.5000,13.1000,12.5000,12.5000,19500
SDD,20080519,12.3000,12.3000,12.3000,12.3000,2100
SDD,20080520,12.0000,12.0000,12.0000,12.0000,200
SDD,20080521,11.7000,11.7000,11.7000,11.7000,300
SDD,20080522,11.4000,11.4000,11.4000,11.4000,100
SDD,20080523,11.1000,11.1000,11.1000,11.1000,600
SDD,20080526,11.1000,11.1000,11.1000,11.1000,0
SDD,20080527,10.8000,10.8000,10.8000,10.8000,100
SDD,20080528,10.5000,10.5000,10.5000,10.5000,14800
SDD,20080529,10.2000,10.8000,10.2000,10.2000,47900
SDD,20080530,10.1000,10.1000,9.9000,9.9000,13800
SDD,20080602,9.7000,9.7000,9.7000,9.7000,3300
SDD,20080603,9.5000,9.5000,9.5000,9.5000,2600
SDD,20080604,9.3000,9.3000,9.3000,9.3000,3600
SDD,20080605,9.1000,9.1000,9.1000,9.1000,700
SDD,20080606,8.9000,8.9000,8.9000,8.9000,1800
SDD,20080609,8.7000,8.7000,8.7000,8.7000,1400
SDD,20080610,8.5000,8.9000,8.5000,8.9000,52700
SDD,20080611,8.9000,8.9000,8.7000,8.9000,37800
SDD,20080612,9.1000,9.1000,9.1000,9.1000,2900
SDD,20080613,9.3000,9.3000,9.3000,9.3000,6000
SDD,20080616,9.5000,9.5000,9.5000,9.5000,12900
SDD,20080617,9.7000,9.7000,9.7000,9.7000,6000
SDD,20080618,9.9000,9.9000,9.5000,9.5000,52700
SDD,20080619,9.5000,9.5000,9.5000,9.5000,1500
SDD,20080620,9.2000,9.2000,9.2000,9.2000,13700
SDD,20080623,8.9000,9.5000,8.9000,9.5000,73500
SDD,20080624,9.7000,9.7000,9.4000,9.7000,49800
SDD,20080625,9.9000,9.9000,9.7000,9.9000,43500
