<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SDI,20110616,12.2276,12.2276,12.2276,12.2276,500
SDI,20110617,12.7834,12.7834,12.7834,12.7834,1000
SDI,20110620,12.7834,12.7834,12.7834,12.7834,0
SDI,20110621,12.7834,12.7834,12.7834,12.7834,0
SDI,20110622,12.7834,12.7834,12.7834,12.7834,0
SDI,20110623,12.7834,12.7834,12.7834,12.7834,0
SDI,20110624,12.7834,12.7834,12.7834,12.7834,0
SDI,20110627,13.3392,13.3392,13.3392,13.3392,1000
SDI,20110628,13.3392,13.3392,13.3392,13.3392,400
SDI,20110629,14.3026,14.3026,14.3026,14.3026,2000
SDI,20110630,14.3026,14.3026,14.3026,14.3026,0
SDI,20110701,14.3026,14.3026,14.3026,14.3026,0
SDI,20110704,14.3026,14.3026,14.3026,14.3026,0
SDI,20110705,14.3026,14.3026,14.3026,14.3026,0
SDI,20110706,14.3026,14.3026,14.3026,14.3026,0
SDI,20110707,14.3026,14.3026,14.3026,14.3026,0
SDI,20110708,14.3026,14.3026,14.3026,14.3026,0
SDI,20110711,14.3026,14.3026,14.3026,14.3026,0
SDI,20110712,14.3026,14.3026,14.3026,14.3026,0
SDI,20110713,14.3026,14.3026,14.3026,14.3026,0
SDI,20110714,14.3026,14.3026,14.3026,14.3026,0
SDI,20110715,14.3026,14.3026,14.3026,14.3026,0
SDI,20110718,14.3026,14.3026,14.3026,14.3026,0
SDI,20110719,14.3026,14.3026,14.3026,14.3026,0
SDI,20110720,14.3026,14.3026,14.3026,14.3026,0
SDI,20110721,14.3026,14.3026,14.3026,14.3026,0
SDI,20110722,14.3026,14.3026,14.3026,14.3026,0
SDI,20110725,14.3026,14.3026,14.3026,14.3026,0
SDI,20110726,14.3026,14.3026,14.3026,14.3026,0
SDI,20110727,14.3026,14.3026,14.3026,14.3026,0
SDI,20110728,14.3026,14.3026,14.3026,14.3026,0
SDI,20110729,14.3026,14.3026,14.3026,14.3026,0
SDI,20110801,14.3026,14.3026,14.3026,14.3026,0
SDI,20110802,14.3026,14.3026,14.3026,14.3026,0
SDI,20110803,14.3026,14.3026,14.3026,14.3026,0
SDI,20110804,14.3026,14.3026,14.3026,14.3026,0
SDI,20110805,14.3026,14.3026,14.3026,14.3026,0
SDI,20110808,14.3026,14.3026,14.3026,14.3026,0
SDI,20110809,14.3026,14.3026,14.3026,14.3026,0
SDI,20110810,14.3026,14.3026,14.3026,14.3026,0
SDI,20110811,14.3026,14.3026,14.3026,14.3026,0
SDI,20110812,14.3026,14.3026,14.3026,14.3026,0
SDI,20110815,14.3026,14.3026,14.3026,14.3026,0
SDI,20110816,14.3026,14.3026,14.3026,14.3026,0
SDI,20110817,14.3026,14.3026,14.3026,14.3026,0
SDI,20110818,14.3026,14.3026,14.3026,14.3026,0
SDI,20110819,14.3026,14.3026,14.3026,14.3026,0
SDI,20110822,14.3026,14.3026,14.3026,14.3026,0
SDI,20110823,14.3026,14.3026,14.3026,14.3026,0
SDI,20110824,14.3026,14.3026,14.3026,14.3026,0
SDI,20110825,14.3026,14.3026,14.3026,14.3026,0
SDI,20110826,14.3026,14.3026,14.3026,14.3026,0
SDI,20110829,14.3026,14.3026,14.3026,14.3026,0
SDI,20110830,14.3026,14.3026,14.3026,14.3026,0
SDI,20110831,14.3026,14.3026,14.3026,14.3026,0
SDI,20110901,14.3026,14.3026,14.3026,14.3026,0
SDI,20110905,14.3026,14.3026,14.3026,14.3026,0
SDI,20110906,14.3026,14.3026,14.3026,14.3026,0
