<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SEB,20090114,1.7684,1.9073,1.7684,1.8947,15400
SEB,20090115,1.8821,1.8821,1.8820,1.8820,0
SEB,20090116,1.9073,1.9073,1.8820,1.8820,7000
SEB,20090119,1.7683,1.7683,1.7683,1.7683,10900
SEB,20090120,1.7683,1.7683,1.7683,1.7683,0
SEB,20090121,1.7683,1.7683,1.7683,1.7683,600
SEB,20090122,1.7683,1.7810,1.7683,1.7810,10800
SEB,20090123,1.7684,1.8063,1.7684,1.7936,3300
SEB,20090202,1.7683,1.7683,1.7683,1.7683,500
SEB,20090203,1.7683,1.7683,1.7683,1.7683,4300
SEB,20090204,1.7683,1.7683,1.7683,1.7683,0
SEB,20090205,1.7683,1.7683,1.7683,1.7683,0
SEB,20090206,1.8441,1.8441,1.6673,1.6799,16500
SEB,20090209,1.7052,1.7810,1.6799,1.7810,2800
SEB,20090210,1.5789,1.6042,1.5789,1.5789,15200
SEB,20090211,1.6799,1.6799,1.6799,1.6799,100
SEB,20090212,1.5662,1.6420,1.5662,1.5662,8100
SEB,20090213,1.5788,1.5789,1.5536,1.5789,7500
SEB,20090216,1.6673,1.6673,1.6673,1.6673,100
SEB,20090217,1.5789,1.6168,1.5789,1.5915,7000
SEB,20090218,1.6041,1.6041,1.6041,1.6041,100
SEB,20090219,1.5915,1.5915,1.5788,1.5789,6000
SEB,20090220,1.5536,1.5915,1.5536,1.5789,6900
SEB,20090223,1.5789,1.5789,1.5536,1.5662,6500
SEB,20090224,1.5662,1.5662,1.5409,1.5536,9000
SEB,20090225,1.5536,1.5536,1.5536,1.5536,3000
SEB,20090226,1.5536,1.5789,1.5536,1.5789,4800
SEB,20090227,1.5915,1.5915,1.5915,1.5915,4100
SEB,20090302,1.5915,1.6041,1.5915,1.5915,7000
SEB,20090303,1.5915,1.5915,1.5915,1.5915,1800
SEB,20090304,1.6041,1.6041,1.5789,1.5789,6500
SEB,20090305,1.5915,1.5915,1.5915,1.5915,3000
SEB,20090306,1.6673,1.6673,1.6041,1.6041,3500
