<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SEP,20170206,10.0000,10.0000,10.0000,10.0000,0
SEP,20170207,10.0000,10.0000,10.0000,10.0000,0
SEP,20170208,10.0000,10.0000,10.0000,10.0000,0
SEP,20170209,10.0000,10.0000,10.0000,10.0000,0
SEP,20170210,10.0000,10.0000,10.0000,10.0000,0
SEP,20170213,10.0000,10.0000,10.0000,10.0000,0
SEP,20170214,10.0000,10.0000,10.0000,10.0000,0
SEP,20170215,10.0000,10.0000,10.0000,10.0000,0
SEP,20170216,10.0000,10.0000,10.0000,10.0000,0
SEP,20170217,10.0000,10.0000,10.0000,10.0000,0
SEP,20170220,10.0000,10.0000,10.0000,10.0000,0
SEP,20170221,10.0000,10.0000,10.0000,10.0000,0
SEP,20170222,10.0000,10.0000,10.0000,10.0000,0
SEP,20170223,10.0000,10.0000,10.0000,10.0000,0
SEP,20170224,10.0000,10.0000,10.0000,10.0000,0
SEP,20170227,10.0000,10.0000,10.0000,10.0000,0
SEP,20170228,10.0000,10.0000,10.0000,10.0000,0
SEP,20170301,10.0000,10.0000,10.0000,10.0000,0
SEP,20170302,10.0000,10.0000,10.0000,10.0000,0
SEP,20170303,10.0000,10.0000,10.0000,10.0000,0
SEP,20170306,10.0000,10.0000,10.0000,10.0000,0
SEP,20170307,10.0000,10.0000,10.0000,10.0000,0
SEP,20170308,10.0000,10.0000,10.0000,10.0000,0
SEP,20170309,10.0000,10.0000,10.0000,10.0000,0
SEP,20170310,10.0000,10.0000,10.0000,10.0000,0
SEP,20170313,10.0000,10.0000,10.0000,10.0000,0
SEP,20170314,10.0000,10.0000,10.0000,10.0000,0
SEP,20170315,10.0000,10.0000,10.0000,10.0000,0
SEP,20170316,10.0000,10.0000,10.0000,10.0000,0
SEP,20170317,10.0000,10.0000,10.0000,10.0000,0
SEP,20170320,10.0000,10.0000,10.0000,10.0000,0
SEP,20170321,10.0000,10.0000,10.0000,10.0000,0
SEP,20170322,10.0000,10.0000,10.0000,10.0000,0
SEP,20170323,10.0000,10.0000,10.0000,10.0000,0
SEP,20170324,10.0000,10.0000,10.0000,10.0000,0
SEP,20170327,10.0000,10.0000,10.0000,10.0000,0
SEP,20170328,10.0000,10.0000,10.0000,10.0000,0
SEP,20170329,10.0000,10.0000,10.0000,10.0000,0
SEP,20170330,10.0000,10.0000,10.0000,10.0000,0
SEP,20170331,10.0000,10.0000,10.0000,10.0000,0
SEP,20170403,10.0000,10.0000,10.0000,10.0000,0
SEP,20170404,10.0000,10.0000,10.0000,10.0000,0
SEP,20170405,10.0000,10.0000,10.0000,10.0000,0
SEP,20170407,10.0000,10.0000,10.0000,10.0000,0
SEP,20170410,10.0000,10.0000,10.0000,10.0000,0
SEP,20170411,10.0000,10.0000,10.0000,10.0000,0
SEP,20170412,10.0000,10.0000,10.0000,10.0000,0
SEP,20170413,10.0000,10.0000,10.0000,10.0000,0
SEP,20170414,10.0000,10.0000,10.0000,10.0000,0
SEP,20170417,10.0000,10.0000,10.0000,10.0000,0
SEP,20170418,10.0000,10.0000,10.0000,10.0000,0
SEP,20170419,10.0000,10.0000,10.0000,10.0000,0
SEP,20170420,10.0000,10.0000,10.0000,10.0000,0
SEP,20170421,10.0000,10.0000,10.0000,10.0000,0
SEP,20170424,10.0000,10.0000,10.0000,10.0000,0
SEP,20170425,10.0000,10.0000,10.0000,10.0000,0
SEP,20170426,10.0000,10.0000,10.0000,10.0000,0
SEP,20170427,10.0000,10.0000,10.0000,10.0000,0
SEP,20170428,10.0000,10.0000,10.0000,10.0000,0
SEP,20170503,10.0000,10.0000,10.0000,10.0000,0
SEP,20170504,10.0000,10.0000,10.0000,10.0000,0
SEP,20170505,10.0000,10.0000,10.0000,10.0000,0
SEP,20170508,10.0000,10.0000,10.0000,10.0000,0
SEP,20170509,10.0000,10.0000,10.0000,10.0000,0
SEP,20170510,10.0000,10.0000,10.0000,10.0000,0
SEP,20170511,10.0000,10.0000,10.0000,10.0000,0
SEP,20170512,10.0000,10.0000,10.0000,10.0000,0
SEP,20170515,10.0000,10.0000,10.0000,10.0000,0
SEP,20170516,10.0000,10.0000,10.0000,10.0000,0
SEP,20170517,10.0000,10.0000,10.0000,10.0000,0
SEP,20170518,10.0000,10.0000,10.0000,10.0000,0
SEP,20170519,10.0000,10.0000,10.0000,10.0000,0
SEP,20170522,10.0000,10.0000,10.0000,10.0000,0
SEP,20170523,10.0000,10.0000,10.0000,10.0000,0
SEP,20170524,10.0000,10.0000,10.0000,10.0000,0
SEP,20170525,10.0000,10.0000,10.0000,10.0000,0
SEP,20170526,10.0000,10.0000,10.0000,10.0000,0
SEP,20170529,10.0000,10.0000,10.0000,10.0000,0
SEP,20170530,10.0000,10.0000,10.0000,10.0000,0
SEP,20170531,10.0000,10.0000,10.0000,10.0000,0
SEP,20170601,10.0000,10.0000,10.0000,10.0000,0
SEP,20170602,10.0000,10.0000,10.0000,10.0000,0
SEP,20170605,10.0000,10.0000,10.0000,10.0000,0
SEP,20170606,10.0000,10.0000,10.0000,10.0000,0
SEP,20170607,10.0000,10.0000,10.0000,10.0000,0
SEP,20170608,10.0000,10.0000,10.0000,10.0000,0
SEP,20170609,10.0000,10.0000,10.0000,10.0000,0
SEP,20170612,10.0000,10.0000,10.0000,10.0000,0
SEP,20170613,10.0000,10.0000,10.0000,10.0000,0
SEP,20170614,10.0000,10.0000,10.0000,10.0000,0
SEP,20170615,10.0000,10.0000,10.0000,10.0000,0
SEP,20170616,10.0000,10.0000,10.0000,10.0000,0
SEP,20170619,10.0000,10.0000,10.0000,10.0000,0
SEP,20170620,10.0000,10.0000,10.0000,10.0000,0
SEP,20170621,10.0000,10.0000,10.0000,10.0000,0
SEP,20170622,10.0000,10.0000,10.0000,10.0000,0
SEP,20170623,10.0000,10.0000,10.0000,10.0000,0
SEP,20170626,10.0000,10.0000,10.0000,10.0000,1000
SEP,20170627,10.0000,10.0000,10.0000,10.0000,0
SEP,20170628,10.0000,10.0000,10.0000,10.0000,0
SEP,20170629,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20170630,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20170703,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20170704,-1.5092,-1.5092,-1.5092,-1.5092,100
SEP,20170705,-1.5092,-1.5092,-1.5092,-1.5092,0
SEP,20170706,-1.5092,-1.5092,-1.5092,-1.5092,0
SEP,20170707,-1.5092,-1.5092,-1.5092,-1.5092,0
SEP,20170710,-1.5092,-1.5092,-1.5092,-1.5092,0
SEP,20170711,-1.5092,-1.5092,-1.5092,-1.5092,0
SEP,20170712,-1.5092,-1.5092,-1.5092,-1.5092,0
SEP,20170713,-1.5092,-1.5092,-1.5092,-1.5092,0
SEP,20170714,-1.5092,-1.5092,-1.5092,-1.5092,0
SEP,20170717,-1.5092,-1.5092,-1.5092,-1.5092,0
SEP,20170718,-1.5092,-1.5092,-1.5092,-1.5092,0
SEP,20170719,-1.5092,-1.5092,-1.5092,-1.5092,0
SEP,20170720,-1.7328,-1.7328,-1.7328,-1.7328,500
SEP,20170721,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170724,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170725,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170726,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170727,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170728,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170731,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170801,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170802,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170803,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170804,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170807,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170808,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170809,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170810,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170811,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170814,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170815,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170816,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170817,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170818,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170821,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170822,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170823,-1.7328,-1.7328,-1.7328,-1.7328,0
SEP,20170824,-1.4906,-1.4906,-1.4906,-1.4906,800
SEP,20170825,-1.4906,-1.4906,-1.4906,-1.4906,2000
SEP,20170828,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170829,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170830,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170831,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170901,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170905,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170906,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170907,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170908,-1.4906,-1.4906,-1.4906,-1.4906,2900
SEP,20170911,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170912,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170913,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170914,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170915,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170918,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170919,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170920,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170921,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170922,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170925,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170926,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170927,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170928,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20170929,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171002,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171003,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171004,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171005,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171006,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171009,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171010,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171011,-1.3974,-1.3974,-1.3974,-1.3974,200
SEP,20171012,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171013,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171016,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171017,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171018,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171019,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171020,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171023,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171024,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171025,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171026,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171027,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171030,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171031,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171101,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171102,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171103,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171106,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171107,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171108,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171109,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171110,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171113,-1.3974,-1.3974,-1.3974,-1.3974,700
SEP,20171114,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171115,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171116,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171117,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171120,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171121,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171122,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171123,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171124,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171127,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171128,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171129,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171130,-1.3974,-1.3974,-1.3974,-1.3974,0
SEP,20171201,-1.4906,-1.4906,-1.4906,-1.4906,300
SEP,20171204,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171205,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171206,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171207,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171208,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171211,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171212,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171213,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171214,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20171215,-1.6769,-1.6769,-1.6769,-1.6769,100
SEP,20171218,-1.4347,-1.4347,-1.4347,-1.4347,1800
SEP,20171219,-1.4533,-1.4533,-1.4533,-1.4533,0
SEP,20171220,-1.6583,-1.6583,-1.6583,-1.6583,100
SEP,20171221,-1.6583,-1.6583,-1.6583,-1.6583,0
SEP,20171222,-1.6583,-1.6583,-1.6583,-1.6583,0
SEP,20171225,-1.6583,-1.6583,-1.6583,-1.6583,0
SEP,20171226,-1.6583,-1.6583,-1.6583,-1.6583,0
SEP,20171227,-1.6583,-1.6583,-1.6583,-1.6583,0
SEP,20171228,-1.6583,-1.6583,-1.6583,-1.6583,0
SEP,20171229,-1.6583,-1.6583,-1.6583,-1.6583,0
SEP,20180102,-1.6583,-1.6583,-1.6583,-1.6583,0
SEP,20180103,-1.6583,-1.6583,-1.6583,-1.6583,0
SEP,20180104,-1.6583,-1.6583,-1.6583,-1.6583,0
SEP,20180105,-1.5837,-1.5837,-1.5837,-1.5837,1100
SEP,20180108,-1.4906,-1.4906,-1.4906,-1.4906,0
SEP,20180109,-1.5837,-1.5837,-1.5837,-1.5837,100
SEP,20180110,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180111,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180112,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180115,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180116,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180117,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180118,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180119,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180122,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180123,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180124,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180125,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180126,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180129,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180130,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180131,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180201,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180202,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180205,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180206,-1.5837,-1.5837,-1.5837,-1.5837,0
SEP,20180207,-1.8073,-1.8073,-1.8073,-1.8073,100
SEP,20180208,-1.7701,-1.7701,-1.7701,-1.7701,100
SEP,20180209,-1.6769,-1.6769,-1.6769,-1.6769,100
SEP,20180212,-1.6769,-1.6769,-1.6769,-1.6769,0
SEP,20180213,-1.6955,-1.6955,-1.6955,-1.6955,100
SEP,20180221,-1.6955,-1.6955,-1.6955,-1.6955,0
SEP,20180222,-1.6955,-1.6955,-1.6955,-1.6955,0
