<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SFI,20061229,4.1612,4.1612,4.1612,4.1612,7160
SFI,20070102,4.3503,4.3504,4.3503,4.3504,64360
SFI,20070103,4.5395,4.5395,4.5395,4.5395,37390
SFI,20070104,4.7665,4.7665,4.7665,4.7665,8640
SFI,20070105,4.9935,4.9935,4.9935,4.9935,14300
SFI,20070108,5.2205,5.2205,5.2204,5.2204,39820
SFI,20070109,5.4474,5.4474,5.4474,5.4474,29980
SFI,20070110,5.7122,5.7122,5.7122,5.7122,84400
SFI,20070111,5.9770,5.9770,5.9770,5.9770,27130
SFI,20070112,6.2418,6.2418,6.2418,6.2418,9240
SFI,20070115,6.2418,6.2418,5.9392,6.0527,37480
SFI,20070116,6.0527,6.0527,5.9770,5.9770,51300
SFI,20070117,5.9770,5.9770,5.7122,5.7122,80570
SFI,20070118,5.7122,5.9770,5.7122,5.9770,32210
SFI,20070119,6.2418,6.2418,6.2418,6.2418,51630
SFI,20070122,6.2418,6.2418,5.9392,5.9392,35520
SFI,20070123,5.8635,6.0527,5.8635,6.0527,35930
SFI,20070124,6.3175,6.3175,6.0148,6.0148,21890
SFI,20070125,6.0148,6.0148,6.0148,6.0148,14570
SFI,20070126,1.9482,6.0527,1.9482,6.0527,11680
SFI,20070129,6.3175,6.3175,6.2418,6.3175,40800
SFI,20070130,6.6201,6.6201,6.6201,6.6201,14690
SFI,20070131,6.9227,6.9227,6.9227,6.9227,31200
SFI,20070201,7.2632,7.2632,6.9227,6.9227,44280
SFI,20070202,6.5822,6.5823,6.5822,6.5823,34710
SFI,20070205,6.4310,6.5823,6.4310,6.4310,34540
SFI,20070206,6.4310,6.5067,6.4310,6.4310,22960
SFI,20070207,6.7336,6.7336,6.6580,6.7336,22330
SFI,20070208,6.4310,7.0362,6.4310,6.4310,23870
SFI,20070209,6.4310,6.4310,6.1284,6.4310,35230
SFI,20070212,6.7336,6.7336,6.7336,6.7336,18460
SFI,20070213,7.0362,7.0362,7.0362,7.0362,26880
SFI,20070214,7.3767,7.3767,7.3767,7.3767,32940
SFI,20070215,7.7172,7.7172,7.7172,7.7172,35030
SFI,20070226,8.0974,8.0974,7.9833,8.0971,7910
SFI,20070227,8.4772,8.4773,8.4012,8.4773,7260
SFI,20070228,8.8955,8.8955,8.8954,8.8954,28120
SFI,20070301,8.5913,9.3136,8.5913,8.5913,28130
SFI,20070302,8.5913,8.7434,8.5913,8.7434,18840
SFI,20070305,9.1616,9.1616,9.1615,9.1615,31750
SFI,20070306,9.1615,9.1615,9.1615,9.1615,13730
SFI,20070307,9.1615,9.1615,8.7053,8.7053,1930
SFI,20070308,8.3632,8.3632,8.2871,8.2872,7990
SFI,20070309,8.2872,8.2872,8.2872,8.2872,18240
SFI,20070312,8.6673,8.6673,8.6673,8.6673,17190
SFI,20070313,8.2491,8.6673,8.2491,8.2492,8030
SFI,20070314,7.8691,7.8691,7.8690,7.8690,9410
SFI,20070315,7.5649,7.5649,7.4889,7.4889,10410
SFI,20070316,7.1468,7.8310,7.1468,7.8310,13660
SFI,20070319,8.1731,8.1731,7.4889,7.4889,13290
SFI,20070320,7.6029,7.7550,7.4889,7.4889,17740
SFI,20070321,7.4129,7.4129,7.2228,7.4128,12770
SFI,20070322,7.2607,7.4128,7.2607,7.4128,16850
SFI,20070323,7.4128,7.4128,7.4128,7.4128,10440
SFI,20070326,7.4128,7.4889,7.4128,7.4889,28370
SFI,20070327,7.4129,7.4129,7.1467,7.1467,8120
SFI,20070328,6.8046,6.8426,6.8046,6.8426,10560
SFI,20070329,7.1847,7.1848,7.1847,7.1848,12450
SFI,20070330,7.4889,7.4889,7.1848,7.1848,17100
SFI,20070402,7.1848,7.1848,6.8426,6.8426,13540
SFI,20070403,6.6525,6.8426,6.6525,6.8426,6360
SFI,20070404,6.8046,6.8046,6.6525,6.6526,15740
SFI,20070405,6.8047,6.8427,6.7286,6.7286,8330
SFI,20070406,6.4245,6.4625,6.4245,6.4625,13840
SFI,20070409,6.6146,6.6146,6.4245,6.4245,4080
SFI,20070410,6.6526,6.7286,6.6526,6.7286,22280
SFI,20070411,7.0327,7.0327,7.0327,7.0327,58180
SFI,20070412,7.3748,7.3748,6.9187,6.9187,88270
SFI,20070413,6.9187,6.9947,6.9187,6.9947,11840
SFI,20070416,6.6526,6.6526,6.6526,6.6526,9220
SFI,20070417,6.3485,6.6526,6.3485,6.4625,17990
SFI,20070418,6.6526,6.7666,6.6526,6.7666,5520
SFI,20070419,6.9567,6.9567,6.4625,6.4625,22980
SFI,20070420,6.4625,6.5765,6.4625,6.5765,8460
SFI,20070423,6.5765,6.5765,6.4625,6.4625,12630
SFI,20070424,6.2724,6.3104,6.2724,6.3104,17300
SFI,20070425,6.4625,6.5765,6.4625,6.5385,15390
SFI,20070502,6.7286,6.7286,6.5385,6.5385,1420
SFI,20070503,6.4625,6.4625,6.4625,6.4625,2380
SFI,20070504,6.4625,6.4625,6.1584,6.1584,30680
SFI,20070507,6.1584,6.4625,6.1584,6.4625,12480
SFI,20070508,6.5385,6.6526,6.5385,6.6526,17450
SFI,20070509,6.6526,6.6526,6.5385,6.5385,12700
SFI,20070510,6.3484,6.5385,6.3484,6.3484,18560
SFI,20070511,6.6525,6.6526,6.5005,6.6526,22230
SFI,20070514,6.8427,6.8427,6.8426,6.8426,29260
SFI,20070515,7.1087,7.1087,6.8806,6.8806,38720
SFI,20070516,7.0327,7.0327,6.8806,6.8806,24550
SFI,20070517,6.8046,6.9947,6.8046,6.9947,14160
SFI,20070518,7.1087,7.3368,7.1087,7.3368,46300
SFI,20070521,7.6789,7.6789,7.6789,7.6789,7560
SFI,20070522,8.0590,8.0591,8.0590,8.0591,7370
SFI,20070523,8.4392,8.4392,8.4392,8.4392,12290
SFI,20070524,8.4392,8.8574,8.4392,8.4392,111820
SFI,20070525,8.8574,8.8574,8.7433,8.8574,86770
SFI,20070528,8.6673,8.8574,8.6673,8.8574,55880
SFI,20070529,8.8574,8.8574,8.4773,8.4773,34400
SFI,20070530,8.3633,8.3633,8.0971,8.0971,43940
SFI,20070531,8.3632,8.4773,8.3632,8.4773,26970
SFI,20070601,8.6674,8.6674,8.4773,8.4773,55170
SFI,20070604,8.3633,8.3633,8.3252,8.3252,19650
SFI,20070605,8.0591,8.0591,7.9450,7.9450,32970
SFI,20070606,7.9070,8.0971,7.9070,8.0971,26520
SFI,20070607,8.3632,8.3632,8.2111,8.2872,22970
SFI,20070608,8.2872,8.2872,8.0591,8.0591,17990
SFI,20070611,7.8310,7.9831,7.8310,7.9831,49080
SFI,20070612,7.9831,8.1352,7.9831,8.1351,22040
SFI,20070613,8.1351,8.1351,8.0971,8.1351,11350
SFI,20070614,8.2491,8.2491,8.1351,8.1351,6530
SFI,20070615,8.1351,8.1351,8.0591,8.0591,12740
SFI,20070618,8.0591,8.0591,7.9831,7.9831,14960
SFI,20070619,7.9071,7.9831,7.9070,7.9070,26230
SFI,20070620,7.9070,7.9831,7.9070,7.9831,11830
