<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SFN,20061228,101.0000,101.0000,101.0000,101.0000,10
SFN,20061229,101.0000,101.0000,101.0000,101.0000,0
SFN,20070102,101.0000,101.0000,101.0000,101.0000,0
SFN,20070103,96.0000,96.0000,96.0000,96.0000,10
SFN,20070104,96.0000,96.0000,96.0000,96.0000,10
SFN,20070105,96.0000,96.0000,96.0000,96.0000,10
SFN,20070108,92.0000,92.0000,92.0000,92.0000,10
SFN,20070109,87.5000,87.5000,87.5000,87.5000,10
SFN,20070110,87.5000,87.5000,87.5000,87.5000,10
SFN,20070111,87.5000,87.5000,87.5000,87.5000,100
SFN,20070112,87.5000,87.5000,87.5000,87.5000,100
SFN,20070115,83.5000,83.5000,83.5000,83.5000,10
SFN,20070116,83.5000,83.5000,83.5000,83.5000,0
SFN,20070117,83.5000,83.5000,83.5000,83.5000,0
SFN,20070118,79.5000,79.5000,79.5000,79.5000,10
SFN,20070119,76.0000,76.0000,76.0000,76.0000,620
SFN,20070122,76.0000,76.0000,76.0000,76.0000,0
SFN,20070123,72.5000,72.5000,72.5000,72.5000,410
SFN,20070124,69.0000,69.0000,69.0000,69.0000,10
SFN,20070125,66.0000,66.0000,66.0000,66.0000,400
SFN,20070126,159.0000,159.0000,63.0000,63.0000,60
SFN,20070129,60.0000,63.0000,60.0000,60.0000,2310
SFN,20070130,60.0000,63.0000,60.0000,60.0000,2310
SFN,20070131,54.5000,54.5000,54.5000,54.5000,1500
SFN,20070201,52.0000,52.0000,52.0000,52.0000,2220
SFN,20070202,49.4000,49.4000,49.4000,49.4000,1440
SFN,20070205,47.0000,47.0000,47.0000,47.0000,2750
SFN,20070206,48.7000,48.7000,44.7000,48.7000,37030
SFN,20070207,48.5000,48.7000,48.5000,48.5000,43700
SFN,20070208,46.5000,47.0000,46.5000,46.5000,5130
SFN,20070209,44.2000,44.2000,44.2000,44.2000,17570
SFN,20070212,42.5000,42.5000,42.0000,42.0000,16870
SFN,20070213,42.0000,42.0000,42.0000,42.0000,18000
SFN,20070214,44.1000,44.1000,42.5000,44.1000,16460
SFN,20070215,46.3000,46.3000,46.3000,46.3000,23090
SFN,20070226,48.6000,48.6000,48.6000,48.6000,12030
SFN,20070227,51.0000,51.0000,51.0000,51.0000,3560
SFN,20070228,48.5000,53.5000,48.5000,48.5000,24980
SFN,20070301,48.5000,48.5000,46.1000,48.5000,17760
SFN,20070302,48.5000,48.5000,47.0000,48.5000,13870
SFN,20070305,50.0000,50.0000,49.0000,50.0000,14520
SFN,20070306,52.5000,52.5000,52.0000,52.5000,20320
SFN,20070307,55.0000,55.0000,55.0000,55.0000,32750
SFN,20070308,57.0000,57.5000,57.0000,57.5000,21800
SFN,20070309,60.0000,60.0000,60.0000,60.0000,34950
SFN,20070312,63.0000,63.0000,60.0000,60.0000,24530
SFN,20070313,58.0000,60.0000,58.0000,58.0000,14780
SFN,20070314,56.0000,56.0000,56.0000,56.0000,8400
SFN,20070315,56.0000,56.0000,53.5000,53.5000,9430
SFN,20070316,51.0000,51.0000,51.0000,51.0000,4730
SFN,20070319,51.0000,53.5000,51.0000,53.5000,15070
SFN,20070320,56.0000,56.0000,54.0000,55.0000,22260
SFN,20070321,56.0000,56.0000,55.0000,55.0000,12800
SFN,20070322,55.0000,55.0000,52.5000,52.5000,1340
SFN,20070323,51.0000,51.0000,49.9000,49.9000,2300
SFN,20070326,48.5000,48.5000,47.5000,47.5000,2810
SFN,20070327,47.5000,47.5000,45.2000,45.2000,2460
SFN,20070328,43.5000,43.5000,43.0000,43.0000,6600
SFN,20070329,43.0000,45.1000,43.0000,45.1000,4090
SFN,20070330,47.0000,47.3000,47.0000,47.0000,15300
SFN,20070402,49.0000,49.0000,47.0000,47.0000,8940
SFN,20070403,47.0000,47.0000,44.7000,44.7000,5180
SFN,20070404,46.0000,46.0000,46.0000,46.0000,2410
SFN,20070405,46.0000,47.0000,46.0000,47.0000,3440
SFN,20070406,47.0000,47.0000,44.7000,44.7000,1240
SFN,20070409,44.7000,44.7000,44.7000,44.7000,3460
SFN,20070410,44.7000,44.7000,44.0000,44.0000,3030
SFN,20070411,44.0000,44.0000,44.0000,44.0000,3250
SFN,20070412,11.7569,11.7569,11.4866,11.6218,2100
SFN,20070413,11.6218,11.6218,11.0812,11.0812,4140
SFN,20070416,10.9461,10.9461,10.5407,10.5407,4440
SFN,20070417,10.0272,10.0272,10.0272,10.0272,6910
SFN,20070418,10.0272,10.5137,10.0272,10.5137,5940
SFN,20070419,11.0272,11.0272,11.0272,11.0272,12380
SFN,20070420,11.0272,11.0272,11.0272,11.0272,2400
SFN,20070423,10.8110,10.8110,10.5407,10.5407,1970
SFN,20070424,10.5407,10.5407,10.0272,10.0272,4110
SFN,20070425,10.5137,10.5137,10.5137,10.5137,850
SFN,20070502,10.0272,10.0272,10.0272,10.0272,100
SFN,20070503,10.0272,10.4055,10.0272,10.2704,1280
SFN,20070504,10.2704,10.2704,10.1353,10.1353,700
SFN,20070507,10.1353,10.5407,10.1353,10.1353,2920
SFN,20070508,10.6218,10.6218,10.5407,10.5407,5680
SFN,20070509,10.5407,10.6758,10.5407,10.6758,7610
SFN,20070510,10.1623,10.1623,10.1623,10.1623,400
SFN,20070511,10.1623,10.1623,10.1353,10.1353,5450
SFN,20070514,10.1353,10.1353,10.0001,10.0001,4900
SFN,20070515,9.5407,9.8650,9.5407,9.8650,18250
SFN,20070516,9.8650,9.8650,9.6218,9.8650,4950
SFN,20070517,9.8650,9.8650,9.7299,9.7299,7400
SFN,20070518,9.5947,9.5947,9.5947,9.5947,9200
SFN,20070521,9.4596,9.4596,9.4596,9.4596,16930
SFN,20070522,9.4596,9.5136,9.4596,9.5136,10100
SFN,20070523,9.7569,9.9731,9.7299,9.9731,10520
SFN,20070524,9.9731,10.1353,9.9731,9.9731,12560
SFN,20070525,9.9731,9.9731,9.8650,9.8650,4460
SFN,20070528,9.8650,9.8650,9.7299,9.7299,1540
SFN,20070529,9.7299,9.7299,9.7299,9.7299,3350
SFN,20070530,9.5136,9.5136,9.4866,9.4866,2800
SFN,20070531,9.4596,9.8650,9.3245,9.8650,4320
SFN,20070601,9.8650,9.8650,9.8650,9.8650,8750
SFN,20070604,9.8650,9.8650,9.7299,9.7299,1410
SFN,20070605,9.7299,9.7299,9.2704,9.2704,1320
SFN,20070606,9.2704,9.7299,9.2704,9.7299,5380
SFN,20070607,10.1353,10.1353,10.1353,10.1353,20700
SFN,20070608,10.1353,10.1353,10.0001,10.0001,7920
SFN,20070611,10.0001,10.0001,10.0001,10.0001,1300
SFN,20070612,10.0001,10.0001,10.0001,10.0001,470
SFN,20070613,9.8650,9.8650,9.8650,9.8650,830
SFN,20070614,9.7299,9.7299,9.5947,9.5947,1930
SFN,20070615,9.5947,9.5947,9.1893,9.4596,2180
SFN,20070618,9.7299,9.7299,9.4596,9.4596,6200
SFN,20070619,9.4596,9.9191,9.4596,9.9191,3380
SFN,20070620,10.1353,10.1353,9.8650,9.8650,6110
SFN,20070621,9.8650,9.8650,9.4596,9.4596,5120
SFN,20070622,9.2163,9.4596,9.2163,9.2163,11230
SFN,20070625,9.2163,9.5947,9.2163,9.5947,970
SFN,20070626,9.5947,9.5947,9.5947,9.5947,3000
SFN,20070627,9.4596,9.4596,9.2704,9.3245,8720
SFN,20070628,9.1893,9.1893,9.0542,9.0542,13060
SFN,20070629,8.7839,8.9190,8.7839,8.9190,13620
SFN,20070702,8.9190,8.9731,8.9190,8.9731,1250
SFN,20070703,8.9731,8.9731,8.9190,8.9190,1580
SFN,20070704,8.6488,8.9190,8.6488,8.9190,17620
SFN,20070705,8.9190,8.9190,8.7298,8.7298,3030
SFN,20070706,8.7298,8.9190,8.7298,8.9190,2870
SFN,20070709,8.9190,8.9190,8.9190,8.9190,2800
SFN,20070710,8.9190,9.0542,8.9190,8.9190,2250
SFN,20070711,9.0542,9.1893,8.9461,8.9461,3910
SFN,20070712,8.9461,8.9461,8.9190,8.9190,4500
SFN,20070713,8.9190,9.1623,8.9190,9.1623,1280
SFN,20070716,9.1623,9.1623,8.9731,8.9731,1300
SFN,20070717,8.8650,8.8650,8.8650,8.8650,380
SFN,20070718,8.9190,8.9190,8.7839,8.7839,4590
SFN,20070719,8.9190,8.9190,8.7839,8.8920,3900
SFN,20070720,8.8920,8.9190,8.8920,8.9190,5120
SFN,20070723,8.9190,8.9190,8.4866,8.9190,3640
SFN,20070724,8.9190,8.9190,8.9190,8.9190,200
SFN,20070725,8.9190,8.9190,8.7028,8.7028,3100
SFN,20070726,8.7028,8.7028,8.7028,8.7028,2500
SFN,20070727,8.7028,8.7028,8.6488,8.6488,1970
SFN,20070730,8.6488,8.6488,8.6488,8.6488,100
SFN,20070731,8.4055,8.7569,8.4055,8.7569,4400
SFN,20070801,8.3244,8.6488,8.3244,8.6488,1900
SFN,20070802,8.6488,8.6488,8.3785,8.3785,1130
SFN,20070803,8.1082,8.5136,8.1082,8.5136,3650
SFN,20070806,8.6488,8.6488,8.3785,8.6488,540
SFN,20070807,8.3785,8.3785,8.3785,8.3785,790
SFN,20070808,8.1623,8.1623,8.1623,8.1623,2000
SFN,20070809,8.3785,8.3785,8.1893,8.1893,2500
SFN,20070810,8.1082,8.5947,8.1082,8.5136,660
SFN,20070813,8.1352,8.1352,8.1352,8.1352,500
SFN,20070814,8.3785,8.3785,8.3785,8.3785,170
SFN,20070815,8.3785,8.3785,8.1082,8.1352,1980
SFN,20070816,7.7298,8.1082,7.7298,8.1082,1010
SFN,20070817,8.1082,8.1082,8.1082,8.1082,300
SFN,20070820,8.1082,8.1082,8.0001,8.0001,700
SFN,20070821,7.9461,8.0001,7.9190,8.0001,620
SFN,20070822,7.8379,8.1082,7.7028,7.7028,2990
SFN,20070823,7.8379,7.8379,7.5677,7.6488,4050
SFN,20070824,7.6217,7.8379,7.6217,7.8379,3510
SFN,20070827,8.1893,8.1893,8.1893,8.1893,300
SFN,20070828,7.7839,8.1893,7.7839,8.1893,3020
SFN,20070829,7.7839,7.7839,7.7839,7.7839,6660
SFN,20070830,7.5677,7.7839,7.5677,7.5677,10910
SFN,20070831,7.9190,7.9190,7.7028,7.9190,4500
SFN,20070904,7.7298,7.8379,7.7298,7.8379,5310
SFN,20070905,8.0812,8.0812,7.5677,7.8379,4400
SFN,20070906,7.8379,7.9731,7.8379,7.9731,1050
SFN,20070907,7.9731,7.9731,7.8379,7.8379,2640
SFN,20070910,7.8379,7.9461,7.8379,7.8379,3680
SFN,20070911,7.8379,8.2163,7.8379,8.2163,12540
SFN,20070912,8.5136,8.5136,8.3785,8.3785,15960
SFN,20070913,8.3785,8.3785,8.1082,8.1082,10370
SFN,20070914,8.1082,8.1082,8.0812,8.1082,5390
SFN,20070917,8.4596,8.4596,8.0001,8.0001,850
SFN,20070918,8.0001,8.0542,7.8379,8.0001,6930
SFN,20070919,8.0001,8.0001,7.9190,8.0001,2830
SFN,20070920,8.2434,8.2434,8.1082,8.1082,9730
SFN,20070921,7.9190,8.1082,7.9190,8.1082,4750
SFN,20070924,7.9731,8.0001,7.8379,7.8379,5880
SFN,20070925,7.9731,8.0001,7.9731,7.9731,11580
SFN,20070926,8.2434,8.3515,7.9731,8.1082,18080
SFN,20070927,7.9190,8.1082,7.9190,8.0001,4220
SFN,20070928,7.9190,7.9731,7.9190,7.9731,6170
SFN,20071001,8.3515,8.3515,8.2434,8.3515,26170
SFN,20071002,8.7569,8.7569,8.7569,8.7569,6740
SFN,20071003,9.1893,9.1893,9.1893,9.1893,23270
SFN,20071004,9.6218,9.6488,9.6218,9.6488,39800
SFN,20071005,10.1082,10.1082,10.1082,10.1082,51830
