<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SGB,20201019,15.3000,15.3000,14.8000,14.8000,142600
SGB,20201020,14.4000,14.8000,13.0000,13.3000,198600
SGB,20201021,13.3000,13.3000,12.3000,12.8000,169862
SGB,20201022,12.6000,14.6000,12.4000,14.2000,181477
SGB,20201023,11.7000,14.9000,11.7000,14.2000,90576
SGB,20201026,14.0000,14.0000,13.1000,13.1000,125440
SGB,20201027,13.0000,13.4000,12.9000,12.9000,56003
SGB,20201028,13.0000,13.4000,12.9000,13.1000,100885
SGB,20201029,13.0000,13.2000,12.9000,13.0000,47464
SGB,20201030,13.1000,13.1000,12.8000,13.0000,121971
SGB,20201102,13.0000,13.2000,13.0000,13.0000,43702
SGB,20201103,13.0000,13.2000,13.0000,13.0000,50510
SGB,20201104,13.0000,13.2000,11.1000,13.1000,61270
SGB,20201105,13.1000,13.1000,13.0000,13.0000,44300
SGB,20201106,13.1000,13.1000,13.0000,13.0000,25840
SGB,20201109,13.0000,13.3000,13.0000,13.0000,58689
SGB,20201110,13.1000,13.1000,13.0000,13.0000,58513
SGB,20201111,13.0000,13.1000,12.9000,13.0000,39807
SGB,20201112,13.0000,13.0000,12.8000,12.9000,65951
SGB,20201113,12.9000,12.9000,12.8000,12.9000,43220
SGB,20201116,13.0000,13.0000,12.9000,12.9000,55503
SGB,20201117,13.0000,13.0000,12.9000,12.9000,92164
SGB,20201118,12.9000,13.0000,12.8000,12.9000,61032
SGB,20201119,12.9000,12.9000,12.9000,12.9000,36494
SGB,20201120,12.9000,13.0000,12.8000,12.9000,35900
SGB,20201123,12.9000,12.9000,12.8000,12.8000,40700
SGB,20201124,12.9000,13.0000,12.8000,12.9000,26800
SGB,20201125,12.9000,12.9000,12.8000,12.9000,78300
SGB,20201126,12.9000,12.9000,12.8000,12.9000,17298
SGB,20201127,12.8000,12.9000,12.8000,12.9000,11900
SGB,20201130,12.9000,12.9000,12.8000,12.9000,22800
SGB,20201201,12.9000,12.9000,12.6000,12.9000,72802
SGB,20201202,12.9000,13.0000,12.8000,12.8000,54200
SGB,20201203,12.9000,13.0000,12.9000,13.0000,95600
SGB,20201204,12.9000,13.2000,12.9000,13.0000,71607
SGB,20201207,13.0000,13.0000,12.9000,13.0000,12210
SGB,20201208,13.0000,13.0000,13.0000,13.0000,49010
SGB,20201209,13.0000,13.1000,12.9000,13.1000,47184
SGB,20201210,13.0000,13.0000,13.0000,13.0000,27267
SGB,20201211,13.0000,13.0000,12.9000,12.9000,91410
SGB,20201214,12.8000,12.9000,12.8000,12.9000,31720
SGB,20201215,12.9000,12.9000,12.8000,12.8000,16830
SGB,20201216,12.9000,13.0000,12.9000,13.0000,23651
SGB,20201217,13.0000,13.0000,12.8000,12.9000,42800
SGB,20201218,12.9000,13.0000,12.8000,13.0000,21900
SGB,20201221,13.0000,13.1000,12.8000,13.0000,48368
SGB,20201222,13.1000,14.9000,12.9000,14.8000,188974
SGB,20201223,14.3000,15.4000,14.1000,14.1000,102400
SGB,20201224,14.5000,14.6000,13.7000,14.6000,34100
SGB,20201225,13.9000,14.5000,13.9000,13.9000,73474
SGB,20201228,14.2000,14.2000,13.6000,13.8000,47600
SGB,20201229,13.9000,13.9000,13.7000,13.7000,32400
SGB,20201230,13.8000,13.8000,13.5000,13.5000,40050
SGB,20201231,13.5000,13.8000,13.4000,13.7000,44900
SGB,20210104,13.7000,13.9000,13.7000,13.9000,37700
SGB,20210105,13.9000,13.9000,13.6000,13.8000,113300
SGB,20210106,13.8000,14.0000,13.7000,13.8000,132254
SGB,20210107,13.8000,15.2000,13.8000,14.9000,395100
SGB,20210108,14.8000,15.1000,14.7000,14.7000,103500
SGB,20210111,14.8000,15.3000,14.6000,15.1000,268600
SGB,20210112,15.1000,15.4000,14.7000,14.9000,154900
SGB,20210113,14.9000,14.9000,14.4000,14.7000,189313
SGB,20210114,14.7000,14.7000,14.2000,14.5000,74405
SGB,20210115,14.5000,14.9000,14.5000,14.7000,204565
SGB,20210118,14.7000,14.9000,14.5000,14.7000,145969
SGB,20210119,14.7000,14.9000,13.7000,13.7000,204078
SGB,20210120,13.7000,13.8000,13.0000,13.7000,97700
SGB,20210121,13.5000,14.0000,13.5000,14.0000,112705
SGB,20210122,13.8000,13.8000,13.3000,13.4000,152000
SGB,20210125,13.5000,13.5000,13.0000,13.2000,78000
SGB,20210126,13.2000,13.2000,12.8000,12.9000,133749
SGB,20210127,12.8000,12.9000,12.5000,12.6000,115004
SGB,20210128,12.5000,12.5000,10.8000,10.9000,76070
SGB,20210129,11.3000,12.0000,11.3000,11.6000,63042
SGB,20210201,12.0000,12.0000,11.5000,11.5000,47700
SGB,20210202,12.0000,12.0000,11.3000,11.9000,42500
SGB,20210203,11.9000,12.7000,11.6000,12.1000,69005
SGB,20210204,12.9000,12.9000,12.2000,12.6000,15250
SGB,20210205,12.4000,12.7000,12.3000,12.5000,24163
SGB,20210208,12.4000,12.4000,11.5000,12.0000,39500
SGB,20210209,12.1000,12.6000,12.1000,12.6000,15950
SGB,20210217,12.4000,12.9000,12.0000,12.6000,39100
SGB,20210218,12.5000,12.7000,11.8000,12.3000,331577
SGB,20210219,12.3000,12.7000,12.3000,12.6000,34800
SGB,20210222,12.7000,12.8000,12.6000,12.7000,22045
SGB,20210223,12.7000,12.7000,12.4000,12.6000,37600
SGB,20210224,12.6000,12.6000,12.3000,12.4000,29000
SGB,20210225,12.3000,12.4000,12.2000,12.3000,41500
SGB,20210226,12.0000,12.4000,12.0000,12.3000,60841
SGB,20210301,12.5000,12.5000,12.0000,12.2000,65100
SGB,20210302,12.2000,12.3000,12.1000,12.3000,36570
SGB,20210303,12.3000,12.4000,12.2000,12.2000,126996
