<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SGD-X,20031201,1.7230,1.7245,1.7205,1.7217,0
SGD-X,20031202,1.7217,1.7240,1.7200,1.7200,0
SGD-X,20031203,1.7200,1.7200,1.7153,1.7161,0
SGD-X,20031204,1.7157,1.7180,1.7125,1.7135,0
SGD-X,20031205,1.7135,1.7190,1.7135,1.7140,0
SGD-X,20031208,1.7094,1.7120,1.7085,1.7109,0
SGD-X,20031209,1.7110,1.7132,1.7102,1.7120,0
SGD-X,20031210,1.7107,1.7155,1.7107,1.7140,0
SGD-X,20031211,1.7139,1.7165,1.7115,1.7141,0
SGD-X,20031212,1.7139,1.7139,1.7098,1.7103,0
SGD-X,20031215,1.7082,1.7105,1.7079,1.7085,0
SGD-X,20031216,1.7085,1.7085,1.7040,1.7062,0
SGD-X,20031217,1.7060,1.7110,1.7059,1.7078,0
SGD-X,20031218,1.7071,1.7101,1.7060,1.7060,0
SGD-X,20031219,1.7072,1.7095,1.7055,1.7095,0
SGD-X,20031222,1.7089,1.7095,1.7065,1.7080,0
SGD-X,20031223,1.7081,1.7090,1.6945,1.7070,0
SGD-X,20031224,1.7075,1.7075,1.7069,1.7069,0
SGD-X,20031225,1.7069,1.7069,1.7057,1.7057,0
SGD-X,20031226,1.7045,1.7045,1.7045,1.7045,0
SGD-X,20031229,1.7033,1.7040,1.7003,1.7020,0
SGD-X,20031230,1.7019,1.7033,1.7006,1.7023,0
SGD-X,20031231,1.7028,1.7028,1.6990,1.6990,0
SGD-X,20040101,1.7010,1.7010,1.6994,1.7002,0
SGD-X,20040102,1.6986,1.7025,1.6986,1.7018,0
SGD-X,20040105,1.6989,1.7005,1.6970,1.6975,0
SGD-X,20040106,1.6982,1.6993,1.6957,1.6973,0
SGD-X,20040107,1.6970,1.6993,1.6955,1.6962,0
SGD-X,20040108,1.6962,1.6965,1.6931,1.6935,0
SGD-X,20040109,1.6937,1.6977,1.6912,1.6920,0
SGD-X,20040112,1.6965,1.6965,1.6895,1.6913,0
SGD-X,20040113,1.6923,1.6955,1.6918,1.6932,0
SGD-X,20040114,1.6924,1.6955,1.6922,1.6941,0
SGD-X,20040115,1.6962,1.6968,1.6937,1.6962,0
SGD-X,20040116,1.6963,1.7020,1.6963,1.7005,0
SGD-X,20040119,1.7025,1.7095,1.7010,1.7088,0
SGD-X,20040120,1.7138,1.7138,1.7057,1.7070,0
SGD-X,20040121,1.7070,1.7082,1.6967,1.6967,0
SGD-X,20040122,1.6955,1.6965,1.6909,1.6911,0
SGD-X,20040123,1.6918,1.6965,1.6908,1.6942,0
SGD-X,20040126,1.6951,1.6970,1.6931,1.6962,0
SGD-X,20040127,1.6956,1.7000,1.6939,1.6939,0
SGD-X,20040128,1.6939,1.6974,1.6903,1.6974,0
SGD-X,20040129,1.6973,1.7035,1.6964,1.7029,0
SGD-X,20040130,1.7029,1.7029,1.6929,1.6929,0
SGD-X,20040202,1.6938,1.6970,1.6928,1.6945,0
SGD-X,20040203,1.6942,1.6950,1.6923,1.6923,0
SGD-X,20040204,1.6932,1.6950,1.6928,1.6934,0
SGD-X,20040205,1.6941,1.6945,1.6908,1.6931,0
SGD-X,20040206,1.6928,1.6965,1.6848,1.6851,0
SGD-X,20040209,1.6854,1.6870,1.6823,1.6834,0
SGD-X,20040210,1.6834,1.6834,1.6721,1.6754,0
SGD-X,20040211,1.6754,1.6755,1.6671,1.6677,0
SGD-X,20040212,1.6692,1.6740,1.6673,1.6732,0
SGD-X,20040213,1.6733,1.6755,1.6710,1.6750,0
SGD-X,20040216,1.6748,1.6770,1.6725,1.6738,0
SGD-X,20040217,1.6739,1.6770,1.6729,1.6742,0
SGD-X,20040218,1.6719,1.6781,1.6716,1.6781,0
SGD-X,20040219,1.6792,1.6850,1.6782,1.6828,0
SGD-X,20040220,1.6828,1.6947,1.6828,1.6947,0
SGD-X,20040223,1.6928,1.6975,1.6901,1.6939,0
SGD-X,20040224,1.6957,1.6990,1.6881,1.6881,0
SGD-X,20040225,1.6877,1.6940,1.6876,1.6934,0
SGD-X,20040226,1.6949,1.7035,1.6943,1.7018,0
SGD-X,20040227,1.7020,1.7035,1.6965,1.7015,0
SGD-X,20040301,1.6973,1.7024,1.6971,1.7024,0
SGD-X,20040302,1.7010,1.7087,1.7010,1.7087,0
SGD-X,20040303,1.7088,1.7135,1.7083,1.7104,0
SGD-X,20040304,1.7104,1.7180,1.7078,1.7169,0
SGD-X,20040305,1.7162,1.7185,1.7034,1.7108,0
SGD-X,20040308,1.7132,1.7145,1.7032,1.7032,0
SGD-X,20040309,1.7022,1.7079,1.7014,1.7079,0
SGD-X,20040310,1.7022,1.7135,1.7014,1.7125,0
SGD-X,20040311,1.7116,1.7156,1.7080,1.7080,0
SGD-X,20040312,1.7084,1.7165,1.7084,1.7111,0
SGD-X,20040315,1.7128,1.7128,1.7063,1.7073,0
SGD-X,20040316,1.7060,1.7067,1.6998,1.7013,0
SGD-X,20040317,1.7010,1.7017,1.6964,1.6985,0
SGD-X,20040318,1.6955,1.6955,1.6868,1.6879,0
SGD-X,20040319,1.6873,1.6950,1.6873,1.6935,0
SGD-X,20040322,1.6930,1.6945,1.6874,1.6888,0
SGD-X,20040323,1.6888,1.6905,1.6864,1.6875,0
SGD-X,20040324,1.6875,1.6924,1.6862,1.6924,0
SGD-X,20040325,1.6925,1.6945,1.6887,1.6887,0
SGD-X,20040326,1.6893,1.6915,1.6885,1.6905,0
SGD-X,20040329,1.6891,1.6905,1.6873,1.6885,0
SGD-X,20040330,1.6879,1.6879,1.6816,1.6828,0
SGD-X,20040331,1.6795,1.6800,1.6730,1.6742,0
SGD-X,20040401,1.6737,1.6752,1.6700,1.6707,0
SGD-X,20040402,1.6701,1.6775,1.6701,1.6752,0
SGD-X,20040405,1.6769,1.6810,1.6756,1.6807,0
SGD-X,20040406,1.6814,1.6848,1.6788,1.6823,0
SGD-X,20040407,1.6799,1.6826,1.6721,1.6745,0
SGD-X,20040408,1.6740,1.6790,1.6730,1.6771,0
SGD-X,20040409,1.6771,1.6771,1.6771,1.6771,0
SGD-X,20040413,1.6623,1.6707,1.6609,1.6657,0
SGD-X,20040414,1.6753,1.6855,1.6730,1.6774,0
SGD-X,20040415,1.6801,1.6820,1.6769,1.6772,0
SGD-X,20040416,1.6777,1.6835,1.6750,1.6758,0
SGD-X,20040419,1.6773,1.6820,1.6744,1.6810,0
SGD-X,20040420,1.6777,1.6875,1.6765,1.6875,0
SGD-X,20040421,1.6866,1.6937,1.6860,1.6905,0
SGD-X,20040422,1.6908,1.6985,1.6908,1.6960,0
SGD-X,20040423,1.6989,1.6989,1.6913,1.6962,0
SGD-X,20040426,1.6983,1.7005,1.6945,1.6985,0
SGD-X,20040427,1.6961,1.6987,1.6908,1.6959,0
SGD-X,20040428,1.6951,1.6990,1.6918,1.6990,0
SGD-X,20040429,1.6997,1.7075,1.6985,1.7013,0
SGD-X,20040430,1.7025,1.7055,1.7001,1.7001,0
SGD-X,20040503,1.7030,1.7035,1.6990,1.7035,0
SGD-X,20040504,1.7020,1.7020,1.6930,1.6930,0
